stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
76,Stimuli/Morph76.JPG,Stimuli/Morph76.png,Stimuli/BlurLevel5/BlurEditedMorph76,Stimuli/BlurLevel5/BlurEditedMorph76.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph76.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph76.png,Stimuli/BlurMorphTrio/EditedMorph76.png,020234right.gif,Stimuli/normal_thumbnails/76right.gif,0,0,0,75,,,,,,,,,49.95311285,None,49.95311285,None,49.95311285,None,49.95311285,None,49.95311285,None,49.95311285,None,49.95311285,None,49.95311285,None,49.95311285,None,49.95311285,None,49.95311285,None,79,-100,-100,23,2.301262134,0.976827821,76,training,79.98718505,80.4860861,79.98718505,80.4860861,46.93877551,1575399651,1575399655,3.932282209,109,115,-39,-39,1575399649,1575399651,space,3.307911343,,,,,,,,,,,,,,,,,,,,,,,S2,1,27,f,resident,2019_Dec_03_1300,AdjustEyeTrack,3.1.5,59.50416181
70,Stimuli/Morph70.JPG,Stimuli/Morph70.png,Stimuli/BlurLevel5/BlurEditedMorph70,Stimuli/BlurLevel5/BlurEditedMorph70.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph70.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph70.png,Stimuli/BlurMorphTrio/EditedMorph70.png,020221right.gif,Stimuli/normal_thumbnails/70right.gif,0,1,1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,-100,-100,27,2.22751631,1.134976249,70,training,89.54524473,90.05210928,89.54524473,90.05210928,82.31292517,1575399661,1575399664,3.033360004,72,83,-13,-13,1575399659,1575399661,space,6.679373463,,,,,,,,,,,,,,,,,,,,,,,S2,1,27,f,resident,2019_Dec_03_1300,AdjustEyeTrack,3.1.5,59.50416181
141,Stimuli/Morph141.JPG,Stimuli/Morph141.png,Stimuli/BlurLevel5/BlurEditedMorph141,Stimuli/BlurLevel5/BlurEditedMorph141.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph141.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph141.png,Stimuli/BlurMorphTrio/EditedMorph141.png,None,None,0,2,2,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,-100,-100,104,-0.604804739,2.425739316,141,training,101.6874223,102.185351,101.6874223,102.185351,90.47619048,1575399673,1575399680,6.33351779,104,134,7,7,1575399671,1575399673,space,4.293519393,,,,,,,,,,,,,,,,,,,,,,,S2,1,27,f,resident,2019_Dec_03_1300,AdjustEyeTrack,3.1.5,59.50416181
1,Stimuli/Morph1.JPG,Stimuli/Morph1.png,Stimuli/BlurLevel5/BlurEditedMorph1,Stimuli/BlurLevel5/BlurEditedMorph1.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph1.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph1.png,Stimuli/BlurMorphTrio/EditedMorph1.png,010003right.gif,Stimuli/normal_thumbnails/1right.gif,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,-100,-100,148,-2.12012024,1.324798161,1,training,114.7453856,115.2353183,114.7453856,115.2353183,94.55782313,1575399686,1575399689,3.100926161,24,5,-4,-4,1575399684,1575399686,space,1.163936178,,,,,,,,,,,,,,,,,,,,,,,S2,1,27,f,resident,2019_Dec_03_1300,AdjustEyeTrack,3.1.5,59.50416181
2,Stimuli/Morph2.JPG,Stimuli/Morph2.png,Stimuli/BlurLevel5/BlurEditedMorph2,Stimuli/BlurLevel5/BlurEditedMorph2.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph2.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph2.png,Stimuli/BlurMorphTrio/EditedMorph2.png,010006right.gif,Stimuli/normal_thumbnails/2right.gif,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,-100,-100,128,-1.539153688,1.970026884,2,training,121.4360173,121.9355224,121.4360173,121.9355224,98.63945578,1575399693,1575399696,2.903226137,126,1,1,1,1575399691,1575399693,space,7.165605596,,,,,,,,,,,,,,,,,,,,,,,S2,1,27,f,resident,2019_Dec_03_1300,AdjustEyeTrack,3.1.5,59.50416181
119,Stimuli/Morph119.JPG,Stimuli/Morph119.png,Stimuli/BlurLevel5/BlurEditedMorph119,Stimuli/BlurLevel5/BlurEditedMorph119.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph119.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph119.png,Stimuli/BlurMorphTrio/EditedMorph119.png,None,None,0,5,5,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,-100,-100,330,2.165063509,-1.25,119,training,134.0028837,134.5015614,134.0028837,134.5015614,90.47619048,1575399705,1575399710,4.750637054,112,112,7,7,1575399703,1575399705,space,1.150817649,,,,,,,,,,,,,,,,,,,,,,,S2,1,27,f,resident,2019_Dec_03_1300,AdjustEyeTrack,3.1.5,59.50416181
140,Stimuli/Morph140.JPG,Stimuli/Morph140.png,Stimuli/BlurLevel5/BlurEditedMorph140,Stimuli/BlurLevel5/BlurEditedMorph140.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph140.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph140.png,Stimuli/BlurMorphTrio/EditedMorph140.png,None,None,0,6,6,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,-100,-100,328,2.12012024,-1.324798161,140,training,142.1853651,142.6867937,142.1853651,142.6867937,72.78911565,1575399714,1575399716,2.683923244,97,120,20,20,1575399711,1575399714,space,4.106877585,,,,,,,,,,,,,,,,,,,,,,,S2,1,27,f,resident,2019_Dec_03_1300,AdjustEyeTrack,3.1.5,59.50416181
124,Stimuli/Morph124.JPG,Stimuli/Morph124.png,Stimuli/BlurLevel5/BlurEditedMorph124,Stimuli/BlurLevel5/BlurEditedMorph124.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph124.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph124.png,Stimuli/BlurMorphTrio/EditedMorph124.png,None,None,0,7,7,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,-100,-100,320,1.915111108,-1.606969024,124,training,151.253705,151.7512713,151.253705,151.7512713,75.51020408,1575399723,1575399724,1.085837126,106,106,18,18,1575399721,1575399723,space,1.154023956,,,,,,,,,,,,,,,,,,,,,,,S2,1,27,f,resident,2019_Dec_03_1300,AdjustEyeTrack,3.1.5,59.50416181
82,Stimuli/Morph82.JPG,Stimuli/Morph82.png,Stimuli/BlurLevel5/BlurEditedMorph82,Stimuli/BlurLevel5/BlurEditedMorph82.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph82.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph82.png,Stimuli/BlurMorphTrio/EditedMorph82.png,020247right.gif,Stimuli/normal_thumbnails/82right.gif,0,8,8,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,-100,-100,233,-1.504537558,-1.996588775,82,training,156.1700043,156.6684208,156.1700043,156.6684208,97.27891156,1575399728,1575399730,2.317219734,125,84,-2,-2,1575399725,1575399728,space,0.822558647,,,,,,,,,,,,,,,,,,,,,,,S2,1,27,f,resident,2019_Dec_03_1300,AdjustEyeTrack,3.1.5,59.50416181
79,Stimuli/Morph79.JPG,Stimuli/Morph79.png,Stimuli/BlurLevel5/BlurEditedMorph79,Stimuli/BlurLevel5/BlurEditedMorph79.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph79.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph79.png,Stimuli/BlurMorphTrio/EditedMorph79.png,020239right.gif,Stimuli/normal_thumbnails/79right.gif,0,9,9,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,-100,-100,165,-2.414814566,0.647047613,79,training,161.9236593,162.4180383,161.9236593,162.4180383,56.46258503,1575399733,1575399737,3.850447178,13,111,-32,-32,1575399731,1575399733,space,0.656070435,,,,,,,,,,,,,,,,,,,,,,,S2,1,27,f,resident,2019_Dec_03_1300,AdjustEyeTrack,3.1.5,59.50416181
