stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
65,Stimuli/Morph65.JPG,Stimuli/Morph65.png,Stimuli/BlurLevel5/BlurEditedMorph65,Stimuli/BlurLevel5/BlurEditedMorph65.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph65.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph65.png,Stimuli/BlurMorphTrio/EditedMorph65.png,020209right.gif,Stimuli/normal_thumbnails/65right.gif,0,0,0,64,,,,,,,,,88.9355116,None,88.9355116,None,88.9355116,None,88.9355116,None,88.9355116,None,88.9355116,None,88.9355116,None,88.9355116,None,88.9355116,None,88.9355116,None,88.9355116,None,37,-100,-100,8,2.475670172,0.347932752,65,training,131.1342759,131.6527667,131.1342759,131.6527667,61.9047619,1575474384,1575474387,3.76740098,147,93,-28,-28,1575474381,1575474384,space,1.86051284,,,,,,,,,,,,,,,,,,,,,,,S7,1,57,m,expert radiologist,2019_Dec_04_0945,AdjustEyeTrack,3.1.5,60.48037396
138,Stimuli/Morph138.JPG,Stimuli/Morph138.png,Stimuli/BlurLevel5/BlurEditedMorph138,Stimuli/BlurLevel5/BlurEditedMorph138.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph138.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph138.png,Stimuli/BlurMorphTrio/EditedMorph138.png,None,None,0,1,1,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,-100,-100,277,0.304673359,-2.481365379,138,training,139.0848515,139.5845884,139.0848515,139.5845884,70.06802721,1575474392,1575474394,2.800925016,88,116,22,22,1575474389,1575474392,space,5.730888565,,,,,,,,,,,,,,,,,,,,,,,S7,1,57,m,expert radiologist,2019_Dec_04_0945,AdjustEyeTrack,3.1.5,60.48037396
66,Stimuli/Morph66.JPG,Stimuli/Morph66.png,Stimuli/BlurLevel5/BlurEditedMorph66,Stimuli/BlurLevel5/BlurEditedMorph66.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph66.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph66.png,Stimuli/BlurMorphTrio/EditedMorph66.png,020212right.gif,Stimuli/normal_thumbnails/66right.gif,0,2,2,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,-100,-100,207,-2.22751631,-1.134976249,66,training,150.0417086,150.5545751,150.0417086,150.5545751,30.6122449,1575474403,1575474416,13.19909763,101,15,51,51,1575474400,1575474403,space,1.862624618,,,,,,,,,,,,,,,,,,,,,,,S7,1,57,m,expert radiologist,2019_Dec_04_0945,AdjustEyeTrack,3.1.5,60.48037396
84,Stimuli/Morph84.JPG,Stimuli/Morph84.png,Stimuli/BlurLevel5/BlurEditedMorph84,Stimuli/BlurLevel5/BlurEditedMorph84.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph84.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph84.png,Stimuli/BlurMorphTrio/EditedMorph84.png,020261right.gif,Stimuli/normal_thumbnails/84right.gif,0,3,3,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,-100,-100,20,2.349231552,0.855050358,84,training,167.3406455,167.8503688,167.3406455,167.8503688,11.56462585,1575474420,1575474434,14.15293622,126,19,65,65,1575474418,1575474420,space,2.44052098,,,,,,,,,,,,,,,,,,,,,,,S7,1,57,m,expert radiologist,2019_Dec_04_0945,AdjustEyeTrack,3.1.5,60.48037396
79,Stimuli/Morph79.JPG,Stimuli/Morph79.png,Stimuli/BlurLevel5/BlurEditedMorph79,Stimuli/BlurLevel5/BlurEditedMorph79.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph79.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph79.png,Stimuli/BlurMorphTrio/EditedMorph79.png,020239right.gif,Stimuli/normal_thumbnails/79right.gif,0,4,4,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,-100,-100,48,1.672826516,1.857862064,79,training,187.3692289,187.9000663,187.3692289,187.9000663,27.89115646,1575474440,1575474454,14.49900818,63,26,53,53,1575474437,1575474440,space,4.011171226,,,,,,,,,,,,,,,,,,,,,,,S7,1,57,m,expert radiologist,2019_Dec_04_0945,AdjustEyeTrack,3.1.5,60.48037396
80,Stimuli/Morph80.JPG,Stimuli/Morph80.png,Stimuli/BlurLevel5/BlurEditedMorph80,Stimuli/BlurLevel5/BlurEditedMorph80.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph80.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph80.png,Stimuli/BlurMorphTrio/EditedMorph80.png,020240right.gif,Stimuli/normal_thumbnails/80right.gif,0,5,5,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,-100,-100,214,-2.072593931,-1.397982259,80,training,208.4016471,208.9007536,208.4016471,208.9007536,93.19727891,1575474461,1575474464,2.899887085,83,75,5,5,1575474458,1575474461,space,2.688883287,,,,,,,,,,,,,,,,,,,,,,,S7,1,57,m,expert radiologist,2019_Dec_04_0945,AdjustEyeTrack,3.1.5,60.48037396
56,Stimuli/Morph56.JPG,Stimuli/Morph56.png,Stimuli/BlurLevel5/BlurEditedMorph56,Stimuli/BlurLevel5/BlurEditedMorph56.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph56.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph56.png,Stimuli/BlurMorphTrio/EditedMorph56.png,010157right.gif,Stimuli/normal_thumbnails/56right.gif,0,6,6,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,-100,-100,288,0.772542486,-2.377641291,56,training,216.6517638,217.1498237,216.6517638,217.1498237,79.59183673,1575474469,1575474472,3.16656208,55,71,-15,-15,1575474467,1575474469,space,1.5906641,,,,,,,,,,,,,,,,,,,,,,,S7,1,57,m,expert radiologist,2019_Dec_04_0945,AdjustEyeTrack,3.1.5,60.48037396
17,Stimuli/Morph17.JPG,Stimuli/Morph17.png,Stimuli/BlurLevel5/BlurEditedMorph17,Stimuli/BlurLevel5/BlurEditedMorph17.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph17.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph17.png,Stimuli/BlurMorphTrio/EditedMorph17.png,010036right.gif,Stimuli/normal_thumbnails/17right.gif,0,7,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,-100,-100,48,1.672826516,1.857862064,17,training,224.3853194,224.9174936,224.3853194,224.9174936,85.03401361,1575474477,1575474482,4.633023024,50,6,11,11,1575474474,1575474477,space,4.014807076,,,,,,,,,,,,,,,,,,,,,,,S7,1,57,m,expert radiologist,2019_Dec_04_0945,AdjustEyeTrack,3.1.5,60.48037396
109,Stimuli/Morph109.JPG,Stimuli/Morph109.png,Stimuli/BlurLevel5/BlurEditedMorph109,Stimuli/BlurLevel5/BlurEditedMorph109.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph109.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph109.png,Stimuli/BlurMorphTrio/EditedMorph109.png,None,None,0,8,8,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,-100,-100,349,2.454067959,-0.477022488,109,training,235.8193674,236.3159787,235.8193674,236.3159787,93.19727891,1575474488,1575474490,1.366221905,104,104,5,5,1575474486,1575474488,space,4.660706507,,,,,,,,,,,,,,,,,,,,,,,S7,1,57,m,expert radiologist,2019_Dec_04_0945,AdjustEyeTrack,3.1.5,60.48037396
49,Stimuli/Morph49.JPG,Stimuli/Morph49.png,Stimuli/BlurLevel5/BlurEditedMorph49,Stimuli/BlurLevel5/BlurEditedMorph49.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph49.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph49.png,Stimuli/BlurMorphTrio/EditedMorph49.png,010135right.gif,Stimuli/normal_thumbnails/49right.gif,0,9,9,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,-100,-100,166,-2.425739316,0.604804739,49,training,244.5511803,245.0497912,244.5511803,245.0497912,31.97278912,1575474497,1575474502,4.983042955,35,146,-97,50,1575474494,1575474497,space,6.822079845,,,,,,,,,,,,,,,,,,,,,,,S7,1,57,m,expert radiologist,2019_Dec_04_0945,AdjustEyeTrack,3.1.5,60.48037396
