stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate,
96,Stimuli/Morph96.JPG,Stimuli/Morph96.png,Stimuli/BlurLevel5/BlurEditedMorph96,Stimuli/BlurLevel5/BlurEditedMorph96.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph96.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph96.png,Stimuli/BlurMorphTrio/EditedMorph96.png,020292right.gif,Stimuli/normal_thumbnails/96right.gif,0,0,0,95,,,,,,,,,74.95391488300083,None,74.95391488300083,None,74.95391488300083,None,74.95391488300083,None,74.95391488300083,None,74.95391488300083,None,74.95391488300083,None,74.95391488300083,None,74.95391488300083,None,74.95391488300083,None,74.95391488300083,None,27,-100,-100,310,1.6069690242163481,-1.9151111077974452,96,training,143.75256653999895,144.45008953100114,143.75256653999895,144.45008953100114,98.63945578231292,1583863948.133267,1583863951.066682,2.933415174484253,73,95,1,1,1583863945.3463612,1583863948.111186,space,2.478871719999006,,,,,,,,,,,,,,,,,,,,,,,CG,001,22,male,undergrad,2020_Mar_10_1111,AdjustEyeTrack,3.1.5,59.975795687027855,
35,Stimuli/Morph35.JPG,Stimuli/Morph35.png,Stimuli/BlurLevel5/BlurEditedMorph35,Stimuli/BlurLevel5/BlurEditedMorph35.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph35.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph35.png,Stimuli/BlurMorphTrio/EditedMorph35.png,010094right.gif,Stimuli/normal_thumbnails/35right.gif,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,-100,-100,293,0.9768278212231838,-2.301262133631101,35,training,152.44435561900173,153.12915214700115,152.44435561900173,153.12915214700115,82.31292517006803,1583863956.816722,1583863959.316135,2.499413013458252,120,48,-13,-13,1583863954.169523,1583863956.7998269,space,1.9232360280002467,,,,,,,,,,,,,,,,,,,,,,,CG,001,22,male,undergrad,2020_Mar_10_1111,AdjustEyeTrack,3.1.5,59.975795687027855,
30,Stimuli/Morph30.JPG,Stimuli/Morph30.png,Stimuli/BlurLevel5/BlurEditedMorph30,Stimuli/BlurLevel5/BlurEditedMorph30.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph30.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph30.png,Stimuli/BlurMorphTrio/EditedMorph30.png,010076right.gif,Stimuli/normal_thumbnails/30right.gif,0,2,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,-100,-100,49,1.6401475724762684,1.8867739505569299,30,training,160.51940345600087,161.23718337800165,160.51940345600087,161.23718337800165,97.27891156462584,1583863964.919165,1583863967.8000588,2.8808939456939697,71,28,2,2,1583863961.968513,1583863964.903125,space,1.5120477669988759,,,,,,,,,,,,,,,,,,,,,,,CG,001,22,male,undergrad,2020_Mar_10_1111,AdjustEyeTrack,3.1.5,59.975795687027855,
75,Stimuli/Morph75.JPG,Stimuli/Morph75.png,Stimuli/BlurLevel5/BlurEditedMorph75,Stimuli/BlurLevel5/BlurEditedMorph75.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph75.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph75.png,Stimuli/BlurMorphTrio/EditedMorph75.png,020233right.gif,Stimuli/normal_thumbnails/75right.gif,0,3,3,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,-100,-100,44,1.798349500846628,1.7366459261474931,75,training,168.37535226899854,169.06659179000053,168.37535226899854,169.06659179000053,97.27891156462584,1583863972.766418,1583863974.84922,2.0828020572662354,79,77,-2,-2,1583863969.936554,1583863972.740625,space,1.4976379990002897,,,,,,,,,,,,,,,,,,,,,,,CG,001,22,male,undergrad,2020_Mar_10_1111,AdjustEyeTrack,3.1.5,59.975795687027855,
115,Stimuli/Morph115.JPG,Stimuli/Morph115.png,Stimuli/BlurLevel5/BlurEditedMorph115,Stimuli/BlurLevel5/BlurEditedMorph115.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph115.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph115.png,Stimuli/BlurMorphTrio/EditedMorph115.png,None,None,0,4,4,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,-100,-100,126,-1.4694631307311825,2.0225424859373686,115,training,175.51232674700077,176.20553918500082,175.51232674700077,176.20553918500082,31.97278911564626,1583863979.899293,1583863988.666222,8.766929149627686,28,65,50,50,1583863976.969099,1583863979.883199,space,6.375411237000662,,,,,,,,,,,,,,,,,,,,,,,CG,001,22,male,undergrad,2020_Mar_10_1111,AdjustEyeTrack,3.1.5,59.975795687027855,
84,Stimuli/Morph84.JPG,Stimuli/Morph84.png,Stimuli/BlurLevel5/BlurEditedMorph84,Stimuli/BlurLevel5/BlurEditedMorph84.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph84.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph84.png,Stimuli/BlurMorphTrio/EditedMorph84.png,020261right.gif,Stimuli/normal_thumbnails/84right.gif,0,5,5,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,-100,-100,79,0.4770224884413623,2.45406795861916,84,training,194.40840288600157,195.10677545900035,194.40840288600157,195.10677545900035,74.14965986394557,1583863998.8042712,1583864001.966624,3.1623528003692627,13,65,19,19,1583863995.685948,1583863998.789042,space,4.3876888070008135,,,,,,,,,,,,,,,,,,,,,,,CG,001,22,male,undergrad,2020_Mar_10_1111,AdjustEyeTrack,3.1.5,59.975795687027855,
49,Stimuli/Morph49.JPG,Stimuli/Morph49.png,Stimuli/BlurLevel5/BlurEditedMorph49,Stimuli/BlurLevel5/BlurEditedMorph49.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph49.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph49.png,Stimuli/BlurMorphTrio/EditedMorph49.png,010135right.gif,Stimuli/normal_thumbnails/49right.gif,0,6,6,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,-100,-100,121,-1.2875951872751354,2.142918251755281,49,training,205.35074452000117,206.03515832999983,205.35074452000117,206.03515832999983,98.63945578231292,1583864009.748918,1583864013.966867,4.217948913574219,85,50,-1,-1,1583864006.9690938,1583864009.727964,space,3.3486307769999257,,,,,,,,,,,,,,,,,,,,,,,CG,001,22,male,undergrad,2020_Mar_10_1111,AdjustEyeTrack,3.1.5,59.975795687027855,
4,Stimuli/Morph4.JPG,Stimuli/Morph4.png,Stimuli/BlurLevel5/BlurEditedMorph4,Stimuli/BlurLevel5/BlurEditedMorph4.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph4.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph4.png,Stimuli/BlurMorphTrio/EditedMorph4.png,010010right.gif,Stimuli/normal_thumbnails/4right.gif,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,-100,-100,71,0.8139203861428919,2.3637964389982917,4,training,216.5008947669994,217.1996571540003,216.5008947669994,217.1996571540003,68.70748299319727,1583864020.8990998,1583864024.56637,3.6672701835632324,32,27,-23,-23,1583864017.934923,1583864020.877845,space,2.094266627002071,,,,,,,,,,,,,,,,,,,,,,,CG,001,22,male,undergrad,2020_Mar_10_1111,AdjustEyeTrack,3.1.5,59.975795687027855,
128,Stimuli/Morph128.JPG,Stimuli/Morph128.png,Stimuli/BlurLevel5/BlurEditedMorph128,Stimuli/BlurLevel5/BlurEditedMorph128.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph128.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph128.png,Stimuli/BlurMorphTrio/EditedMorph128.png,None,None,0,8,8,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,-100,-100,305,1.4339410908776151,-2.0478801107224793,128,training,225.6247653999999,226.30288313200072,225.6247653999999,226.30288313200072,79.59183673469387,1583864030.0031931,1583864035.934158,5.930964946746826,16,113,15,15,1583864027.284849,1583864029.987967,space,1.4029517929993744,,,,,,,,,,,,,,,,,,,,,,,CG,001,22,male,undergrad,2020_Mar_10_1111,AdjustEyeTrack,3.1.5,59.975795687027855,
101,Stimuli/Morph101.JPG,Stimuli/Morph101.png,Stimuli/BlurLevel5/BlurEditedMorph101,Stimuli/BlurLevel5/BlurEditedMorph101.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph101.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph101.png,Stimuli/BlurMorphTrio/EditedMorph101.png,None,None,0,9,9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,-100,-100,97,-0.3046733585128685,2.4813653791033055,101,training,236.43720547799967,237.1215706820003,236.43720547799967,237.1215706820003,71.42857142857143,1583864040.831769,1583864046.7996879,5.967918872833252,133,80,21,21,1583864037.95202,1583864040.817031,space,1.0846874909984763,,,,,,,,,,,,,,,,,,,,,,,CG,001,22,male,undergrad,2020_Mar_10_1111,AdjustEyeTrack,3.1.5,59.975795687027855,
