stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
120,Stimuli/Morph120.JPG,Stimuli/Morph120.png,Stimuli/BlurLevel5/BlurEditedMorph120,Stimuli/BlurLevel5/BlurEditedMorph120.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph120.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph120.png,Stimuli/BlurMorphTrio/EditedMorph120.png,None,None,0,0,0,119,,,,,,,,,57.82602729,None,57.82602729,None,57.82602729,None,57.82602729,None,57.82602729,None,57.82602729,None,57.82602729,None,57.82602729,None,57.82602729,None,57.82602729,None,57.82602729,None,86,-100,-100,306,1.469463131,-2.022542486,120,training,167.1483112,167.8494677,167.1483112,167.8494677,67.34693878,1583442359,1583442363,4.047019958,38,96,24,24,1583442356,1583442359,space,7.576227871,,,,,,,,,,,,,,,,,,,,,,,ES,1,20,female,undergrad,2020_Mar_05_1304,AdjustEyeTrack,3.1.5,59.98762743
59,Stimuli/Morph59.JPG,Stimuli/Morph59.png,Stimuli/BlurLevel5/BlurEditedMorph59,Stimuli/BlurLevel5/BlurEditedMorph59.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph59.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph59.png,Stimuli/BlurMorphTrio/EditedMorph59.png,010160right.gif,Stimuli/normal_thumbnails/59right.gif,0,1,1,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,-100,-100,5,2.490486745,0.217889357,59,training,182.2508015,182.9562017,182.2508015,182.9562017,38.7755102,1583442374,1583442386,11.41627288,11,14,45,45,1583442371,1583442374,space,3.987732649,,,,,,,,,,,,,,,,,,,,,,,ES,1,20,female,undergrad,2020_Mar_05_1304,AdjustEyeTrack,3.1.5,59.98762743
123,Stimuli/Morph123.JPG,Stimuli/Morph123.png,Stimuli/BlurLevel5/BlurEditedMorph123,Stimuli/BlurLevel5/BlurEditedMorph123.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph123.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph123.png,Stimuli/BlurMorphTrio/EditedMorph123.png,None,None,0,2,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-100,-100,297,1.134976249,-2.22751631,123,training,201.5595386,202.2911665,201.5595386,202.2911665,15.6462585,1583442394,1583442398,4.233141184,20,38,85,-62,1583442390,1583442394,space,17.8553414,,,,,,,,,,,,,,,,,,,,,,,ES,1,20,female,undergrad,2020_Mar_05_1304,AdjustEyeTrack,3.1.5,59.98762743
116,Stimuli/Morph116.JPG,Stimuli/Morph116.png,Stimuli/BlurLevel5/BlurEditedMorph116,Stimuli/BlurLevel5/BlurEditedMorph116.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph116.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph116.png,Stimuli/BlurMorphTrio/EditedMorph116.png,None,None,0,3,3,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,-100,-100,29,2.186549268,1.212024051,116,training,227.0604186,227.7612995,227.0604186,227.7612995,85.03401361,1583442419,1583442425,5.731050968,27,105,11,11,1583442416,1583442419,space,1.416880303,,,,,,,,,,,,,,,,,,,,,,,ES,1,20,female,undergrad,2020_Mar_05_1304,AdjustEyeTrack,3.1.5,59.98762743
110,Stimuli/Morph110.JPG,Stimuli/Morph110.png,Stimuli/BlurLevel5/BlurEditedMorph110,Stimuli/BlurLevel5/BlurEditedMorph110.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph110.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph110.png,Stimuli/BlurMorphTrio/EditedMorph110.png,None,None,0,4,4,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,-100,-100,343,2.39076189,-0.730929262,110,training,237.5245794,238.205382,237.5245794,238.205382,94.55782313,1583442430,1583442435,5.467237949,49,106,4,4,1583442427,1583442430,space,1.243335611,,,,,,,,,,,,,,,,,,,,,,,ES,1,20,female,undergrad,2020_Mar_05_1304,AdjustEyeTrack,3.1.5,59.98762743
38,Stimuli/Morph38.JPG,Stimuli/Morph38.png,Stimuli/BlurLevel5/BlurEditedMorph38,Stimuli/BlurLevel5/BlurEditedMorph38.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph38.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph38.png,Stimuli/BlurMorphTrio/EditedMorph38.png,010108right.gif,Stimuli/normal_thumbnails/38right.gif,0,5,5,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,-100,-100,287,0.730929262,-2.39076189,38,training,247.4945918,248.1958245,247.4945918,248.1958245,79.59183673,1583442440,1583442442,2.065850019,87,53,-15,-15,1583442437,1583442440,space,0.79916222,,,,,,,,,,,,,,,,,,,,,,,ES,1,20,female,undergrad,2020_Mar_05_1304,AdjustEyeTrack,3.1.5,59.98762743
9,Stimuli/Morph9.JPG,Stimuli/Morph9.png,Stimuli/BlurLevel5/BlurEditedMorph9,Stimuli/BlurLevel5/BlurEditedMorph9.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph9.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph9.png,Stimuli/BlurMorphTrio/EditedMorph9.png,010015right.gif,Stimuli/normal_thumbnails/9right.gif,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,-100,-100,251,-0.813920386,-2.363796439,9,training,253.9356361,254.6632232,253.9356361,254.6632232,95.91836735,1583442446,1583442449,2.718664885,12,12,-3,-3,1583442443,1583442446,space,0.868531879,,,,,,,,,,,,,,,,,,,,,,,ES,1,20,female,undergrad,2020_Mar_05_1304,AdjustEyeTrack,3.1.5,59.98762743
36,Stimuli/Morph36.JPG,Stimuli/Morph36.png,Stimuli/BlurLevel5/BlurEditedMorph36,Stimuli/BlurLevel5/BlurEditedMorph36.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph36.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph36.png,Stimuli/BlurMorphTrio/EditedMorph36.png,010095right.gif,Stimuli/normal_thumbnails/36right.gif,0,7,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,-100,-100,65,1.056545654,2.265769468,36,training,260.9768695,261.6759608,260.9768695,261.6759608,83.67346939,1583442453,1583442456,2.952560902,60,48,-12,-12,1583442450,1583442453,space,0.749393134,,,,,,,,,,,,,,,,,,,,,,,ES,1,20,female,undergrad,2020_Mar_05_1304,AdjustEyeTrack,3.1.5,59.98762743
67,Stimuli/Morph67.JPG,Stimuli/Morph67.png,Stimuli/BlurLevel5/BlurEditedMorph67,Stimuli/BlurLevel5/BlurEditedMorph67.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph67.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph67.png,Stimuli/BlurMorphTrio/EditedMorph67.png,020217right.gif,Stimuli/normal_thumbnails/67right.gif,0,8,8,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,-100,-100,239,-1.287595187,-2.142918252,67,training,268.2818521,268.9886402,268.2818521,268.9886402,86.39455782,1583442460,1583442463,2.474787712,72,57,10,10,1583442457,1583442460,space,0.538533642,,,,,,,,,,,,,,,,,,,,,,,ES,1,20,female,undergrad,2020_Mar_05_1304,AdjustEyeTrack,3.1.5,59.98762743
146,Stimuli/Morph146.JPG,Stimuli/Morph146.png,Stimuli/BlurLevel5/BlurEditedMorph146,Stimuli/BlurLevel5/BlurEditedMorph146.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph146.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph146.png,Stimuli/BlurMorphTrio/EditedMorph146.png,None,None,0,9,9,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,-100,-100,286,0.68909339,-2.40315424,146,training,274.5654299,275.2729929,274.5654299,275.2729929,87.75510204,1583442467,1583442470,3.134550095,32,137,9,9,1583442464,1583442467,space,0.415959819,,,,,,,,,,,,,,,,,,,,,,,ES,1,20,female,undergrad,2020_Mar_05_1304,AdjustEyeTrack,3.1.5,59.98762743
