stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
69,Stimuli/Morph69.JPG,Stimuli/Morph69.png,Stimuli/BlurLevel5/BlurEditedMorph69,Stimuli/BlurLevel5/BlurEditedMorph69.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph69.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph69.png,Stimuli/BlurMorphTrio/EditedMorph69.png,020220right.gif,Stimuli/normal_thumbnails/69right.gif,0,0,0,68,,,,,,,,,75.27213985,None,75.27213985,None,75.27213985,None,75.27213985,None,75.27213985,None,75.27213985,None,75.27213985,None,75.27213985,None,75.27213985,None,75.27213985,None,75.27213985,None,52,-100,-100,131,-1.640147572,1.886773951,69,training,157.2943466,157.9634708,157.2943466,157.9634708,67.34693878,1583447421,1583447433,11.69489622,2,93,-24,-24,1583447419,1583447421,space,8.777952263,,,,,,,,,,,,,,,,,,,,,,,HE,1,22,male,undergrad,2020_Mar_05_1428,AdjustEyeTrack,3.1.5,60.6067203
86,Stimuli/Morph86.JPG,Stimuli/Morph86.png,Stimuli/BlurLevel5/BlurEditedMorph86,Stimuli/BlurLevel5/BlurEditedMorph86.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph86.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph86.png,Stimuli/BlurMorphTrio/EditedMorph86.png,020266right.gif,Stimuli/normal_thumbnails/86right.gif,0,1,1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,-100,-100,212,-2.12012024,-1.324798161,86,training,180.9072905,181.571499,180.9072905,181.571499,80.95238095,1583447445,1583447447,2.199640036,103,100,-14,-14,1583447442,1583447445,space,23.25959977,,,,,,,,,,,,,,,,,,,,,,,HE,1,22,male,undergrad,2020_Mar_05_1428,AdjustEyeTrack,3.1.5,60.6067203
96,Stimuli/Morph96.JPG,Stimuli/Morph96.png,Stimuli/BlurLevel5/BlurEditedMorph96,Stimuli/BlurLevel5/BlurEditedMorph96.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph96.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph96.png,Stimuli/BlurMorphTrio/EditedMorph96.png,020292right.gif,Stimuli/normal_thumbnails/96right.gif,0,2,2,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,-100,-100,288,0.772542486,-2.377641291,96,training,209.3883345,210.0461683,209.3883345,210.0461683,55.10204082,1583447473,1583447477,3.949572086,43,63,33,33,1583447471,1583447473,space,4.53834965,,,,,,,,,,,,,,,,,,,,,,,HE,1,22,male,undergrad,2020_Mar_05_1428,AdjustEyeTrack,3.1.5,60.6067203
113,Stimuli/Morph113.JPG,Stimuli/Morph113.png,Stimuli/BlurLevel5/BlurEditedMorph113,Stimuli/BlurLevel5/BlurEditedMorph113.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph113.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph113.png,Stimuli/BlurMorphTrio/EditedMorph113.png,None,None,0,3,3,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,-100,-100,266,-0.174391184,-2.493910126,113,training,221.1028158,221.7822825,221.1028158,221.7822825,98.63945578,1583447485,1583447494,8.833754063,139,114,-1,-1,1583447482,1583447485,space,4.555974107,,,,,,,,,,,,,,,,,,,,,,,HE,1,22,male,undergrad,2020_Mar_05_1428,AdjustEyeTrack,3.1.5,60.6067203
103,Stimuli/Morph103.JPG,Stimuli/Morph103.png,Stimuli/BlurLevel5/BlurEditedMorph103,Stimuli/BlurLevel5/BlurEditedMorph103.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph103.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph103.png,Stimuli/BlurMorphTrio/EditedMorph103.png,None,None,0,4,4,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,-100,-100,299,1.212024051,-2.186549268,103,training,237.4655637,238.1325039,237.4655637,238.1325039,95.91836735,1583447501,1583447504,2.765640259,54,106,-3,-3,1583447499,1583447501,space,3.591269157,,,,,,,,,,,,,,,,,,,,,,,HE,1,22,male,undergrad,2020_Mar_05_1428,AdjustEyeTrack,3.1.5,60.6067203
51,Stimuli/Morph51.JPG,Stimuli/Morph51.png,Stimuli/BlurLevel5/BlurEditedMorph51,Stimuli/BlurLevel5/BlurEditedMorph51.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph51.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph51.png,Stimuli/BlurMorphTrio/EditedMorph51.png,010146right.gif,Stimuli/normal_thumbnails/51right.gif,0,5,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,-100,-100,276,0.261321158,-2.486304738,51,training,247.0703365,247.7525698,247.0703365,247.7525698,98.63945578,1583447511,1583447514,3.116604805,36,50,1,1,1583447508,1583447511,space,2.712470659,,,,,,,,,,,,,,,,,,,,,,,HE,1,22,male,undergrad,2020_Mar_05_1428,AdjustEyeTrack,3.1.5,60.6067203
26,Stimuli/Morph26.JPG,Stimuli/Morph26.png,Stimuli/BlurLevel5/BlurEditedMorph26,Stimuli/BlurLevel5/BlurEditedMorph26.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph26.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph26.png,Stimuli/BlurMorphTrio/EditedMorph26.png,010070right.gif,Stimuli/normal_thumbnails/26right.gif,0,6,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,-100,-100,191,-2.454067959,-0.477022488,26,training,256.1595865,256.837589,256.1595865,256.837589,4.761904762,1583447520,1583447525,5.384230137,62,96,-70,-70,1583447517,1583447520,space,2.647491429,,,,,,,,,,,,,,,,,,,,,,,HE,1,22,male,undergrad,2020_Mar_05_1428,AdjustEyeTrack,3.1.5,60.6067203
44,Stimuli/Morph44.JPG,Stimuli/Morph44.png,Stimuli/BlurLevel5/BlurEditedMorph44,Stimuli/BlurLevel5/BlurEditedMorph44.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph44.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph44.png,Stimuli/BlurMorphTrio/EditedMorph44.png,010126right.gif,Stimuli/normal_thumbnails/44right.gif,0,7,7,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,-100,-100,153,-2.22751631,1.134976249,44,training,267.4587172,268.1373162,267.4587172,268.1373162,85.03401361,1583447531,1583447534,2.329272032,110,55,-11,-11,1583447529,1583447531,space,2.552779816,,,,,,,,,,,,,,,,,,,,,,,HE,1,22,male,undergrad,2020_Mar_05_1428,AdjustEyeTrack,3.1.5,60.6067203
83,Stimuli/Morph83.JPG,Stimuli/Morph83.png,Stimuli/BlurLevel5/BlurEditedMorph83,Stimuli/BlurLevel5/BlurEditedMorph83.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph83.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph83.png,Stimuli/BlurMorphTrio/EditedMorph83.png,020259right.gif,Stimuli/normal_thumbnails/83right.gif,0,8,8,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,-100,-100,44,1.798349501,1.736645926,83,training,275.5826885,276.2670767,275.5826885,276.2670767,98.63945578,1583447540,1583447542,2.833545923,128,84,-1,-1,1583447537,1583447540,space,5.847238807,,,,,,,,,,,,,,,,,,,,,,,HE,1,22,male,undergrad,2020_Mar_05_1428,AdjustEyeTrack,3.1.5,60.6067203
140,Stimuli/Morph140.JPG,Stimuli/Morph140.png,Stimuli/BlurLevel5/BlurEditedMorph140,Stimuli/BlurLevel5/BlurEditedMorph140.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph140.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph140.png,Stimuli/BlurMorphTrio/EditedMorph140.png,None,None,0,9,9,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,-100,-100,192,-2.445369002,-0.519779227,140,training,287.2480196,287.8958017,287.2480196,287.8958017,22.44897959,1583447551,1583447555,4.134366989,34,83,57,57,1583447549,1583447551,space,1.916439744,,,,,,,,,,,,,,,,,,,,,,,HE,1,22,male,undergrad,2020_Mar_05_1428,AdjustEyeTrack,3.1.5,60.6067203
