stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,xrayID,blockNumber,trialNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,morphTrack,morphID,errorRaw,errorCorrected,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate,blockType
123,Stimuli/Morph123.JPG,Stimuli/Morph123.png,Stimuli/BlurLevel5/BlurEditedMorph123,Stimuli/BlurLevel5/BlurEditedMorph123.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph123.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph123.png,Stimuli/BlurMorphTrio/EditedMorph123.png,None,None,0,0,0,0,0,0,0,122,42.70465702,None,85,1,1,265,-0.217889357,-2.490486745,123,61.66877539,62.17182617,61.66877539,62.17182617,82.31292517,1574464293,1574464296,3.300072908,50,110,13,13,1574464291,1574464293,,,HL,1,21,F,Undergrad,2019_Nov_22_1511,AdjustExp1,3.1.5,59.96149165,Experiment
133,Stimuli/Morph133.JPG,Stimuli/Morph133.png,Stimuli/BlurLevel5/BlurEditedMorph133,Stimuli/BlurLevel5/BlurEditedMorph133.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph133.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph133.png,Stimuli/BlurMorphTrio/EditedMorph133.png,None,None,0,0,0,0,0,1,1,132,,,69,1,2,35,2.047880111,1.433941091,133,67.93856037,68.43786776,67.93856037,68.43786776,70.06802721,1574464299,1574464301,2.317329884,109,111,22,22,1574464297,1574464299,,,HL,1,21,F,Undergrad,2019_Nov_22_1511,AdjustExp1,3.1.5,59.96149165,Experiment
117,Stimuli/Morph117.JPG,Stimuli/Morph117.png,Stimuli/BlurLevel5/BlurEditedMorph117,Stimuli/BlurLevel5/BlurEditedMorph117.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph117.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph117.png,Stimuli/BlurMorphTrio/EditedMorph117.png,None,None,0,0,0,0,0,2,2,116,,,60,1,3,48,1.672826516,1.857862064,117,72.73931909,73.23855703,72.73931909,73.23855703,78.23129252,1574464304,1574464305,1.616786242,83,101,16,16,1574464302,1574464304,,,HL,1,21,F,Undergrad,2019_Nov_22_1511,AdjustExp1,3.1.5,59.96149165,Experiment
44,Stimuli/Morph44.JPG,Stimuli/Morph44.png,Stimuli/BlurLevel5/BlurEditedMorph44,Stimuli/BlurLevel5/BlurEditedMorph44.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph44.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph44.png,Stimuli/BlurMorphTrio/EditedMorph44.png,010126right.gif,Stimuli/normal_thumbnails/44right.gif,0,0,0,0,0,3,3,43,,,98,1,4,49,1.640147572,1.886773951,44,76.79459404,77.28786515,76.79459404,77.28786515,91.83673469,1574464308,1574464310,1.850393057,144,38,6,6,1574464306,1574464308,,,HL,1,21,F,Undergrad,2019_Nov_22_1511,AdjustExp1,3.1.5,59.96149165,Experiment
146,Stimuli/Morph146.JPG,Stimuli/Morph146.png,Stimuli/BlurLevel5/BlurEditedMorph146,Stimuli/BlurLevel5/BlurEditedMorph146.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph146.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph146.png,Stimuli/BlurMorphTrio/EditedMorph146.png,None,None,0,0,0,0,0,4,4,145,,,45,1,5,254,-0.68909339,-2.40315424,146,80.85550005,81.35482786,80.85550005,81.35482786,98.63945578,1574464312,1574464314,2.566482067,84,147,-1,-1,1574464310,1574464312,,,HL,1,21,F,Undergrad,2019_Nov_22_1511,AdjustExp1,3.1.5,59.96149165,Experiment
30,Stimuli/Morph30.JPG,Stimuli/Morph30.png,Stimuli/BlurLevel5/BlurEditedMorph30,Stimuli/BlurLevel5/BlurEditedMorph30.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph30.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph30.png,Stimuli/BlurMorphTrio/EditedMorph30.png,010076right.gif,Stimuli/normal_thumbnails/30right.gif,0,0,0,0,0,5,5,29,,,4,1,6,234,-1.469463131,-2.022542486,30,86.13773432,86.63764348,86.13773432,86.63764348,85.03401361,1574464317,1574464320,2.650411844,123,19,11,11,1574464315,1574464317,,,HL,1,21,F,Undergrad,2019_Nov_22_1511,AdjustExp1,3.1.5,59.96149165,Experiment
135,Stimuli/Morph135.JPG,Stimuli/Morph135.png,Stimuli/BlurLevel5/BlurEditedMorph135,Stimuli/BlurLevel5/BlurEditedMorph135.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph135.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph135.png,Stimuli/BlurMorphTrio/EditedMorph135.png,None,None,0,0,0,0,0,6,6,134,,,61,1,7,146,-2.072593931,1.397982259,135,91.61239884,92.10469124,91.61239884,92.10469124,97.27891156,1574464323,1574464325,2.850497961,29,137,-2,-2,1574464320,1574464323,,,HL,1,21,F,Undergrad,2019_Nov_22_1511,AdjustExp1,3.1.5,59.96149165,Experiment
23,Stimuli/Morph23.JPG,Stimuli/Morph23.png,Stimuli/BlurLevel5/BlurEditedMorph23,Stimuli/BlurLevel5/BlurEditedMorph23.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph23.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph23.png,Stimuli/BlurMorphTrio/EditedMorph23.png,010063right.gif,Stimuli/normal_thumbnails/23right.gif,0,0,0,0,0,7,7,22,,,30,1,8,264,-0.261321158,-2.486304738,23,97.09197492,97.58815654,97.09197492,97.58815654,97.27891156,1574464328,1574464333,4.583461046,107,25,-2,-2,1574464326,1574464328,,,HL,1,21,F,Undergrad,2019_Nov_22_1511,AdjustExp1,3.1.5,59.96149165,Experiment
142,Stimuli/Morph142.JPG,Stimuli/Morph142.png,Stimuli/BlurLevel5/BlurEditedMorph142,Stimuli/BlurLevel5/BlurEditedMorph142.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph142.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph142.png,Stimuli/BlurMorphTrio/EditedMorph142.png,None,None,0,0,0,0,0,8,8,141,,,26,1,9,147,-2.09667642,1.361597588,142,103.9377125,104.4375817,103.9377125,104.4375817,97.27891156,1574464335,1574464337,2.283322096,62,140,2,2,1574464333,1574464335,,,HL,1,21,F,Undergrad,2019_Nov_22_1511,AdjustExp1,3.1.5,59.96149165,Experiment
110,Stimuli/Morph110.JPG,Stimuli/Morph110.png,Stimuli/BlurLevel5/BlurEditedMorph110,Stimuli/BlurLevel5/BlurEditedMorph110.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph110.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph110.png,Stimuli/BlurMorphTrio/EditedMorph110.png,None,None,0,0,0,0,0,9,9,109,,,64,1,10,52,1.539153688,1.970026884,110,108.5044697,109.0038836,108.5044697,109.0038836,80.95238095,1574464340,1574464342,2.099830866,18,124,-14,-14,1574464337,1574464339,,,HL,1,21,F,Undergrad,2019_Nov_22_1511,AdjustExp1,3.1.5,59.96149165,Experiment
