stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
54,Stimuli/Morph54.JPG,Stimuli/Morph54.png,Stimuli/BlurLevel5/BlurEditedMorph54,Stimuli/BlurLevel5/BlurEditedMorph54.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph54.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph54.png,Stimuli/BlurMorphTrio/EditedMorph54.png,010150right.gif,Stimuli/normal_thumbnails/54right.gif,0,0,0,53,,,,,,,,,59.74103061,None,59.74103061,None,59.74103061,None,59.74103061,None,59.74103061,None,59.74103061,None,59.74103061,None,59.74103061,None,59.74103061,None,59.74103061,None,59.74103061,None,71,-100,-100,70,0.855050358,2.349231552,54,training,129.3667863,130.0633551,129.3667863,130.0633551,97.27891156,1583778479,1583778486,6.865566015,118,52,2,2,1583778476,1583778479,space,3.532133116,,,,,,,,,,,,,,,,,,,,,,,HL,1,21,female,undergrad,2020_Mar_09_1126,AdjustEyeTrack,3.1.5,59.93553023
132,Stimuli/Morph132.JPG,Stimuli/Morph132.png,Stimuli/BlurLevel5/BlurEditedMorph132,Stimuli/BlurLevel5/BlurEditedMorph132.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph132.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph132.png,Stimuli/BlurMorphTrio/EditedMorph132.png,None,None,0,1,1,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,-100,-100,176,-2.493910126,0.174391184,132,training,142.9699847,143.6525991,142.9699847,143.6525991,82.31292517,1583778492,1583778497,4.401120186,7,145,-13,-13,1583778490,1583778492,space,2.354045936,,,,,,,,,,,,,,,,,,,,,,,HL,1,21,female,undergrad,2020_Mar_09_1126,AdjustEyeTrack,3.1.5,59.93553023
18,Stimuli/Morph18.JPG,Stimuli/Morph18.png,Stimuli/BlurLevel5/BlurEditedMorph18,Stimuli/BlurLevel5/BlurEditedMorph18.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph18.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph18.png,Stimuli/BlurMorphTrio/EditedMorph18.png,010039right.gif,Stimuli/normal_thumbnails/18right.gif,0,2,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,-100,-100,162,-2.377641291,0.772542486,18,training,153.7244055,154.4363326,153.7244055,154.4363326,90.47619048,1583778503,1583778507,3.416414976,18,25,-7,-7,1583778500,1583778503,space,13.90768478,,,,,,,,,,,,,,,,,,,,,,,HL,1,21,female,undergrad,2020_Mar_09_1126,AdjustEyeTrack,3.1.5,59.93553023
53,Stimuli/Morph53.JPG,Stimuli/Morph53.png,Stimuli/BlurLevel5/BlurEditedMorph53,Stimuli/BlurLevel5/BlurEditedMorph53.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph53.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph53.png,Stimuli/BlurMorphTrio/EditedMorph53.png,010149right.gif,Stimuli/normal_thumbnails/53right.gif,0,3,3,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,-100,-100,268,-0.087248742,-2.498477068,53,training,174.6666791,175.3858925,174.6666791,175.3858925,89.11564626,1583778524,1583778528,4.04903388,112,45,8,8,1583778521,1583778524,space,4.451835269,,,,,,,,,,,,,,,,,,,,,,,HL,1,21,female,undergrad,2020_Mar_09_1126,AdjustEyeTrack,3.1.5,59.93553023
37,Stimuli/Morph37.JPG,Stimuli/Morph37.png,Stimuli/BlurLevel5/BlurEditedMorph37,Stimuli/BlurLevel5/BlurEditedMorph37.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph37.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph37.png,Stimuli/BlurMorphTrio/EditedMorph37.png,010097right.gif,Stimuli/normal_thumbnails/37right.gif,0,4,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,-100,-100,205,-2.265769468,-1.056545654,37,training,186.4083369,187.0892014,186.4083369,187.0892014,97.27891156,1583778536,1583778539,3.434297085,91,35,2,2,1583778533,1583778536,space,3.822271079,,,,,,,,,,,,,,,,,,,,,,,HL,1,21,female,undergrad,2020_Mar_09_1126,AdjustEyeTrack,3.1.5,59.93553023
144,Stimuli/Morph144.JPG,Stimuli/Morph144.png,Stimuli/BlurLevel5/BlurEditedMorph144,Stimuli/BlurLevel5/BlurEditedMorph144.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph144.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph144.png,Stimuli/BlurMorphTrio/EditedMorph144.png,None,None,0,5,5,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,-100,-100,276,0.261321158,-2.486304738,144,training,197.0234995,197.7219426,197.0234995,197.7219426,91.83673469,1583778546,1583778551,4.445886135,14,3,141,-6,1583778544,1583778546,space,0.937884959,,,,,,,,,,,,,,,,,,,,,,,HL,1,21,female,undergrad,2020_Mar_09_1126,AdjustEyeTrack,3.1.5,59.93553023
123,Stimuli/Morph123.JPG,Stimuli/Morph123.png,Stimuli/BlurLevel5/BlurEditedMorph123,Stimuli/BlurLevel5/BlurEditedMorph123.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph123.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph123.png,Stimuli/BlurMorphTrio/EditedMorph123.png,None,None,0,6,6,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,-100,-100,170,-2.462019383,0.434120444,123,training,205.8263991,206.5284399,205.8263991,206.5284399,78.23129252,1583778555,1583778558,2.416298866,107,107,16,16,1583778552,1583778555,space,1.795446291,,,,,,,,,,,,,,,,,,,,,,,HL,1,21,female,undergrad,2020_Mar_09_1126,AdjustEyeTrack,3.1.5,59.93553023
30,Stimuli/Morph30.JPG,Stimuli/Morph30.png,Stimuli/BlurLevel5/BlurEditedMorph30,Stimuli/BlurLevel5/BlurEditedMorph30.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph30.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph30.png,Stimuli/BlurMorphTrio/EditedMorph30.png,010076right.gif,Stimuli/normal_thumbnails/30right.gif,0,7,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,-100,-100,332,2.207368982,-1.173678907,30,training,213.2829985,213.9789274,213.2829985,213.9789274,95.91836735,1583778563,1583778567,4.000287056,1,27,3,3,1583778560,1583778563,space,3.053344128,,,,,,,,,,,,,,,,,,,,,,,HL,1,21,female,undergrad,2020_Mar_09_1126,AdjustEyeTrack,3.1.5,59.93553023
102,Stimuli/Morph102.JPG,Stimuli/Morph102.png,Stimuli/BlurLevel5/BlurEditedMorph102,Stimuli/BlurLevel5/BlurEditedMorph102.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph102.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph102.png,Stimuli/BlurMorphTrio/EditedMorph102.png,None,None,0,8,8,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,-100,-100,266,-0.174391184,-2.493910126,102,training,223.4281407,224.1051007,223.4281407,224.1051007,97.27891156,1583778573,1583778576,3.400160074,125,100,2,2,1583778570,1583778573,space,1.547016232,,,,,,,,,,,,,,,,,,,,,,,HL,1,21,female,undergrad,2020_Mar_09_1126,AdjustEyeTrack,3.1.5,59.93553023
73,Stimuli/Morph73.JPG,Stimuli/Morph73.png,Stimuli/BlurLevel5/BlurEditedMorph73,Stimuli/BlurLevel5/BlurEditedMorph73.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph73.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph73.png,Stimuli/BlurMorphTrio/EditedMorph73.png,020230right.gif,Stimuli/normal_thumbnails/73right.gif,0,9,9,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,-100,-100,233,-1.504537558,-1.996588775,73,training,231.8629906,232.5715165,231.8629906,232.5715165,95.91836735,1583778581,1583778586,4.36627984,28,76,-3,-3,1583778578,1583778581,space,0.724725419,,,,,,,,,,,,,,,,,,,,,,,HL,1,21,female,undergrad,2020_Mar_09_1126,AdjustEyeTrack,3.1.5,59.93553023
