stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,xrayID,blockNumber,trialNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,morphTrack,morphID,errorRaw,errorCorrected,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate,blockType
90,Stimuli/Morph90.JPG,Stimuli/Morph90.png,Stimuli/BlurLevel5/BlurEditedMorph90,Stimuli/BlurLevel5/BlurEditedMorph90.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph90.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph90.png,Stimuli/BlurMorphTrio/EditedMorph90.png,020275right.gif,Stimuli/normal_thumbnails/90right.gif,0,0,0,0,0,0,0,89,34.91340427,None,11,1,1,84,0.261321158,2.486304738,90,51.86140027,52.36524833,51.86140027,52.36524833,76.8707483,1574292866,1574292871,4.599744081,140,107,-17,-17,1574292864,1574292866,,,IS,1,21,F,Undergrad,2019_Nov_20_1534,AdjustExp1,3.1.5,59.82055437,Experiment
137,Stimuli/Morph137.JPG,Stimuli/Morph137.png,Stimuli/BlurLevel5/BlurEditedMorph137,Stimuli/BlurLevel5/BlurEditedMorph137.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph137.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph137.png,Stimuli/BlurMorphTrio/EditedMorph137.png,None,None,0,0,0,0,0,1,1,136,,,26,1,2,50,1.606969024,1.915111108,137,58.80469195,59.29913806,58.80469195,59.29913806,87.75510204,1574292873,1574292875,1.48361516,139,146,-9,-9,1574292871,1574292873,,,IS,1,21,F,Undergrad,2019_Nov_20_1534,AdjustExp1,3.1.5,59.82055437,Experiment
8,Stimuli/Morph8.JPG,Stimuli/Morph8.png,Stimuli/BlurLevel5/BlurEditedMorph8,Stimuli/BlurLevel5/BlurEditedMorph8.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph8.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph8.png,Stimuli/BlurMorphTrio/EditedMorph8.png,010014right.gif,Stimuli/normal_thumbnails/8right.gif,0,0,0,0,0,2,2,7,,,34,1,3,195,-2.414814566,-0.647047613,8,62.86728079,63.36599485,62.86728079,63.36599485,60.54421769,1574292877,1574292880,2.731700897,32,126,-118,29,1574292875,1574292877,,,IS,1,21,F,Undergrad,2019_Nov_20_1534,AdjustExp1,3.1.5,59.82055437,Experiment
73,Stimuli/Morph73.JPG,Stimuli/Morph73.png,Stimuli/BlurLevel5/BlurEditedMorph73,Stimuli/BlurLevel5/BlurEditedMorph73.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph73.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph73.png,Stimuli/BlurMorphTrio/EditedMorph73.png,020230right.gif,Stimuli/normal_thumbnails/73right.gif,0,0,0,0,0,3,3,72,,,25,1,4,90,1.53E-16,2.5,73,68.09865328,68.59909967,68.09865328,68.59909967,98.63945578,1574292882,1574292886,4.067014933,113,74,-1,-1,1574292880,1574292882,,,IS,1,21,F,Undergrad,2019_Nov_20_1534,AdjustExp1,3.1.5,59.82055437,Experiment
96,Stimuli/Morph96.JPG,Stimuli/Morph96.png,Stimuli/BlurLevel5/BlurEditedMorph96,Stimuli/BlurLevel5/BlurEditedMorph96.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph96.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph96.png,Stimuli/BlurMorphTrio/EditedMorph96.png,020292right.gif,Stimuli/normal_thumbnails/96right.gif,0,0,0,0,0,4,4,95,,,13,1,5,123,-1.361597588,2.09667642,96,75.15334233,75.64926438,75.15334233,75.64926438,57.82312925,1574292889,1574292894,4.416527748,46,127,-31,-31,1574292887,1574292889,,,IS,1,21,F,Undergrad,2019_Nov_20_1534,AdjustExp1,3.1.5,59.82055437,Experiment
133,Stimuli/Morph133.JPG,Stimuli/Morph133.png,Stimuli/BlurLevel5/BlurEditedMorph133,Stimuli/BlurLevel5/BlurEditedMorph133.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph133.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph133.png,Stimuli/BlurMorphTrio/EditedMorph133.png,None,None,0,0,0,0,0,5,5,132,,,41,1,6,61,1.212024051,2.186549268,133,82.03175162,82.53249669,82.03175162,82.53249669,93.19727891,1574292896,1574292898,2.050063848,39,138,-5,-5,1574292894,1574292896,,,IS,1,21,F,Undergrad,2019_Nov_20_1534,AdjustExp1,3.1.5,59.82055437,Experiment
68,Stimuli/Morph68.JPG,Stimuli/Morph68.png,Stimuli/BlurLevel5/BlurEditedMorph68,Stimuli/BlurLevel5/BlurEditedMorph68.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph68.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph68.png,Stimuli/BlurMorphTrio/EditedMorph68.png,020218right.gif,Stimuli/normal_thumbnails/68right.gif,0,0,0,0,0,6,6,67,,,82,1,7,242,-1.173678907,-2.207368982,68,86.76992606,87.26570319,86.76992606,87.26570319,71.42857143,1574292901,1574292914,13.23340225,67,89,-21,-21,1574292899,1574292901,,,IS,1,21,F,Undergrad,2019_Nov_20_1534,AdjustExp1,3.1.5,59.82055437,Experiment
58,Stimuli/Morph58.JPG,Stimuli/Morph58.png,Stimuli/BlurLevel5/BlurEditedMorph58,Stimuli/BlurLevel5/BlurEditedMorph58.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph58.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph58.png,Stimuli/BlurMorphTrio/EditedMorph58.png,010159right.gif,Stimuli/normal_thumbnails/58right.gif,0,0,0,0,0,7,7,57,,,46,1,8,266,-0.174391184,-2.493910126,58,102.4336826,102.9319525,102.4336826,102.9319525,60.54421769,1574292917,1574292923,6.367063999,63,87,-29,-29,1574292914,1574292917,,,IS,1,21,F,Undergrad,2019_Nov_20_1534,AdjustExp1,3.1.5,59.82055437,Experiment
1,Stimuli/Morph1.JPG,Stimuli/Morph1.png,Stimuli/BlurLevel5/BlurEditedMorph1,Stimuli/BlurLevel5/BlurEditedMorph1.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph1.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph1.png,Stimuli/BlurMorphTrio/EditedMorph1.png,010003right.gif,Stimuli/normal_thumbnails/1right.gif,0,0,0,0,0,8,8,0,,,51,1,9,330,2.165063509,-1.25,1,111.6717586,112.1652071,111.6717586,112.1652071,67.34693878,1574292926,1574292931,5.000292063,95,124,-123,24,1574292923,1574292926,,,IS,1,21,F,Undergrad,2019_Nov_20_1534,AdjustExp1,3.1.5,59.82055437,Experiment
125,Stimuli/Morph125.JPG,Stimuli/Morph125.png,Stimuli/BlurLevel5/BlurEditedMorph125,Stimuli/BlurLevel5/BlurEditedMorph125.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph125.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph125.png,Stimuli/BlurMorphTrio/EditedMorph125.png,None,None,0,0,0,0,0,9,9,124,,,20,1,10,100,-0.434120444,2.462019383,125,119.0986422,119.5985069,119.0986422,119.5985069,76.8707483,1574292933,1574292934,1.016514063,108,108,17,17,1574292931,1574292933,,,IS,1,21,F,Undergrad,2019_Nov_20_1534,AdjustExp1,3.1.5,59.82055437,Experiment
