stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,xrayID,blockNumber,trialNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,morphTrack,morphID,errorRaw,errorCorrected,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate,blockType
81,Stimuli/Morph81.JPG,Stimuli/Morph81.png,Stimuli/BlurLevel5/BlurEditedMorph81,Stimuli/BlurLevel5/BlurEditedMorph81.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph81.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph81.png,Stimuli/BlurMorphTrio/EditedMorph81.png,020245right.gif,Stimuli/normal_thumbnails/81right.gif,0,0,0,0,0,0,0,80,29.51960992,None,53,1,1,177,-2.496573837,0.130839891,81,46.67132278,47.16918449,46.67132278,47.16918449,93.19727891,1574374435,1574374438,3.417241812,124,86,-5,-5,1574374433,1574374435,,,JP,1,19,M,Undergrad,2019_Nov_21_1413,AdjustExp1,3.1.5,60.2617854,Experiment
113,Stimuli/Morph113.JPG,Stimuli/Morph113.png,Stimuli/BlurLevel5/BlurEditedMorph113,Stimuli/BlurLevel5/BlurEditedMorph113.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph113.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph113.png,Stimuli/BlurMorphTrio/EditedMorph113.png,None,None,0,0,0,0,0,1,1,112,,,12,1,2,46,1.736645926,1.798349501,113,52.56916474,53.06932055,52.56916474,53.06932055,93.19727891,1574374441,1574374443,2.699919939,65,108,5,5,1574374438,1574374441,,,JP,1,19,M,Undergrad,2019_Nov_21_1413,AdjustExp1,3.1.5,60.2617854,Experiment
36,Stimuli/Morph36.JPG,Stimuli/Morph36.png,Stimuli/BlurLevel5/BlurEditedMorph36,Stimuli/BlurLevel5/BlurEditedMorph36.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph36.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph36.png,Stimuli/BlurMorphTrio/EditedMorph36.png,010095right.gif,Stimuli/normal_thumbnails/36right.gif,0,0,0,0,0,2,2,35,,,70,1,3,46,1.736645926,1.798349501,36,57.54236257,58.03598079,57.54236257,58.03598079,94.55782313,1574374446,1574374449,3.299952984,31,32,4,4,1574374444,1574374446,,,JP,1,19,M,Undergrad,2019_Nov_21_1413,AdjustExp1,3.1.5,60.2617854,Experiment
59,Stimuli/Morph59.JPG,Stimuli/Morph59.png,Stimuli/BlurLevel5/BlurEditedMorph59,Stimuli/BlurLevel5/BlurEditedMorph59.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph59.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph59.png,Stimuli/BlurMorphTrio/EditedMorph59.png,010160right.gif,Stimuli/normal_thumbnails/59right.gif,0,0,0,0,0,3,3,58,,,95,1,4,79,0.477022488,2.454067959,59,63.36853221,63.86888978,63.36853221,63.86888978,95.91836735,1574374451,1574374455,3.399800062,43,62,-3,-3,1574374449,1574374451,,,JP,1,19,M,Undergrad,2019_Nov_21_1413,AdjustExp1,3.1.5,60.2617854,Experiment
13,Stimuli/Morph13.JPG,Stimuli/Morph13.png,Stimuli/BlurLevel5/BlurEditedMorph13,Stimuli/BlurLevel5/BlurEditedMorph13.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph13.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph13.png,Stimuli/BlurMorphTrio/EditedMorph13.png,010027right.gif,Stimuli/normal_thumbnails/13right.gif,0,0,0,0,0,4,4,12,,,42,1,5,4,2.493910126,0.174391184,13,69.30842915,69.80220022,69.30842915,69.80220022,86.39455782,1574374457,1574374464,6.633285046,82,23,-10,-10,1574374455,1574374457,,,JP,1,19,M,Undergrad,2019_Nov_21_1413,AdjustExp1,3.1.5,60.2617854,Experiment
126,Stimuli/Morph126.JPG,Stimuli/Morph126.png,Stimuli/BlurLevel5/BlurEditedMorph126,Stimuli/BlurLevel5/BlurEditedMorph126.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph126.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph126.png,Stimuli/BlurMorphTrio/EditedMorph126.png,None,None,0,0,0,0,0,5,5,125,,,62,1,6,79,0.477022488,2.454067959,126,78.65183886,79.15185747,78.65183886,79.15185747,68.70748299,1574374467,1574374469,2.332854986,124,103,23,23,1574374464,1574374467,,,JP,1,19,M,Undergrad,2019_Nov_21_1413,AdjustExp1,3.1.5,60.2617854,Experiment
16,Stimuli/Morph16.JPG,Stimuli/Morph16.png,Stimuli/BlurLevel5/BlurEditedMorph16,Stimuli/BlurLevel5/BlurEditedMorph16.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph16.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph16.png,Stimuli/BlurMorphTrio/EditedMorph16.png,010034right.gif,Stimuli/normal_thumbnails/16right.gif,0,0,0,0,0,6,6,15,,,95,1,7,305,1.433941091,-2.047880111,16,83.52386068,84.01823673,83.52386068,84.01823673,97.27891156,1574374472,1574374474,2.533419132,44,18,-2,-2,1574374469,1574374472,,,JP,1,19,M,Undergrad,2019_Nov_21_1413,AdjustExp1,3.1.5,60.2617854,Experiment
133,Stimuli/Morph133.JPG,Stimuli/Morph133.png,Stimuli/BlurLevel5/BlurEditedMorph133,Stimuli/BlurLevel5/BlurEditedMorph133.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph133.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph133.png,Stimuli/BlurMorphTrio/EditedMorph133.png,None,None,0,0,0,0,0,7,7,132,,,69,1,8,89,0.043631016,2.499619238,133,88.82558828,89.31850234,88.82558828,89.31850234,70.06802721,1574374477,1574374481,4.400430918,129,111,22,22,1574374474,1574374477,,,JP,1,19,M,Undergrad,2019_Nov_21_1413,AdjustExp1,3.1.5,60.2617854,Experiment
130,Stimuli/Morph130.JPG,Stimuli/Morph130.png,Stimuli/BlurLevel5/BlurEditedMorph130,Stimuli/BlurLevel5/BlurEditedMorph130.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph130.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph130.png,Stimuli/BlurMorphTrio/EditedMorph130.png,None,None,0,0,0,0,0,8,8,129,,,76,1,9,42,1.857862064,1.672826516,130,95.33919193,95.83479793,95.33919193,95.83479793,76.8707483,1574374483,1574374487,3.149770975,44,113,17,17,1574374482,1574374483,,,JP,1,19,M,Undergrad,2019_Nov_21_1413,AdjustExp1,3.1.5,60.2617854,Experiment
99,Stimuli/Morph99.JPG,Stimuli/Morph99.png,Stimuli/BlurLevel5/BlurEditedMorph99,Stimuli/BlurLevel5/BlurEditedMorph99.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph99.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph99.png,Stimuli/BlurMorphTrio/EditedMorph99.png,020299right.gif,Stimuli/normal_thumbnails/99right.gif,0,0,0,0,0,9,9,98,,,6,1,10,313,1.7049959,-1.828384254,99,100.9204448,101.4186959,100.9204448,101.4186959,98.63945578,1574374489,1574374492,3.083413124,122,100,-1,-1,1574374487,1574374489,,,JP,1,19,M,Undergrad,2019_Nov_21_1413,AdjustExp1,3.1.5,60.2617854,Experiment
