stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
96,Stimuli/Morph96.JPG,Stimuli/Morph96.png,Stimuli/BlurLevel5/BlurEditedMorph96,Stimuli/BlurLevel5/BlurEditedMorph96.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph96.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph96.png,Stimuli/BlurMorphTrio/EditedMorph96.png,020292right.gif,Stimuli/normal_thumbnails/96right.gif,0,0,0,95,,,,,,,,,171.0474787,None,171.0474787,None,171.0474787,None,171.0474787,None,171.0474787,None,171.0474787,None,171.0474787,None,171.0474787,None,171.0474787,None,171.0474787,None,171.0474787,None,11,-100,-100,252,-0.772542486,-2.377641291,96,training,235.9946971,236.4966823,235.9946971,236.4966823,95.91836735,1575406551,1575406555,4.417124033,66,99,-3,-3,1575406548,1575406551,space,2.223285753,,,,,,,,,,,,,,,,,,,,,,,S4,1,40,m,Expert Radiologist,2019_Dec_03_1454,AdjustEyeTrack,3.1.5,60.42540585
123,Stimuli/Morph123.JPG,Stimuli/Morph123.png,Stimuli/BlurLevel5/BlurEditedMorph123,Stimuli/BlurLevel5/BlurEditedMorph123.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph123.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph123.png,Stimuli/BlurMorphTrio/EditedMorph123.png,None,None,0,1,1,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,-100,-100,37,1.996588775,1.504537558,123,training,244.9236815,245.412915,244.9236815,245.412915,76.8707483,1575406560,1575406569,9.382629156,16,106,17,17,1575406558,1575406560,space,1.579641589,,,,,,,,,,,,,,,,,,,,,,,S4,1,40,m,Expert Radiologist,2019_Dec_03_1454,AdjustEyeTrack,3.1.5,60.42540585
36,Stimuli/Morph36.JPG,Stimuli/Morph36.png,Stimuli/BlurLevel5/BlurEditedMorph36,Stimuli/BlurLevel5/BlurEditedMorph36.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph36.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph36.png,Stimuli/BlurMorphTrio/EditedMorph36.png,010095right.gif,Stimuli/normal_thumbnails/36right.gif,0,2,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,-100,-100,173,-2.481365379,0.304673359,36,training,258.6847956,259.1963253,258.6847956,259.1963253,79.59183673,1575406574,1575406578,4.882936001,97,21,15,15,1575406571,1575406574,space,16.03433164,,,,,,,,,,,,,,,,,,,,,,,S4,1,40,m,Expert Radiologist,2019_Dec_03_1454,AdjustEyeTrack,3.1.5,60.42540585
52,Stimuli/Morph52.JPG,Stimuli/Morph52.png,Stimuli/BlurLevel5/BlurEditedMorph52,Stimuli/BlurLevel5/BlurEditedMorph52.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph52.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph52.png,Stimuli/BlurMorphTrio/EditedMorph52.png,010148right.gif,Stimuli/normal_thumbnails/52right.gif,0,3,3,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-100,-100,57,1.361597588,2.09667642,52,training,281.8959311,282.3951852,281.8959311,282.3951852,93.19727891,1575406597,1575406600,3.000901937,131,57,-5,-5,1575406595,1575406597,space,6.609290022,,,,,,,,,,,,,,,,,,,,,,,S4,1,40,m,Expert Radiologist,2019_Dec_03_1454,AdjustEyeTrack,3.1.5,60.42540585
9,Stimuli/Morph9.JPG,Stimuli/Morph9.png,Stimuli/BlurLevel5/BlurEditedMorph9,Stimuli/BlurLevel5/BlurEditedMorph9.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph9.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph9.png,Stimuli/BlurMorphTrio/EditedMorph9.png,010015right.gif,Stimuli/normal_thumbnails/9right.gif,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,-100,-100,144,-2.022542486,1.469463131,9,training,294.0129455,294.5121046,294.0129455,294.5121046,72.78911565,1575406609,1575406612,3.218994856,143,136,-127,20,1575406606,1575406609,space,7.037359257,,,,,,,,,,,,,,,,,,,,,,,S4,1,40,m,Expert Radiologist,2019_Dec_03_1454,AdjustEyeTrack,3.1.5,60.42540585
72,Stimuli/Morph72.JPG,Stimuli/Morph72.png,Stimuli/BlurLevel5/BlurEditedMorph72,Stimuli/BlurLevel5/BlurEditedMorph72.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph72.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph72.png,Stimuli/BlurMorphTrio/EditedMorph72.png,020227right.gif,Stimuli/normal_thumbnails/72right.gif,0,5,5,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,-100,-100,59,1.287595187,2.142918252,72,training,306.7454024,307.24466,306.7454024,307.24466,53.7414966,1575406622,1575406627,4.967114925,23,106,-34,-34,1575406619,1575406622,space,15.20061675,,,,,,,,,,,,,,,,,,,,,,,S4,1,40,m,Expert Radiologist,2019_Dec_03_1454,AdjustEyeTrack,3.1.5,60.42540585
59,Stimuli/Morph59.JPG,Stimuli/Morph59.png,Stimuli/BlurLevel5/BlurEditedMorph59,Stimuli/BlurLevel5/BlurEditedMorph59.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph59.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph59.png,Stimuli/BlurMorphTrio/EditedMorph59.png,010160right.gif,Stimuli/normal_thumbnails/59right.gif,0,6,6,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,-100,-100,358,2.498477068,-0.087248742,59,training,329.5653991,330.0615624,329.5653991,330.0615624,79.59183673,1575406644,1575406654,9.833948374,66,74,-15,-15,1575406642,1575406644,space,7.359007818,,,,,,,,,,,,,,,,,,,,,,,S4,1,40,m,Expert Radiologist,2019_Dec_03_1454,AdjustEyeTrack,3.1.5,60.42540585
97,Stimuli/Morph97.JPG,Stimuli/Morph97.png,Stimuli/BlurLevel5/BlurEditedMorph97,Stimuli/BlurLevel5/BlurEditedMorph97.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph97.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph97.png,Stimuli/BlurMorphTrio/EditedMorph97.png,020294right.gif,Stimuli/normal_thumbnails/97right.gif,0,7,7,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,-100,-100,250,-0.855050358,-2.349231552,97,training,349.8676337,350.3625197,349.8676337,350.3625197,95.91836735,1575406665,1575406670,5.219489098,82,94,3,3,1575406662,1575406665,space,12.53109949,,,,,,,,,,,,,,,,,,,,,,,S4,1,40,m,Expert Radiologist,2019_Dec_03_1454,AdjustEyeTrack,3.1.5,60.42540585
93,Stimuli/Morph93.JPG,Stimuli/Morph93.png,Stimuli/BlurLevel5/BlurEditedMorph93,Stimuli/BlurLevel5/BlurEditedMorph93.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph93.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph93.png,Stimuli/BlurMorphTrio/EditedMorph93.png,020280right.gif,Stimuli/normal_thumbnails/93right.gif,0,8,8,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,-100,-100,283,0.562377636,-2.435925162,93,training,369.9282968,370.4272155,369.9282968,370.4272155,90.47619048,1575406685,1575406692,7.216872931,83,100,-7,-7,1575406683,1575406685,space,4.455780051,,,,,,,,,,,,,,,,,,,,,,,S4,1,40,m,Expert Radiologist,2019_Dec_03_1454,AdjustEyeTrack,3.1.5,60.42540585
4,Stimuli/Morph4.JPG,Stimuli/Morph4.png,Stimuli/BlurLevel5/BlurEditedMorph4,Stimuli/BlurLevel5/BlurEditedMorph4.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph4.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph4.png,Stimuli/BlurMorphTrio/EditedMorph4.png,010010right.gif,Stimuli/normal_thumbnails/4right.gif,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,-100,-100,294,1.016841608,-2.283863644,4,training,384.5955345,385.0942322,384.5955345,385.0942322,51.02040816,1575406699,1575406714,14.48458171,39,40,-36,-36,1575406697,1575406699,space,3.234936324,,,,,,,,,,,,,,,,,,,,,,,S4,1,40,m,Expert Radiologist,2019_Dec_03_1454,AdjustEyeTrack,3.1.5,60.42540585
