stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
97,Stimuli/Morph97.JPG,Stimuli/Morph97.png,Stimuli/BlurLevel5/BlurEditedMorph97,Stimuli/BlurLevel5/BlurEditedMorph97.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph97.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph97.png,Stimuli/BlurMorphTrio/EditedMorph97.png,020294right.gif,Stimuli/normal_thumbnails/97right.gif,0,0,0,96,,,,,,,,,54.39540325,None,54.39540325,None,54.39540325,None,54.39540325,None,54.39540325,None,54.39540325,None,54.39540325,None,54.39540325,None,54.39540325,None,54.39540325,None,54.39540325,None,44,-100,-100,140,-1.915111108,1.606969024,97,training,102.8291651,103.3285659,102.8291651,103.3285659,97.27891156,1575559459,1575559466,7.083406925,29,99,-2,-2,1575559456,1575559459,space,2.831012499,,,,,,,,,,,,,,,,,,,,,,,s12,1,59,f,expert radiologist,2019_Dec_05_0923,AdjustEyeTrack,3.1.5,60.2276238
27,Stimuli/Morph27.JPG,Stimuli/Morph27.png,Stimuli/BlurLevel5/BlurEditedMorph27,Stimuli/BlurLevel5/BlurEditedMorph27.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph27.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph27.png,Stimuli/BlurMorphTrio/EditedMorph27.png,010072right.gif,Stimuli/normal_thumbnails/27right.gif,0,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,-100,-100,91,-0.043631016,2.499619238,27,training,115.3943104,115.8939642,115.3943104,115.8939642,68.70748299,1575559471,1575559474,3.100467205,12,50,-23,-23,1575559469,1575559471,space,7.353182491,,,,,,,,,,,,,,,,,,,,,,,s12,1,59,f,expert radiologist,2019_Dec_05_0923,AdjustEyeTrack,3.1.5,60.2276238
57,Stimuli/Morph57.JPG,Stimuli/Morph57.png,Stimuli/BlurLevel5/BlurEditedMorph57,Stimuli/BlurLevel5/BlurEditedMorph57.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph57.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph57.png,Stimuli/BlurMorphTrio/EditedMorph57.png,010158right.gif,Stimuli/normal_thumbnails/57right.gif,0,2,2,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,-100,-100,116,-1.095927867,2.246985116,57,training,128.3494297,128.8448313,128.3494297,128.8448313,94.55782313,1575559484,1575559488,4.18280983,100,53,4,4,1575559482,1575559484,space,10.74506003,,,,,,,,,,,,,,,,,,,,,,,s12,1,59,f,expert radiologist,2019_Dec_05_0923,AdjustEyeTrack,3.1.5,60.2276238
64,Stimuli/Morph64.JPG,Stimuli/Morph64.png,Stimuli/BlurLevel5/BlurEditedMorph64,Stimuli/BlurLevel5/BlurEditedMorph64.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph64.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph64.png,Stimuli/BlurMorphTrio/EditedMorph64.png,020208right.gif,Stimuli/normal_thumbnails/64right.gif,0,3,3,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,-100,-100,245,-1.056545654,-2.265769468,64,training,145.8241617,146.327843,145.8241617,146.327843,71.42857143,1575559502,1575559526,24.91657186,44,43,21,21,1575559499,1575559502,space,4.182453686,,,,,,,,,,,,,,,,,,,,,,,s12,1,59,f,expert radiologist,2019_Dec_05_0923,AdjustEyeTrack,3.1.5,60.2276238
63,Stimuli/Morph63.JPG,Stimuli/Morph63.png,Stimuli/BlurLevel5/BlurEditedMorph63,Stimuli/BlurLevel5/BlurEditedMorph63.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph63.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph63.png,Stimuli/BlurMorphTrio/EditedMorph63.png,020206right.gif,Stimuli/normal_thumbnails/63right.gif,0,4,4,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,-100,-100,303,1.361597588,-2.09667642,63,training,177.47676,177.9768468,177.47676,177.9768468,61.9047619,1575559533,1575559538,5.24969697,35,35,28,28,1575559531,1575559533,space,1.03593474,,,,,,,,,,,,,,,,,,,,,,,s12,1,59,f,expert radiologist,2019_Dec_05_0923,AdjustEyeTrack,3.1.5,60.2276238
72,Stimuli/Morph72.JPG,Stimuli/Morph72.png,Stimuli/BlurLevel5/BlurEditedMorph72,Stimuli/BlurLevel5/BlurEditedMorph72.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph72.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph72.png,Stimuli/BlurMorphTrio/EditedMorph72.png,020227right.gif,Stimuli/normal_thumbnails/72right.gif,0,5,5,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,-100,-100,120,-1.25,2.165063509,72,training,185.9438729,186.4432541,185.9438729,186.4432541,0.680272109,1575559542,1575559577,35.26534891,146,146,-74,73,1575559540,1575559542,space,2.343319544,,,,,,,,,,,,,,,,,,,,,,,s12,1,59,f,expert radiologist,2019_Dec_05_0923,AdjustEyeTrack,3.1.5,60.2276238
107,Stimuli/Morph107.JPG,Stimuli/Morph107.png,Stimuli/BlurLevel5/BlurEditedMorph107,Stimuli/BlurLevel5/BlurEditedMorph107.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph107.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph107.png,Stimuli/BlurMorphTrio/EditedMorph107.png,None,None,0,6,6,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-100,-100,276,0.261321158,-2.486304738,107,training,226.3634262,226.8600342,226.3634262,226.8600342,97.27891156,1575559582,1575559592,9.799610138,56,105,2,2,1575559579,1575559582,space,4.348011112,,,,,,,,,,,,,,,,,,,,,,,s12,1,59,f,expert radiologist,2019_Dec_05_0923,AdjustEyeTrack,3.1.5,60.2276238
95,Stimuli/Morph95.JPG,Stimuli/Morph95.png,Stimuli/BlurLevel5/BlurEditedMorph95,Stimuli/BlurLevel5/BlurEditedMorph95.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph95.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph95.png,Stimuli/BlurMorphTrio/EditedMorph95.png,020287right.gif,Stimuli/normal_thumbnails/95right.gif,0,7,7,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-100,-100,290,0.855050358,-2.349231552,95,training,243.1656358,243.6591546,243.1656358,243.6591546,91.83673469,1575559599,1575559609,9.683393002,52,89,6,6,1575559596,1575559599,space,3.828358452,,,,,,,,,,,,,,,,,,,,,,,s12,1,59,f,expert radiologist,2019_Dec_05_0923,AdjustEyeTrack,3.1.5,60.2276238
46,Stimuli/Morph46.JPG,Stimuli/Morph46.png,Stimuli/BlurLevel5/BlurEditedMorph46,Stimuli/BlurLevel5/BlurEditedMorph46.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph46.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph46.png,Stimuli/BlurMorphTrio/EditedMorph46.png,010128right.gif,Stimuli/normal_thumbnails/46right.gif,0,8,8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,-100,-100,206,-2.246985116,-1.095927867,46,training,259.1289934,259.6256373,259.1289934,259.6256373,87.75510204,1575559615,1575559633,18.0500772,4,55,-9,-9,1575559612,1575559615,space,1.924830623,,,,,,,,,,,,,,,,,,,,,,,s12,1,59,f,expert radiologist,2019_Dec_05_0923,AdjustEyeTrack,3.1.5,60.2276238
91,Stimuli/Morph91.JPG,Stimuli/Morph91.png,Stimuli/BlurLevel5/BlurEditedMorph91,Stimuli/BlurLevel5/BlurEditedMorph91.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph91.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph91.png,Stimuli/BlurMorphTrio/EditedMorph91.png,020276right.gif,Stimuli/normal_thumbnails/91right.gif,0,9,9,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,-100,-100,290,0.855050358,-2.349231552,91,training,281.9814976,282.4758818,281.9814976,282.4758818,95.91836735,1575559638,1575559641,3.514708996,88,88,3,3,1575559635,1575559638,space,2.310050285,,,,,,,,,,,,,,,,,,,,,,,s12,1,59,f,expert radiologist,2019_Dec_05_0923,AdjustEyeTrack,3.1.5,60.2276238
