stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
56,Stimuli/Morph56.JPG,Stimuli/Morph56.png,Stimuli/BlurLevel5/BlurEditedMorph56,Stimuli/BlurLevel5/BlurEditedMorph56.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph56.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph56.png,Stimuli/BlurMorphTrio/EditedMorph56.png,010157right.gif,Stimuli/normal_thumbnails/56right.gif,0,0,0,55,,,,,,,,,34.7939786,None,34.7939786,None,34.7939786,None,34.7939786,None,34.7939786,None,34.7939786,None,34.7939786,None,34.7939786,None,34.7939786,None,34.7939786,None,34.7939786,None,82,-100,-100,48,1.672826516,1.857862064,56,training,62.48595868,63.00976521,62.48595868,63.00976521,86.39455782,1575482237,1575482242,4.78270483,17,46,10,10,1575482235,1575482237,space,3.408993826,,,,,,,,,,,,,,,,,,,,,,,s9,1,44,m,expert radiologist,2019_Dec_04_1156,AdjustEyeTrack,3.1.5,59.70669789
42,Stimuli/Morph42.JPG,Stimuli/Morph42.png,Stimuli/BlurLevel5/BlurEditedMorph42,Stimuli/BlurLevel5/BlurEditedMorph42.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph42.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph42.png,Stimuli/BlurMorphTrio/EditedMorph42.png,010121right.gif,Stimuli/normal_thumbnails/42right.gif,0,1,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,-100,-100,53,1.504537558,1.996588775,42,training,73.42216892,73.94319426,73.42216892,73.94319426,82.31292517,1575482248,1575482253,4.266208887,11,55,-13,-13,1575482246,1575482248,space,3.942267393,,,,,,,,,,,,,,,,,,,,,,,s9,1,44,m,expert radiologist,2019_Dec_04_1156,AdjustEyeTrack,3.1.5,59.70669789
36,Stimuli/Morph36.JPG,Stimuli/Morph36.png,Stimuli/BlurLevel5/BlurEditedMorph36,Stimuli/BlurLevel5/BlurEditedMorph36.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph36.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph36.png,Stimuli/BlurMorphTrio/EditedMorph36.png,010095right.gif,Stimuli/normal_thumbnails/36right.gif,0,2,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,-100,-100,291,0.895919874,-2.333951066,36,training,84.18451588,84.69175175,84.18451588,84.69175175,80.95238095,1575482259,1575482261,1.866193771,2,50,-14,-14,1575482257,1575482259,space,4.188688977,,,,,,,,,,,,,,,,,,,,,,,s9,1,44,m,expert radiologist,2019_Dec_04_1156,AdjustEyeTrack,3.1.5,59.70669789
55,Stimuli/Morph55.JPG,Stimuli/Morph55.png,Stimuli/BlurLevel5/BlurEditedMorph55,Stimuli/BlurLevel5/BlurEditedMorph55.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph55.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph55.png,Stimuli/BlurMorphTrio/EditedMorph55.png,010151right.gif,Stimuli/normal_thumbnails/55right.gif,0,3,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,-100,-100,57,1.361597588,2.09667642,55,training,93.0761724,93.57578536,93.0761724,93.57578536,86.39455782,1575482268,1575482270,2.284454107,52,45,10,10,1575482265,1575482268,space,4.177339916,,,,,,,,,,,,,,,,,,,,,,,s9,1,44,m,expert radiologist,2019_Dec_04_1156,AdjustEyeTrack,3.1.5,59.70669789
90,Stimuli/Morph90.JPG,Stimuli/Morph90.png,Stimuli/BlurLevel5/BlurEditedMorph90,Stimuli/BlurLevel5/BlurEditedMorph90.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph90.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph90.png,Stimuli/BlurMorphTrio/EditedMorph90.png,020275right.gif,Stimuli/normal_thumbnails/90right.gif,0,4,4,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,-100,-100,209,-2.186549268,-1.212024051,90,training,102.0095846,102.5254799,102.0095846,102.5254799,95.91836735,1575482277,1575482280,3.416067839,104,93,-3,-3,1575482275,1575482277,space,1.927703412,,,,,,,,,,,,,,,,,,,,,,,s9,1,44,m,expert radiologist,2019_Dec_04_1156,AdjustEyeTrack,3.1.5,59.70669789
19,Stimuli/Morph19.JPG,Stimuli/Morph19.png,Stimuli/BlurLevel5/BlurEditedMorph19,Stimuli/BlurLevel5/BlurEditedMorph19.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph19.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph19.png,Stimuli/BlurMorphTrio/EditedMorph19.png,010045right.gif,Stimuli/normal_thumbnails/19right.gif,0,5,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,-100,-100,142,-1.970026884,1.539153688,19,training,110.063482,110.5754199,110.063482,110.5754199,86.39455782,1575482285,1575482288,3.134278297,68,29,-10,-10,1575482282,1575482285,space,2.148547503,,,,,,,,,,,,,,,,,,,,,,,s9,1,44,m,expert radiologist,2019_Dec_04_1156,AdjustEyeTrack,3.1.5,59.70669789
133,Stimuli/Morph133.JPG,Stimuli/Morph133.png,Stimuli/BlurLevel5/BlurEditedMorph133,Stimuli/BlurLevel5/BlurEditedMorph133.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph133.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph133.png,Stimuli/BlurMorphTrio/EditedMorph133.png,None,None,0,6,6,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,-100,-100,239,-1.287595187,-2.142918252,133,training,117.8310584,118.3518023,117.8310584,118.3518023,80.95238095,1575482293,1575482296,3.016350031,17,147,-14,-14,1575482290,1575482293,space,4.155740753,,,,,,,,,,,,,,,,,,,,,,,s9,1,44,m,expert radiologist,2019_Dec_04_1156,AdjustEyeTrack,3.1.5,59.70669789
64,Stimuli/Morph64.JPG,Stimuli/Morph64.png,Stimuli/BlurLevel5/BlurEditedMorph64,Stimuli/BlurLevel5/BlurEditedMorph64.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph64.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph64.png,Stimuli/BlurMorphTrio/EditedMorph64.png,020208right.gif,Stimuli/normal_thumbnails/64right.gif,0,7,7,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,-100,-100,116,-1.095927867,2.246985116,64,training,127.5451613,128.0600929,127.5451613,128.0600929,67.34693878,1575482302,1575482305,2.832497835,98,40,24,24,1575482300,1575482302,space,3.632398924,,,,,,,,,,,,,,,,,,,,,,,s9,1,44,m,expert radiologist,2019_Dec_04_1156,AdjustEyeTrack,3.1.5,59.70669789
43,Stimuli/Morph43.JPG,Stimuli/Morph43.png,Stimuli/BlurLevel5/BlurEditedMorph43,Stimuli/BlurLevel5/BlurEditedMorph43.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph43.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph43.png,Stimuli/BlurMorphTrio/EditedMorph43.png,010124right.gif,Stimuli/normal_thumbnails/43right.gif,0,8,8,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,-100,-100,285,0.647047613,-2.414814566,43,training,136.6943905,137.2084838,136.6943905,137.2084838,98.63945578,1575482312,1575482315,3.199235678,33,42,1,1,1575482309,1575482312,space,2.082456157,,,,,,,,,,,,,,,,,,,,,,,s9,1,44,m,expert radiologist,2019_Dec_04_1156,AdjustEyeTrack,3.1.5,59.70669789
94,Stimuli/Morph94.JPG,Stimuli/Morph94.png,Stimuli/BlurLevel5/BlurEditedMorph94,Stimuli/BlurLevel5/BlurEditedMorph94.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph94.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph94.png,Stimuli/BlurMorphTrio/EditedMorph94.png,020286right.gif,Stimuli/normal_thumbnails/94right.gif,0,9,9,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,-100,-100,160,-2.349231552,0.855050358,94,training,144.4439609,144.9424575,144.4439609,144.9424575,71.42857143,1575482319,1575482325,5.633692026,29,73,21,21,1575482317,1575482319,space,1.603536996,,,,,,,,,,,,,,,,,,,,,,,s9,1,44,m,expert radiologist,2019_Dec_04_1156,AdjustEyeTrack,3.1.5,59.70669789
