stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
58,Stimuli/Morph58.JPG,Stimuli/Morph58.png,Stimuli/BlurLevel5/BlurEditedMorph58,Stimuli/BlurLevel5/BlurEditedMorph58.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph58.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph58.png,Stimuli/BlurMorphTrio/EditedMorph58.png,010159right.gif,Stimuli/normal_thumbnails/58right.gif,0,0,0,57,,,,,,,,,59.85352132,None,59.85352132,None,59.85352132,None,59.85352132,None,59.85352132,None,59.85352132,None,59.85352132,None,59.85352132,None,59.85352132,None,59.85352132,None,59.85352132,None,18,-100,-100,244,-1.095927867,-2.246985116,58,training,91.67395422,92.16879379,91.67395422,92.16879379,98.63945578,1575410225,1575410228,3.033499002,16,57,1,1,1575410223,1575410225,space,3.247716541,,,,,,,,,,,,,,,,,,,,,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
136,Stimuli/Morph136.JPG,Stimuli/Morph136.png,Stimuli/BlurLevel5/BlurEditedMorph136,Stimuli/BlurLevel5/BlurEditedMorph136.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph136.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph136.png,Stimuli/BlurMorphTrio/EditedMorph136.png,None,None,0,1,1,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,-100,-100,193,-2.435925162,-0.562377636,136,training,100.1195376,100.6192481,100.1195376,100.6192481,89.11564626,1575410233,1575410235,1.74980998,127,128,8,8,1575410231,1575410233,space,2.517949974,,,,,,,,,,,,,,,,,,,,,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
56,Stimuli/Morph56.JPG,Stimuli/Morph56.png,Stimuli/BlurLevel5/BlurEditedMorph56,Stimuli/BlurLevel5/BlurEditedMorph56.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph56.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph56.png,Stimuli/BlurMorphTrio/EditedMorph56.png,010157right.gif,Stimuli/normal_thumbnails/56right.gif,0,2,2,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-100,-100,95,-0.217889357,2.490486745,56,training,106.1571003,106.652067,106.1571003,106.652067,90.47619048,1575410239,1575410241,2.284386158,7,49,7,7,1575410238,1575410239,space,8.761206987,,,,,,,,,,,,,,,,,,,,,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
61,Stimuli/Morph61.JPG,Stimuli/Morph61.png,Stimuli/BlurLevel5/BlurEditedMorph61,Stimuli/BlurLevel5/BlurEditedMorph61.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph61.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph61.png,Stimuli/BlurMorphTrio/EditedMorph61.png,020201right.gif,Stimuli/normal_thumbnails/61right.gif,0,3,3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,-100,-100,101,-0.477022488,2.454067959,61,training,119.5959412,120.1016689,119.5959412,120.1016689,83.67346939,1575410253,1575410262,9.133489847,140,49,12,12,1575410250,1575410253,space,1.16354778,,,,,,,,,,,,,,,,,,,,,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
32,Stimuli/Morph32.JPG,Stimuli/Morph32.png,Stimuli/BlurLevel5/BlurEditedMorph32,Stimuli/BlurLevel5/BlurEditedMorph32.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph32.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph32.png,Stimuli/BlurMorphTrio/EditedMorph32.png,010080right.gif,Stimuli/normal_thumbnails/32right.gif,0,4,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,-100,-100,274,0.174391184,-2.493910126,32,training,132.2695869,132.7686659,132.2695869,132.7686659,90.47619048,1575410265,1575410274,8.78600502,64,25,7,7,1575410263,1575410265,space,3.492870323,,,,,,,,,,,,,,,,,,,,,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
92,Stimuli/Morph92.JPG,Stimuli/Morph92.png,Stimuli/BlurLevel5/BlurEditedMorph92,Stimuli/BlurLevel5/BlurEditedMorph92.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph92.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph92.png,Stimuli/BlurMorphTrio/EditedMorph92.png,020277right.gif,Stimuli/normal_thumbnails/92right.gif,0,5,5,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,-100,-100,274,0.174391184,-2.493910126,92,training,147.0237952,147.5183369,147.0237952,147.5183369,74.14965986,1575410280,1575410285,5.366023064,118,111,-19,-19,1575410278,1575410280,space,1.646858697,,,,,,,,,,,,,,,,,,,,,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
42,Stimuli/Morph42.JPG,Stimuli/Morph42.png,Stimuli/BlurLevel5/BlurEditedMorph42,Stimuli/BlurLevel5/BlurEditedMorph42.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph42.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph42.png,Stimuli/BlurMorphTrio/EditedMorph42.png,010121right.gif,Stimuli/normal_thumbnails/42right.gif,0,6,6,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,-100,-100,204,-2.283863644,-1.016841608,42,training,156.5183524,157.019069,156.5183524,157.019069,0.680272109,1575410290,1575410292,2.749922991,109,116,-74,73,1575410287,1575410290,space,4.566597366,,,,,,,,,,,,,,,,,,,,,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
94,Stimuli/Morph94.JPG,Stimuli/Morph94.png,Stimuli/BlurLevel5/BlurEditedMorph94,Stimuli/BlurLevel5/BlurEditedMorph94.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph94.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph94.png,Stimuli/BlurMorphTrio/EditedMorph94.png,020286right.gif,Stimuli/normal_thumbnails/94right.gif,0,7,7,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,-100,-100,65,1.056545654,2.265769468,94,training,166.503452,167.0024115,166.503452,167.0024115,46.93877551,1575410300,1575410306,6.150938749,118,133,-39,-39,1575410297,1575410300,space,2.292299611,,,,,,,,,,,,,,,,,,,,,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
17,Stimuli/Morph17.JPG,Stimuli/Morph17.png,Stimuli/BlurLevel5/BlurEditedMorph17,Stimuli/BlurLevel5/BlurEditedMorph17.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph17.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph17.png,Stimuli/BlurMorphTrio/EditedMorph17.png,010036right.gif,Stimuli/normal_thumbnails/17right.gif,0,8,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,-100,-100,70,0.855050358,2.349231552,17,training,177.5861728,178.0845363,177.5861728,178.0845363,52.38095238,1575410311,1575410315,4.589758873,66,129,-112,35,1575410308,1575410311,space,1.656247027,,,,,,,,,,,,,,,,,,,,,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
46,Stimuli/Morph46.JPG,Stimuli/Morph46.png,Stimuli/BlurLevel5/BlurEditedMorph46,Stimuli/BlurLevel5/BlurEditedMorph46.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph46.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph46.png,Stimuli/BlurMorphTrio/EditedMorph46.png,010128right.gif,Stimuli/normal_thumbnails/46right.gif,0,9,9,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,-100,-100,27,2.22751631,1.134976249,46,training,186.1176823,186.6176673,186.1176823,186.6176673,97.27891156,1575410319,1575410328,9.150221825,96,48,-2,-2,1575410317,1575410319,space,2.184226759,,,,,,,,,,,,,,,,,,,,,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,-100,,,,,training,,,,,,,,,,,,,,,,,199.1186668,None,199.1186668,None,199.1186668,None,space,54.78374881,199.1186668,None,,,,,,,,,,,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
53,Stimuli/Morph53.JPG,Stimuli/Morph53.png,Stimuli/BlurLevel5/BlurEditedMorph53,Stimuli/BlurLevel5/BlurEditedMorph53.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph53.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph53.png,Stimuli/BlurMorphTrio/EditedMorph53.png,010149right.gif,Stimuli/normal_thumbnails/53right.gif,,,,,0,0,0,0,0,0,0,52,,,,,,,,,,,,,,,,,,,,,,,42,1,1,345,2.414814566,-0.647047613,53,Experiment,,,,,,,,,74,40,13,13,,,,,,,,,,,,,,,255.6094205,256.1341033,255.6094205,256.1341033,82.31292517,1575410389,1575410395,5.866738796,1575410386,1575410389,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
57,Stimuli/Morph57.JPG,Stimuli/Morph57.png,Stimuli/BlurLevel5/BlurEditedMorph57,Stimuli/BlurLevel5/BlurEditedMorph57.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph57.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph57.png,Stimuli/BlurMorphTrio/EditedMorph57.png,010158right.gif,Stimuli/normal_thumbnails/57right.gif,,,,,0,0,0,0,0,1,1,56,,,,,,,,,,,,,,,,,,,,,,,22,2,1,333,2.22751631,-1.134976249,57,Experiment,,,,,,,,,126,53,4,4,,,,,,,,,,,,,,,264.2867606,264.7838729,264.2867606,264.7838729,94.55782313,1575410397,1575410400,2.637666225,1575410395,1575410397,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
107,Stimuli/Morph107.JPG,Stimuli/Morph107.png,Stimuli/BlurLevel5/BlurEditedMorph107,Stimuli/BlurLevel5/BlurEditedMorph107.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph107.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph107.png,Stimuli/BlurMorphTrio/EditedMorph107.png,None,None,,,,,0,0,0,0,0,2,2,106,,,,,,,,,,,,,,,,,,,,,,,88,3,1,240,-1.25,-2.165063509,107,Experiment,,,,,,,,,30,112,-5,-5,,,,,,,,,,,,,,,269.6185089,270.13372,269.6185089,270.13372,93.19727891,1575410403,1575410409,5.849331856,1575410400,1575410403,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
26,Stimuli/Morph26.JPG,Stimuli/Morph26.png,Stimuli/BlurLevel5/BlurEditedMorph26,Stimuli/BlurLevel5/BlurEditedMorph26.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph26.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph26.png,Stimuli/BlurMorphTrio/EditedMorph26.png,010070right.gif,Stimuli/normal_thumbnails/26right.gif,,,,,0,0,0,0,0,3,3,25,,,,,,,,,,,,,,,,,,,,,,,55,4,1,48,1.672826516,1.857862064,26,Experiment,,,,,,,,,51,25,1,1,,,,,,,,,,,,,,,278.3340018,278.8343736,278.3340018,278.8343736,98.63945578,1575410411,1575410430,18.82290792,1575410409,1575410411,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
28,Stimuli/Morph28.JPG,Stimuli/Morph28.png,Stimuli/BlurLevel5/BlurEditedMorph28,Stimuli/BlurLevel5/BlurEditedMorph28.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph28.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph28.png,Stimuli/BlurMorphTrio/EditedMorph28.png,010073right.gif,Stimuli/normal_thumbnails/28right.gif,,,,,0,0,0,0,0,4,4,27,,,,,,,,,,,,,,,,,,,,,,,68,5,1,170,-2.462019383,0.434120444,28,Experiment,,,,,,,,,112,16,12,12,,,,,,,,,,,,,,,300.0181887,300.5159634,300.0181887,300.5159634,83.67346939,1575410433,1575410438,4.83414197,1575410430,1575410433,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
35,Stimuli/Morph35.JPG,Stimuli/Morph35.png,Stimuli/BlurLevel5/BlurEditedMorph35,Stimuli/BlurLevel5/BlurEditedMorph35.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph35.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph35.png,Stimuli/BlurMorphTrio/EditedMorph35.png,010094right.gif,Stimuli/normal_thumbnails/35right.gif,,,,,0,0,0,0,0,5,5,34,,,,,,,,,,,,,,,,,,,,,,,51,6,1,39,1.942864904,1.573300978,35,Experiment,,,,,,,,,116,9,26,26,,,,,,,,,,,,,,,307.7513678,308.2503941,307.7513678,308.2503941,64.62585034,1575410441,1575410446,4.750658274,1575410438,1575410441,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
27,Stimuli/Morph27.JPG,Stimuli/Morph27.png,Stimuli/BlurLevel5/BlurEditedMorph27,Stimuli/BlurLevel5/BlurEditedMorph27.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph27.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph27.png,Stimuli/BlurMorphTrio/EditedMorph27.png,010072right.gif,Stimuli/normal_thumbnails/27right.gif,,,,,0,0,0,0,0,6,6,26,,,,,,,,,,,,,,,,,,,,,,,96,7,1,332,2.207368982,-1.173678907,27,Experiment,,,,,,,,,62,13,14,14,,,,,,,,,,,,,,,316.2847761,316.785262,316.2847761,316.785262,80.95238095,1575410449,1575410459,9.916341782,1575410446,1575410449,,,s5,1,33,m,resident,2019_Dec_03_1556,AdjustEyeTrack,3.1.5,60.77074048
