stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
103,Stimuli/Morph103.JPG,Stimuli/Morph103.png,Stimuli/BlurLevel5/BlurEditedMorph103,Stimuli/BlurLevel5/BlurEditedMorph103.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph103.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph103.png,Stimuli/BlurMorphTrio/EditedMorph103.png,None,None,0,0,0,102,,,,,,,,,66.68574172,None,66.68574172,None,66.68574172,None,66.68574172,None,66.68574172,None,66.68574172,None,66.68574172,None,66.68574172,None,66.68574172,None,66.68574172,None,66.68574172,None,97,-100,-100,50,1.606969024,1.915111108,103,training,159.2065491,159.9047607,159.2065491,159.9047607,98.63945578,1583518540,1583518544,3.833141088,122,102,1,1,1583518537,1583518540,space,2.298260946,,,,,,,,,,,,,,,,,,,,,,,AS,1,19,male,undergrad,2020_Mar_06_1014,AdjustEyeTrack,3.1.5,59.89881569
129,Stimuli/Morph129.JPG,Stimuli/Morph129.png,Stimuli/BlurLevel5/BlurEditedMorph129,Stimuli/BlurLevel5/BlurEditedMorph129.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph129.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph129.png,Stimuli/BlurMorphTrio/EditedMorph129.png,None,None,0,1,1,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-100,-100,241,-1.212024051,-2.186549268,129,training,169.0912434,169.7827821,169.0912434,169.7827821,95.91836735,1583518550,1583518554,4.316268921,64,126,3,3,1583518547,1583518550,space,8.332298181,,,,,,,,,,,,,,,,,,,,,,,AS,1,19,male,undergrad,2020_Mar_06_1014,AdjustEyeTrack,3.1.5,59.89881569
73,Stimuli/Morph73.JPG,Stimuli/Morph73.png,Stimuli/BlurLevel5/BlurEditedMorph73,Stimuli/BlurLevel5/BlurEditedMorph73.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph73.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph73.png,Stimuli/BlurMorphTrio/EditedMorph73.png,020230right.gif,Stimuli/normal_thumbnails/73right.gif,0,2,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-100,-100,120,-1.25,2.165063509,73,training,185.538073,186.2365873,185.538073,186.2365873,91.83673469,1583518566,1583518571,4.616204977,103,79,-6,-6,1583518563,1583518566,space,3.927780229,,,,,,,,,,,,,,,,,,,,,,,AS,1,19,male,undergrad,2020_Mar_06_1014,AdjustEyeTrack,3.1.5,59.89881569
11,Stimuli/Morph11.JPG,Stimuli/Morph11.png,Stimuli/BlurLevel5/BlurEditedMorph11,Stimuli/BlurLevel5/BlurEditedMorph11.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph11.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph11.png,Stimuli/BlurMorphTrio/EditedMorph11.png,010024right.gif,Stimuli/normal_thumbnails/11right.gif,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,-100,-100,162,-2.377641291,0.772542486,11,training,198.1083112,198.8042115,198.1083112,198.8042115,67.34693878,1583518579,1583518586,7.53387332,32,35,-24,-24,1583518576,1583518579,space,2.292314821,,,,,,,,,,,,,,,,,,,,,,,AS,1,19,male,undergrad,2020_Mar_06_1014,AdjustEyeTrack,3.1.5,59.89881569
77,Stimuli/Morph77.JPG,Stimuli/Morph77.png,Stimuli/BlurLevel5/BlurEditedMorph77,Stimuli/BlurLevel5/BlurEditedMorph77.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph77.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph77.png,Stimuli/BlurMorphTrio/EditedMorph77.png,020235right.gif,Stimuli/normal_thumbnails/77right.gif,0,4,4,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,-100,-100,22,2.317959636,0.936516484,77,training,211.8902024,212.5989212,211.8902024,212.5989212,57.82312925,1583518593,1583518599,6.783061028,126,108,-31,-31,1583518589,1583518593,space,0.897562276,,,,,,,,,,,,,,,,,,,,,,,AS,1,19,male,undergrad,2020_Mar_06_1014,AdjustEyeTrack,3.1.5,59.89881569
87,Stimuli/Morph87.JPG,Stimuli/Morph87.png,Stimuli/BlurLevel5/BlurEditedMorph87,Stimuli/BlurLevel5/BlurEditedMorph87.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph87.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph87.png,Stimuli/BlurMorphTrio/EditedMorph87.png,020270right.gif,Stimuli/normal_thumbnails/87right.gif,0,5,5,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,-100,-100,222,-1.857862064,-1.672826516,87,training,223.0566274,223.7323558,223.0566274,223.7323558,71.42857143,1583518604,1583518607,2.749668121,130,108,-21,-21,1583518601,1583518604,space,1.41996884,,,,,,,,,,,,,,,,,,,,,,,AS,1,19,male,undergrad,2020_Mar_06_1014,AdjustEyeTrack,3.1.5,59.89881569
18,Stimuli/Morph18.JPG,Stimuli/Morph18.png,Stimuli/BlurLevel5/BlurEditedMorph18,Stimuli/BlurLevel5/BlurEditedMorph18.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph18.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph18.png,Stimuli/BlurMorphTrio/EditedMorph18.png,010039right.gif,Stimuli/normal_thumbnails/18right.gif,0,6,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,-100,-100,1,2.499619238,0.043631016,18,training,230.6512324,231.3397841,230.6512324,231.3397841,100,1583518611,1583518615,3.197472095,76,18,0,0,1583518609,1583518611,space,1.328612467,,,,,,,,,,,,,,,,,,,,,,,AS,1,19,male,undergrad,2020_Mar_06_1014,AdjustEyeTrack,3.1.5,59.89881569
146,Stimuli/Morph146.JPG,Stimuli/Morph146.png,Stimuli/BlurLevel5/BlurEditedMorph146,Stimuli/BlurLevel5/BlurEditedMorph146.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph146.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph146.png,Stimuli/BlurMorphTrio/EditedMorph146.png,None,None,0,7,7,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,-100,-100,159,-2.333951066,0.895919874,146,training,239.7026683,240.4336436,239.7026683,240.4336436,91.83673469,1583518620,1583518623,2.433484077,135,140,6,6,1583518617,1583518620,space,0.816960989,,,,,,,,,,,,,,,,,,,,,,,AS,1,19,male,undergrad,2020_Mar_06_1014,AdjustEyeTrack,3.1.5,59.89881569
3,Stimuli/Morph3.JPG,Stimuli/Morph3.png,Stimuli/BlurLevel5/BlurEditedMorph3,Stimuli/BlurLevel5/BlurEditedMorph3.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph3.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph3.png,Stimuli/BlurMorphTrio/EditedMorph3.png,010009right.gif,Stimuli/normal_thumbnails/3right.gif,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,-100,-100,37,1.996588775,1.504537558,3,training,246.7116242,247.4096353,246.7116242,247.4096353,94.55782313,1583518627,1583518629,1.817633867,95,7,-4,-4,1583518624,1583518627,space,0.882325417,,,,,,,,,,,,,,,,,,,,,,,AS,1,19,male,undergrad,2020_Mar_06_1014,AdjustEyeTrack,3.1.5,59.89881569
19,Stimuli/Morph19.JPG,Stimuli/Morph19.png,Stimuli/BlurLevel5/BlurEditedMorph19,Stimuli/BlurLevel5/BlurEditedMorph19.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph19.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph19.png,Stimuli/BlurMorphTrio/EditedMorph19.png,010045right.gif,Stimuli/normal_thumbnails/19right.gif,0,9,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,-100,-100,225,-1.767766953,-1.767766953,19,training,253.2686691,254.0329859,253.2686691,254.0329859,87.75510204,1583518634,1583518637,3.367495298,140,28,-9,-9,1583518631,1583518634,space,0.852063483,,,,,,,,,,,,,,,,,,,,,,,AS,1,19,male,undergrad,2020_Mar_06_1014,AdjustEyeTrack,3.1.5,59.89881569
