stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate,
135,Stimuli/Morph135.JPG,Stimuli/Morph135.png,Stimuli/BlurLevel5/BlurEditedMorph135,Stimuli/BlurLevel5/BlurEditedMorph135.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph135.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph135.png,Stimuli/BlurMorphTrio/EditedMorph135.png,None,None,0,0,0,134,,,,,,,,,89.41521920100058,None,89.41521920100058,None,89.41521920100058,None,89.41521920100058,None,89.41521920100058,None,89.41521920100058,None,89.41521920100058,None,89.41521920100058,None,89.41521920100058,None,89.41521920100058,None,89.41521920100058,None,67,-100,-100,351,2.469220851487844,-0.3910861626005778,135,training,168.9337627950008,169.65209072700236,168.9337627950008,169.65209072700236,52.38095238095239,1583871891.868427,1583871896.685884,4.817456960678101,10,100,35,35,1583871889.0191529,1583871891.852161,space,2.7457664590037894,,,,,,,,,,,,,,,,,,,,,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
3,Stimuli/Morph3.JPG,Stimuli/Morph3.png,Stimuli/BlurLevel5/BlurEditedMorph3,Stimuli/BlurLevel5/BlurEditedMorph3.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph3.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph3.png,Stimuli/BlurMorphTrio/EditedMorph3.png,010009right.gif,Stimuli/normal_thumbnails/3right.gif,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,-100,-100,263,-0.3046733585128679,-2.4813653791033055,3,training,179.95894351100287,180.66218955999648,179.95894351100287,180.66218955999648,89.1156462585034,1583871902.872716,1583871906.252259,3.3795430660247803,46,142,-139,8,1583871900.0881898,1583871902.8584378,space,1.8435649819948594,,,,,,,,,,,,,,,,,,,,,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
46,Stimuli/Morph46.JPG,Stimuli/Morph46.png,Stimuli/BlurLevel5/BlurEditedMorph46,Stimuli/BlurLevel5/BlurEditedMorph46.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph46.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph46.png,Stimuli/BlurMorphTrio/EditedMorph46.png,010128right.gif,Stimuli/normal_thumbnails/46right.gif,0,2,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,-100,-100,293,0.9768278212231838,-2.301262133631101,46,training,188.6511741430004,189.35548030000064,188.6511741430004,189.35548030000064,91.83673469387756,1583871911.5849988,1583871913.8197901,2.2347912788391113,30,52,-6,-6,1583871908.738104,1583871911.5629702,space,1.7102728399986518,,,,,,,,,,,,,,,,,,,,,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
107,Stimuli/Morph107.JPG,Stimuli/Morph107.png,Stimuli/BlurLevel5/BlurEditedMorph107,Stimuli/BlurLevel5/BlurEditedMorph107.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph107.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph107.png,Stimuli/BlurMorphTrio/EditedMorph107.png,None,None,0,3,3,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,-100,-100,146,-2.072593931387604,1.3979822586768673,107,training,196.01727668999956,196.71427195300203,196.01727668999956,196.71427195300203,98.63945578231292,1583871918.9362931,1583871920.685355,1.7490618228912354,143,106,1,1,1583871916.188192,1583871918.9184809,space,12.237050782998267,,,,,,,,,,,,,,,,,,,,,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
90,Stimuli/Morph90.JPG,Stimuli/Morph90.png,Stimuli/BlurLevel5/BlurEditedMorph90,Stimuli/BlurLevel5/BlurEditedMorph90.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph90.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph90.png,Stimuli/BlurMorphTrio/EditedMorph90.png,020275right.gif,Stimuli/normal_thumbnails/90right.gif,0,4,4,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,-100,-100,122,-1.324798160583012,2.1201202403910653,90,training,213.59307421300036,214.29605636400083,213.59307421300036,214.29605636400083,94.5578231292517,1583871936.5183208,1583871939.434775,2.916454315185547,40,94,-4,-4,1583871933.586988,1583871936.502172,space,2.882156172003306,,,,,,,,,,,,,,,,,,,,,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
133,Stimuli/Morph133.JPG,Stimuli/Morph133.png,Stimuli/BlurLevel5/BlurEditedMorph133,Stimuli/BlurLevel5/BlurEditedMorph133.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph133.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph133.png,Stimuli/BlurMorphTrio/EditedMorph133.png,None,None,0,5,5,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,-100,-100,288,0.7725424859373681,-2.377641290737884,133,training,222.73368678199768,223.43400090299838,222.73368678199768,223.43400090299838,76.87074829931973,1583871945.6370099,1583871950.2182028,4.581192970275879,4,116,17,17,1583871943.004698,1583871945.622278,space,4.061964423002792,,,,,,,,,,,,,,,,,,,,,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
104,Stimuli/Morph104.JPG,Stimuli/Morph104.png,Stimuli/BlurLevel5/BlurEditedMorph104,Stimuli/BlurLevel5/BlurEditedMorph104.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph104.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph104.png,Stimuli/BlurMorphTrio/EditedMorph104.png,None,None,0,6,6,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,-100,-100,8,2.475670171853926,0.3479327524001636,104,training,234.9342821140017,235.65090595999936,234.9342821140017,235.65090595999936,98.63945578231292,1583871957.884761,1583871961.735789,3.8510279655456543,106,103,1,1,1583871954.936979,1583871957.860815,space,5.716804832001799,,,,,,,,,,,,,,,,,,,,,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
142,Stimuli/Morph142.JPG,Stimuli/Morph142.png,Stimuli/BlurLevel5/BlurEditedMorph142,Stimuli/BlurLevel5/BlurEditedMorph142.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph142.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph142.png,Stimuli/BlurMorphTrio/EditedMorph142.png,None,None,0,7,7,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,-100,-100,12,2.4453690018345142,0.5197792270443984,142,training,248.2260066059971,248.950265872998,248.2260066059971,248.950265872998,79.59183673469387,1583871971.184847,1583871974.70275,3.5179028511047363,59,127,15,15,1583871968.120251,1583871971.1632152,space,3.0429959039975074,,,,,,,,,,,,,,,,,,,,,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
92,Stimuli/Morph92.JPG,Stimuli/Morph92.png,Stimuli/BlurLevel5/BlurEditedMorph92,Stimuli/BlurLevel5/BlurEditedMorph92.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph92.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph92.png,Stimuli/BlurMorphTrio/EditedMorph92.png,020277right.gif,Stimuli/normal_thumbnails/92right.gif,0,8,8,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,-100,-100,173,-2.481365379103305,0.30467335851286886,92,training,258.5970436330026,259.30007975400076,258.5970436330026,259.30007975400076,98.63945578231292,1583871981.520212,1583871986.034034,4.513822078704834,52,93,-1,-1,1583871978.420675,1583871981.505565,space,3.1737444449972827,,,,,,,,,,,,,,,,,,,,,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
146,Stimuli/Morph146.JPG,Stimuli/Morph146.png,Stimuli/BlurLevel5/BlurEditedMorph146,Stimuli/BlurLevel5/BlurEditedMorph146.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph146.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph146.png,Stimuli/BlurMorphTrio/EditedMorph146.png,None,None,0,9,9,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,-100,-100,111,-0.8959198738632507,2.3339510662430043,146,training,270.1559449089982,270.8855332439998,270.1559449089982,270.8855332439998,87.75510204081633,1583871993.1194081,1583871995.653008,2.533599853515625,48,137,9,9,1583871989.870517,1583871993.100864,space,1.145919321999827,,,,,,,,,,,,,,,,,,,,,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
