stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
93,Stimuli/Morph93.JPG,Stimuli/Morph93.png,Stimuli/BlurLevel5/BlurEditedMorph93,Stimuli/BlurLevel5/BlurEditedMorph93.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph93.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph93.png,Stimuli/BlurMorphTrio/EditedMorph93.png,020280right.gif,Stimuli/normal_thumbnails/93right.gif,0,0,0,92,,,,,,,,,50.46131539,None,50.46131539,None,50.46131539,None,50.46131539,None,50.46131539,None,50.46131539,None,50.46131539,None,50.46131539,None,50.46131539,None,50.46131539,None,50.46131539,None,68,-100,-100,212,-2.12012024,-1.324798161,93,training,187.074737,187.7790576,187.074737,187.7790576,93.19727891,1583449870,1583449876,6.732674122,39,98,-5,-5,1583449867,1583449870,space,3.165326147,,,,,,,,,,,,,,,,,,,,,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
146,Stimuli/Morph146.JPG,Stimuli/Morph146.png,Stimuli/BlurLevel5/BlurEditedMorph146,Stimuli/BlurLevel5/BlurEditedMorph146.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph146.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph146.png,Stimuli/BlurMorphTrio/EditedMorph146.png,None,None,0,1,1,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,-100,-100,244,-1.095927867,-2.246985116,146,training,200.351401,201.0664868,200.351401,201.0664868,94.55782313,1583449883,1583449887,4.398158073,128,142,4,4,1583449880,1583449883,space,7.382100869,,,,,,,,,,,,,,,,,,,,,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
76,Stimuli/Morph76.JPG,Stimuli/Morph76.png,Stimuli/BlurLevel5/BlurEditedMorph76,Stimuli/BlurLevel5/BlurEditedMorph76.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph76.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph76.png,Stimuli/BlurMorphTrio/EditedMorph76.png,020234right.gif,Stimuli/normal_thumbnails/76right.gif,0,2,2,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,-100,-100,263,-0.304673359,-2.481365379,76,training,215.6547232,216.380975,215.6547232,216.380975,68.70748299,1583449898,1583449902,3.683687925,36,53,23,23,1583449895,1583449898,space,5.936674593,,,,,,,,,,,,,,,,,,,,,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
55,Stimuli/Morph55.JPG,Stimuli/Morph55.png,Stimuli/BlurLevel5/BlurEditedMorph55,Stimuli/BlurLevel5/BlurEditedMorph55.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph55.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph55.png,Stimuli/BlurMorphTrio/EditedMorph55.png,010151right.gif,Stimuli/normal_thumbnails/55right.gif,0,3,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,-100,-100,191,-2.454067959,-0.477022488,55,training,228.6792671,229.3833723,228.6792671,229.3833723,93.19727891,1583449911,1583449917,5.384019852,126,50,5,5,1583449908,1583449911,space,3.442862207,,,,,,,,,,,,,,,,,,,,,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
38,Stimuli/Morph38.JPG,Stimuli/Morph38.png,Stimuli/BlurLevel5/BlurEditedMorph38,Stimuli/BlurLevel5/BlurEditedMorph38.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph38.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph38.png,Stimuli/BlurMorphTrio/EditedMorph38.png,010108right.gif,Stimuli/normal_thumbnails/38right.gif,0,4,4,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,-100,-100,263,-0.304673359,-2.481365379,38,training,241.1579637,241.8883276,241.1579637,241.8883276,89.11564626,1583449924,1583449928,4.533580065,3,46,-8,-8,1583449921,1583449924,space,3.732037684,,,,,,,,,,,,,,,,,,,,,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
12,Stimuli/Morph12.JPG,Stimuli/Morph12.png,Stimuli/BlurLevel5/BlurEditedMorph12,Stimuli/BlurLevel5/BlurEditedMorph12.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph12.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph12.png,Stimuli/BlurMorphTrio/EditedMorph12.png,010026right.gif,Stimuli/normal_thumbnails/12right.gif,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,-100,-100,92,-0.087248742,2.498477068,12,training,252.8260309,253.5256281,252.8260309,253.5256281,100,1583449935,1583449942,6.867199183,19,12,0,0,1583449933,1583449935,space,3.212889606,,,,,,,,,,,,,,,,,,,,,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
66,Stimuli/Morph66.JPG,Stimuli/Morph66.png,Stimuli/BlurLevel5/BlurEditedMorph66,Stimuli/BlurLevel5/BlurEditedMorph66.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph66.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph66.png,Stimuli/BlurMorphTrio/EditedMorph66.png,020212right.gif,Stimuli/normal_thumbnails/66right.gif,0,6,6,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-100,-100,104,-0.604804739,2.425739316,66,training,266.3350161,267.0465923,266.3350161,267.0465923,87.75510204,1583449949,1583449952,2.719247818,125,57,9,9,1583449946,1583449949,space,1.981998628,,,,,,,,,,,,,,,,,,,,,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
122,Stimuli/Morph122.JPG,Stimuli/Morph122.png,Stimuli/BlurLevel5/BlurEditedMorph122,Stimuli/BlurLevel5/BlurEditedMorph122.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph122.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph122.png,Stimuli/BlurMorphTrio/EditedMorph122.png,None,None,0,7,7,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,-100,-100,107,-0.730929262,2.39076189,122,training,274.2853651,274.9958448,274.2853651,274.9958448,100,1583449957,1583449959,2.284105301,131,122,0,0,1583449954,1583449957,space,8.401261525,,,,,,,,,,,,,,,,,,,,,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
65,Stimuli/Morph65.JPG,Stimuli/Morph65.png,Stimuli/BlurLevel5/BlurEditedMorph65,Stimuli/BlurLevel5/BlurEditedMorph65.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph65.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph65.png,Stimuli/BlurMorphTrio/EditedMorph65.png,020209right.gif,Stimuli/normal_thumbnails/65right.gif,0,8,8,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,-100,-100,164,-2.40315424,0.68909339,65,training,288.4189208,289.1264821,288.4189208,289.1264821,72.78911565,1583449971,1583449975,3.95121789,104,45,20,20,1583449968,1583449971,space,4.182717833,,,,,,,,,,,,,,,,,,,,,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
137,Stimuli/Morph137.JPG,Stimuli/Morph137.png,Stimuli/BlurLevel5/BlurEditedMorph137,Stimuli/BlurLevel5/BlurEditedMorph137.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph137.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph137.png,Stimuli/BlurMorphTrio/EditedMorph137.png,None,None,0,9,9,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,-100,-100,220,-1.915111108,-1.606969024,137,training,299.9913493,300.7037422,299.9913493,300.7037422,97.27891156,1583449983,1583449986,3.502259016,69,139,-2,-2,1583449980,1583449983,space,1.041520852,,,,,,,,,,,,,,,,,,,,,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,-100,,,,,training,,,,,,,,,,,,,,,,,307.6214027,None,307.6214027,None,307.6214027,None,space,67.03602512,307.6214027,None,,,,,,,,,,,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
106,Stimuli/Morph106.JPG,Stimuli/Morph106.png,Stimuli/BlurLevel5/BlurEditedMorph106,Stimuli/BlurLevel5/BlurEditedMorph106.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph106.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph106.png,Stimuli/BlurMorphTrio/EditedMorph106.png,None,None,,,,,0,0,0,0,0,0,0,105,,,,,,,,,,,,,,,,,,,,,,,52,1,1,291,0.895919874,-2.333951066,106,Experiment,,,,,,,,,67,99,7,7,,,,,,,,,,,,,,,375.9172062,376.6362859,375.9172062,376.6362859,90.47619048,1583450059,1583450062,3.367677927,1583450056,1583450059,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
24,Stimuli/Morph24.JPG,Stimuli/Morph24.png,Stimuli/BlurLevel5/BlurEditedMorph24,Stimuli/BlurLevel5/BlurEditedMorph24.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph24.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph24.png,Stimuli/BlurMorphTrio/EditedMorph24.png,010068right.gif,Stimuli/normal_thumbnails/24right.gif,,,,,0,0,0,0,0,1,1,23,,,,,,,,,,,,,,,,,,,,,,,86,2,1,311,1.640147572,-1.886773951,24,Experiment,,,,,,,,,94,127,-103,44,,,,,,,,,,,,,,,382.6554008,383.3948873,382.6554008,383.3948873,40.13605442,1583450065,1583450068,2.864611864,1583450062,1583450065,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
65,Stimuli/Morph65.JPG,Stimuli/Morph65.png,Stimuli/BlurLevel5/BlurEditedMorph65,Stimuli/BlurLevel5/BlurEditedMorph65.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph65.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph65.png,Stimuli/BlurMorphTrio/EditedMorph65.png,020209right.gif,Stimuli/normal_thumbnails/65right.gif,,,,,0,0,0,0,0,2,2,64,,,,,,,,,,,,,,,,,,,,,,,34,3,1,209,-2.186549268,-1.212024051,65,Experiment,,,,,,,,,50,50,15,15,,,,,,,,,,,,,,,389.0579319,389.7856505,389.0579319,389.7856505,79.59183673,1583450072,1583450074,2.111852646,1583450069,1583450072,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
8,Stimuli/Morph8.JPG,Stimuli/Morph8.png,Stimuli/BlurLevel5/BlurEditedMorph8,Stimuli/BlurLevel5/BlurEditedMorph8.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph8.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph8.png,Stimuli/BlurMorphTrio/EditedMorph8.png,010014right.gif,Stimuli/normal_thumbnails/8right.gif,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,33,4,1,282,0.519779227,-2.445369002,8,Experiment,,,,,,,,,4,141,-133,14,,,,,,,,,,,,,,,394.620034,395.352407,394.620034,395.352407,80.95238095,1583450077,1583450080,2.821001768,1583450074,1583450077,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
93,Stimuli/Morph93.JPG,Stimuli/Morph93.png,Stimuli/BlurLevel5/BlurEditedMorph93,Stimuli/BlurLevel5/BlurEditedMorph93.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph93.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph93.png,Stimuli/BlurMorphTrio/EditedMorph93.png,020280right.gif,Stimuli/normal_thumbnails/93right.gif,,,,,0,0,0,0,0,4,4,92,,,,,,,,,,,,,,,,,,,,,,,14,5,1,96,-0.261321158,2.486304738,93,Experiment,,,,,,,,,107,97,-4,-4,,,,,,,,,,,,,,,400.958493,401.6816825,400.958493,401.6816825,94.55782313,1583450084,1583450086,2.080129862,1583450081,1583450084,,,EK,1,20,female,undergrad,2020_Mar_05_1508,AdjustEyeTrack,3.1.5,60.01269869
