stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
133,Stimuli/Morph133.JPG,Stimuli/Morph133.png,Stimuli/BlurLevel5/BlurEditedMorph133,Stimuli/BlurLevel5/BlurEditedMorph133.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph133.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph133.png,Stimuli/BlurMorphTrio/EditedMorph133.png,None,None,0,0,0,132,,,,,,,,,58.00122274,None,58.00122274,None,58.00122274,None,58.00122274,None,58.00122274,None,58.00122274,None,58.00122274,None,58.00122274,None,58.00122274,None,58.00122274,None,58.00122274,None,61,-100,-100,11,2.454067959,0.477022488,133,training,128.1737716,128.8882562,128.1737716,128.8882562,65.98639456,1583860860,1583860867,7.615850925,15,108,25,25,1583860857,1583860860,space,2.432717969,,,,,,,,,,,,,,,,,,,,,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
57,Stimuli/Morph57.JPG,Stimuli/Morph57.png,Stimuli/BlurLevel5/BlurEditedMorph57,Stimuli/BlurLevel5/BlurEditedMorph57.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph57.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph57.png,Stimuli/BlurMorphTrio/EditedMorph57.png,010158right.gif,Stimuli/normal_thumbnails/57right.gif,0,1,1,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,-100,-100,143,-1.996588775,1.504537558,57,training,141.7506843,142.4380415,141.7506843,142.4380415,89.11564626,1583860873,1583860877,3.333228827,77,49,8,8,1583860871,1583860873,space,1.518706561,,,,,,,,,,,,,,,,,,,,,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
47,Stimuli/Morph47.JPG,Stimuli/Morph47.png,Stimuli/BlurLevel5/BlurEditedMorph47,Stimuli/BlurLevel5/BlurEditedMorph47.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph47.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph47.png,Stimuli/BlurMorphTrio/EditedMorph47.png,010130right.gif,Stimuli/normal_thumbnails/47right.gif,0,2,2,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,-100,-100,188,-2.475670172,-0.347932752,47,training,150.4171233,151.1076631,150.4171233,151.1076631,87.75510204,1583860882,1583860884,1.701352835,28,56,-9,-9,1583860879,1583860882,space,11.49135737,,,,,,,,,,,,,,,,,,,,,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
142,Stimuli/Morph142.JPG,Stimuli/Morph142.png,Stimuli/BlurLevel5/BlurEditedMorph142,Stimuli/BlurLevel5/BlurEditedMorph142.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph142.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph142.png,Stimuli/BlurMorphTrio/EditedMorph142.png,None,None,0,3,3,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,-100,-100,16,2.40315424,0.68909339,142,training,167.2306619,167.9336917,167.2306619,167.9336917,90.47619048,1583860899,1583860902,2.883805752,55,135,7,7,1583860896,1583860899,space,5.218633347,,,,,,,,,,,,,,,,,,,,,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
114,Stimuli/Morph114.JPG,Stimuli/Morph114.png,Stimuli/BlurLevel5/BlurEditedMorph114,Stimuli/BlurLevel5/BlurEditedMorph114.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph114.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph114.png,Stimuli/BlurMorphTrio/EditedMorph114.png,None,None,0,4,4,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,-100,-100,214,-2.072593931,-1.397982259,114,training,178.7328131,179.4137159,178.7328131,179.4137159,83.67346939,1583860910,1583860914,3.21610117,125,102,12,12,1583860908,1583860910,space,0.74499532,,,,,,,,,,,,,,,,,,,,,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
44,Stimuli/Morph44.JPG,Stimuli/Morph44.png,Stimuli/BlurLevel5/BlurEditedMorph44,Stimuli/BlurLevel5/BlurEditedMorph44.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph44.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph44.png,Stimuli/BlurMorphTrio/EditedMorph44.png,010126right.gif,Stimuli/normal_thumbnails/44right.gif,0,5,5,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-100,-100,100,-0.434120444,2.462019383,44,training,185.4962224,186.1454327,185.4962224,186.1454327,79.59183673,1583860917,1583860920,3.296617031,104,59,-15,-15,1583860915,1583860917,space,1.159321847,,,,,,,,,,,,,,,,,,,,,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
43,Stimuli/Morph43.JPG,Stimuli/Morph43.png,Stimuli/BlurLevel5/BlurEditedMorph43,Stimuli/BlurLevel5/BlurEditedMorph43.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph43.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph43.png,Stimuli/BlurMorphTrio/EditedMorph43.png,010124right.gif,Stimuli/normal_thumbnails/43right.gif,0,6,6,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-100,-100,301,1.287595187,-2.142918252,43,training,193.1578999,193.850991,193.1578999,193.850991,93.19727891,1583860925,1583860931,6.300741673,108,48,-5,-5,1583860922,1583860925,space,0.686132612,,,,,,,,,,,,,,,,,,,,,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
129,Stimuli/Morph129.JPG,Stimuli/Morph129.png,Stimuli/BlurLevel5/BlurEditedMorph129,Stimuli/BlurLevel5/BlurEditedMorph129.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph129.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph129.png,Stimuli/BlurMorphTrio/EditedMorph129.png,None,None,0,7,7,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,-100,-100,276,0.261321158,-2.486304738,129,training,203.3397479,204.0178211,203.3397479,204.0178211,31.97278912,1583860935,1583860942,6.792605162,102,79,50,50,1583860932,1583860935,space,1.139845002,,,,,,,,,,,,,,,,,,,,,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
126,Stimuli/Morph126.JPG,Stimuli/Morph126.png,Stimuli/BlurLevel5/BlurEditedMorph126,Stimuli/BlurLevel5/BlurEditedMorph126.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph126.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph126.png,Stimuli/BlurMorphTrio/EditedMorph126.png,None,None,0,8,8,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,-100,-100,119,-1.212024051,2.186549268,126,training,214.696249,215.3904634,214.696249,215.3904634,89.11564626,1583860946,1583860950,3.917133808,121,134,-8,-8,1583860944,1583860946,space,0.959091915,,,,,,,,,,,,,,,,,,,,,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
144,Stimuli/Morph144.JPG,Stimuli/Morph144.png,Stimuli/BlurLevel5/BlurEditedMorph144,Stimuli/BlurLevel5/BlurEditedMorph144.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph144.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph144.png,Stimuli/BlurMorphTrio/EditedMorph144.png,None,None,0,9,9,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,-100,-100,311,1.640147572,-1.886773951,144,training,223.1295253,223.8294195,223.1295253,223.8294195,87.75510204,1583860955,1583860963,8.182781219,41,135,9,9,1583860952,1583860955,space,2.961211932,,,,,,,,,,,,,,,,,,,,,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,-100,,,,,training,,,,,,,,,,,,,,,,,237.4623027,None,237.4623027,None,237.4623027,None,space,86.04170656,237.4623027,None,,,,,,,,,,,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
95,Stimuli/Morph95.JPG,Stimuli/Morph95.png,Stimuli/BlurLevel5/BlurEditedMorph95,Stimuli/BlurLevel5/BlurEditedMorph95.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph95.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph95.png,Stimuli/BlurMorphTrio/EditedMorph95.png,020287right.gif,Stimuli/normal_thumbnails/95right.gif,,,,,0,0,0,0,0,0,0,94,,,,,,,,,,,,,,,,,,,,,,,56,1,1,83,0.304673359,2.481365379,95,Experiment,,,,,,,,,9,100,-5,-5,,,,,,,,,,,,,,,324.9279635,325.6278641,324.9279635,325.6278641,93.19727891,1583861057,1583861061,3.951544762,1583861054,1583861057,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
4,Stimuli/Morph4.JPG,Stimuli/Morph4.png,Stimuli/BlurLevel5/BlurEditedMorph4,Stimuli/BlurLevel5/BlurEditedMorph4.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph4.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph4.png,Stimuli/BlurMorphTrio/EditedMorph4.png,010010right.gif,Stimuli/normal_thumbnails/4right.gif,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,19,2,1,64,1.095927867,2.246985116,4,Experiment,,,,,,,,,37,139,-135,12,,,,,,,,,,,,,,,332.6931994,333.3932519,332.6931994,333.3932519,83.67346939,1583861064,1583861067,3.014436007,1583861061,1583861064,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
8,Stimuli/Morph8.JPG,Stimuli/Morph8.png,Stimuli/BlurLevel5/BlurEditedMorph8,Stimuli/BlurLevel5/BlurEditedMorph8.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph8.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph8.png,Stimuli/BlurMorphTrio/EditedMorph8.png,010014right.gif,Stimuli/normal_thumbnails/8right.gif,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,83,3,1,140,-1.915111108,1.606969024,8,Experiment,,,,,,,,,140,4,4,4,,,,,,,,,,,,,,,339.1403878,339.8264746,339.1403878,339.8264746,94.55782313,1583861071,1583861073,1.849017143,1583861068,1583861071,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
91,Stimuli/Morph91.JPG,Stimuli/Morph91.png,Stimuli/BlurLevel5/BlurEditedMorph91,Stimuli/BlurLevel5/BlurEditedMorph91.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph91.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph91.png,Stimuli/BlurMorphTrio/EditedMorph91.png,020276right.gif,Stimuli/normal_thumbnails/91right.gif,,,,,0,0,0,0,0,3,3,90,,,,,,,,,,,,,,,,,,,,,,,93,4,1,81,0.391086163,2.469220851,91,Experiment,,,,,,,,,95,95,-4,-4,,,,,,,,,,,,,,,345.3665453,346.085024,345.3665453,346.085024,94.55782313,1583861077,1583861078,0.919680119,1583861073,1583861077,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
123,Stimuli/Morph123.JPG,Stimuli/Morph123.png,Stimuli/BlurLevel5/BlurEditedMorph123,Stimuli/BlurLevel5/BlurEditedMorph123.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph123.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph123.png,Stimuli/BlurMorphTrio/EditedMorph123.png,None,None,,,,,0,0,0,0,0,4,4,122,,,,,,,,,,,,,,,,,,,,,,,93,5,1,38,1.970026884,1.539153688,123,Experiment,,,,,,,,,15,104,19,19,,,,,,,,,,,,,,,349.8931383,350.6267002,349.8931383,350.6267002,74.14965986,1583861082,1583861084,2.687985897,1583861079,1583861082,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
65,Stimuli/Morph65.JPG,Stimuli/Morph65.png,Stimuli/BlurLevel5/BlurEditedMorph65,Stimuli/BlurLevel5/BlurEditedMorph65.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph65.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph65.png,Stimuli/BlurMorphTrio/EditedMorph65.png,020209right.gif,Stimuli/normal_thumbnails/65right.gif,,,,,0,0,0,0,0,5,5,64,,,,,,,,,,,,,,,,,,,,,,,69,6,1,21,2.333951066,0.895919874,65,Experiment,,,,,,,,,71,71,-6,-6,,,,,,,,,,,,,,,356.183211,356.881336,356.183211,356.881336,91.83673469,1583861088,1583861089,0.916432142,1583861085,1583861088,,,HY,1,20,male,undergrad,2020_Mar_10_1019,AdjustEyeTrack,3.1.5,59.80971921
