stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
87,Stimuli/Morph87.JPG,Stimuli/Morph87.png,Stimuli/BlurLevel5/BlurEditedMorph87,Stimuli/BlurLevel5/BlurEditedMorph87.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph87.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph87.png,Stimuli/BlurMorphTrio/EditedMorph87.png,020270right.gif,Stimuli/normal_thumbnails/87right.gif,0,0,0,86,,,,,,,,,54.23448803,None,54.23448803,None,54.23448803,None,54.23448803,None,54.23448803,None,54.23448803,None,54.23448803,None,54.23448803,None,54.23448803,None,54.23448803,None,54.23448803,None,100,-100,-100,74,0.68909339,2.40315424,87,training,131.0706282,131.7639748,131.0706282,131.7639748,83.67346939,1583521560,1583521564,3.349452019,47,99,-12,-12,1583521558,1583521560,space,2.254962248,,,,,,,,,,,,,,,,,,,,,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
65,Stimuli/Morph65.JPG,Stimuli/Morph65.png,Stimuli/BlurLevel5/BlurEditedMorph65,Stimuli/BlurLevel5/BlurEditedMorph65.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph65.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph65.png,Stimuli/BlurMorphTrio/EditedMorph65.png,020209right.gif,Stimuli/normal_thumbnails/65right.gif,0,1,1,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,-100,-100,247,-0.976827821,-2.301262134,65,training,139.8079459,140.5169358,139.8079459,140.5169358,93.19727891,1583521569,1583521574,4.666954994,114,70,-5,-5,1583521567,1583521569,space,49.35637801,,,,,,,,,,,,,,,,,,,,,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
127,Stimuli/Morph127.JPG,Stimuli/Morph127.png,Stimuli/BlurLevel5/BlurEditedMorph127,Stimuli/BlurLevel5/BlurEditedMorph127.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph127.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph127.png,Stimuli/BlurMorphTrio/EditedMorph127.png,None,None,0,2,2,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-100,-100,251,-0.813920386,-2.363796439,127,training,196.9383323,197.6239313,196.9383323,197.6239313,82.31292517,1583521626,1583521633,6.483336926,114,114,13,13,1583521624,1583521626,space,1.63917484,,,,,,,,,,,,,,,,,,,,,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
83,Stimuli/Morph83.JPG,Stimuli/Morph83.png,Stimuli/BlurLevel5/BlurEditedMorph83,Stimuli/BlurLevel5/BlurEditedMorph83.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph83.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph83.png,Stimuli/BlurMorphTrio/EditedMorph83.png,020259right.gif,Stimuli/normal_thumbnails/83right.gif,0,3,3,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,-100,-100,243,-1.134976249,-2.22751631,83,training,208.6186668,209.3291065,208.6186668,209.3291065,68.70748299,1583521638,1583521640,2.117823124,123,106,-23,-23,1583521635,1583521638,space,11.71496858,,,,,,,,,,,,,,,,,,,,,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
106,Stimuli/Morph106.JPG,Stimuli/Morph106.png,Stimuli/BlurLevel5/BlurEditedMorph106,Stimuli/BlurLevel5/BlurEditedMorph106.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph106.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph106.png,Stimuli/BlurMorphTrio/EditedMorph106.png,None,None,0,4,4,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,-100,-100,206,-2.246985116,-1.095927867,106,training,226.0569595,226.7457459,226.0569595,226.7457459,57.82312925,1583521655,1583521658,2.880645037,25,137,-31,-31,1583521652,1583521655,space,7.373926625,,,,,,,,,,,,,,,,,,,,,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
5,Stimuli/Morph5.JPG,Stimuli/Morph5.png,Stimuli/BlurLevel5/BlurEditedMorph5,Stimuli/BlurLevel5/BlurEditedMorph5.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph5.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph5.png,Stimuli/BlurMorphTrio/EditedMorph5.png,010011right.gif,Stimuli/normal_thumbnails/5right.gif,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,-100,-100,41,1.886773951,1.640147572,5,training,239.7719366,240.4752844,239.7719366,240.4752844,89.11564626,1583521669,1583521672,2.400063992,107,144,-139,8,1583521666,1583521669,space,8.133631146,,,,,,,,,,,,,,,,,,,,,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
98,Stimuli/Morph98.JPG,Stimuli/Morph98.png,Stimuli/BlurLevel5/BlurEditedMorph98,Stimuli/BlurLevel5/BlurEditedMorph98.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph98.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph98.png,Stimuli/BlurMorphTrio/EditedMorph98.png,020298right.gif,Stimuli/normal_thumbnails/98right.gif,0,6,6,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,-100,-100,124,-1.397982259,2.072593931,98,training,253.6911229,254.3781224,253.6911229,254.3781224,59.18367347,1583521683,1583521687,3.434806108,44,128,-30,-30,1583521680,1583521683,space,2.803815644,,,,,,,,,,,,,,,,,,,,,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
8,Stimuli/Morph8.JPG,Stimuli/Morph8.png,Stimuli/BlurLevel5/BlurEditedMorph8,Stimuli/BlurLevel5/BlurEditedMorph8.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph8.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph8.png,Stimuli/BlurMorphTrio/EditedMorph8.png,010014right.gif,Stimuli/normal_thumbnails/8right.gif,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,-100,-100,140,-1.915111108,1.606969024,8,training,263.5117738,264.2393611,263.5117738,264.2393611,86.39455782,1583521693,1583521695,2.217320204,8,145,-137,10,1583521690,1583521693,space,2.02495537,,,,,,,,,,,,,,,,,,,,,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
79,Stimuli/Morph79.JPG,Stimuli/Morph79.png,Stimuli/BlurLevel5/BlurEditedMorph79,Stimuli/BlurLevel5/BlurEditedMorph79.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph79.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph79.png,Stimuli/BlurMorphTrio/EditedMorph79.png,020239right.gif,Stimuli/normal_thumbnails/79right.gif,0,8,8,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-100,-100,218,-1.970026884,-1.539153688,79,training,271.3565141,272.0743673,271.3565141,272.0743673,48.29931973,1583521701,1583521704,2.834080935,135,117,-38,-38,1583521698,1583521701,space,1.437945538,,,,,,,,,,,,,,,,,,,,,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
100,Stimuli/Morph100.JPG,Stimuli/Morph100.png,Stimuli/BlurLevel5/BlurEditedMorph100,Stimuli/BlurLevel5/BlurEditedMorph100.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph100.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph100.png,Stimuli/BlurMorphTrio/EditedMorph100.png,020297right.gif,Stimuli/normal_thumbnails/100right.gif,0,9,9,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,-100,-100,212,-2.12012024,-1.324798161,100,training,279.043861,279.7505462,279.043861,279.7505462,70.06802721,1583521708,1583521710,1.867105246,102,122,-22,-22,1583521706,1583521708,space,0.954840903,,,,,,,,,,,,,,,,,,,,,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,-100,,,,,training,,,,,,,,,,,,,,,,,284.932561,None,284.932561,None,284.932561,None,space,90.42240283,284.932561,None,,,,,,,,,,,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
7,Stimuli/Morph7.JPG,Stimuli/Morph7.png,Stimuli/BlurLevel5/BlurEditedMorph7,Stimuli/BlurLevel5/BlurEditedMorph7.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph7.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph7.png,Stimuli/BlurMorphTrio/EditedMorph7.png,010013right.gif,Stimuli/normal_thumbnails/7right.gif,,,,,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,44,1,1,157,-2.301262134,0.976827821,7,Experiment,,,,,,,,,115,141,-134,13,,,,,,,,,,,,,,,376.8092545,377.4982623,376.8092545,377.4982623,82.31292517,1583521806,1583521808,1.434042931,1583521803,1583521806,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
110,Stimuli/Morph110.JPG,Stimuli/Morph110.png,Stimuli/BlurLevel5/BlurEditedMorph110,Stimuli/BlurLevel5/BlurEditedMorph110.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph110.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph110.png,Stimuli/BlurMorphTrio/EditedMorph110.png,None,None,,,,,0,0,0,0,0,1,1,109,,,,,,,,,,,,,,,,,,,,,,,45,2,1,281,0.477022488,-2.454067959,110,Experiment,,,,,,,,,132,106,4,4,,,,,,,,,,,,,,,381.3790721,382.065336,381.3790721,382.065336,94.55782313,1583521811,1583521813,2.016757727,1583521808,1583521811,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
45,Stimuli/Morph45.JPG,Stimuli/Morph45.png,Stimuli/BlurLevel5/BlurEditedMorph45,Stimuli/BlurLevel5/BlurEditedMorph45.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph45.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph45.png,Stimuli/BlurMorphTrio/EditedMorph45.png,010127right.gif,Stimuli/normal_thumbnails/45right.gif,,,,,0,0,0,0,0,2,2,44,,,,,,,,,,,,,,,,,,,,,,,17,3,1,286,0.68909339,-2.40315424,45,Experiment,,,,,,,,,29,56,-11,-11,,,,,,,,,,,,,,,386.8823298,387.5870141,386.8823298,387.5870141,85.03401361,1583521816,1583521818,1.550942898,1583521813,1583521816,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
90,Stimuli/Morph90.JPG,Stimuli/Morph90.png,Stimuli/BlurLevel5/BlurEditedMorph90,Stimuli/BlurLevel5/BlurEditedMorph90.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph90.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph90.png,Stimuli/BlurMorphTrio/EditedMorph90.png,020275right.gif,Stimuli/normal_thumbnails/90right.gif,,,,,0,0,0,0,0,3,3,89,,,,,,,,,,,,,,,,,,,,,,,15,4,1,93,-0.130839891,2.496573837,90,Experiment,,,,,,,,,139,113,-23,-23,,,,,,,,,,,,,,,391.729869,392.4154376,391.729869,392.4154376,68.70748299,1583521821,1583521823,2.166673899,1583521818,1583521821,,,SA,1,21,female,undergrad,2020_Mar_06_1104,AdjustEyeTrack,3.1.5,60.01659291
