stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
67.0,72.0,1.09988308,1.0,1.0,199.0,133.0,235.0,78.0,-55.0,-55.0,-66.0,-5.576673264667513e-16,1.183743201289576,0.627906976744186
58.0,70.0,4.300511122,2.0,1.0,0.0,135.0,277.0,143.0,8.0,8.0,71.0,8.948503410085541e-17,1.9444971667395414,0.5558441558441558
57.0,76.0,11.38290095,3.0,1.0,331.0,127.0,29.0,144.0,17.0,17.0,-70.0,-1.2895557098153314e-16,0.3210333381612435,0.17346938775510204
133.0,78.0,3.53169179,4.0,1.0,235.0,25.0,171.0,26.0,1.0,1.0,-40.0,-6.229966106080228e-09,1.0681482522980308,0.04785894206549118
135.0,143.0,3.316788912,5.0,1.0,277.0,101.0,160.0,104.0,3.0,3.0,34.0,6.331178267833231e-07,1.5716142225040473,-0.09113924050632911
127.0,144.0,5.683295965,6.0,1.0,29.0,131.0,301.0,140.0,9.0,9.0,-4.0,-0.5785647110042144,-0.48125447768629986,-0.291358024691358
25.0,26.0,3.232711792,7.0,1.0,171.0,5.0,67.0,5.0,0.0,0.0,20.0,0.007427064998789642,-0.5120148469257112,-0.3073170731707317
101.0,104.0,3.763752222,8.0,1.0,160.0,122.0,82.0,12.0,38.0,38.0,-21.0,-0.004288580650608112,1.9316753961834,-0.03827751196172249
131.0,140.0,1.09992075,9.0,1.0,301.0,108.0,89.0,112.0,4.0,4.0,23.0,0.001333826981547803,-0.6205432478388796,0.13921113689095127
5.0,5.0,12.28266764,10.0,1.0,67.0,126.0,350.0,111.0,-15.0,-15.0,27.0,0.0001012094441219946,-0.8539828150910936,0.17467248908296942
122.0,12.0,9.433410882999999,11.0,1.0,82.0,30.0,187.0,32.0,2.0,2.0,-56.0,-7.573842708798013e-14,0.46590219195159527,0.4810126582278481
108.0,112.0,4.436342955,12.0,1.0,89.0,128.0,190.0,111.0,-17.0,-17.0,-20.0,-0.007427064998789642,2.1061352058794363,0.40357852882703776
