stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
34.0,137.0,0.10022401800000001,1.0,1.0,143.0,117.0,239.0,97.0,-20.0,-20.0,65.0,0.04941648520071808,3.410041546221821,-3.75
20.0,8.0,5.616877079,2.0,1.0,292.0,138.0,245.0,48.0,58.0,58.0,30.0,1.4445930829753262,15.454366814787168,-4.096774193548387
117.0,97.0,1.9167568680000002,3.0,1.0,239.0,134.0,111.0,44.0,58.0,58.0,-17.0,-2.5043424645415477,4.8455890329691815,-2.533333333333333
138.0,48.0,1.249753952,4.0,1.0,245.0,96.0,2.0,109.0,13.0,13.0,42.0,0.5350193788907666,7.907114679014656,-1.7142857142857142
134.0,44.0,4.049585819,5.0,1.0,111.0,52.0,111.0,65.0,13.0,13.0,-66.0,-0.04325034363601748,6.160979404063978,-1.2758620689655173
96.0,109.0,3.790761948,6.0,1.0,2.0,62.0,67.0,145.0,-65.0,-65.0,34.0,1.0731432654383528,4.668278030961368,0.06451612903225806
52.0,65.0,6.699443817000001,7.0,1.0,111.0,28.0,95.0,35.0,7.0,7.0,24.0,2.0490956091376002,1.6386256406625175,0.45161290322580644
62.0,145.0,4.60065794,8.0,1.0,67.0,76.0,270.0,67.0,-9.0,-9.0,-14.0,-2.481192453452831,3.8474619530166843,0.4411764705882353
28.0,35.0,6.750436783,9.0,1.0,95.0,57.0,33.0,52.0,-5.0,-5.0,-29.0,-1.5449037568666444,7.153594039151029,0.2
76.0,67.0,2.002812862,10.0,1.0,270.0,144.0,141.0,1.0,5.0,5.0,-68.0,-0.032079427683863466,2.9639510850345596,1.3611111111111112
57.0,52.0,2.4006600380000003,11.0,1.0,33.0,107.0,313.0,107.0,0.0,0.0,-50.0,-0.24726075456901458,-2.8484409010776393,1.2432432432432432
144.0,1.0,3.051329851,12.0,1.0,141.0,91.0,294.0,111.0,20.0,20.0,53.0,0.18321961796889907,3.836213030704925,1.1842105263157894
107.0,107.0,2.566616058,13.0,1.0,313.0,33.0,90.0,34.0,1.0,1.0,-74.0,-0.004263176376175607,0.5411935326341204,2.4571428571428573
91.0,111.0,1.81577301,14.0,1.0,294.0,43.0,301.0,41.0,-2.0,-2.0,48.0,0.3011527832515842,3.9710981692626923,2.0294117647058822
33.0,34.0,2.349342108,15.0,1.0,90.0,83.0,188.0,94.0,11.0,11.0,-50.0,-0.24726075456901458,-1.9396456664810837,2.638888888888889
43.0,41.0,2.8006258010000002,16.0,1.0,301.0,123.0,121.0,91.0,-32.0,-32.0,68.0,0.032079427683863466,7.212733847390227,3.342857142857143
83.0,94.0,2.7846739289999998,17.0,1.0,188.0,25.0,62.0,10.0,-15.0,-15.0,58.0,0.10970360479239276,2.860394943086187,3.6
123.0,91.0,0.866202831,18.0,1.0,121.0,45.0,216.0,50.0,5.0,5.0,-70.0,-0.022104019835128514,13.021661839057241,3.3823529411764706
25.0,10.0,2.763196945,19.0,1.0,62.0,102.0,320.0,105.0,3.0,3.0,71.0,0.017444750907907487,2.689724598672858,2.96875
45.0,50.0,4.233260155,20.0,1.0,216.0,112.0,135.0,94.0,-18.0,-18.0,-67.0,-0.03748991243574765,2.0445315243358597,3.2941176470588234
102.0,105.0,0.7875859740000001,21.0,1.0,320.0,93.0,302.0,106.0,13.0,13.0,9.0,2.016178471094277,0.20084025508199616,3.2058823529411766
112.0,94.0,2.481980085,22.0,1.0,135.0,97.0,231.0,106.0,9.0,9.0,15.0,2.508405911051011,3.318107545983358,5.935483870967742
93.0,106.0,5.1034970280000005,23.0,1.0,302.0,5.0,247.0,30.0,25.0,25.0,-60.0,-0.08862750463956884,6.096333238392877,6.588235294117647
97.0,106.0,3.449840069,24.0,1.0,231.0,126.0,184.0,4.0,26.0,26.0,-29.0,-1.5449037568666444,4.343364499031454,6.454545454545454
5.0,30.0,4.1501419539999995,25.0,1.0,247.0,29.0,326.0,33.0,4.0,4.0,-24.0,-2.0490956091376002,3.0680431846196035,4.722222222222222
126.0,4.0,3.019410133,26.0,1.0,184.0,8.0,354.0,20.0,12.0,12.0,-30.0,-1.4445930829753262,5.526570756251731,5.297297297297297
29.0,33.0,2.183406115,27.0,1.0,326.0,137.0,337.0,143.0,6.0,6.0,40.0,0.6428172884065764,9.469657895226945,3.861111111111111
8.0,20.0,2.71752286,28.0,1.0,354.0,89.0,121.0,102.0,13.0,13.0,67.0,0.03748991243574765,1.4438647411516559,3.7777777777777777
137.0,143.0,2.816473246,29.0,1.0,337.0,11.0,29.0,2.0,-9.0,-9.0,-22.0,-2.2282359603544712,3.4891617732900095,4.484848484848484
89.0,102.0,5.500801086,30.0,1.0,121.0,139.0,336.0,4.0,13.0,13.0,-50.0,-0.24726075456901458,5.486180641192941,4.771428571428571
11.0,2.0,2.319443941,31.0,1.0,29.0,140.0,236.0,9.0,17.0,17.0,19.0,2.4324500273755936,3.9925683002886196,3.3714285714285714
139.0,4.0,1.15195322,32.0,1.0,336.0,81.0,103.0,95.0,14.0,14.0,58.0,0.10970360479239276,4.433880021430884,3.5588235294117645
140.0,9.0,2.465961218,33.0,1.0,236.0,111.0,135.0,94.0,-17.0,-17.0,29.0,1.5449037568666444,6.247384369381354,3.696969696969697
81.0,95.0,2.466490746,34.0,1.0,103.0,46.0,18.0,53.0,7.0,7.0,35.0,0.9900796087422852,8.922891220839537,2.638888888888889
111.0,94.0,0.799839973,35.0,1.0,135.0,135.0,69.0,3.0,16.0,16.0,-24.0,-2.0490956091376002,1.2230756732897763,2.4324324324324325
46.0,53.0,2.0333709719999997,36.0,1.0,18.0,143.0,18.0,11.0,16.0,16.0,51.0,0.22386646979464667,4.77699833409238,1.6486486486486487
