stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
67.0,72.0,4.49972105,1.0,1.0,199.0,57.0,331.0,76.0,19.0,19.39636826913263,10.0,1.348722358822578,4.330617874768545,-0.013359904776352792
58.0,70.0,4.3158438210000005,2.0,1.0,0.0,133.0,235.0,78.0,-55.0,-57.20350586740324,73.0,0.006083892514747498,1.543628133463759,-0.21239781406374877
57.0,76.0,3.1833908560000004,3.0,1.0,331.0,135.0,277.0,143.0,8.0,4.502547505542279,70.0,0.01568138630614377,0.9219908202361524,-0.04141701991816796
133.0,78.0,1.09988308,4.0,1.0,235.0,127.0,29.0,144.0,17.0,20.343473059612702,6.0,0.9206032937859555,1.9193311690739876,-0.15096175123021793
135.0,143.0,4.300511122,5.0,1.0,277.0,25.0,171.0,26.0,1.0,3.3536419565294286,-38.0,-0.5114793933474729,1.8729311561253525,0.11699148923067726
127.0,144.0,11.38290095,6.0,1.0,29.0,101.0,160.0,104.0,3.0,-0.3158434835805961,26.0,1.1941560342385786,1.6177868701818527,-0.17516465852853985
25.0,26.0,3.53169179,7.0,1.0,171.0,131.0,301.0,140.0,9.0,8.49882129593534,42.0,0.360242476864058,2.1246950022442936,-0.10177506287739455
101.0,104.0,3.316788912,8.0,1.0,160.0,5.0,67.0,5.0,0.0,4.637950696558619,-52.0,-0.13990084157710814,2.2922956679673274,-0.3408015486577255
131.0,140.0,5.683295965,9.0,1.0,301.0,122.0,82.0,12.0,38.0,45.19356556307659,9.0,1.2609623910711447,2.1067157193398556,-0.2973452649496602
5.0,5.0,3.232711792,10.0,1.0,67.0,108.0,89.0,112.0,4.0,7.495575722027955,45.0,0.27347103173541804,1.3389575962049514,-0.5890744229503522
122.0,12.0,3.763752222,11.0,1.0,82.0,126.0,350.0,111.0,-15.0,-10.739335982577526,-4.0,-0.6392249178137384,3.2191454281648566,-0.7271137527894772
108.0,112.0,1.09992075,12.0,1.0,89.0,30.0,187.0,32.0,2.0,2.9689935530162925,-70.0,-0.01568138630614377,2.205892531788636,-0.359962603601594
126.0,111.0,12.28266764,13.0,1.0,350.0,128.0,190.0,111.0,-17.0,-14.612945287179858,-2.0,-0.3275419522991043,0.9328609965610551,-0.2237835269328438
30.0,32.0,9.433410882999999,14.0,1.0,187.0,80.0,100.0,72.0,-8.0,-16.92311197064078,-50.0,-0.16996124521157704,1.6100507855996125,-0.2216409314799955
128.0,111.0,4.436342955,15.0,1.0,190.0,138.0,237.0,31.0,41.0,36.70236021083771,-10.0,-1.348722358822578,1.2251866793091863,0.04045630371292141
80.0,72.0,3.499443769,16.0,1.0,100.0,124.0,227.0,105.0,-19.0,-13.095869524663595,-44.0,-0.3000768979428931,1.8480485424520043,0.2068767411514186
138.0,31.0,6.599967241,17.0,1.0,237.0,63.0,210.0,66.0,3.0,2.3202726412887325,-73.0,-0.006083892514747498,1.8346099453421345,-0.18639560622692897
124.0,105.0,2.2510747909999997,18.0,1.0,227.0,56.0,31.0,83.0,27.0,27.447065265336477,68.0,0.022727006016657253,1.5383783173714405,-0.23495337415765852
63.0,66.0,2.783049107,19.0,1.0,210.0,49.0,30.0,64.0,15.0,15.120696462325473,14.0,1.561753453636968,1.1982558011285407,-0.4802262987092315
56.0,83.0,7.382296801,20.0,1.0,31.0,114.0,1.0,92.0,-22.0,-14.349132806631925,-58.0,-0.07669888105570333,2.4051807366945415,-0.702369916655258
49.0,64.0,4.0335958,21.0,1.0,30.0,45.0,199.0,46.0,1.0,0.7419135177720735,4.0,0.6392249178137384,1.4246799332414493,-0.7742897823359484
114.0,92.0,3.782966614,22.0,1.0,1.0,32.0,291.0,31.0,-1.0,-0.5082889685527823,-66.0,-0.030585454910425792,1.7131924133494032,-0.3592189625166427
45.0,46.0,2.965490103,23.0,1.0,199.0,84.0,215.0,90.0,6.0,-4.267122718192486,-39.0,-0.46958776688278697,1.4088884909818895,-0.2998498966110947
32.0,31.0,2.2664079669999997,24.0,1.0,291.0,35.0,265.0,38.0,3.0,2.9371799262385645,-3.0,-0.48631747974381384,1.1324090506949394,-0.6466193418809643
84.0,90.0,5.6665780539999995,25.0,1.0,215.0,64.0,176.0,75.0,11.0,10.00342953780832,20.0,1.5114252487017295,1.4106149632013376,-0.6051540196699753
35.0,38.0,6.299943924,26.0,1.0,265.0,15.0,57.0,22.0,7.0,11.318227360278678,20.0,1.5114252487017295,1.8046243166543148,-0.6321477809788485
