stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
58.0,70.0,4.300511122,2.0,1.0,0.0,135.0,277.0,143.0,8.0,4.427407174397517,71.0,-0.003603858598432351,-0.5966900372049231,0.11587432672625825
57.0,76.0,11.38290095,3.0,1.0,331.0,127.0,29.0,144.0,17.0,20.813614855389872,-70.0,0.004564035944264718,-0.486876424191001,0.181434907684155
133.0,78.0,3.53169179,4.0,1.0,235.0,25.0,171.0,26.0,1.0,3.452658594776162,-40.0,0.12528548867172082,0.2743380418774177,0.039320385981271876
135.0,143.0,3.316788912,5.0,1.0,277.0,101.0,160.0,104.0,3.0,-0.3028662007813079,34.0,-0.205722009439862,-0.07738220387679348,-0.009753287962593197
127.0,144.0,5.683295965,6.0,1.0,29.0,131.0,301.0,140.0,9.0,8.742652940504472,-4.0,0.1860454492210647,0.026590987932172624,0.047213640668563386
25.0,26.0,3.232711792,7.0,1.0,171.0,5.0,67.0,5.0,0.0,4.4914483331451045,20.0,-0.4398979183535224,-0.4052861801309678,-0.25262850386592334
101.0,104.0,3.763752222,8.0,1.0,160.0,122.0,82.0,12.0,38.0,45.7518522462948,-21.0,0.42807368041849814,-0.5934463248565086,-0.28944514864765986
131.0,140.0,1.09992075,9.0,1.0,301.0,108.0,89.0,112.0,4.0,7.630939875360854,23.0,-0.3992239030491842,-0.24365856614401368,-0.32030952097174364
5.0,5.0,12.28266764,10.0,1.0,67.0,126.0,350.0,111.0,-15.0,-10.234058780381572,27.0,-0.3292089742744989,-0.6525716461515265,-0.07121369577464476
122.0,12.0,9.433410882999999,11.0,1.0,82.0,30.0,187.0,32.0,2.0,2.9489766148668526,-56.0,0.027374376385151424,-0.6268249339033685,-0.14752729994129368
108.0,112.0,4.436342955,12.0,1.0,89.0,128.0,190.0,111.0,-17.0,-14.186901130141889,-20.0,0.4398979183535224,0.4253667607118174,-0.007527661581827608
126.0,111.0,3.499443769,13.0,1.0,350.0,80.0,100.0,72.0,-8.0,-16.139722052961744,46.0,-0.07247413434834614,-0.40425843532894856,0.0774071568562145
