stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
103.0,117.0,6.900277138,1.0,1.0,178.0,129.0,68.0,114.0,-15.0,-15.0,-26.0,-0.05849363495813955,4.011396801346845,5.481481481481482
145.0,126.0,3.08212018,2.0,1.0,151.0,11.0,347.0,9.0,-2.0,-2.0,-14.0,-1.649524562958307,5.053595427384894,5.4
129.0,114.0,2.982511997,3.0,1.0,68.0,90.0,163.0,114.0,24.0,24.0,39.0,0.00029074646651015823,2.7312752781103944,5.4
11.0,9.0,9.582818985,4.0,1.0,347.0,35.0,356.0,39.0,4.0,4.0,-24.0,-0.11770489585071127,8.088888457827862,4.074074074074074
90.0,114.0,3.3495609760000002,5.0,1.0,163.0,125.0,77.0,130.0,5.0,5.0,-35.0,-0.0016257214796744496,-1.1554650833626168,3.5
35.0,39.0,2.80074501,6.0,1.0,356.0,12.0,246.0,15.0,3.0,3.0,23.0,0.16401659324775553,-1.0708773274259364,2.185185185185185
125.0,130.0,6.283191919,7.0,1.0,77.0,140.0,309.0,136.0,-4.0,-4.0,-15.0,-1.3693976448124203,-2.2988152757120996,2.64
12.0,15.0,2.532427073,8.0,1.0,246.0,70.0,226.0,48.0,-22.0,-22.0,-58.0,-1.4849976030069465e-07,4.734647477712336,1.0666666666666667
140.0,136.0,7.516113997000001,9.0,1.0,309.0,101.0,299.0,112.0,11.0,11.0,39.0,0.00029074646651015823,-2.2557057453393834,2.6363636363636362
70.0,48.0,4.149353027,10.0,1.0,226.0,36.0,81.0,125.0,-59.0,-59.0,34.0,0.0024818789825479665,11.340123841988724,2.4705882352941178
101.0,112.0,6.305679082999999,11.0,1.0,299.0,17.0,16.0,20.0,3.0,3.0,-64.0,-2.4183820704317268e-08,7.153100460983444,2.25
36.0,125.0,8.515903234,12.0,1.0,81.0,41.0,251.0,42.0,1.0,1.0,-5.0,-2.769234054641928,-2.272742155699627,2.72972972972973
17.0,20.0,5.803548097999999,13.0,1.0,16.0,147.0,168.0,138.0,-9.0,-9.0,18.0,0.6987967529885749,-2.898795018150973,2.8333333333333335
41.0,42.0,3.816026211,14.0,1.0,251.0,67.0,119.0,55.0,-12.0,-12.0,-26.0,-0.05849363495813955,-1.406965830902662,2.473684210526316
147.0,138.0,4.799834013,15.0,1.0,168.0,120.0,38.0,117.0,-3.0,-3.0,27.0,0.04056807560924365,6.127742361017381,3.925
67.0,55.0,4.381584167,16.0,1.0,119.0,108.0,12.0,115.0,7.0,7.0,-41.0,-0.00012212407715380804,-3.67319779530918,3.65
120.0,117.0,3.9216132160000003,17.0,1.0,38.0,58.0,55.0,46.0,-12.0,-12.0,62.0,4.270734846769081e-08,-1.0624963789683288,3.175
108.0,115.0,4.3504970069999995,18.0,1.0,12.0,72.0,354.0,61.0,-11.0,-11.0,36.0,0.001061011446072204,20.499814861522307,3.9743589743589745
58.0,46.0,3.50000596,19.0,1.0,55.0,130.0,239.0,124.0,-6.0,-6.0,-72.0,-2.5235229126919484e-09,-0.15916329387519842,3.7567567567567566
72.0,61.0,5.61603713,20.0,1.0,354.0,137.0,192.0,130.0,-7.0,-7.0,-65.0,-1.8407544888029976e-08,6.907778972374906,3.4857142857142858
130.0,124.0,3.71389389,21.0,1.0,239.0,22.0,265.0,17.0,-5.0,-5.0,-40.0,-0.00018842248351535858,4.07112713928296,3.1219512195121952
137.0,130.0,7.615617037000001,22.0,1.0,192.0,111.0,169.0,121.0,10.0,10.0,26.0,0.05849363495813955,3.3983306577331702,2.0256410256410255
22.0,17.0,2.06703496,23.0,1.0,265.0,37.0,252.0,43.0,6.0,6.0,-15.0,-1.3693976448124203,-1.2636891690263647,2.0
111.0,121.0,2.932688236,24.0,1.0,169.0,123.0,111.0,119.0,-4.0,-4.0,-12.0,-2.245850092155078,1.416507252979769,1.9523809523809523
37.0,43.0,4.231956959,25.0,1.0,252.0,43.0,262.0,39.0,-4.0,-4.0,-6.0,-3.0013763648478555,-2.3328419359822625,2.4761904761904763
123.0,119.0,4.249533176,26.0,1.0,111.0,142.0,346.0,125.0,-17.0,-17.0,-19.0,-0.5391855249369987,2.4096562484194766,2.441860465116279
43.0,39.0,6.900948047999999,27.0,1.0,262.0,29.0,114.0,17.0,-12.0,-12.0,14.0,1.649524562958307,2.0913664435087935,2.372093023255814
142.0,125.0,5.449741125,28.0,1.0,346.0,52.0,235.0,48.0,-4.0,-4.0,-58.0,-1.4849976030069465e-07,0.7772651291053418,2.3333333333333335
29.0,17.0,4.6072390080000005,29.0,1.0,114.0,63.0,66.0,56.0,-7.0,-7.0,-34.0,-0.0024818789825479665,-10.04881164529037,4.105263157894737
52.0,48.0,4.950470209,30.0,1.0,235.0,53.0,91.0,47.0,-6.0,-6.0,-1.0,-0.6923807738331743,4.5028190546549896,2.7777777777777777
63.0,56.0,2.33291316,31.0,1.0,66.0,100.0,286.0,124.0,24.0,24.0,-37.0,-0.0006904553358135336,-3.210805680978015,2.9473684210526314
53.0,47.0,7.832525015,32.0,1.0,91.0,104.0,352.0,107.0,3.0,3.0,-51.0,-1.8757629315705809e-06,-0.524496331226454,2.973684210526316
100.0,124.0,4.272127151,33.0,1.0,286.0,83.0,286.0,56.0,-27.0,-27.0,17.0,0.8904510830492494,2.0100661392592323,1.2619047619047619
104.0,107.0,5.935321807999999,34.0,1.0,352.0,127.0,161.0,116.0,-11.0,-11.0,-23.0,-0.16401659324775553,3.3175959057033917,1.2619047619047619
83.0,56.0,7.499877214,35.0,1.0,286.0,74.0,64.0,56.0,-18.0,-18.0,9.0,2.9780091330462795,-0.5830449906352886,1.5121951219512195
127.0,116.0,2.85768795,36.0,1.0,161.0,56.0,311.0,51.0,-5.0,-5.0,71.0,3.5764151396760767e-09,6.644308062887831,0.5135135135135135
74.0,56.0,4.385262966,37.0,1.0,64.0,66.0,19.0,70.0,4.0,4.0,8.0,3.09251879705126,3.5126477113913377,0.5277777777777778
56.0,51.0,4.449882983999999,38.0,1.0,311.0,57.0,241.0,55.0,-2.0,-2.0,-1.0,-0.6923807738331743,-0.9160023510428197,0.7948717948717948
66.0,70.0,4.069510698,39.0,1.0,19.0,14.0,30.0,23.0,9.0,9.0,52.0,1.2732290545626544e-06,3.7813122724373245,0.5526315789473685
57.0,55.0,2.9534878730000003,40.0,1.0,241.0,115.0,165.0,122.0,7.0,7.0,-58.0,-1.4849976030069465e-07,3.593836182819724,0.07142857142857142
14.0,23.0,4.868451834,41.0,1.0,30.0,42.0,131.0,50.0,8.0,8.0,-28.0,-0.027860248252941613,-4.645735483761304,0.023809523809523808
115.0,122.0,3.6662278180000003,42.0,1.0,165.0,64.0,329.0,52.0,-12.0,-12.0,51.0,1.8757629315705809e-06,3.1941268420468885,0.05405405405405406
42.0,50.0,3.276030064,43.0,1.0,131.0,92.0,239.0,87.0,-5.0,-5.0,-50.0,-2.7834798800225734e-06,-1.2117395912809579,-0.46153846153846156
