stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
34.0,137.0,3.4332389830000003,1.0,1.0,143.0,20.0,292.0,8.0,-12.0,-7.7548058052094655,14.0,2.2458352031357736,1.537533990638089,-2.822703902170936
20.0,8.0,2.7337841989999996,2.0,1.0,292.0,117.0,239.0,97.0,-20.0,-5.2658109426571205,51.0,0.2218079345154312,8.338956208263392,-2.822703902170936
117.0,97.0,0.10022401800000001,3.0,1.0,239.0,138.0,245.0,48.0,58.0,38.446511820176674,-21.0,-2.1150406315444963,5.967669495733833,-5.353336218482499
138.0,48.0,5.616877079,4.0,1.0,245.0,134.0,111.0,44.0,58.0,37.14942371328913,4.0,0.9192192401950792,-2.6531013550839804,-5.354220973738627
134.0,44.0,1.9167568680000002,5.0,1.0,111.0,96.0,2.0,109.0,13.0,1.9354401300235136,38.0,0.7355184169013551,3.5575467658925692,-5.629957534054265
96.0,109.0,1.249753952,6.0,1.0,2.0,52.0,111.0,65.0,13.0,11.512701298011697,44.0,0.43151706173318355,3.6458319144925952,-5.629957534054265
52.0,65.0,4.049585819,7.0,1.0,111.0,62.0,67.0,145.0,-65.0,-57.03310764693948,-10.0,-1.9394918868333566,4.130461121642266,-5.059395793816833
62.0,145.0,3.790761948,8.0,1.0,67.0,28.0,95.0,35.0,7.0,11.36452277494103,34.0,1.0164385653943462,3.4903806268956497,-4.5720220611884805
28.0,35.0,6.699443817000001,9.0,1.0,95.0,76.0,270.0,67.0,-9.0,-4.706105248069357,-48.0,-0.2962221623028488,2.486529852257885,-4.375041736038647
76.0,67.0,4.60065794,10.0,1.0,270.0,57.0,33.0,52.0,-5.0,-1.4957253929092298,19.0,2.2211845678757487,2.904829039293278,-3.9145013605890298
57.0,52.0,6.750436783,11.0,1.0,33.0,144.0,141.0,1.0,5.0,1.6156315975248594,61.0,0.08025008299910617,3.064361143177254,-3.9145013605890298
144.0,1.0,2.002812862,12.0,1.0,141.0,107.0,313.0,107.0,0.0,5.751291210712586,37.0,0.799786853654309,-1.2069404055645165,-3.5833894512890345
107.0,107.0,2.4006600380000003,13.0,1.0,313.0,91.0,294.0,111.0,20.0,7.745949918353409,16.0,2.2844496497247753,2.8284929808058874,-3.5833894512890345
91.0,111.0,3.051329851,14.0,1.0,294.0,33.0,90.0,34.0,1.0,1.7159412498485611,58.0,0.11029464789639801,3.9338694317292133,-2.870841634191485
33.0,34.0,2.566616058,15.0,1.0,90.0,43.0,301.0,41.0,-2.0,-7.434289337744411,-10.0,-1.9394918868333566,4.403824647015228,-3.1023646759766375
43.0,41.0,1.81577301,16.0,1.0,301.0,83.0,188.0,94.0,11.0,5.902640123600128,-40.0,-0.6190151015285552,4.241810176048132,-3.1706312822251865
83.0,94.0,2.349342108,17.0,1.0,188.0,123.0,121.0,91.0,-32.0,-26.19158458396337,-40.0,-0.6190151015285552,5.889094564142463,-4.2874707185438
123.0,91.0,2.8006258010000002,18.0,1.0,121.0,25.0,62.0,10.0,-15.0,-9.629302735420104,-50.0,-0.24440794227915186,-3.479528885502055,-5.4962534470593
25.0,10.0,2.7846739289999998,19.0,1.0,62.0,45.0,216.0,50.0,5.0,-0.4163947608148755,-20.0,-2.1734621574552007,4.297943209719577,-5.244273936649597
45.0,50.0,0.866202831,20.0,1.0,216.0,102.0,320.0,105.0,3.0,-0.3696591816348098,-57.0,-0.12221046563832731,1.7726862919170556,-4.67039140479565
102.0,105.0,2.763196945,21.0,1.0,320.0,112.0,135.0,94.0,-18.0,-4.815715759652088,-10.0,-1.9394918868333566,3.676651955880434,-4.445369320141091
112.0,94.0,4.233260155,22.0,1.0,135.0,93.0,302.0,106.0,13.0,0.604600692101064,19.0,2.2211845678757487,1.748623301312857,-4.689182141922334
93.0,106.0,0.7875859740000001,23.0,1.0,302.0,97.0,231.0,106.0,9.0,-1.213116720961489,-4.0,-0.9192192401950792,5.572143841044527,-4.878862240954377
97.0,106.0,2.481980085,24.0,1.0,231.0,5.0,247.0,30.0,25.0,24.883936869664964,-56.0,-0.1352523860887588,1.9484320800694457,-3.854095953365297
5.0,30.0,5.1034970280000005,25.0,1.0,247.0,126.0,184.0,4.0,26.0,23.791809727149705,27.0,1.6265669179847975,3.172792114859816,-3.6344802027672602
126.0,4.0,3.449840069,26.0,1.0,184.0,29.0,326.0,33.0,4.0,7.788002170104881,-51.0,-0.2218079345154312,5.569947289691576,-3.937270529623741
29.0,33.0,4.1501419539999995,27.0,1.0,326.0,8.0,354.0,20.0,12.0,10.157340960087998,21.0,2.1150406315444963,2.793158468217113,-3.937270529623741
8.0,20.0,3.019410133,28.0,1.0,354.0,137.0,337.0,143.0,6.0,-14.840756274330069,19.0,2.2211845678757487,3.330997842075412,-3.937270529623741
137.0,143.0,2.183406115,29.0,1.0,337.0,89.0,121.0,102.0,13.0,1.658391321470594,48.0,0.2962221623028488,2.839987182914808,-3.7819609780986774
