stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
131.0,137.0,1.052546024,1.0,1.0,280.0,36.0,347.0,3.0,-33.0,-27.67571191878059,-53.0,-6.027590392358052e-05,6.446385657168399,2.293086384317716
36.0,3.0,8.333295107,2.0,1.0,347.0,111.0,37.0,130.0,19.0,37.37050612180781,73.0,2.727680886117483e-07,4.37063098162208,2.1043457279914115
111.0,130.0,3.366768122,3.0,1.0,37.0,53.0,133.0,47.0,-6.0,-10.712553641455766,58.0,1.4555635305625023e-05,6.897553987802799,1.929166706113585
53.0,47.0,0.949624062,4.0,1.0,133.0,132.0,160.0,1.0,17.0,28.84412815375953,69.0,1.0141615384560495e-06,9.318908279787228,0.4826766047985629
132.0,1.0,0.917072058,5.0,1.0,160.0,85.0,339.0,106.0,21.0,16.916964859923784,47.0,0.0003982438688206564,3.631408129406677,-0.7292065887902491
85.0,106.0,4.400245905,6.0,1.0,339.0,13.0,139.0,142.0,-19.0,-15.459038493459747,72.0,4.2316262830335584e-07,6.3282186669976515,-3.6494545235143225
13.0,142.0,0.936925888,7.0,1.0,139.0,133.0,339.0,1.0,16.0,24.738023414943203,28.0,0.20005538865452668,8.905700704572556,-3.9626553099943025
133.0,1.0,0.8340370659999999,8.0,1.0,339.0,107.0,79.0,87.0,-20.0,-7.755244690569835,26.0,0.35327578843640367,5.5152484417649745,-4.263458301446009
107.0,87.0,3.531650066,9.0,1.0,79.0,137.0,348.0,136.0,-1.0,-5.299607099837427,-30.0,-0.109931146143179,3.406056724283553,-3.3583206984054677
137.0,136.0,6.6000630860000005,10.0,1.0,348.0,87.0,172.0,83.0,-4.0,-7.8360069585733605,50.0,0.00015170592766404698,6.069173826785541,-3.194911713116648
87.0,83.0,4.5345270630000005,11.0,1.0,172.0,25.0,261.0,21.0,-4.0,3.377793364485914,62.0,5.2404893629191495e-06,9.23432801083695,-2.7538180401481065
57.0,124.0,4.066462994,14.0,1.0,78.0,9.0,179.0,4.0,-5.0,-1.8012865389009782,48.0,0.0002875400486670267,5.52869964916511,-2.5554592924642763
9.0,4.0,6.7327981,15.0,1.0,179.0,117.0,176.0,119.0,2.0,28.15062022233821,40.0,0.0041621095991292555,5.675300228772917,-1.827504479602565
117.0,119.0,4.799811125,16.0,1.0,176.0,31.0,17.0,22.0,-9.0,-1.6885275333150496,-62.0,-5.2404893629191495e-06,9.112475380539303,-0.7655851242401202
31.0,22.0,4.199954033,17.0,1.0,17.0,39.0,286.0,30.0,-9.0,-5.480905276563444,-8.0,-6.225525931087089,4.538845884044065,-0.31770567546981976
39.0,30.0,5.048062086,18.0,1.0,286.0,18.0,309.0,14.0,-4.0,1.0267731994604965,21.0,1.24222521264329,5.474913082659967,-0.6751119266242555
18.0,14.0,5.5680258270000005,19.0,1.0,309.0,34.0,170.0,27.0,-7.0,-0.6959279321322036,-16.0,-3.2386765034328717,1.7791290166711242,-0.03016110149179616
34.0,27.0,3.3158950810000003,20.0,1.0,170.0,82.0,211.0,120.0,38.0,33.69798928061897,-48.0,-0.0002875400486670267,7.618516714177935,0.8814105304571429
82.0,120.0,1.267204046,21.0,1.0,211.0,63.0,79.0,64.0,1.0,-4.991651992818813,19.0,1.8980664082742582,5.67988835160224,0.893559429453161
63.0,64.0,2.1331563,22.0,1.0,79.0,108.0,19.0,102.0,-6.0,7.7621367250064885,-45.0,-0.0007713621696798438,7.5016121781117375,1.444664166919134
108.0,102.0,3.6986758710000003,23.0,1.0,19.0,28.0,138.0,16.0,-12.0,-4.328028510460793,-68.0,-1.290175397512835e-06,6.1285777514184545,1.403024962007641
28.0,16.0,2.5826477999999997,24.0,1.0,138.0,77.0,217.0,77.0,0.0,-4.580133322465198,-49.0,-0.00020841048571533912,7.941636753108742,1.1784919686645705
77.0,77.0,1.900612116,25.0,1.0,217.0,23.0,347.0,20.0,-3.0,3.870265267305573,54.0,4.480498287047678e-05,4.8661606807863365,0.8202455211215897
23.0,20.0,5.301198244,26.0,1.0,347.0,80.0,147.0,108.0,28.0,23.593059853251194,-57.0,-1.909476929521046e-05,6.373321185983644,0.8709745828702964
80.0,108.0,3.750375748,27.0,1.0,147.0,97.0,269.0,88.0,-9.0,-8.594112365389602,-17.0,-2.7499254754744027,7.4477346854077755,0.52188435521127
97.0,88.0,3.083551884,28.0,1.0,269.0,73.0,221.0,108.0,35.0,30.07511994017904,24.0,0.6023693496683005,4.505666967588091,0.6814324472597612
73.0,108.0,2.9324860569999998,29.0,1.0,221.0,42.0,225.0,47.0,5.0,6.494846261722987,31.0,0.08070017360144095,9.922517985379631,2.1278560527653845
42.0,47.0,2.583630085,30.0,1.0,225.0,24.0,46.0,14.0,-10.0,-2.8493176302167704,18.0,2.3006931660866146,12.715509755108846,2.5122022294444704
24.0,14.0,2.700564146,31.0,1.0,46.0,104.0,102.0,111.0,7.0,14.943320410961181,68.0,1.290175397512835e-06,3.2689034032015614,1.6010687326207709
104.0,111.0,1.616826773,32.0,1.0,102.0,112.0,243.0,79.0,-33.0,-13.131659660147985,-8.0,-6.225525931087089,5.027877167586901,-0.4298785458827689
112.0,79.0,3.001657963,33.0,1.0,243.0,40.0,233.0,37.0,-3.0,-0.1419169785694656,72.0,4.2316262830335584e-07,4.337906309870009,0.004836032189546291
40.0,37.0,5.049245834,34.0,1.0,233.0,75.0,275.0,76.0,1.0,-3.733392336938831,-35.0,-0.022278278380759575,7.713388552103218,-0.2298017908312988
75.0,76.0,2.8151817319999997,35.0,1.0,275.0,121.0,62.0,97.0,-24.0,4.352760394155272,-46.0,-0.0005534418908279656,6.941216778291655,-0.5966757752664928
121.0,97.0,6.400602102000001,36.0,1.0,62.0,122.0,114.0,87.0,-35.0,-6.678203045950848,-1.0,-1.2300151661346326,6.606053443585657,0.18532333551147376
122.0,87.0,3.057658195,37.0,1.0,114.0,76.0,139.0,97.0,21.0,16.347918634461,46.0,0.0005534418908279656,9.211366773424844,-0.09269736058540899
76.0,97.0,1.266057014,38.0,1.0,139.0,43.0,148.0,53.0,10.0,10.808341397066247,33.0,0.042780892862153815,6.985053078039553,-0.61827465561891
43.0,53.0,1.2671358590000001,39.0,1.0,148.0,67.0,77.0,67.0,0.0,-5.635121853639301,-24.0,-0.6023693496683005,5.413417157915622,-0.22285833449037917
67.0,67.0,5.28340888,40.0,1.0,77.0,118.0,70.0,92.0,-26.0,1.0063930839537,-51.0,-0.0001109496360511905,6.130527536981813,-0.4577585836027007
118.0,92.0,4.050197123999999,41.0,1.0,70.0,6.0,170.0,6.0,0.0,2.846384754262978,-36.0,-0.015993804109144152,6.252223308072577,-2.0599683325977765
6.0,6.0,2.631717205,42.0,1.0,170.0,123.0,142.0,82.0,-41.0,-12.98141516597087,31.0,0.08070017360144095,6.989577937906295,-2.3180451374451296
123.0,82.0,1.7008767130000002,43.0,1.0,142.0,91.0,54.0,74.0,-17.0,-19.88322206226587,32.0,0.05890637778802611,7.868138596317247,-2.77659116704463
91.0,74.0,6.417327166000001,44.0,1.0,54.0,88.0,77.0,103.0,15.0,11.335443284105455,3.0,3.4800992000301534,11.088765505444291,-2.8294443574654977
88.0,103.0,3.183632851,45.0,1.0,77.0,139.0,60.0,6.0,15.0,5.113433393881909,-51.0,-0.0001109496360511905,5.517653389105975,-3.2713174557128295
139.0,6.0,1.19859314,46.0,1.0,60.0,52.0,221.0,50.0,-2.0,-6.338683602873854,-61.0,-6.702956372111808e-06,9.476282563787034,-2.5818633979855887
138.0,45.0,4.899470806,48.0,1.0,45.0,61.0,259.0,53.0,-8.0,-14.041633530159086,-71.0,-5.91397398275199e-07,10.45807478686849,-3.0056390218788485
61.0,53.0,8.383695841,49.0,1.0,259.0,37.0,93.0,135.0,-50.0,-45.239992289408605,24.0,0.6023693496683005,9.660895209230702,-3.056107845691373
37.0,135.0,4.067605972,50.0,1.0,93.0,142.0,31.0,144.0,2.0,-12.044113434740776,43.0,0.0015085038775287855,9.112245148028968,-3.0403602386656283
142.0,144.0,3.568576097,51.0,1.0,31.0,147.0,276.0,139.0,-8.0,-3.642150310741041,-5.0,-5.160937838852586,2.555415300592152,-2.3288721032264617
147.0,139.0,4.398743153,52.0,1.0,276.0,22.0,54.0,24.0,2.0,8.54556958013514,-23.0,-0.7750950841035669,8.47098742933876,-2.5341029254213883
22.0,24.0,5.7519061570000005,53.0,1.0,54.0,105.0,283.0,97.0,-8.0,1.3239698521989602,65.0,2.579704441837724e-06,2.270754578562951,-1.136262322320062
105.0,97.0,7.4660348889999995,54.0,1.0,283.0,146.0,293.0,144.0,-2.0,-5.1063861884550725,-41.0,-0.002966172657020076,8.617158014284733,-0.999110073478686
146.0,144.0,3.59970665,55.0,1.0,293.0,47.0,304.0,61.0,14.0,12.198371040788519,-49.0,-0.00020841048571533912,5.486017053750968,-1.9878488275047956
47.0,61.0,1.201562166,56.0,1.0,304.0,103.0,165.0,101.0,-2.0,4.628180232018057,-56.0,-2.521310258053766e-05,7.208841917783579,-1.9878488275047956
103.0,101.0,2.217026949,57.0,1.0,165.0,109.0,271.0,100.0,-9.0,6.299523807797531,-6.0,-5.717096923919319,3.228499313595217,-2.3555103017720325
