,shifted_stimulusID,response_category
0,58.0,2
1,57.0,3
2,135.0,1
3,127.0,1
4,25.0,2
5,101.0,3
6,131.0,1
7,5.0,1
8,122.0,1
9,108.0,3
10,126.0,3
11,30.0,2
12,128.0,3
13,80.0,2
14,138.0,2
15,124.0,3
16,63.0,2
17,56.0,3
18,49.0,2
19,114.0,3
20,45.0,2
21,32.0,2
22,84.0,3
23,35.0,2
24,64.0,3
25,15.0,1
26,8.0,2
27,145.0,1
28,66.0,3
29,2.0,1
30,23.0,1
31,33.0,2
32,59.0,2
33,100.0,3
34,11.0,1
35,71.0,3
36,76.0,2
37,42.0,2
38,98.0,3
39,109.0,3
40,143.0,1
41,123.0,1
42,111.0,3
43,86.0,3
44,146.0,1
45,72.0,2
46,147.0,1
47,75.0,3
48,140.0,1
49,73.0,3
50,20.0,2
51,90.0,3
52,6.0,1
53,60.0,3
54,37.0,2
55,29.0,2
56,87.0,3
57,105.0,3
58,54.0,2
59,83.0,3
60,103.0,3
61,112.0,3
62,18.0,1
63,121.0,3
64,129.0,3
65,36.0,2
66,79.0,3
67,17.0,1
68,144.0,1
69,22.0,1
70,91.0,3
71,119.0,3
72,26.0,1
73,89.0,3
74,107.0,3
75,130.0,3
76,28.0,2
77,70.0,2
78,62.0,2
79,46.0,1
80,116.0,3
81,106.0,3
83,122.0,3
84,6.0,1
85,91.0,3
86,114.0,3
87,35.0,2
88,22.0,1
89,3.0,1
90,71.0,2
91,59.0,2
92,86.0,3
93,24.0,2
94,75.0,2
95,49.0,2
96,57.0,2
97,32.0,2
98,82.0,2
99,99.0,3
100,83.0,3
101,43.0,2
102,53.0,2
103,30.0,2
104,120.0,1
105,96.0,1
106,18.0,1
107,10.0,1
108,92.0,3
109,147.0,1
110,146.0,1
111,69.0,3
112,137.0,1
113,63.0,2
114,23.0,1
115,60.0,3
116,88.0,3
117,77.0,3
118,11.0,1
119,9.0,1
120,38.0,2
121,129.0,3
122,33.0,2
123,138.0,1
124,90.0,3
125,128.0,3
