,shifted_stimulusID,response_category
0,8.0,1
1,89.0,3
2,122.0,3
3,64.0,2
4,129.0,1
5,17.0,1
6,24.0,2
7,17.0,2
8,91.0,3
9,136.0,3
10,20.0,1
11,73.0,2
12,65.0,3
13,107.0,3
14,140.0,1
15,115.0,3
16,123.0,3
17,131.0,1
18,101.0,3
19,119.0,3
20,10.0,3
21,10.0,1
22,139.0,1
23,144.0,1
24,96.0,3
25,27.0,2
26,113.0,3
27,2.0,1
28,48.0,2
29,73.0,3
30,52.0,2
31,125.0,3
32,50.0,2
33,108.0,2
34,53.0,2
35,73.0,2
36,2.0,1
37,15.0,3
38,39.0,2
39,40.0,3
40,64.0,2
41,133.0,3
42,128.0,3
43,78.0,3
44,110.0,3
45,145.0,1
46,136.0,1
47,33.0,3
48,49.0,2
49,84.0,2
50,121.0,3
52,75.0,2
53,23.0,2
54,50.0,2
55,123.0,3
56,16.0,3
57,92.0,3
58,81.0,3
59,113.0,3
60,71.0,2
61,73.0,2
62,12.0,1
63,39.0,3
64,119.0,3
65,143.0,3
66,75.0,2
67,53.0,2
68,59.0,2
69,103.0,3
70,78.0,2
71,125.0,3
72,55.0,2
73,127.0,3
74,67.0,2
75,96.0,3
76,130.0,1
77,4.0,3
78,51.0,2
79,47.0,2
80,68.0,2
81,90.0,3
82,84.0,3
83,115.0,3
84,54.0,2
85,42.0,2
86,87.0,3
87,48.0,2
88,36.0,2
89,109.0,3
90,119.0,3
91,27.0,2
92,72.0,3
93,90.0,3
94,96.0,3
95,52.0,2
96,73.0,2
97,39.0,2
98,38.0,2
99,132.0,3
100,15.0,1
101,147.0,1
102,4.0,1
103,134.0,3
104,89.0,3
105,89.0,3
106,25.0,2
107,30.0,2
108,39.0,2
109,32.0,2
110,132.0,1
111,14.0,1
112,17.0,2
113,86.0,3
114,90.0,3
115,99.0,3
116,70.0,2
117,146.0,1
118,140.0,1
119,145.0,1
120,23.0,2
121,63.0,2
122,135.0,3
123,51.0,2
124,145.0,1
126,30.0,2
127,81.0,2
128,51.0,2
129,27.0,2
130,132.0,2
131,36.0,2
132,92.0,3
133,140.0,1
134,83.0,1
