,SUBJECT,NTYPE,BOOTSTRAP_MEAN,BOOTSTRAP_CI_LOW,BOOTSTRAP_CI_UP
0,S1,1,0.1974183740849715,-0.1972670865559429,0.5695671799900484
1,S3,1,0.06744967753005784,-0.4997767718267284,0.6079322772454773
2,S4,1,0.08205895042444557,-0.2199287674651807,0.3335354098899776
3,S6,1,-0.009400828580317227,-0.328831474078847,0.2876145024911522
4,S7,1,0.2636647404073321,-0.0274192275122971,0.5505595696636509
5,S8,1,0.21059165369863936,-0.2237783034892274,0.5926443484973315
6,s9,1,0.13580865730510677,-0.0500235823244347,0.3184789285882233
7,s10,1,0.1823627246649141,-0.0678547357890188,0.4218019592849605
8,s11,1,0.16427149035837796,-0.0221818744504415,0.357666103139043
9,s12,1,-0.04438388789023185,-0.4442209209401404,0.3000943365835324
10,s13,1,0.0058841221921766195,-0.2638257842254959,0.2409102634988382
11,s14,1,0.26314923885877645,0.0191136540523776,0.5093388429819612
12,s15,1,0.20032470331166316,-0.1077310646230796,0.485490041578153
0,S1,2,-0.06755794251106567,-0.4791569365791329,0.318271690531477
1,S3,2,-0.03403292245275363,-0.5312782379289215,0.4766634501575035
2,S4,2,0.16034387892144106,-0.1089723744533112,0.4185627613652635
3,S6,2,-0.033016515286581956,-0.359182077020471,0.2794723362952483
4,S7,2,0.13964977482208354,-0.2489904289057564,0.5278446260239954
5,S8,2,0.2280306711961677,-0.0550393427619356,0.5109726591986058
6,s9,2,0.1369749033399383,-0.0628467091609291,0.3185237296442966
7,s10,2,-0.19569641389988657,-0.55443905056243,0.1536678032112315
8,s11,2,0.13437842067288375,-0.0737752346565483,0.3403277079481787
9,s12,2,0.007133068884223286,-0.2917598191328584,0.2802116897926043
10,s13,2,0.055574041995948606,-0.2990746958322685,0.3892836908129664
11,s14,2,0.17127421713053886,-0.0979498378671344,0.4137667660572422
12,s15,2,-0.07176650425703472,-0.3840708542727965,0.2383272069174154
0,S1,3,0.10345308374403417,-0.3167018265479178,0.4919344399022428
1,S3,3,-0.1301916963045622,-0.5678063757079969,0.2856090474664853
2,S4,3,-0.1011608043386549,-0.3402334892654509,0.1078416758591726
3,S6,3,-0.15895052485373257,-0.4894046030518178,0.1558623093812765
4,S7,3,-0.03691003198010121,-0.5203420688919377,0.4309653572031892
5,S8,3,-0.03351189555799267,-0.3977921927581378,0.2978907889955283
6,s9,3,-0.0819364905593153,-0.3208107420540169,0.1394254888191847
7,s10,3,-0.180399981724152,-0.4286157779969301,0.0537725703138737
8,s11,3,0.015365221049425119,-0.2218358984752984,0.2440014518102432
9,s12,3,-0.0427791108572089,-0.4624944683904488,0.3551872575422272
10,s13,3,-0.11321912455819738,-0.3931371813722712,0.1649690943811646
11,s14,3,-0.11918051122670756,-0.3220702340023324,0.0682117527852343
12,s15,3,-0.16774299905913925,-0.5122888795971052,0.181857409684868
