,SUBJECT,NTYPE,BOOTSTRAP_MEAN,BOOTSTRAP_CI_LOW,BOOTSTRAP_CI_UP
0,AR,1,-0.07834102289148433,-2.406824663649484,1.989661182968228
1,CK,1,-1.5954000523637086,-5.529375928779499,2.4878584859488733
2,CT,1,-2.573426842656108,-5.892421224214335,1.2857421091513752
3,EW,1,-1.9069928139840122,-6.248426531199723,2.412648187839362
4,HL,1,0.5342841515205252,-2.232735822899188,2.8811569279473734
5,IS,1,0.04113706327219906,-3.8134638000714975,3.4986339458466618
6,JP,1,-2.956004677000116,-5.739128505770936,0.17624662127230753
7,MF,1,1.396459442733028,-3.1521871051144665,5.495984429519403
8,NC,1,-2.7646537936621893,-6.040460004928721,0.8819534175459232
9,SK,1,-0.0018168594782133364,-4.131002102944473,4.118525775278981
10,SS,1,0.8059069245850086,-3.466623888703035,4.519426258040967
0,AR,2,0.13129748633392488,-2.3569106936843016,2.6211697850917157
1,CK,2,-1.37702961914151,-5.397925724088411,2.8680064410031068
2,CT,2,1.416391387270754,-2.4493142011140665,4.950073539101602
3,EW,2,-0.4472474507344198,-5.011622642657488,4.0590231915200015
4,HL,2,-0.39470303692912573,-3.2542107716011355,2.2843928542879524
5,IS,2,1.9066110589531513,-1.6286701188675214,5.0708468498247985
6,JP,2,0.3968806596529858,-3.511199303927262,3.8283584459378166
7,MF,2,-0.12246748392035235,-4.177311797279567,3.7507547277626063
8,NC,2,-0.6303063163606422,-3.865907242018465,2.5338775130715385
9,SK,2,0.3261483847418399,-2.844286930808134,3.2380851087046025
10,SS,2,1.1916826179857978,-3.6119345529281057,5.368646696771341
0,AR,3,-0.31457425656773536,-2.533791597596848,1.723300660904614
1,CK,3,-4.34581180675419,-8.30393210775488,-0.7979508582957662
2,CT,3,0.4560073801442941,-2.5957753625309365,3.3316291215949585
3,EW,3,0.519857800583267,-3.698883749211791,4.344697700800272
4,HL,3,-2.924071714442494,-5.806764212429156,-0.2819003351767313
5,IS,3,1.8213382536410587,-2.3101655874256957,5.286657758305668
6,JP,3,4.372413956065184,1.4790172448839904,7.248586106368282
7,MF,3,0.7057533232313709,-2.8517089783655223,3.990523046012572
8,NC,3,-0.14305698938895256,-3.893941779607185,3.31082818062089
9,SK,3,-0.49949601279560973,-4.228000488701909,2.9080667996083083
10,SS,3,2.9394344337899105,-2.1469208451295243,7.099082038458217
