,SUBJECT,NTYPE,BOOTSTRAP_MEAN,BOOTSTRAP_CI_LOW,BOOTSTRAP_CI_UP
0,S1,1,2.462328036175342,-2.605794148386131,6.9798533267000815
1,S3,1,0.5450885565711839,-5.6197480996733455,5.749051793456227
2,S4,1,-0.37748193568372984,-4.180618289920987,3.5513085568844103
3,S6,1,1.937637747707346,-1.3106356670375865,4.748418826989104
4,S7,1,-0.34742214366070756,-4.441609197870559,3.8163962365251938
5,S8,1,-3.10443810211561,-6.267428514420441,0.2565881174405369
6,s9,1,1.6384080667076946,-1.6630518775599656,4.438381643637079
7,s10,1,-1.4989440266475789,-4.3255353573644975,1.7187056412674822
8,s11,1,-2.193913861577602,-4.749096866307544,0.6769682438852047
9,s12,1,0.5763841224748263,-4.0677168135247035,4.7627896348885645
10,s13,1,2.1157411934712447,-2.6035448498899405,6.236180775185466
11,s14,1,1.7640323924319876,-0.9168677187005732,3.8746857201039773
12,s15,1,0.08155992496150968,-2.63063615658744,2.678197243537852
0,S1,2,2.6653944338424465,-1.9471500317755333,6.8276386230348205
1,S3,2,1.0994343836085667,-3.0310645183544933,4.615540385873121
2,S4,2,1.3954959238801565,-2.340328682029919,4.35803544993771
3,S6,2,-0.2727795095512292,-3.320737313001362,2.5438432240395317
4,S7,2,4.150571616268667,0.8869243363840622,7.413800267797027
5,S8,2,-2.8531831327011825,-5.739759681182747,1.044558088799543
6,s9,2,0.08741573434729788,-2.2120976804323464,2.266002836841264
7,s10,2,-0.7369162098896918,-4.0141360283723655,2.3972655424021143
8,s11,2,-0.9161437800507077,-3.792506738159604,1.910580780772289
9,s12,2,-1.7925119076733884,-5.865963225763117,2.4696627100488846
10,s13,2,-1.656616407291765,-7.4927018733788575,3.5900486084438104
11,s14,2,0.5358423522680874,-2.071575867007646,2.687952079022832
12,s15,2,2.7995130525827503,0.18047553928650156,5.615111886537104
0,S1,3,-2.369931408463687,-6.538545459301447,2.8308986771737925
1,S3,3,-1.1218170245734902,-6.03915192371116,4.095856984257203
2,S4,3,4.485676124506261,0.2732799989899992,8.739806851128156
3,S6,3,0.08846626918589008,-3.3577281364595755,3.409863732957045
4,S7,3,2.8590154276238953,-2.374169810420172,6.825327303531108
5,S8,3,-0.006916509710255743,-4.675122429098191,3.8370145408849328
6,s9,3,1.9203587280383148,-0.952188042007816,4.1170169632142475
7,s10,3,-1.4371305482988017,-4.544699500519866,1.7117108640463587
8,s11,3,1.1172078459582266,-2.149235320076882,3.8090088776134134
9,s12,3,1.6572752222061804,-2.8535891608363437,5.171302536911436
10,s13,3,0.04079669031796867,-4.07248022185889,3.8611220590254884
11,s14,3,-0.47977577846421066,-3.3648685541031607,2.314280686135254
12,s15,3,-0.26417262033880384,-3.0671865799235487,2.4220987347058163
