,SUBJECT,NTYPE,BOOTSTRAP_MEAN,BOOTSTRAP_CI_LOW,BOOTSTRAP_CI_UP
0,Slope_and_Amp_Radio0,1,4.76166455580121,0.1866353526419464,9.307299783748393
1,Slope_and_Amp_Radio2,1,-0.35260172227168024,-4.850989693420007,3.615259482781888
2,Slope_and_Amp_Radio3,1,-1.0010213250931732,-4.77616294062005,2.7858184300878794
3,Slope_and_Amp_Radio4,1,4.195918376740927,0.8913939819803666,7.606430124170088
0,Slope_and_Amp_Radio0,2,0.8315963061878298,-3.603365716539716,4.75301666728992
1,Slope_and_Amp_Radio2,2,-0.35683458706869203,-5.151098741250652,4.226274819175595
2,Slope_and_Amp_Radio3,2,-0.4376120039068952,-4.995518975635347,3.925457286874548
3,Slope_and_Amp_Radio4,2,4.730637226482885,1.7090192398830613,7.804134361122464
0,Slope_and_Amp_Radio0,3,3.181782694053122,-2.198609711471068,7.739041601326802
1,Slope_and_Amp_Radio2,3,3.7779905627085966,-0.6470410218069724,7.54024440553398
2,Slope_and_Amp_Radio3,3,0.5877415412546784,-3.68944680317792,4.6505327957505145
3,Slope_and_Amp_Radio4,3,4.726276974487585,1.5072302145419985,7.995478006386574
