stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
119.0,127.0,5.473381996154785,1.0,1.0,129.0,31.0,120.0,53.0,22.0,8.616404224604068,-60.0,-0.14236868527843255,5.170791078552966,2.521924297712316
90.0,92.0,3.8422348499298096,2.0,1.0,332.0,143.0,316.0,147.0,4.0,-2.560946086402808,-53.0,-0.30354560078134835,5.7713916583646085,3.6953472066379858
31.0,53.0,4.3530189990997314,3.0,1.0,120.0,48.0,169.0,52.0,4.0,-0.5642793253751535,-17.0,-5.096135669540093,4.711497535473542,-0.20790666008080644
143.0,147.0,4.599388837814331,4.0,1.0,316.0,4.0,318.0,38.0,34.0,26.927260901948678,-9.0,-4.2112157325197614,7.262769996719786,0.4255091929654787
48.0,52.0,3.302850246429444,5.0,1.0,169.0,118.0,133.0,94.0,-24.0,-22.589924890935507,-70.0,-0.034611895779258085,4.961540719615942,0.9725636399062751
4.0,38.0,2.7552530765533447,6.0,1.0,318.0,94.0,44.0,103.0,9.0,-2.1759515681413433,58.0,0.177614543713155,7.812767776905331,-0.30773254837055175
118.0,94.0,9.902224302291868,7.0,1.0,133.0,145.0,130.0,113.0,-32.0,-40.961665315462895,-27.0,-3.3860931291657512,3.190929941010061,-0.2685865064291274
94.0,103.0,3.3161098957061768,8.0,1.0,44.0,77.0,90.0,111.0,34.0,30.808827487862274,17.0,5.096135669540093,7.212136389686221,-0.39937709507325964
145.0,113.0,4.202094793319701,9.0,1.0,130.0,51.0,58.0,48.0,-3.0,-4.205806180502535,-54.0,-0.27302106514048585,6.032966360717717,-0.35901429437160115
77.0,111.0,4.836860179901123,10.0,1.0,90.0,6.0,89.0,22.0,16.0,5.852489382840062,71.0,0.027283757861910687,8.57770870078067,-0.35901429437160115
51.0,48.0,1.4832539558410645,11.0,1.0,58.0,120.0,61.0,103.0,-17.0,-13.794541526988567,-69.0,-0.042287677225037054,6.721016132853869,-1.3953995559665868
6.0,22.0,2.5333919525146484,12.0,1.0,89.0,30.0,59.0,52.0,22.0,9.353965462827361,-24.0,-4.032783944423711,3.5449017772392177,-1.2408746154119226
120.0,103.0,5.01571798324585,13.0,1.0,61.0,107.0,108.0,94.0,-13.0,-20.130829304367424,13.0,5.024773138091764,1.0196588707633707,-2.2830444225941333
30.0,52.0,3.3680040836334233,14.0,1.0,59.0,67.0,56.0,69.0,2.0,5.875736347588074,-37.0,-1.5248822703421763,7.124516998308104,-1.9368449385470354
107.0,94.0,4.980716943740845,15.0,1.0,108.0,134.0,327.0,122.0,-12.0,-4.451586886091107,-27.0,-3.3860931291657512,10.062533933303408,-1.644316524667056
67.0,69.0,6.199363708496094,16.0,1.0,56.0,103.0,217.0,76.0,-27.0,-36.19086329161685,-36.0,-1.6701968511155838,7.324457507821221,-1.308823479014385
134.0,122.0,1.4141829013824463,17.0,1.0,327.0,113.0,246.0,138.0,25.0,22.097763577203224,21.0,4.609968037256713,10.771225821321929,-2.8178324179781327
103.0,76.0,2.720707893371582,18.0,1.0,217.0,125.0,77.0,104.0,-21.0,-13.772691922899483,-22.0,-4.431125991514,5.497004884240949,-1.2912195413863177
113.0,138.0,2.150593042373657,19.0,1.0,246.0,129.0,171.0,88.0,-41.0,-31.999505693142353,-16.0,-5.139844159237522,0.34387978851034967,-3.7389698983184987
125.0,104.0,3.129244089126587,20.0,1.0,77.0,136.0,86.0,102.0,-34.0,-28.53309827687265,-11.0,-4.716468313353834,8.930135106562176,-2.6923956087125145
129.0,88.0,7.330280303955077,21.0,1.0,171.0,97.0,192.0,143.0,46.0,35.035648866354606,32.0,2.3518428214907687,7.893686172105424,-0.8305855161168336
136.0,102.0,4.366734266281128,22.0,1.0,86.0,140.0,4.0,147.0,7.0,5.944607947463439,-4.0,-2.161021062026225,0.2999320896299574,-0.9106377037756204
97.0,143.0,10.782950162887573,23.0,1.0,192.0,75.0,138.0,49.0,-26.0,-27.580262305844215,22.0,4.431125991514,11.514268810379619,-2.062267109156627
140.0,147.0,2.265644073486328,24.0,1.0,4.0,3.0,17.0,144.0,-7.0,-9.936376150515919,-11.0,-4.716468313353834,-4.684627234803626,-1.2340824503739656
75.0,49.0,0.9818978309631348,25.0,1.0,138.0,78.0,318.0,108.0,30.0,26.013549681606648,-3.0,-1.6462735630769298,6.241845869408983,-0.9394244307074986
3.0,144.0,3.5983266830444336,26.0,1.0,17.0,54.0,239.0,48.0,-6.0,-4.344868847105161,-51.0,-0.37475825478833386,9.755446688778704,-0.1129191583187187
78.0,108.0,6.93694806098938,27.0,1.0,318.0,76.0,358.0,123.0,47.0,44.61354203500734,2.0,1.1098436376249625,2.4196855008384355,0.5987897488477427
54.0,48.0,3.3821418285369877,28.0,1.0,239.0,68.0,334.0,69.0,1.0,4.3734962262869175,-14.0,-5.107249364928012,8.855865718861853,0.5701961860817245
76.0,123.0,4.965809106826782,29.0,1.0,358.0,100.0,180.0,127.0,27.0,16.71123549573592,-24.0,-4.032783944423711,4.18144271013179,0.28548042093037207
68.0,69.0,8.049767971038817,30.0,1.0,334.0,53.0,105.0,50.0,-3.0,-2.2235146987745367,15.0,5.144660875821173,6.75659537075994,-0.2992051899379101
100.0,127.0,6.9963130950927725,31.0,1.0,180.0,7.0,328.0,49.0,42.0,32.0179078972067,-55.0,-0.24544852919134014,4.774059196459934,-0.2992051899379101
53.0,50.0,5.316649913787842,32.0,1.0,105.0,128.0,236.0,111.0,-17.0,-8.252323392871247,73.0,0.013374976152403505,10.53928825309648,1.2585659873335766
7.0,49.0,7.3141236305236825,33.0,1.0,328.0,12.0,225.0,27.0,15.0,11.298014446185832,-5.0,-2.6476848444001155,5.361461094071741,2.555498561406365
128.0,111.0,5.200577974319458,34.0,1.0,236.0,137.0,76.0,143.0,6.0,10.09741629373336,-9.0,-4.2112157325197614,7.674312346148813,3.7461057505030966
12.0,27.0,3.698960304260254,35.0,1.0,225.0,104.0,249.0,141.0,37.0,28.26251496496768,56.0,0.22053311661366995,2.571806708309,4.549982692237354
137.0,143.0,4.7001051902771,36.0,1.0,76.0,19.0,14.0,19.0,0.0,-1.2515804154464973,-30.0,-2.747348496874046,6.557239230930092,4.514316617207956
