stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
15.0,21.0,2.6711339950561523,1.0,1.0,160.0,95.0,343.0,110.0,15.0,10.02127080335761,68.0,0.00041146121148013067,1.583433473023032,-2.118460561687142
27.0,25.0,2.0845680236816406,2.0,1.0,340.0,79.0,25.0,87.0,8.0,1.691204760805661,-52.0,-0.005487931025665794,0.3157739705486726,-2.118460561687142
11.0,27.0,3.3509411811828613,3.0,1.0,236.0,124.0,303.0,115.0,-9.0,-6.76662190230779,35.0,0.09899573084072744,3.235296632013442,-1.2962549625293496
95.0,110.0,2.4672529697418213,4.0,1.0,343.0,89.0,303.0,106.0,17.0,10.879539141013382,6.0,0.7846518294190673,3.3031629039698336,-0.7122298596993238
79.0,87.0,2.486553192138672,5.0,1.0,25.0,47.0,137.0,63.0,16.0,17.4930731797905,32.0,0.15902844910690564,2.955425582062358,-0.1438157680199382
124.0,115.0,5.1353187561035165,6.0,1.0,303.0,65.0,248.0,71.0,6.0,5.42909658982127,59.0,0.0017709142791570366,0.2425301598425862,-0.3877215637460928
89.0,106.0,4.121277332305908,7.0,1.0,303.0,22.0,107.0,16.0,-6.0,-4.0177042359483295,67.0,0.0004930462075846937,0.6725917501962443,-0.2057062504187314
47.0,63.0,3.25459098815918,8.0,1.0,137.0,102.0,133.0,95.0,-7.0,-10.810542107201897,-55.0,-0.00335036494746775,1.8345943136339045,0.34881426573933966
65.0,71.0,5.25478982925415,9.0,1.0,248.0,98.0,107.0,95.0,-3.0,-7.422143130864626,-33.0,-0.13619801217241026,1.8576388478991128,-0.092771996463626
22.0,16.0,5.971207857131957,10.0,1.0,107.0,26.0,244.0,35.0,9.0,8.051161960007121,-4.0,-0.5641346753723285,0.6905513546676026,-0.39034311990188436
102.0,95.0,5.299554109573363,11.0,1.0,133.0,94.0,17.0,96.0,2.0,-3.1760804528734496,8.0,0.9418618226964469,2.498974318748295,0.18222917191122703
98.0,95.0,4.482728958129883,12.0,1.0,107.0,90.0,173.0,93.0,3.0,-2.9492909998802332,8.0,0.9418618226964469,2.185071682080012,0.18222917191122703
26.0,35.0,3.3485338687896733,13.0,1.0,244.0,131.0,13.0,10.0,27.0,31.275257541647605,43.0,0.02559190654224745,-2.185404811320013,0.6164213076731826
94.0,96.0,4.100360870361328,14.0,1.0,17.0,21.0,49.0,11.0,-10.0,-7.2461759644086925,73.0,0.00010184569040673673,2.7345884723988942,1.0597260191192042
