stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
39.0,63.0,1.73431015,1.0,1.0,350.0,89.0,304.0,110.0,21.0,5.766799779184861,-50.0,0.0032388874793048954,0.3789067138459961,-2.943020669289997
136.0,147.0,3.284326077,2.0,1.0,204.0,13.0,194.0,20.0,7.0,7.055472558357047,-25.0,0.11881623083992222,2.010301455550473,-2.5811131461116092
70.0,68.0,5.533112764,3.0,1.0,299.0,16.0,201.0,13.0,-3.0,-2.738348503055481,54.0,-0.0017565004486860877,0.4947984368985201,-1.2756575653435034
89.0,110.0,5.766885757000001,4.0,1.0,304.0,140.0,121.0,6.0,14.0,8.96214468434351,-51.0,0.002775403179066799,-1.027231241201661,-0.9041776461507096
16.0,13.0,5.067037344,6.0,1.0,201.0,108.0,349.0,143.0,35.0,29.747399360693986,56.0,-0.0013016120798480769,1.2115618399540553,-0.9150025513310656
140.0,6.0,8.533227921,7.0,1.0,121.0,48.0,83.0,59.0,11.0,10.0836824426782,-56.0,0.0013016120798480769,-2.3198118674172648,-0.3138559360748352
76.0,124.0,3.3001930710000003,8.0,1.0,85.0,31.0,288.0,34.0,3.0,2.2348691236491307,45.0,-0.007077186331651842,0.5692946581913373,-0.3029463055480421
108.0,143.0,4.967076778,9.0,1.0,349.0,68.0,181.0,74.0,6.0,3.5773442654616163,40.0,-0.015459194182992953,-1.757522507395665,-0.25967780336807034
48.0,59.0,3.1841819289999997,10.0,1.0,83.0,85.0,214.0,109.0,24.0,10.15289755553449,-37.0,0.024421589168872094,-1.1284818000677954,-0.7745237970915317
31.0,34.0,2.533756018,11.0,1.0,288.0,55.0,207.0,62.0,7.0,7.086232662856415,-24.0,0.131797324490026,0.45670026232735167,-0.004538279741553294
68.0,74.0,3.433037758,12.0,1.0,181.0,28.0,288.0,24.0,-4.0,-4.261769956377239,40.0,-0.015459194182992953,-2.0670746198891607,0.08193130660262178
85.0,109.0,2.8499200339999997,13.0,1.0,214.0,90.0,344.0,76.0,-14.0,-29.380374419067923,-5.0,0.159689501648541,1.1890448761173655,0.31829619476792653
55.0,62.0,3.933349848,14.0,1.0,207.0,8.0,58.0,13.0,5.0,5.331650922625298,47.0,-0.005170246985315002,0.5270230897314789,0.28000289637652737
