stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
62.0,102.0,4.500772953,1.0,1.0,68.0,146.0,153.0,146.0,0.0,-7.63809556025716,64.0,0.0018483901963228524,0.5449556607298195,1.5935940763269107
119.0,109.0,1.8507149219999999,2.0,1.0,224.0,22.0,257.0,23.0,1.0,-0.5136274744091374,-51.0,-0.014807618172976014,0.4284102822909023,2.026601893888609
49.0,48.0,6.850288152999999,3.0,1.0,108.0,106.0,157.0,110.0,4.0,3.116193256354858,-57.0,-0.00554441416341518,0.7834838597897897,1.7925240457844724
146.0,146.0,5.349924803,4.0,1.0,153.0,3.0,243.0,119.0,-32.0,-24.04479873961935,-5.0,-1.5555925953944572,3.6298768474376524,2.795928493810477
22.0,23.0,5.583666325,5.0,1.0,257.0,95.0,323.0,113.0,18.0,11.184596998603876,-73.0,-0.00023244789267575706,0.4308650328171869,2.807292241725492
106.0,110.0,5.516360044,6.0,1.0,157.0,139.0,354.0,131.0,-8.0,-3.6219187731631344,-33.0,-0.31085204304572756,2.10117402591904,2.732628386222975
3.0,119.0,2.317382813,7.0,1.0,243.0,84.0,214.0,101.0,17.0,12.763094298601327,67.0,0.0011253058572304412,1.1476266624234364,4.225749170097003
95.0,113.0,2.799952984,8.0,1.0,323.0,67.0,189.0,85.0,18.0,23.850583196550286,28.0,0.6496067280025146,1.2464033439235274,5.137004811946593
139.0,131.0,3.5670638080000003,9.0,1.0,354.0,137.0,225.0,130.0,-7.0,-0.9434150621048509,2.0,0.6737463315467485,2.2570707234833476,4.469955562778664
84.0,101.0,3.316486835,10.0,1.0,214.0,51.0,226.0,49.0,-2.0,3.3549496129586878,33.0,0.31085204304572756,3.663571897683274,3.735913709563059
67.0,85.0,2.466732979,11.0,1.0,189.0,104.0,177.0,107.0,3.0,0.5274834617214985,-37.0,-0.16258706308757706,6.598089391507458,2.3329351158822553
137.0,130.0,2.30009985,12.0,1.0,225.0,45.0,247.0,33.0,-12.0,-8.95256769840491,-56.0,-0.006506485253159987,2.549413139262812,1.7746451696773684
104.0,107.0,2.4333460330000003,14.0,1.0,177.0,37.0,102.0,31.0,-6.0,-5.783630205265215,67.0,0.0011253058572304412,6.362594774800465,1.7746451696773684
45.0,33.0,10.38310075,15.0,1.0,247.0,125.0,176.0,110.0,-15.0,-4.242416830494637,68.0,0.0009391000360116018,1.4647154276399117,0.6398176312757432
133.0,63.0,2.332956076,16.0,1.0,83.0,145.0,99.0,18.0,21.0,16.146444333221904,-12.0,-2.3984252789376344,3.7852536400032175,-0.08619986405687234
37.0,31.0,1.667222023,17.0,1.0,102.0,6.0,65.0,9.0,3.0,7.222711643903754,31.0,0.42233950554138666,1.5230717033882202,-0.18672534493159976
145.0,18.0,3.250237942,19.0,1.0,99.0,41.0,193.0,38.0,-3.0,-1.488366793856077,-44.0,-0.04912907120566072,4.188861550974946,-1.1379268926249473
6.0,9.0,1.600375175,20.0,1.0,65.0,20.0,165.0,14.0,-6.0,-7.410700929240406,-14.0,-2.316143443512066,4.832340762188279,-1.0747272200085642
41.0,38.0,2.633285761,22.0,1.0,193.0,109.0,107.0,109.0,0.0,1.6951121972528362,-68.0,-0.0009391000360116018,5.480413061717429,-1.1406757775624072
20.0,14.0,1.499515057,23.0,1.0,165.0,19.0,51.0,20.0,1.0,-0.3276735810419318,1.0,0.3407346204187794,2.7742655919788985,-1.2523575756289704
92.0,23.0,3.0828630919999997,24.0,1.0,102.0,132.0,274.0,123.0,-9.0,0.07316515634296294,-40.0,-0.09791074267753117,3.086157991910608,-0.9079195679734454
109.0,109.0,0.9498929979999999,25.0,1.0,107.0,131.0,346.0,118.0,-13.0,-3.4896571565427514,-22.0,-1.337515627957553,2.0125830776469624,-0.7012528819577893
19.0,20.0,1.2161891459999998,26.0,1.0,51.0,86.0,58.0,104.0,18.0,12.740163661785413,-67.0,-0.0011253058572304412,3.9566033778757292,-0.7619292592146361
132.0,123.0,2.600019932,27.0,1.0,274.0,7.0,313.0,134.0,-21.0,-17.725861773846127,-23.0,-1.204075242394633,1.0415727102621595,-0.709896838404155
131.0,118.0,2.666809082,28.0,1.0,346.0,83.0,312.0,117.0,34.0,30.337416765560402,48.0,0.024644029744987382,0.7902676325543586,-1.6347209863343337
86.0,104.0,7.1821749210000005,29.0,1.0,58.0,74.0,144.0,98.0,24.0,26.24294072347517,12.0,2.3984252789376344,3.4967488664804667,-2.4561404353565215
7.0,134.0,2.400269985,30.0,1.0,313.0,128.0,95.0,98.0,-30.0,-19.547010661676598,27.0,0.7430542097216745,0.758942378211139,-2.834613941514106
83.0,117.0,2.183628082,31.0,1.0,312.0,65.0,99.0,82.0,17.0,23.478786045039566,18.0,1.890392924968496,2.3588193448038592,-5.56955412812546
74.0,98.0,2.283092976,32.0,1.0,144.0,29.0,33.0,44.0,15.0,13.70444588576218,45.0,0.04132276359537412,0.21325715563908132,-6.184997945516821
128.0,98.0,4.884015083,33.0,1.0,95.0,2.0,213.0,4.0,2.0,11.530663996706888,-22.0,-1.337515627957553,2.508888347933542,-5.107357295550009
65.0,82.0,3.6831767560000004,34.0,1.0,99.0,124.0,10.0,119.0,-5.0,5.701736175932563,-59.0,-0.0040418528335116844,6.278830018521111,-5.328224670066407
29.0,44.0,1.333711147,35.0,1.0,33.0,141.0,285.0,145.0,4.0,6.233478357980982,36.0,0.191876157187192,5.536030350462755,-3.880154762933661
2.0,4.0,3.983161926,36.0,1.0,213.0,31.0,60.0,34.0,3.0,1.9436094635055063,-29.0,-0.5652004170826622,3.403491215929927,-3.373193586363474
124.0,119.0,3.000235081,37.0,1.0,10.0,113.0,225.0,100.0,-13.0,-7.861032750988318,11.0,2.392296776997074,2.1398423518104774,-3.137583393576263
141.0,145.0,2.532997131,38.0,1.0,285.0,5.0,188.0,144.0,-9.0,-3.6886558927714646,-12.0,-2.3984252789376344,1.0738627163383363,-2.3858373040925476
31.0,34.0,6.050147057,39.0,1.0,60.0,38.0,203.0,36.0,-2.0,-1.490065714540382,-7.0,-1.989667283289025,2.886601509036211,-1.5469334103579426
113.0,100.0,2.49990797,40.0,1.0,225.0,72.0,348.0,54.0,-18.0,-14.541960944056132,41.0,0.0824791516901082,3.486862364971107,-1.5118258464481265
72.0,54.0,2.7487008569999998,43.0,1.0,348.0,27.0,182.0,18.0,-9.0,-10.450965315183122,45.0,0.04132276359537412,0.9032593379611549,-1.5289986905083857
115.0,35.0,5.632660866,44.0,1.0,77.0,75.0,1.0,67.0,-8.0,-6.401622823545626,40.0,0.09791074267753117,3.037254087827386,-1.6525566222931634
135.0,32.0,3.33273077,45.0,1.0,76.0,136.0,4.0,3.0,15.0,21.776536153242727,-1.0,-0.3407346204187794,1.196808198595335,-1.1046119299582247
27.0,18.0,4.000391245,46.0,1.0,182.0,58.0,97.0,55.0,-3.0,4.018418103860878,-31.0,-0.42233950554138666,1.6741350009352527,-0.7656479291054524
