stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
81.0,86.0,2.5334191319999997,1.0,1.0,177.0,59.0,79.0,62.0,3.0,5.262013859794099,22.0,0.817210135889285,0.7995676372546918,0.30412022772751
113.0,108.0,4.4004309180000005,2.0,1.0,46.0,13.0,4.0,23.0,10.0,12.348955941064428,-48.0,-0.11822842820467108,0.939674493227871,0.24110693893574553
36.0,32.0,3.149770975,3.0,1.0,46.0,126.0,79.0,103.0,-23.0,-17.367876391646018,58.0,0.04402088877072611,0.8082928997041989,0.7459352906072129
59.0,62.0,3.083413124,4.0,1.0,79.0,16.0,305.0,18.0,2.0,5.180359618854741,43.0,0.18880419588979708,1.1195468480668715,0.7671946377281218
13.0,23.0,2.116642952,5.0,1.0,4.0,133.0,89.0,111.0,-22.0,-20.14924801523348,28.0,0.6126913523079598,1.3817334269953643,0.6772119600988482
126.0,103.0,3.3500218389999996,6.0,1.0,79.0,130.0,42.0,113.0,-17.0,-13.638421145645633,-4.0,-0.36687952437685456,0.7340923115100495,0.27932454284838615
16.0,18.0,4.899451256,7.0,1.0,305.0,99.0,313.0,100.0,1.0,-5.820696729988935,65.0,0.020035552835986552,0.7200661687344422,0.23061328094941747
133.0,111.0,2.5999569890000003,8.0,1.0,89.0,100.0,356.0,95.0,-5.0,-11.065962491818663,33.0,0.43750133463972607,0.8822344118195143,0.5737291646613492
130.0,113.0,2.817516088,9.0,1.0,42.0,6.0,277.0,18.0,12.0,13.198285894779328,-24.0,-0.7549321609848023,1.6776439704748,0.38614272384875997
99.0,100.0,3.9168748860000004,10.0,1.0,313.0,124.0,292.0,108.0,-16.0,-9.438514420648868,-25.0,-0.7207898239899969,1.4469970657632119,0.239243455806552
100.0,95.0,3.101749897,11.0,1.0,356.0,88.0,340.0,97.0,9.0,-0.9717894114238099,12.0,0.8510574540625674,0.7063784690520234,0.2556642454745571
6.0,18.0,4.950222015,12.0,1.0,277.0,56.0,1.0,53.0,-3.0,-1.1706950231429225,-50.0,-0.09754829493768975,1.5302320317662566,-0.012314581250229809
124.0,108.0,2.249860048,13.0,1.0,292.0,55.0,214.0,42.0,-13.0,-11.392106040249313,69.0,0.010973395035257587,0.7542804276578624,0.14657900377240599
88.0,97.0,2.650599003,14.0,1.0,340.0,116.0,105.0,102.0,-14.0,-7.208225806638563,-28.0,-0.6126913523079598,0.7276791471693661,-0.09977761744897212
56.0,53.0,3.1835298539999997,15.0,1.0,1.0,138.0,291.0,147.0,9.0,9.930157653490642,66.0,0.017554348774109274,1.1457045755855353,-0.21342964245661214
55.0,42.0,5.583166361,16.0,1.0,214.0,53.0,81.0,50.0,-3.0,-1.9182323071328362,2.0,0.18799085004983943,1.1377000043650882,-0.3433880073503408
116.0,102.0,4.217813015,17.0,1.0,105.0,34.0,275.0,34.0,0.0,-0.9711827048584603,-66.0,-0.017554348774109274,0.6868106342752759,-0.3298415406531422
