stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,DoVM_values,bootstrap_values,Running_Mean,slopes,intercepts
104.0,55.0,2.850490808,1.0,1.0,284.0,131.0,68.0,6.0,23.0,22.232627873841377,-27.0,-144.0,0.5236513966783232,-1.6699514942011848,0.4975692216395073,-0.08099794297658669,-0.38704173176633444
103.0,105.0,3.4168827530000003,2.0,1.0,340.0,18.0,263.0,18.0,0.0,-1.8289538865680477,-63.0,77.0,0.002970624402266646,0.9320488949433994,-0.09427271973167965,0.05481961554740803,1.5140264586704515
56.0,46.0,8.616770983,3.0,1.0,158.0,141.0,55.0,134.0,-7.0,-7.487917063449888,63.0,103.0,-0.002970624402266646,0.8064640417595954,-0.4806632844657741,-0.04900455058621679,-0.1369019942918176
131.0,6.0,3.700862885,4.0,1.0,68.0,92.0,46.0,106.0,14.0,9.292163842314121,39.0,22.0,-0.10507828925152941,-2.46283989202005,-0.7610114530598961,-0.22085965231132257,-1.6209724334535065
18.0,18.0,3.9008288380000002,5.0,1.0,263.0,112.0,146.0,108.0,-4.0,3.8674658780672893,54.0,117.0,-0.01093131099109386,-1.8637228643524302,-0.7610114530598961,-0.12335165949871908,-1.548421314782995
141.0,134.0,4.9332871439999995,6.0,1.0,55.0,144.0,63.0,2.0,6.0,6.141276966773059,-3.0,-8.0,0.5229394014835771,-1.8616148006159934,-0.29961517896301926,-0.13438764482882976,0.6366654746842196
92.0,106.0,5.649729967000001,7.0,1.0,46.0,14.0,112.0,16.0,2.0,-1.047447014993086,-70.0,-66.0,0.0008987290028638761,-2.2580019272214584,0.29433699566907684,-0.13040004755316179,-0.2044948192446566
112.0,108.0,4.533187151,8.0,1.0,146.0,102.0,25.0,99.0,-3.0,-1.195726080076188,10.0,121.0,-1.2902636524356308,-1.3169995047379623,0.19896474391655924,-0.04256126673860959,0.11363197805635251
144.0,2.0,5.23391223,9.0,1.0,63.0,82.0,275.0,90.0,8.0,1.745428758329549,62.0,148.0,-0.0034363671705333865,-1.6045947847230604,0.35333809159686014,-0.1263984047443557,-0.10821142247604668
14.0,16.0,3.3175179960000003,10.0,1.0,112.0,39.0,220.0,42.0,3.0,1.4912469949719274,-25.0,-108.0,0.6492918283663416,0.2757665039328748,0.3561827584020966,0.00038408121976316945,-2.2377971029046844
102.0,99.0,4.083718061,11.0,1.0,25.0,26.0,214.0,25.0,-1.0,-1.2200463757374003,-72.0,171.0,0.000516010033642634,-0.31869009904011736,0.827633766321693,-0.12272905998628605,-1.2348398989259226
82.0,90.0,1.5002470019999998,12.0,1.0,275.0,7.0,187.0,11.0,4.0,2.3394868856740203,-73.0,88.0,0.00033928930068063056,-2.1359880893952425,0.6361511483722986,-0.04914409401853758,-1.134229834138857
39.0,42.0,6.050153255,13.0,1.0,220.0,94.0,261.0,92.0,-2.0,-5.729227226695716,-55.0,-41.0,0.009439198070414627,-0.9672053984089092,0.039510470479348976,-0.1490782247363016,-1.2437061010555301
26.0,25.0,6.700216055,14.0,1.0,214.0,133.0,138.0,144.0,11.0,9.298236127352563,41.0,76.0,-0.0778953849360924,-0.987850832716498,0.039510470479348976,-0.06970018012058327,-1.608826366930234
7.0,11.0,2.167600155,15.0,1.0,187.0,49.0,237.0,45.0,-4.0,-6.079063737551511,-42.0,-50.0,0.0669690303239704,-3.4735815792807294,0.20720870983952758,-0.2723320544174041,-0.7742394251339662
94.0,92.0,3.233270168,16.0,1.0,261.0,60.0,195.0,59.0,-1.0,-3.031114694035498,34.0,66.0,-0.21582265047656404,-1.4644544663768728,-0.13528744020799457,-0.16809986279756414,-1.781488309612447
133.0,144.0,2.150221825,17.0,1.0,138.0,146.0,180.0,3.0,5.0,3.697229720222392,-13.0,-42.0,1.3414740303107655,-2.07780229257658,-0.243689433621079,-0.0079827833923665,-0.2604827237004016
49.0,45.0,3.533443928,18.0,1.0,237.0,121.0,238.0,2.0,29.0,35.50862317259194,-72.0,-1.0,0.000516010033642634,-0.5216977027442138,-0.2397750439991228,0.018828471372160413,-1.7401961955768748
60.0,59.0,6.41688776,19.0,1.0,195.0,77.0,79.0,100.0,23.0,17.62634605366733,-17.0,116.0,1.200629274406252,-0.9500903963917001,-1.3172116708792112,-0.0717570983790448,-0.22429502949378025
146.0,3.0,3.783024073,20.0,1.0,180.0,127.0,112.0,131.0,4.0,6.090559010271161,19.0,68.0,-1.0748633723689587,-0.5370917830206573,-1.2128008759332256,0.07711992831098671,-0.2554540361233303
121.0,2.0,3.116832972,21.0,1.0,238.0,43.0,219.0,39.0,-4.0,-5.914285425526092,-70.0,19.0,0.0008987290028638761,0.2870580627517718,-0.92216460523589,0.0198889101869662,-1.6955855714866945
