stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,DoVM_values,bootstrap_values,Running_Mean,slopes,intercepts
123.0,110.0,1.8503930569999998,1.0,1.0,265.0,117.0,48.0,101.0,-16.0,-6.830135966418339,6.0,-143.0,2.592773017438522,3.532124589232545,-2.9164958184513,0.2633326764410986,3.810561557653637
133.0,111.0,2.566482067,2.0,1.0,35.0,44.0,49.0,38.0,-6.0,-6.364134631828209,-59.0,-14.0,-0.03493372388826715,6.049205385622323,-1.8116771191170395,0.45767722244833386,0.7719145652345537
117.0,101.0,2.650411844,3.0,1.0,48.0,146.0,254.0,147.0,1.0,6.525769142477416,-29.0,154.0,-1.5398068786953663,3.1599490591309234,-1.489373379337328,0.15151934198622014,1.0681834523396876
44.0,38.0,2.8504979610000003,4.0,1.0,49.0,30.0,234.0,19.0,-11.0,-12.744086207167605,14.0,175.0,3.8507480758957344,3.8793589519781495,-1.8065922207222624,0.2241105711303301,0.9526508263649991
146.0,147.0,4.583461046,5.0,1.0,254.0,135.0,146.0,137.0,2.0,4.117161565163444,11.0,108.0,3.730690430583444,4.330553181147967,-2.3487489695799106,0.2717563750566032,-1.3003579694027296
30.0,19.0,2.283322096,6.0,1.0,234.0,23.0,264.0,25.0,2.0,2.6158907458178824,7.0,-30.0,2.9138882432409474,2.9289799944614088,-1.392577356151045,0.20010266492674747,1.2783151466407163
135.0,137.0,2.099830866,7.0,1.0,146.0,142.0,147.0,140.0,-2.0,-1.234125280701642,-7.0,-1.0,-2.9138882432409474,2.9422551404501327,-1.197147843737779,0.24159195982662743,1.211597348243015
23.0,25.0,4.017532349,8.0,1.0,264.0,110.0,52.0,124.0,14.0,15.236220599303701,61.0,-148.0,0.026875995900784815,6.285915960457916,-0.8797059187382804,0.4219475471226082,-0.14573503180376052
142.0,140.0,3.949364901,9.0,1.0,147.0,138.0,242.0,142.0,4.0,4.265636555968252,4.0,-95.0,1.831299454955362,5.3006721425162,-1.0514468180069545,0.42406922681947773,1.7806331621961569
110.0,124.0,3.683828831,10.0,1.0,52.0,88.0,258.0,94.0,6.0,-9.026327731695849,22.0,154.0,2.806637347807325,2.9769067289065965,-1.5473577731392512,0.26880660463904543,2.1836467130757735
138.0,142.0,3.084054947,11.0,1.0,242.0,79.0,187.0,100.0,21.0,12.667955733238601,59.0,55.0,0.03493372388826715,5.374661879389468,-0.6587308077899833,0.38404296571069124,2.620662439657269
