stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
104.0,55.0,3.283439875,1.0,1.0,284.0,103.0,340.0,105.0,2.0,4.578166434815971,1.0,-56.0,2.191033916908901,0.46067332038526904,0.2612130728457533,-0.6142005878011828,-0.005336338227539263
103.0,105.0,4.350790024,2.0,1.0,340.0,56.0,158.0,46.0,-10.0,-11.569218601401571,47.0,-178.0,4.811833914739969,0.31202752992662686,0.4457692135605563,-1.273029201593474,-0.008079723615033141
56.0,46.0,4.30011797,3.0,1.0,158.0,131.0,68.0,6.0,21.0,19.094817882807845,71.0,90.0,3.013641828037681,0.18507178746828923,0.23303510830151622,-1.6263588145486205,-0.010914647928053247
131.0,6.0,5.049957991,4.0,1.0,68.0,18.0,263.0,18.0,0.0,-1.8164175378303309,-33.0,165.0,3.2546420454816025,0.4280468765364117,0.2544354639869669,-1.7442435929716997,-0.013873776072112898
18.0,18.0,4.400868654,5.0,1.0,263.0,141.0,55.0,134.0,-7.0,-6.554547360950421,23.0,-152.0,1.5161469795580365,0.2407920934584742,0.06659253127764389,1.3451803023565196,-0.016991656697378777
141.0,134.0,2.850490808,6.0,1.0,55.0,92.0,46.0,106.0,14.0,9.33209631911764,49.0,9.0,4.787645254836552,0.47901123820671315,0.4094076522267178,-0.6393522695290333,-0.020305242224697054
92.0,106.0,3.4168827530000003,7.0,1.0,46.0,112.0,146.0,108.0,-4.0,3.321205254122349,-20.0,-100.0,3.1279073176703385,0.47901123820671315,0.1949076603595584,-1.097218386728748,-0.02385444163212241
112.0,108.0,8.616770983,8.0,1.0,146.0,144.0,63.0,2.0,4.0,5.346366840817625,-32.0,83.0,1.640381657589408,0.7249391180704889,0.10255729950784707,0.6581486497321958,-0.027682712510878164
144.0,2.0,3.700862885,9.0,1.0,63.0,14.0,112.0,16.0,2.0,-0.9236267206966655,-16.0,-49.0,3.2528969265733014,0.7075763388785822,0.22751049484968433,-1.2568372284759233,-0.03183769877439128
14.0,16.0,3.9008288380000002,10.0,1.0,112.0,102.0,25.0,99.0,-3.0,-1.1619673530197883,58.0,87.0,2.593050520934629,0.5756030643175779,0.1763546549257839,-2.7862412595488526,-0.036371920167777426
102.0,99.0,4.9332871439999995,11.0,1.0,25.0,82.0,275.0,90.0,8.0,1.661100261125073,20.0,110.0,3.1529323013443578,0.5756030643175779,0.2868240998934727,0.14412471281844103,-0.04134351933076092
82.0,90.0,5.649729967000001,12.0,1.0,275.0,39.0,220.0,42.0,3.0,1.5605239991071347,43.0,55.0,3.8767607991736717,0.3499118979417893,0.3102663519134138,-0.2879579422884445,-0.046817071556942924
39.0,42.0,4.533187151,13.0,1.0,220.0,26.0,214.0,25.0,-1.0,-1.3972601710124604,13.0,6.0,1.329341483456348,0.4405550272458558,0.15762272005793995,0.543211520688899,-0.05286446149742333
26.0,25.0,5.23391223,14.0,1.0,214.0,7.0,187.0,11.0,4.0,2.1790626988884174,19.0,27.0,6.709568077886698,0.2178703435177431,0.593459010454548,-1.733719914655477,-0.05956582979525373
7.0,11.0,3.3175179960000003,15.0,1.0,187.0,94.0,261.0,92.0,-2.0,-5.662802705681242,59.0,-74.0,2.9046560226851925,0.8232669626807971,0.2991077718211772,-0.35280030876691626,-0.0670105909138664
94.0,92.0,4.083718061,16.0,1.0,261.0,133.0,138.0,144.0,11.0,8.470504614321685,-39.0,123.0,3.795885100158443,0.4956124226772839,0.22392005039553528,-2.4316709754270778,-0.0752985211285704
133.0,144.0,1.5002470019999998,17.0,1.0,138.0,49.0,237.0,45.0,-4.0,-5.728534308891893,-62.0,-99.0,2.398560729408163,0.8785160631061513,0.30973281899725835,0.42718309404806604,-0.08454091266321605
49.0,45.0,6.050153255,18.0,1.0,237.0,60.0,195.0,59.0,-1.0,-2.7083533496393226,-11.0,42.0,4.237463522899082,1.9069760493016734,0.2765996010234301,-1.7765118337730064,-0.09486178614009219
60.0,59.0,6.700216055,19.0,1.0,195.0,146.0,180.0,3.0,3.0,2.599050378457507,60.0,15.0,4.528514020429369,2.006215337214134,0.32077411681570905,-2.0949925148531836,-0.10639914872686891
146.0,3.0,2.167600155,20.0,1.0,180.0,121.0,238.0,2.0,27.0,32.17629004442655,25.0,-58.0,2.7356625328333544,1.8850166350467332,0.2166108146684206,-0.35836426651996495,-0.11930627946235109
121.0,2.0,3.233270168,21.0,1.0,238.0,77.0,79.0,100.0,23.0,17.559956684429963,44.0,159.0,3.87605127991303,1.7812230343090667,0.29411193204243513,-0.07493519202129445,-0.13375301607797493
77.0,100.0,2.150221825,22.0,1.0,79.0,127.0,112.0,131.0,4.0,4.627279636984968,-50.0,-33.0,2.1587775499750133,2.034524715453758,0.18129909775358094,-0.6957421467421526,-0.14992700907170892
127.0,131.0,3.533443928,23.0,1.0,112.0,43.0,219.0,39.0,-4.0,-5.711463036010612,-62.0,-107.0,3.703474796818592,2.374254522862518,0.2808292887096567,-1.2009388147350706,-0.16803489872828015
43.0,39.0,6.41688776,24.0,1.0,219.0,139.0,111.0,137.0,-2.0,-2.859987071719031,50.0,108.0,4.455355824273649,2.771381763746359,0.4215419624917097,-0.31222897393002086,-0.1883033591499013
139.0,137.0,3.783024073,25.0,1.0,111.0,19.0,171.0,146.0,-19.0,-20.536212378491882,-26.0,-60.0,3.973211839378606,2.056553514943536,0.4107337417305174,0.5944795927265225,-0.21097994016419086
19.0,146.0,3.116832972,26.0,1.0,171.0,109.0,1.0,102.0,-7.0,-0.6833478464529161,56.0,170.0,3.462611355584814,2.1708009050897403,0.2825835979130164,-0.727796307121594,-0.2363336232993429
109.0,102.0,4.8663339610000005,27.0,1.0,1.0,128.0,288.0,110.0,-18.0,-18.116127485987008,-19.0,73.0,3.6913130588646648,1.597552779720098,0.29936083472315045,1.6512919472858167,-0.2646549920683354
128.0,110.0,2.515944958,28.0,1.0,288.0,106.0,133.0,96.0,-10.0,-5.344223756337767,22.0,155.0,2.9761603188168033,1.6123500327272087,0.2723416597962093,-2.5123686361662076,-0.29625589994395507
106.0,96.0,1.9833810330000001,29.0,1.0,133.0,86.0,267.0,95.0,9.0,2.6692729661936188,20.0,-134.0,3.2503368867704654,0.9476349937265016,0.23537987851884304,-1.2499299733567686,-0.33146850218223367
86.0,95.0,4.9836311339999995,30.0,1.0,267.0,42.0,191.0,51.0,9.0,7.335842921368355,44.0,76.0,0.5047114136008276,0.5268399363617849,0.0827939962468655,0.14068765752540513,-0.3706435008347662
42.0,51.0,3.8833928110000002,31.0,1.0,191.0,129.0,150.0,119.0,-10.0,-10.800287676857165,59.0,41.0,3.2612524326743664,0.4333953310479856,0.18896842771139172,-1.5779623782162808,-0.41414743690825184
129.0,119.0,3.96627593,32.0,1.0,150.0,24.0,188.0,31.0,7.0,6.45335865245997,-41.0,-38.0,5.156787030505096,0.3844959704691208,0.30711726784538035,-1.5226848774362638,-0.46235885099369034
24.0,31.0,4.5508351330000005,33.0,1.0,188.0,63.0,32.0,64.0,1.0,-1.0239929687977973,-39.0,156.0,2.000642691499221,0.553652834736026,0.09092391496289605,-0.9556917742781501,-0.5156631254071979
63.0,64.0,4.1166000369999995,34.0,1.0,32.0,53.0,20.0,52.0,-1.0,-2.6109829799330395,10.0,12.0,3.777067720994184,0.3678929852812406,0.2389958380727965,-2.589716555514065,-0.5744458188637526
53.0,52.0,2.366585255,35.0,1.0,20.0,72.0,103.0,74.0,2.0,-2.061156447233925,-19.0,-83.0,3.9541894982355226,-0.012052371494639225,0.42119593421891494,0.5102505649370555,-0.6390843111160334
72.0,74.0,3.134123087,36.0,1.0,103.0,119.0,34.0,121.0,2.0,8.312504679009196,-47.0,69.0,2.271574486581058,-0.6830265135250719,0.2766609806360459,-0.09566452227089454,-0.7099375922121199
119.0,121.0,4.032866001,37.0,1.0,34.0,9.0,119.0,14.0,5.0,2.0710648759476324,-36.0,-85.0,3.286915282188408,-0.3292918826176864,0.33417425438836085,-1.5731839012743596,-0.7873340615458067
9.0,14.0,2.9491271969999997,38.0,1.0,119.0,59.0,39.0,60.0,1.0,-0.646183192687614,-50.0,80.0,3.3730341916347566,-1.1002845459645474,0.3711919947447555,0.14983115403213348,-0.8715572481429256
59.0,60.0,1.8665020469999998,39.0,1.0,39.0,67.0,10.0,67.0,0.0,-2.756258718786297,-8.0,29.0,3.4457727550520385,-1.4837531242549766,0.2881628479383316,-0.9995983252125417,-0.9628294278668865
67.0,67.0,6.4342062470000005,40.0,1.0,10.0,44.0,260.0,54.0,10.0,8.255445410146892,23.0,110.0,4.00714675151065,-1.5788094725150053,0.2544192286952341,-3.879927493028205,-1.0612931971820097
44.0,54.0,3.7496898169999997,41.0,1.0,260.0,8.0,153.0,13.0,5.0,2.5119983272304207,36.0,107.0,4.15667894491428,-2.0215266722996073,0.19729998219568085,-1.130204516090029,-1.166991167763752
8.0,13.0,6.583508967999999,42.0,1.0,153.0,12.0,92.0,18.0,6.0,2.753086946545091,-4.0,61.0,4.615682985378593,-2.1187790760639555,0.40597961911240377,-0.874293587792169,-1.2798440714792507
12.0,18.0,7.150063276,43.0,1.0,92.0,32.0,113.0,26.0,-6.0,-6.6566050766439115,-20.0,-21.0,3.5398106019802085,-2.2276792488731454,0.2011021520752895,0.18908500295845887,-1.3996277095349123
32.0,26.0,7.998802185,44.0,1.0,113.0,120.0,145.0,127.0,7.0,12.78397712347426,58.0,-32.0,1.6921301039753036,-2.3066199391174593,-0.02139381999144043,-0.2584741964087109,-1.525949339590283
120.0,127.0,2.9162406919999997,45.0,1.0,145.0,95.0,254.0,109.0,14.0,10.914412537234869,25.0,-109.0,3.5822888201687744,-2.8832658201167187,0.30737174906229153,0.2894560187061088,-1.6582242650076544
95.0,109.0,3.31633997,46.0,1.0,254.0,61.0,10.0,63.0,2.0,0.20857428323283678,34.0,-116.0,3.129498288803297,-2.817492126104025,0.20669014370387145,-0.8303440492166156,-1.7956535635340527
61.0,63.0,7.900045156,47.0,1.0,10.0,27.0,268.0,32.0,5.0,4.6255517898111425,34.0,102.0,1.9798336080932208,-2.932825669308046,0.22704180476178398,-0.8812311231751689,-1.9372040586747896
27.0,32.0,3.11707592,48.0,1.0,268.0,21.0,350.0,19.0,-2.0,-3.043208177607296,6.0,-82.0,4.029107479184324,-2.8160144440393595,0.3295631312478202,0.39609139135664695,-2.0815917837072084
21.0,19.0,4.933489084,49.0,1.0,350.0,116.0,293.0,124.0,8.0,15.345913174564048,51.0,57.0,3.791248460186705,-3.0941912172402684,0.2947211440237425,-0.13028277915212616,-2.2272703017592437
