stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
90.0,107.0,13.23340225,1.0,1.0,84.0,73.0,90.0,74.0,1.0,0.716458932839366,17.0,-6.0,0.14608373435452027,-0.8077431738219909,0.035736106737822966,4.3558966507394095,0.003209762518659493
137.0,146.0,6.367063999,2.0,1.0,50.0,96.0,123.0,127.0,31.0,18.601934221202036,41.0,-73.0,1.365315095647325,-2.5439273424676947,0.11212754890202609,-0.812206131645637,0.004849885517613474
8.0,126.0,5.000292063,3.0,1.0,195.0,133.0,61.0,138.0,5.0,0.3705475403173111,21.0,134.0,-1.5545762737638968,-3.741206015777889,-0.030533223578066808,2.2926377948765193,0.006532727034456003
73.0,74.0,1.016514063,4.0,1.0,90.0,68.0,242.0,89.0,21.0,22.932329584386757,5.0,-152.0,2.52788642501314,-4.531061996024994,0.18252817106950034,1.1500218370723776,0.008273243796426707
96.0,127.0,3.866402149,5.0,1.0,123.0,58.0,266.0,87.0,29.0,29.525645118829395,38.0,-143.0,-2.066649801262684,-4.531061996024994,-0.024382770583704277,0.48259499914057413,0.010087013545465725
133.0,138.0,3.100269079,6.0,1.0,61.0,1.0,330.0,124.0,-23.0,-13.899440817071973,-14.0,91.0,-1.7046637436518661,-4.4600276891255115,-0.027597358834064226,2.4716191866490598,0.011990397906570494
68.0,89.0,2.400203943,7.0,1.0,242.0,125.0,100.0,108.0,-17.0,-21.157608514700605,-57.0,142.0,-2.770177661048839,-4.956127846044826,0.1229862188654516,-1.3543765412208084,0.014000710006269599
58.0,87.0,2.10040617,8.0,1.0,266.0,57.0,149.0,55.0,-2.0,-1.9284556233389551,1.0,117.0,0.2127329703227692,-4.956127846044826,0.1681705310608944,1.0823834345983285,0.016136387443959815
1.0,124.0,6.033483027999999,9.0,1.0,330.0,82.0,193.0,100.0,18.0,10.551706309038757,65.0,137.0,-2.171547418985272,-5.218680293849501,0.07148574546605706,0.6079361998314282,0.018417171002715914
125.0,108.0,2.783899784,10.0,1.0,100.0,54.0,27.0,57.0,3.0,1.6076833490720546,71.0,73.0,-3.1984149720597332,-3.8518220408176527,-0.11525068979882892,1.567346936888635,0.020864289211724858
57.0,55.0,1.3170490259999998,11.0,1.0,149.0,40.0,264.0,55.0,15.0,11.708102417423468,17.0,-115.0,2.684324238699632,-2.51046572320929,0.21315703769960753,-1.9238540667117774,0.023500648529482433
82.0,100.0,1.249716043,12.0,1.0,193.0,110.0,116.0,114.0,4.0,0.9475467862301841,-28.0,77.0,0.5352234017505237,-3.418369791342993,-0.09133232636652758,1.0401481033593463,0.026351028493796586
54.0,57.0,1.5160579680000001,13.0,1.0,27.0,76.0,10.0,78.0,2.0,-0.41695666754902305,-22.0,17.0,-1.5896782489239207,-3.3225107277576265,0.24549429415778984,-0.41153372413601896,0.02944228066884352
40.0,55.0,2.2662029269999997,14.0,1.0,264.0,74.0,219.0,68.0,-6.0,-6.940838148068515,-34.0,45.0,2.5151514068978953,-2.9022157457000572,0.12469732880765602,1.3498016819666265,0.03280352959759681
110.0,114.0,2.650444031,15.0,1.0,116.0,52.0,345.0,50.0,-2.0,-4.345752468903619,58.0,131.0,1.3053412218484242,-3.129865653558703,0.19944742092193532,0.5803606155026143,0.03646637322612203
76.0,78.0,1.46657896,16.0,1.0,10.0,84.0,83.0,101.0,17.0,7.9618790882546975,-8.0,-73.0,-2.9510385899148597,-2.7799444567253127,-0.0823820111228062,4.136456880680607,0.040465079390965206
74.0,68.0,3.798907995,17.0,1.0,219.0,28.0,209.0,26.0,-2.0,3.4499921636159385,46.0,10.0,-0.9376630241087762,-2.8680760544407087,0.04320133863057165,2.108879102603456,0.044836773939719306
52.0,50.0,2.283694029,18.0,1.0,345.0,106.0,161.0,118.0,12.0,6.029172842185851,-54.0,-176.0,-2.7742174488003633,-2.9016286393488886,-0.06606092123618865,2.304483588810665,0.0496216148775225
84.0,101.0,1.5996789930000002,19.0,1.0,83.0,2.0,208.0,18.0,16.0,22.511302644634483,-64.0,-125.0,-2.5539161739117855,-2.0949969493695426,-0.1424334013140498,1.1479245247468552,0.054862945591927725
28.0,26.0,1.683839083,20.0,1.0,209.0,127.0,179.0,9.0,28.0,22.90034427182382,47.0,30.0,0.1192842121885012,-2.119055865209401,0.1583049494767477,0.02261815534251892,0.06060741870366014
