,DoVM
0,-0.04134617648880987
1,-0.0622003072607494
2,-0.08327185756472973
3,-0.10463356692728758
4,-0.12635837405697112
5,-0.14851942990521144
6,-0.17119008572341005
7,-0.19444385062297626
8,-0.2183543129045042
9,-0.24299501916605842
10,-0.26843930494094104
11,-0.2947600703670838
12,-0.32202949417068044
13,-0.3503186790759787
14,-0.3796972216543958
15,-0.41023269962529274
16,-0.44199006974689403
17,-0.47503096972076975
18,-0.5094129180112988
19,-0.5451884061889363
20,-0.5824038793805315
21,-0.62109860168927
22,-0.6613034050681145
23,-0.7030393221283578
24,-0.7463161057692479
25,-0.7911306413492559
26,-0.8374652603988973
27,-0.885285968601919
28,-0.9345406049340624
29,-0.9851569534166225
30,-1.0370408338649149
31,-1.0900742032149888
32,-1.1441133043946512
33,-1.1989869051380428
34,-1.2544946744683185
35,-1.3104057496026638
36,-1.3664575505523309
37,-1.4223549034569305
38,-1.4777695364459353
39,-1.5323400132870553
40,-1.585672169981975
41,-1.6373401175326683
42,-1.6868878700731924
43,-1.7338316512236416
44,-1.777662922705675
45,-1.8178521678597301
46,-1.853853448702106
47,-1.8851097386322255
48,-1.9110590140336832
49,-1.9311410671140934
50,-1.944804979830353
51,-1.9515171752049068
52,-1.9507699384303292
53,-1.9420902766646884
54,-1.9250489642032411
55,-1.8992695996941664
56,-1.8644374851897467
57,-1.8203081240138754
58,-1.766715126543248
59,-1.7035773107956795
60,-1.630904788791987
61,-1.5488038404079474
62,-1.457480394024989
63,-1.3572419576245984
64,-1.248497874673237
65,-1.1317578155479375
66,-1.0076284564183458
67,-0.8768083422386646
68,-0.7400809774111408
69,-0.598306235200726
70,-0.4524102234522322
71,-0.30337378790665703
72,-0.15221987380440874
73,0.0
74,0.15221987380440874
75,0.30337378790665703
76,0.4524102234522322
77,0.598306235200726
78,0.7400809774111408
79,0.8768083422386646
80,1.0076284564183458
81,1.1317578155479375
82,1.248497874673237
83,1.3572419576245984
84,1.457480394024989
85,1.5488038404079474
86,1.630904788791987
87,1.7035773107956795
88,1.766715126543248
89,1.8203081240138754
90,1.8644374851897467
91,1.8992695996941664
92,1.9250489642032411
93,1.9420902766646884
94,1.9507699384303292
95,1.9515171752049068
96,1.944804979830353
97,1.9311410671140934
98,1.9110590140336832
99,1.8851097386322255
100,1.853853448702106
101,1.8178521678597301
102,1.777662922705675
103,1.7338316512236416
104,1.6868878700731924
105,1.6373401175326683
106,1.585672169981975
107,1.5323400132870553
108,1.4777695364459353
109,1.4223549034569305
110,1.3664575505523309
111,1.3104057496026638
112,1.2544946744683185
113,1.1989869051380428
114,1.1441133043946512
115,1.0900742032149888
116,1.0370408338649149
117,0.9851569534166225
118,0.9345406049340624
119,0.885285968601919
120,0.8374652603988973
121,0.7911306413492559
122,0.7463161057692479
123,0.7030393221283578
124,0.6613034050681145
125,0.62109860168927
126,0.5824038793805315
127,0.5451884061889363
128,0.5094129180112988
129,0.47503096972076975
130,0.44199006974689403
131,0.41023269962529274
132,0.3796972216543958
133,0.3503186790759787
134,0.32202949417068044
135,0.2947600703670838
136,0.26843930494094104
137,0.24299501916605842
138,0.2183543129045042
139,0.19444385062297626
140,0.17119008572341005
141,0.14851942990521144
142,0.12635837405697112
143,0.10463356692728758
144,0.08327185756472973
145,0.0622003072607494
146,0.04134617648880987
