stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
81.0,86.0,3.3998000619999997,1.0,1.0,177.0,36.0,46.0,32.0,-4.0,-4.554046586810221,45.0,131.0,2.451551819932147,-0.13305479922898528,0.15809114948603473,-0.6499219026401486,-0.008138418518070605
113.0,108.0,6.633285046,2.0,1.0,46.0,59.0,79.0,62.0,3.0,5.067014781952858,54.0,-33.0,2.5366316072332573,-0.43653202763119753,0.10517347224967478,-0.024197745651217614,-0.012296983928740624
36.0,32.0,2.332854986,3.0,1.0,46.0,13.0,4.0,23.0,10.0,12.162026026998257,23.0,42.0,2.281068694428291,-0.08185639310438254,0.11920754949176182,-0.7188807688232419,-0.016563863015260718
59.0,62.0,2.5334191319999997,4.0,1.0,79.0,126.0,79.0,103.0,-23.0,-18.842238995037114,-67.0,0.0,2.415954399934946,-0.1728727031683153,0.1389175079541435,-0.41681654484892816,-0.020976978865464187
13.0,23.0,4.4004309180000005,5.0,1.0,4.0,16.0,305.0,18.0,2.0,5.204744320659772,-3.0,59.0,1.2846394111760215,0.09315654476451224,0.04170670524429664,-0.21308563935833214,-0.025575829162659127
126.0,103.0,3.149770975,6.0,1.0,79.0,133.0,89.0,111.0,-22.0,-21.416537022642437,-7.0,-10.0,1.802449354332836,0.23379747701368983,0.0875263617686945,0.739269334380225,-0.030401899141678148
16.0,18.0,3.083413124,7.0,1.0,305.0,130.0,42.0,113.0,-17.0,-15.147698368279,32.0,-97.0,2.839072429181734,0.15057128976854853,0.22180665640497535,-0.8063077070114913,-0.03549908658894714
133.0,111.0,2.116642952,8.0,1.0,89.0,99.0,313.0,100.0,1.0,-5.639648397195677,34.0,136.0,1.7843312623473528,0.2401933945588738,0.10040119669216549,-0.21608336865746558,-0.0409141404148481
130.0,113.0,3.3500218389999996,9.0,1.0,42.0,100.0,356.0,95.0,-5.0,-10.896939730280158,30.0,46.0,2.1361511588786954,0.0242540641786718,0.11260270000780001,-0.6681066129678948,-0.04669711377863251
99.0,100.0,4.899451256,10.0,1.0,313.0,6.0,277.0,18.0,12.0,13.069196714848735,-53.0,36.0,2.468012932341294,0.0003379405797987813,0.14652103253119023,-0.6460100419040559,-0.05290183205024808
100.0,95.0,2.5999569890000003,11.0,1.0,356.0,124.0,292.0,108.0,-16.0,-10.785293515826927,-24.0,64.0,1.9350618320774957,-0.02205191973401948,0.15145985030068992,-0.7933698596963765,-0.059586375023723465
6.0,18.0,2.817516088,12.0,1.0,277.0,88.0,340.0,97.0,9.0,-0.7099113150641667,64.0,-63.0,2.7052679979815606,0.05938131889410543,0.12569794291917366,-0.5744964935796932,-0.06681357172399316
124.0,108.0,3.9168748860000004,13.0,1.0,292.0,56.0,1.0,53.0,-3.0,-1.3692925849708981,68.0,-69.0,2.066104231432483,-0.06315611755032641,0.11877877631861022,0.19155576224737375,-0.07465150484122716
88.0,97.0,3.101749897,14.0,1.0,340.0,55.0,214.0,42.0,-13.0,-11.580409560316687,33.0,126.0,2.3447692788684815,-0.08513703101817628,0.1147487920729163,0.20517055787527522,-0.08317402024982487
56.0,53.0,4.950222015,15.0,1.0,1.0,116.0,105.0,102.0,-14.0,-7.798077710928274,-60.0,-104.0,2.7531429180341216,-0.19476607408938332,0.13145432403936705,-0.19955377960245219,-0.0924612351883133
55.0,42.0,2.249860048,16.0,1.0,214.0,138.0,291.0,147.0,9.0,9.588301790940315,63.0,-77.0,2.1439333230413546,-0.253985308804178,0.14646126973458087,0.16652308123284645,-0.10260003645713901
116.0,102.0,2.650599003,17.0,1.0,105.0,53.0,81.0,50.0,-3.0,-2.0670428135012653,63.0,24.0,2.185773785380247,-0.4176626462898593,0.13807664034215583,0.3344802863049318,-0.11368455740221199
