stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
123.0,110.0,2.8504979610000003,1.0,1.0,265.0,44.0,49.0,38.0,-6.0,-6.0,-67.0,-144.0,1.8637644618831872,1.388796324948083,0.5657838434106072,-1.5303300216492592,-0.00041681865208971166
133.0,111.0,4.583461046,2.0,1.0,35.0,146.0,254.0,147.0,1.0,6.502682546965344,-13.0,141.0,1.660680212610739,1.7095510419292153,0.25416829936570007,1.2487182592042747,-0.0006321405870166384
117.0,101.0,2.283322096,3.0,1.0,48.0,30.0,234.0,19.0,-11.0,-11.0,-59.0,174.0,1.9733991824882453,1.6782033610960199,0.20289719215646726,-0.05576838498793126,-0.0008559016669906106
44.0,38.0,2.099830866,4.0,1.0,49.0,135.0,146.0,137.0,2.0,2.0,55.0,-97.0,1.5023478233100829,1.6782033610960199,0.22610852249395288,-1.4057372263226633,-0.0010911579966314208
146.0,147.0,4.017532349,5.0,1.0,254.0,23.0,264.0,25.0,2.0,2.0000000000000298,-23.0,-10.0,-0.8450794195178226,1.9190617997885948,0.13502095173237305,0.836057907463826,-0.001341180118057291
30.0,19.0,3.949364901,6.0,1.0,234.0,142.0,147.0,140.0,-2.0,-1.9999999999999494,34.0,87.0,2.91622187234587,2.0714122289104298,0.3937189307650227,-1.0661636903626162,-0.001609514335932724
135.0,137.0,3.683828831,7.0,1.0,146.0,110.0,52.0,124.0,14.0,13.997647148986411,25.0,94.0,-0.3933854651008942,2.1253686661659197,0.161135682796644,-1.30461335705716,-0.001900049316743466
23.0,25.0,3.084054947,8.0,1.0,264.0,138.0,242.0,142.0,4.0,4.0,31.0,22.0,0.7838856483332409,2.471255303099738,0.13934914159769,2.2713298116460803,-0.0022170891405699027
142.0,140.0,4.283463955,9.0,1.0,147.0,88.0,258.0,94.0,6.0,5.991164764148511,54.0,-111.0,-1.3959077695603588,2.0662959397010203,-0.029315775759622516,0.05213335045536975,-0.002565434041279053
110.0,124.0,2.8337240219999997,10.0,1.0,52.0,79.0,187.0,100.0,21.0,21.000000000000064,31.0,-135.0,-0.7188207808547525,2.376940030344049,0.0010405551678300679,0.6896297268868902,-0.0029504701291227374
138.0,142.0,2.53335309,11.0,1.0,242.0,81.0,332.0,82.0,1.0,5.990717931242025,57.0,-90.0,-1.0401399799499518,2.376940030344049,0.21024679418556624,-1.808966439823867,-0.0033782694427366955
88.0,94.0,5.849199772,12.0,1.0,258.0,118.0,264.0,85.0,-33.0,-33.0,-30.0,-6.0,-1.415639373910874,2.5938262026820254,-0.0947971891801676,-0.4313064855531979,-0.00385570171831408
79.0,100.0,2.733940125,13.0,1.0,187.0,35.0,38.0,33.0,-2.0,-6.497651283660603,44.0,149.0,-1.2568778731931447,2.8617433227371905,0.04689750034901761,-1.0325625890246706,-0.004390559283041696
81.0,82.0,5.067022799999999,14.0,1.0,332.0,41.0,3.0,46.0,5.0,5.0,40.0,-31.0,3.863914833270219,2.9202484990345594,0.5057604324968267,-1.6492631064998418,-0.004991696466019684
118.0,85.0,3.083181143,15.0,1.0,264.0,31.0,177.0,50.0,19.0,19.0,-59.0,87.0,-0.7320708340808373,3.17016685412727,0.1812480609455091,-2.3849588682135723,-0.0056691848581819655
35.0,33.0,2.1180682180000003,16.0,1.0,38.0,53.0,236.0,56.0,3.0,4.001341775387518,-18.0,162.0,2.6160521601604487,3.608142879932225,-0.05771889090842403,2.021601133826564,-0.006434485625145374
41.0,46.0,1.5328590869999998,17.0,1.0,3.0,94.0,87.0,103.0,9.0,8.994127717305762,-53.0,-84.0,-0.900176237823573,3.289327666911401,-0.14798283713590452,1.7157381002472154,-0.0073006398615561045
31.0,50.0,1.350528955,18.0,1.0,177.0,85.0,220.0,93.0,8.0,8.000321170479998,-54.0,-43.0,0.9404965742120314,2.845982054589993,0.15130716788784573,-2.3355472965315456,-0.008282477646275732
