stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
90.0,107.0,1.48361516,1.0,1.0,84.0,137.0,50.0,146.0,9.0,9.000000000000046,-47.0,34.0,2.788355858296125,2.8749269112364493,0.44553926027847623,-1.0127221042632892,-0.012897287263191235
137.0,146.0,2.731700897,2.0,1.0,50.0,8.0,195.0,126.0,-28.0,-28.0,-17.0,-145.0,3.7968569482990344,2.4362892187134744,0.25814577503236114,1.0551236067924743,-0.019487537271235485
8.0,126.0,4.067014933,3.0,1.0,195.0,73.0,90.0,74.0,1.0,1.0,-65.0,105.0,3.2036312482126976,2.913290475255564,0.3586105089654696,-0.9080919564381128,-0.026249436425716338
73.0,74.0,4.416527748,4.0,1.0,90.0,96.0,123.0,127.0,31.0,30.993283885819487,-23.0,-33.0,3.497824544319186,2.8234022121527516,0.34571911721676984,1.2937422571582404,-0.033243083006982435
96.0,127.0,2.050063848,5.0,1.0,123.0,133.0,61.0,138.0,5.0,5.000000000000046,-37.0,62.0,2.672529644324091,2.530479887899642,0.3016468560539993,-0.5148168725984776,-0.04053107062173069
133.0,138.0,13.23340225,6.0,1.0,61.0,68.0,242.0,89.0,21.0,21.0,65.0,179.0,2.6501580515079444,2.5530082970377355,0.3629083802019526,-2.4610977145085173,-0.04817914263147898
68.0,89.0,6.367063999,7.0,1.0,242.0,58.0,266.0,87.0,29.0,29.000000000000046,10.0,-24.0,2.7677743109725546,1.8678330739219746,0.48578474780569464,-2.1458269276423954,-0.05625686566769212
58.0,87.0,5.000292063,8.0,1.0,266.0,1.0,330.0,124.0,-23.0,-23.00536374440784,57.0,-64.0,4.681534678038963,1.2219997405886391,0.40777769445717105,-2.665010750807385,-0.06483832465548169
1.0,124.0,1.016514063,9.0,1.0,330.0,125.0,100.0,108.0,-17.0,0.0010025614620765566,22.0,-130.0,3.047683605508156,0.014556407694489544,0.5014653874955337,-0.8737017056438615,-0.07400284089933244
125.0,108.0,3.866402149,10.0,1.0,100.0,57.0,149.0,55.0,-2.0,-2.0,68.0,-49.0,4.588685923104989,-0.37144212325890796,0.3193073660993009,1.8480687767322534,-0.08383571368149711
57.0,55.0,3.100269079,11.0,1.0,149.0,82.0,193.0,100.0,18.0,18.0,-25.0,-44.0,1.81371455842041,0.7349079116567158,0.17317449995894355,-1.3196678325935183,-0.09442898444542216
82.0,100.0,2.400203943,12.0,1.0,193.0,54.0,27.0,57.0,3.0,6.335792829161225,28.0,166.0,1.4775514986242768,0.9528523021407608,0.2920628177843908,-1.5716073912881352,-0.10588222093651752
54.0,57.0,2.10040617,13.0,1.0,27.0,40.0,264.0,55.0,15.0,15.0,14.0,123.0,3.0467125526268024,1.404144194918083,0.4709729640958679,-3.4224836011085347,-0.11830331660002975
40.0,55.0,6.033483027999999,14.0,1.0,264.0,110.0,116.0,114.0,4.0,3.9999999999998774,-70.0,148.0,4.792485805886794,1.106813117597,0.4766832770153119,0.06335096743687921,-0.13180929803679248
