stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
15.0,3.0,1.2999348640000001,1.0,1.0,9.0,105.0,98.0,123.0,18.0,0.0070507897048806,56.0,-89.0,-0.48283416120898953,0.24517876174059244,0.11906431362663887,-1.7013152463213195,0.002535366898888688
2.0,146.0,2.067513227,2.0,1.0,163.0,64.0,115.0,43.0,-21.0,-21.000332199046845,-62.0,48.0,-1.933977173891773,0.1890600928340793,-0.08940384705502623,0.21343143512992643,0.0038317308724947086
138.0,138.0,2.066941023,3.0,1.0,306.0,98.0,118.0,102.0,4.0,3.9999999999998987,40.0,-172.0,0.3291384530050002,-0.23244738503859114,-0.0960576502676088,0.24598240741843258,0.005162875149871246
105.0,123.0,2.8173768519999998,4.0,1.0,98.0,23.0,137.0,29.0,6.0,6.0,-64.0,-39.0,1.2146073175582928,-0.5363029053893887,-0.034278798784231054,-1.7121351744159725,0.006541002313809018
64.0,43.0,2.2168159480000003,5.0,1.0,115.0,112.0,219.0,122.0,10.0,10.0,-48.0,-104.0,-2.2672011532164587,-0.6445998252038057,-0.24919190818696993,-2.1698736083359953,0.007978843054057291
98.0,102.0,3.4667439460000002,6.0,1.0,118.0,111.0,169.0,108.0,-3.0,-3.0,-13.0,-51.0,-1.31467730095237,-0.4521259321233646,-0.017380501419239552,-1.1076301208907753,0.00948979551354342
23.0,29.0,2.9343049530000003,7.0,1.0,137.0,69.0,299.0,42.0,-27.0,-26.99999999999998,-46.0,-162.0,1.223351203131411,0.1263077996681823,0.17981699095377027,-0.9942557632717062,0.011088069262174096
112.0,122.0,2.750525951,8.0,1.0,219.0,73.0,49.0,67.0,-6.0,-4.33333314574322,39.0,170.0,-0.8756401454608905,0.5790875850298123,-0.03433191249904209,0.9644270987502799,0.012788834553060228
111.0,108.0,2.400035143,9.0,1.0,169.0,56.0,209.0,63.0,7.0,6.998490361856466,55.0,-40.0,-0.842167146938951,0.674586175089448,0.0363274144761164,-1.3118350536584185,0.014608377344548687
69.0,42.0,2.0654718880000003,10.0,1.0,299.0,46.0,11.0,55.0,9.0,-0.502514900342165,23.0,-72.0,1.5456413486368372,0.2434514285468564,0.08311975594657113,-1.307132154798144,0.016564260351393228
73.0,67.0,1.9164710040000001,11.0,1.0,49.0,75.0,3.0,74.0,-1.0,-0.9999999999999789,-2.0,46.0,-2.602361182689126,0.24845254614680182,-0.20954636994313144,-1.342558915210336,0.01867549011042235
56.0,63.0,1.1002581120000001,12.0,1.0,209.0,10.0,344.0,22.0,12.0,11.999999999999948,46.0,-135.0,-2.879223435571913,-0.5834118255965315,-0.09007659176862422,-2.1821693255405687,0.020962689699542684
46.0,55.0,2.766664028,13.0,1.0,11.0,90.0,19.0,105.0,15.0,14.99865651810633,-44.0,-8.0,-1.6843423087757674,-1.1898415076118436,-0.060800095843001244,-0.8195997287592317,0.02344827632206987
75.0,74.0,1.8839619159999998,14.0,1.0,3.0,141.0,7.0,3.0,8.0,5.996477980607189,-66.0,-4.0,-0.8069505544256351,-1.6990228823304796,0.23142013330031053,0.6330600201944002,0.02615664244847792
10.0,22.0,2.434102774,15.0,1.0,344.0,128.0,94.0,124.0,-4.0,-3.9959715239106184,28.0,-110.0,-1.850239881763914,-1.1283323327769355,0.06435752246779976,0.2026392651425458,0.029114338581371427
90.0,105.0,2.5499320030000003,16.0,1.0,19.0,45.0,281.0,54.0,9.0,8.996812261379848,45.0,98.0,-2.0414169682784857,-1.2172969944015282,0.016147460483445564,0.19260904606267035,0.032350254963353815
141.0,3.0,2.3501918319999997,17.0,1.0,7.0,44.0,190.0,50.0,6.0,5.99999999999988,-49.0,177.0,-1.0324874594229174,-1.0796728661344759,-0.05120149757884333,-1.413693017378569,0.03589579866859459
128.0,124.0,5.134060143999999,18.0,1.0,94.0,53.0,254.0,53.0,0.0,-1.333333333383654,-71.0,-160.0,0.2200633648679892,-1.729578723820888,0.022005176399072846,-0.10904691200717864,0.039785061495847256
45.0,54.0,1.083105803,19.0,1.0,281.0,96.0,288.0,113.0,17.0,17.0,-51.0,-7.0,1.6410518135211,-1.771404520955934,0.23628610499869368,-0.4957087571475099,0.04405497290462018
44.0,50.0,3.5171079639999996,20.0,1.0,190.0,8.0,221.0,127.0,-27.0,-27.0,36.0,-31.0,-0.31439817951517224,-1.4411517127487554,0.036597546004611715,-0.3210512764464457,0.04874543090242356
53.0,53.0,3.800223112,21.0,1.0,254.0,19.0,235.0,13.0,-6.0,-6.000111520765435,34.0,19.0,-1.8609055410159683,-1.405772702419063,0.0030288204435818455,-0.941423657730452,0.05389940230065239
96.0,113.0,3.8505940439999997,22.0,1.0,288.0,9.0,150.0,11.0,2.0,2.0,-59.0,138.0,1.0682841462774004,-1.3602693631149387,-0.020231050258600173,-2.1441775348440197,0.05956298211884496
8.0,127.0,3.29929328,23.0,1.0,221.0,39.0,91.0,41.0,2.0,1.9999999999999873,-31.0,130.0,0.8282597007530522,-1.2238538176226392,0.04750690861991046,-0.8487468490816144,0.06578540015136793
19.0,13.0,2.050057173,24.0,1.0,235.0,85.0,266.0,117.0,32.0,16.500671797403573,-66.0,-31.0,0.23321086906351104,-1.346082393211196,0.004692168836375308,0.5406998925716479,0.0726189608497708
9.0,11.0,2.9839003089999996,25.0,1.0,150.0,3.0,68.0,14.0,11.0,6.007211712567883,6.0,82.0,-0.9453569047574203,-1.1286869502053005,0.0029172388527412365,-0.3716384642140201,0.08011890076701753
39.0,41.0,4.150314093,26.0,1.0,91.0,72.0,98.0,65.0,-7.0,-4.5008387972544925,-33.0,-7.0,1.9364303780409908,-1.215346702787466,0.07827626614744253,-1.3312148750808033,0.08834314592460073
85.0,117.0,1.733118057,27.0,1.0,266.0,117.0,122.0,123.0,6.0,3.6667788376353734,-32.0,144.0,0.4985480749774491,-1.476169101014019,0.10456109714934869,0.41169712500962635,0.09735194969032525
3.0,14.0,2.632622004,28.0,1.0,68.0,130.0,46.0,125.0,-5.0,-4.995971523910662,19.0,22.0,0.287960181102521,-1.20632790440909,0.14134491555029174,-1.0330111415892,0.10720739020817636
72.0,65.0,2.566987038,29.0,1.0,98.0,63.0,128.0,49.0,-14.0,-14.000000000000012,9.0,-30.0,-2.3335918323020994,-1.203104030902698,0.005362933404960005,-1.9553822742398987,0.11797270524360301
117.0,123.0,1.400710106,30.0,1.0,122.0,67.0,75.0,63.0,-4.0,-2.332103479666675,50.0,47.0,-0.9048687795550832,-1.322558999641491,-0.024016298707511496,-0.6089378065230148,0.12971144166660709
130.0,125.0,2.3661069869999998,31.0,1.0,46.0,108.0,305.0,92.0,-16.0,-16.0,22.0,101.0,-1.7640842285103278,-1.6551029747052985,0.13187891893826897,-1.9993816682809913,0.14248639688675452
63.0,49.0,2.633852005,32.0,1.0,128.0,70.0,38.0,70.0,0.0,3.164271417513835e-14,-7.0,90.0,-2.189216624901136,-1.8727050801602152,0.04054045342379946,-2.4659649301558657,0.1563583305979594
67.0,63.0,5.383621931,33.0,1.0,75.0,68.0,353.0,71.0,3.0,3.0005595169497803,-1.0,82.0,-1.1680597585814483,-2.049993789328528,0.16709195933409252,-0.9010134629123591,0.17138442742427804
108.0,92.0,3.616468191,34.0,1.0,305.0,32.0,317.0,9.0,-23.0,-23.0,-70.0,-12.0,2.5764318791816727,-1.7560737474970622,0.24842956214603854,-0.8071922762012225,0.18761649472823022
70.0,70.0,3.017210007,35.0,1.0,38.0,142.0,131.0,6.0,10.0,9.999327893238315,-72.0,-93.0,-1.9587655851795378,-2.3875392475056767,-0.042561528504827466,-0.6841755634341927,0.20509888519475142
68.0,71.0,2.165976048,36.0,1.0,353.0,101.0,209.0,112.0,11.0,10.997314555134881,-33.0,144.0,0.7445676923896758,-2.100330456752861,0.07658213259625811,0.3527647736866587,0.22386614106187316
142.0,6.0,1.033477783,38.0,1.0,131.0,40.0,357.0,47.0,7.0,6.999663187063711,-44.0,134.0,0.32885524003978234,-1.496858252181665,0.10056903657667524,-1.0304582815497694,0.24394036621884435
101.0,112.0,3.582988977,39.0,1.0,209.0,125.0,22.0,99.0,-26.0,-25.998823742964966,-24.0,-173.0,1.1875451939998296,-1.666471965505195,0.10840660952406993,-0.6457055484868488,0.2653283439543787
