stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
62.0,66.0,2.98395896,1.0,1.0,299.0,86.0,42.0,122.0,36.0,36.0,-24.0,-103.0,5.318836311293969,-0.20940599827359008,0.4381095468343511,-5.050448642949993,-0.00017082388346756163
65.0,67.0,1.166131973,2.0,1.0,312.0,58.0,227.0,39.0,-19.0,-18.99781825552276,7.0,85.0,2.4579743251011115,0.789070182607304,0.1584866049268418,-2.57865052176186,-0.00026038142305387076
105.0,84.0,2.3671741490000002,3.0,1.0,135.0,45.0,250.0,43.0,-2.0,-5.66666666618425,60.0,-115.0,-0.8129307135193922,1.585893644642881,0.2637224503140779,-4.442187636165745,-0.00035504845338353173
86.0,122.0,8.151458979,4.0,1.0,42.0,36.0,332.0,45.0,9.0,9.0,50.0,70.0,1.6875245676105086,2.266687646773587,0.2775433578749721,-3.9435405433780386,-0.0004567578297797326
58.0,39.0,2.617252111,5.0,1.0,227.0,17.0,180.0,8.0,-9.0,-9.0,41.0,47.0,-1.014276301715552,1.983011604666993,-0.11383069660719507,-3.6141376809384664,-0.0005676496169911419
45.0,43.0,2.700441122,6.0,1.0,250.0,100.0,212.0,115.0,15.0,15.0,-55.0,38.0,2.3457594010249894,2.2217289803081504,0.11942192096343528,-4.125558552706121,-0.0006901362418858268
36.0,45.0,1.150131941,7.0,1.0,332.0,78.0,84.0,93.0,15.0,-4.668339515307416,-42.0,-112.0,-0.5331390801305351,2.0045665694097403,0.2681205445019059,-3.1208870683480825,-0.0008269772393265489
17.0,8.0,7.3503351210000005,8.0,1.0,180.0,31.0,31.0,20.0,-11.0,-0.0017903717007712316,-14.0,149.0,2.0403075887329276,2.580361368709416,0.3413538039964983,-3.5832091104065733,-0.0009813662267715451
100.0,115.0,3.1666140560000002,9.0,1.0,212.0,59.0,97.0,44.0,-15.0,-14.999999999999918,41.0,115.0,-0.9763260098030876,2.2063111268219817,0.08604977554695059,-1.7701964854497738,-0.001157033164218767
78.0,93.0,3.383265018,10.0,1.0,84.0,146.0,47.0,147.0,1.0,3.0000001687744304,-68.0,37.0,2.2261952102151352,1.771422571777615,0.15639225547463406,-2.388982225133786,-0.0013583654715477505
59.0,44.0,2.817061186,12.0,1.0,97.0,141.0,355.0,147.0,6.0,6.0,64.0,102.0,1.687877751660814,0.7345301321831887,-0.08156660924758391,-3.5841646258302893,-0.0015905521950662133
146.0,147.0,1.383744001,13.0,1.0,47.0,43.0,180.0,45.0,2.0,1.998882393084943,-43.0,-133.0,1.0810530316033797,1.412171309344842,0.13250896872010934,-7.28218413560045,-0.0018597561492459474
55.0,113.0,4.333076,14.0,1.0,109.0,37.0,196.0,147.0,-36.0,-36.0,18.0,-87.0,3.9737211848290186,1.4804147355317503,0.062281771443398894,-4.435822253904539,-0.0021733198175754222
141.0,147.0,4.633505106,15.0,1.0,355.0,97.0,22.0,102.0,5.0,5.0,44.0,-27.0,4.5484427099547355,1.3473174496349034,0.25464397502121044,-1.633147750531393,-0.0025400117854105357
43.0,45.0,2.899363995,16.0,1.0,180.0,109.0,332.0,97.0,-12.0,-11.999663749739293,-66.0,-152.0,1.8875517327825133,1.3620969155768154,0.26086464768341916,-2.3941466788950097,-0.0029703216009568283
37.0,147.0,3.783168077,17.0,1.0,196.0,94.0,263.0,114.0,20.0,19.99999999999993,-57.0,-67.0,1.7969091646800333,1.3803487485038968,0.3128907819646297,-4.222635654799499,-0.0034768122148387736
97.0,102.0,1.0832240579999999,18.0,1.0,22.0,25.0,99.0,12.0,-13.0,-13.000000000000057,72.0,-77.0,0.920203795061105,1.0869819581977487,0.24293550378787004,-5.414142102804743,-0.0040745405209521674
109.0,97.0,6.66676116,19.0,1.0,332.0,83.0,143.0,109.0,26.0,26.0,26.0,-171.0,-0.305784589722201,1.2363685385337517,-0.10457708535305839,-4.1085778673486395,-0.004781557983914629
94.0,114.0,6.716310023999999,20.0,1.0,263.0,19.0,344.0,11.0,-8.0,-8.0,-71.0,-81.0,2.0828785688865237,1.0509932576004373,0.05661165558482874,-3.2443807272255945,-0.005619504843809663
25.0,12.0,2.683504105,21.0,1.0,99.0,6.0,353.0,140.0,-12.0,-11.998823967969061,19.0,106.0,1.577939474658361,1.051940073038967,0.30155933208182945,-4.077399099544548,-0.006614312862278944
83.0,109.0,4.083645821,22.0,1.0,143.0,79.0,207.0,99.0,20.0,19.988033031406914,4.0,-64.0,0.11612431163683232,0.7942002201252779,-0.12102529791925627,-4.3490076250603105,-0.007797032904819569
6.0,140.0,5.799787997999999,24.0,1.0,353.0,108.0,328.0,112.0,4.0,4.002681899856821,44.0,25.0,0.927032544968051,0.8331608240215652,0.06021380684486859,-0.26860945397093694,-0.009204804686008872
79.0,99.0,3.7666532989999997,25.0,1.0,207.0,38.0,137.0,52.0,14.0,14.0,41.0,70.0,2.5571975663254856,0.5553432370981243,0.2943298578332756,-0.18434216536979772,-0.010881986523686013
140.0,47.0,4.18407774,26.0,1.0,297.0,110.0,350.0,109.0,-1.0,0.0023478999965449443,30.0,-53.0,2.956861944544879,1.2091139486245501,0.226777491846939,-2.9523609949007374,-0.012881462671716462
108.0,112.0,5.533403158,27.0,1.0,328.0,64.0,6.0,58.0,-6.0,-6.0,44.0,-38.0,3.417083440932979,1.431752232336902,0.3446867578053692,-1.2135173239692405,-0.015266144363865817
38.0,52.0,4.516708851000001,28.0,1.0,137.0,87.0,148.0,104.0,17.0,16.99999999999981,-49.0,-11.0,1.5522013811676987,1.6510679579254128,0.28010628558046446,-3.78486486908601,-0.018110677645676285
110.0,109.0,7.366485119,29.0,1.0,350.0,14.0,41.0,145.0,-15.0,-15.0,-50.0,-51.0,1.9823424426188059,1.2557191207161105,0.18107274915613153,-1.861581635034581,-0.02150336583867602
87.0,104.0,4.2176527980000005,31.0,1.0,148.0,130.0,203.0,2.0,18.0,18.0,-43.0,-55.0,3.823726773323031,0.7172807448795189,0.5124282664634944,-4.218039888538361,-0.02554830641120902
14.0,145.0,4.616849899,32.0,1.0,41.0,76.0,271.0,94.0,18.0,18.00100792633488,-62.0,130.0,5.502529149965755,0.9574171011225958,0.41020998816528054,-0.5578022565894123,-0.030367730368139074
77.0,132.0,4.566206932,33.0,1.0,134.0,134.0,258.0,4.0,16.0,16.00469231087697,-57.0,-124.0,2.1855669979479297,0.8585850227833822,0.49365473999418785,-7.157121557953004,-0.036104516191827585
130.0,2.0,3.050149202,34.0,1.0,203.0,115.0,185.0,99.0,-16.0,-1.9999993244494547,15.0,18.0,1.588129106645445,-0.16683935226269425,0.12915997858805162,-6.32416413335391,-0.04292482901455394
76.0,94.0,5.850255013,35.0,1.0,271.0,123.0,345.0,25.0,48.0,14.503189765377606,-47.0,-74.0,0.7597457572609801,0.010247871794102656,0.24093712669191908,-4.024144675485288,-0.05102080826325115
134.0,4.0,3.5008232589999997,36.0,1.0,258.0,107.0,127.0,94.0,-13.0,-5.005369201400697,27.0,131.0,3.310065317235719,-0.8892551797751006,0.352792404275038,-2.754724429133743,-0.06061319281698838
115.0,99.0,3.51658988,37.0,1.0,185.0,96.0,167.0,97.0,1.0,1.0,19.0,18.0,2.80958154420828,-1.2891433101502205,0.14303855325224804,-8.083374657906685,-0.07195373136072754
123.0,25.0,3.184093952,38.0,1.0,345.0,16.0,27.0,17.0,1.0,1.0,-39.0,-42.0,2.9633658349336813,-0.6941111457832952,0.15476390978824553,-2.8961359963829842,-0.08532717716764718
107.0,94.0,5.666853905,39.0,1.0,127.0,92.0,199.0,95.0,3.0,-2.5020110315865915,15.0,-72.0,2.830764242409678,-0.1526724145945578,0.2901831949949355,-3.6635467374230744,-0.10105261173482269
96.0,97.0,2.550000191,40.0,1.0,167.0,132.0,292.0,6.0,20.0,20.0,-36.0,-125.0,3.722342519271507,-0.3284811984236755,0.2325820808480923,-2.0740574273722263,-0.1194837821988384
16.0,17.0,4.183628082,41.0,1.0,27.0,116.0,280.0,105.0,-11.0,-4.5020135067177085,46.0,107.0,1.734594540796054,-0.5207452131102278,0.11974303722237958,-6.301530627560011,-0.14100807613148617
92.0,95.0,7.150188922999999,42.0,1.0,199.0,139.0,104.0,138.0,-1.0,-1.0,-47.0,95.0,1.5211616194000812,-0.20547369482298874,0.16441333821796572,-0.7599690231976534,-0.16604369848207565
132.0,6.0,2.299366951,43.0,1.0,292.0,90.0,80.0,93.0,3.0,-7.0020077128749065,42.0,-148.0,-1.3744892894641496,-0.06514242476886678,-0.25269544622321294,-4.4388077910722386,-0.19503456508666306
116.0,105.0,5.683777094,44.0,1.0,280.0,125.0,119.0,113.0,-12.0,-12.000000000000425,-9.0,161.0,2.0032325452119726,-0.264034702221499,-0.028550759944344105,-0.503795097392089,-0.22844239309082334
139.0,138.0,3.9002280239999996,45.0,1.0,104.0,24.0,32.0,13.0,-11.0,-11.0,-31.0,72.0,0.36727584218624126,0.1570474200602465,-0.0049988840312642875,-2.849347237352712,-0.2667354603617455
90.0,93.0,3.116776943,46.0,1.0,80.0,8.0,2.0,146.0,-8.0,-7.998823967969061,-64.0,78.0,-1.3957961589891354,-0.5297330311642889,0.2937927560697349,-6.839309423077524,-0.3103735344930429
125.0,113.0,2.0668427940000003,47.0,1.0,119.0,50.0,288.0,56.0,6.0,5.999999999999974,-71.0,-169.0,3.716842180634605,-0.4224728945204626,0.35384624902565187,-4.249626654587417,-0.3597885492054499
24.0,13.0,7.233991861,48.0,1.0,32.0,136.0,266.0,143.0,7.0,7.004692310876971,34.0,126.0,4.227804492940183,-0.6582945507692968,0.3646113485118831,-4.648392249769774,-0.4153607436135932
8.0,146.0,11.59961295,49.0,1.0,2.0,42.0,178.0,41.0,-1.0,-0.9948015680319848,-34.0,-176.0,0.17744804192215485,-0.7953935356548497,0.3263558900591107,-1.399753933196241,-0.4773901883180205
50.0,56.0,4.05077219,50.0,1.0,288.0,117.0,0.0,147.0,30.0,30.002178256566324,-67.0,-72.0,1.392852793253853,-0.8064965431596584,0.02016105087742679,-4.373427806396054,-0.5460639087504565
136.0,143.0,1.6992199419999998,51.0,1.0,266.0,13.0,278.0,12.0,-1.0,-1.0,-23.0,-12.0,-1.794110649952984,-1.2200458113947064,0.09940423059648922,-5.999627353934271,-0.6214191825326992
117.0,147.0,8.281781912000001,53.0,1.0,0.0,95.0,23.0,122.0,27.0,27.0,22.0,-23.0,3.714500336208629,-1.553348015652858,0.13934525243061877,-2.6284887493450118,-0.7033040281761014
13.0,12.0,3.366488934,54.0,1.0,278.0,113.0,200.0,101.0,-12.0,0.001675962905855144,46.0,78.0,4.872351008598944,-1.6459406082454586,0.41939076143228815,-4.749404754866049,-0.7913364019535953
72.0,126.0,2.566226959,55.0,1.0,123.0,68.0,85.0,115.0,47.0,47.0,4.0,38.0,3.4742628735466936,-1.695864015948203,0.20642576335189977,-6.06294778244795,-0.884864151533997
95.0,122.0,3.966595173,56.0,1.0,23.0,73.0,323.0,48.0,-25.0,-24.99831902994023,22.0,60.0,2.5848816143791975,-1.2603699888403217,0.09469003983940506,-3.941888013219565,-0.9829283000186223
113.0,101.0,4.633320808,57.0,1.0,200.0,135.0,175.0,121.0,-14.0,-0.01241841361191831,-22.0,25.0,1.4956656411940188,-2.1138593448489544,0.057512619355239665,-6.42688389871503,-1.084232701525914
68.0,115.0,4.232665062,58.0,1.0,85.0,44.0,294.0,50.0,6.0,2.6672260209899172,24.0,151.0,1.2950080668688169,-2.7907330988818275,0.3506032765796595,-4.613929324239876,-1.1871234588032225
73.0,48.0,1.283076763,59.0,1.0,323.0,39.0,131.0,45.0,6.0,6.000000000000196,34.0,-168.0,3.8868911883380686,-2.7907330988818275,0.3736466954832456,-2.3426031888633676,-1.2895816581538702
135.0,121.0,1.3999950890000001,60.0,1.0,175.0,54.0,186.0,47.0,-7.0,-7.000000000000026,-65.0,-11.0,1.2357628239454175,-2.9391856337104723,0.17928281629100137,-6.082520542671756,-1.389232891298838
44.0,50.0,1.400079012,61.0,1.0,294.0,46.0,168.0,1.0,-45.0,-0.0016823771723721848,-2.0,126.0,-1.0620286127537286,-2.8282923797093247,0.09461349301865296,-2.601042700351807,-1.4833766400511665
39.0,45.0,2.883885145,62.0,1.0,131.0,18.0,319.0,144.0,-20.0,-20.0,21.0,172.0,-2.779754401204057,-2.61400666542361,-0.09686019043763223,-4.691388242941281,-1.5690378578430992
54.0,47.0,2.783113956,63.0,1.0,186.0,12.0,109.0,7.0,-5.0,-5.0,42.0,77.0,3.3324322189344318,-2.757391793533119,0.3958318807476258,-4.503086860576063,-1.643041979248484
46.0,1.0,2.800338268,64.0,1.0,168.0,98.0,173.0,91.0,-7.0,-7.0,-52.0,-5.0,2.8755185929026585,-2.7190980170220334,0.2504369571699458,-5.047215180951107,-1.7021131472565396
18.0,144.0,3.433491945,65.0,1.0,319.0,11.0,357.0,8.0,-3.0,-2.9999971866215818,7.0,-38.0,0.8342916126698439,-2.247873157315756,0.09717545406050948,-0.14142617091619117,-1.7429937322148779
12.0,7.0,3.583267927,66.0,1.0,109.0,41.0,208.0,147.0,-40.0,-24.50369270472642,-29.0,-99.0,4.5638771106347225,-2.4238778551929494,0.3547354999432782,-3.743980817532852,-1.7625813334523894
98.0,91.0,2.283992767,67.0,1.0,173.0,82.0,355.0,94.0,12.0,11.999999999999797,16.0,178.0,1.5691876724725233,-1.356623393338689,0.26483216874201565,-2.6670925732349318,-1.7580775519026928
11.0,8.0,3.966845036,68.0,1.0,357.0,29.0,227.0,4.0,-25.0,-24.99999999999992,-18.0,130.0,3.3187668236082617,-2.185738741829366,0.2755689051042863,-2.7521488282124364,-1.7271410772823546
41.0,147.0,2.150485039,69.0,1.0,208.0,119.0,321.0,145.0,26.0,26.0,68.0,-113.0,2.74900853630238,-2.364310170400798,0.227526073726434,-5.696337497620312,-1.6680362392090318
82.0,94.0,4.299968004,70.0,1.0,355.0,103.0,4.0,90.0,-13.0,-13.0,-21.0,-9.0,2.557645329978702,-3.711096070332731,0.12120865144500798,-0.7520523928072882,-1.5797673153361158
29.0,4.0,3.183309078,71.0,1.0,227.0,4.0,46.0,144.0,-6.0,-6.0,25.0,-179.0,-0.4346061434393391,-4.390968772988275,-0.004817962199458228,-1.9257108959900442,-1.4621887297154261
119.0,145.0,1.232761145,72.0,1.0,321.0,51.0,67.0,54.0,3.0,2.999328399684304,68.0,-106.0,-1.9893320619645443,-4.543418040273128,0.16871672669266,-8.284964853176584,-1.3160819177895398
103.0,90.0,1.799983025,73.0,1.0,4.0,70.0,31.0,105.0,35.0,35.0,33.0,-27.0,1.5974894989010293,-4.121976721176011,0.29336025998203624,-4.232694684791345,-1.1431911153630743
4.0,144.0,1.8166351319999998,74.0,1.0,46.0,145.0,42.0,146.0,1.0,-0.5005031095310657,5.0,4.0,3.0237184727899518,-4.121976721176011,0.2578165232817752,-4.677247152584174,-0.9462125971849179
51.0,54.0,0.766986132,75.0,1.0,67.0,89.0,313.0,98.0,9.0,-6.009892940865456,-38.0,114.0,5.231457793540074,-4.712860411927942,0.42410980677651905,-4.584912788860684,-0.7287348071558445
70.0,105.0,1.449707031,76.0,1.0,31.0,101.0,140.0,97.0,-4.0,-4.0,-31.0,-109.0,-1.6219414409677038,-3.9847775903505203,0.1541050562007015,-3.890676161815778,-0.49513016611448796
145.0,146.0,1.599564075,77.0,1.0,42.0,52.0,77.0,54.0,2.0,-0.0020123251737196313,-53.0,-35.0,0.8625563817595733,-3.4036544456753233,0.09866548883738131,-3.8737919574326507,-0.25040283161088744
89.0,98.0,3.09847331,78.0,1.0,313.0,88.0,42.0,102.0,14.0,13.994965866880564,1.0,-89.0,1.5228947725269326,-3.323025033045107,0.2429346272334242,-2.3637306788823444,0.0
101.0,97.0,1.033455133,79.0,1.0,140.0,124.0,240.0,95.0,-29.0,-29.011238448778872,-23.0,-100.0,0.37833731055331626,-2.997003223831386,-0.19675653394115272,-1.904683524515564,0.25040283161088744
52.0,54.0,2.2003808019999997,80.0,1.0,77.0,133.0,15.0,93.0,-40.0,-39.99999999999982,65.0,62.0,2.0948654020050244,-2.883121895433563,0.2121899455985085,-1.8589711836094318,0.49513016611448796
88.0,102.0,2.582617044,81.0,1.0,42.0,63.0,36.0,86.0,23.0,23.0,25.0,6.0,4.055536910637487,-3.4513570268119795,0.6704487797257966,-4.5327953532852145,0.7287348071558445
124.0,95.0,8.283189058,82.0,1.0,240.0,80.0,162.0,117.0,37.0,20.996316833287732,44.0,78.0,2.82861177281924,-3.93152495136638,0.06330689194181412,-3.765161842312412,0.9462125971849179
,,,,,,,,,,,,,1.9541876081029452,-3.418892172507855,0.1819834866503564,-1.1990198483520464,1.1431911153630743
,,,,,,,,,,,,,-0.04371388536445723,-3.670691928976374,0.07320562669354767,-4.8163252079874,1.3160819177895398
,,,,,,,,,,,,,1.7792435833559643,-3.5478218239256307,0.11493592747597686,-0.7637859921922436,1.4621887297154261
141.0,143.0,4.333621025,1.0,2.0,123.0,47.0,219.0,52.0,5.0,5.015095668082896,-52.0,-96.0,1.9485211358080825,-3.5478218239256307,0.24342938194046415,-1.3269237945756676,1.5797673153361158
12.0,146.0,3.715066195,2.0,2.0,110.0,106.0,179.0,104.0,-2.0,-1.9973181001431914,52.0,-69.0,-0.838569962637681,-3.7301540767211714,0.08375774319539166,-3.81135665181255,1.6680362392090318
66.0,58.0,7.565490961,3.0,2.0,124.0,140.0,357.0,142.0,2.0,2.0,72.0,127.0,4.241734648046819,-1.7038091244483629,0.41241165223032905,-2.448538695864772,1.7271410772823546
47.0,52.0,7.283617258,4.0,2.0,219.0,28.0,220.0,16.0,-12.0,-12.001507556022764,19.0,-1.0,5.19686542323885,-1.0557014199736559,0.4524162921157616,-10.44543820842244,1.7580775519026928
106.0,104.0,9.932580709,5.0,2.0,179.0,20.0,47.0,5.0,-15.0,-15.0,-60.0,132.0,1.1561121447888447,-0.9643275848987118,0.06681507294269882,-4.363486754099358,1.7625813334523894
140.0,142.0,4.9997978210000005,6.0,2.0,357.0,71.0,29.0,70.0,-1.0,-1.0,69.0,-32.0,2.247328071832298,-0.4462308490089203,0.33775406207199965,-1.9154706780298707,1.7429937322148779
28.0,16.0,6.083189964,7.0,2.0,220.0,79.0,33.0,63.0,-16.0,-16.011966968593086,-51.0,-173.0,-0.7367808465427447,-0.11491960911168901,0.0226381913860389,-0.16221564758253273,1.7021131472565396
20.0,5.0,6.582571745,8.0,2.0,47.0,134.0,61.0,135.0,1.0,1.0046923108769705,32.0,-14.0,1.5477945309780463,0.21079127601174366,0.08161231409259345,-2.522442497218543,1.643041979248484
71.0,70.0,3.866903067,9.0,2.0,29.0,78.0,299.0,112.0,34.0,14.331660484692584,-7.0,90.0,2.948033301140382,0.21079127601174366,0.12266472592709061,-1.4524112846392965,1.5690378578430992
79.0,63.0,3.765745878,10.0,2.0,33.0,5.0,197.0,135.0,-16.0,-15.999999999999956,-72.0,-164.0,1.4418932787823484,-0.3789457584490774,0.32501519025578407,-1.3242322967802111,1.4833766400511665
134.0,135.0,1.832764864,11.0,2.0,61.0,100.0,82.0,106.0,6.0,6.0,34.0,-21.0,0.012370080810982394,0.31698563828464366,0.03317908138459775,-8.567401127786376,1.389232891298838
78.0,112.0,3.782976151,12.0,2.0,299.0,24.0,341.0,2.0,-22.0,-22.0,54.0,-42.0,3.8941795162634345,0.9440247207032368,0.15015525031815785,-2.235334529088164,1.2895816581538702
5.0,135.0,7.250708818,13.0,2.0,197.0,49.0,303.0,45.0,-4.0,-4.0,-44.0,-106.0,0.12643573359419075,-0.14097500579677053,0.14380173711656344,-5.367250515821428,1.1871234588032225
100.0,106.0,3.2677268980000003,14.0,2.0,82.0,114.0,249.0,109.0,-5.0,-5.626761003796332e-07,-14.0,-167.0,1.2286232081077275,0.7375759534682068,0.23364219345661363,-7.2588920108288635,1.084232701525914
24.0,2.0,2.883605957,15.0,2.0,341.0,14.0,62.0,7.0,-7.0,-7.0,10.0,-81.0,2.644582386529312,0.720032093819083,0.42061147250251996,-6.079341522151486,0.9829283000186223
49.0,45.0,6.48359704,16.0,2.0,303.0,108.0,348.0,9.0,47.0,47.002681899856825,-59.0,-45.0,2.0461660770056143,1.1041318067212447,0.1237533016417247,-3.517794744835362,0.884864151533997
114.0,109.0,2.599527359,17.0,2.0,249.0,40.0,191.0,40.0,0.0,0.005198431968057342,-72.0,58.0,-1.2413892146569974,0.9114222283898592,-0.16928442042219705,-7.551826149501372,0.7913364019535953
14.0,7.0,2.700719833,18.0,2.0,62.0,146.0,285.0,141.0,-5.0,-2.9999998312255696,14.0,137.0,-3.5327850665458413,0.8428007857865384,-0.18093357398443602,-2.9898893740888757,0.7033040281761014
108.0,9.0,2.333694935,19.0,2.0,348.0,133.0,330.0,136.0,3.0,3.000000000000177,-25.0,18.0,1.3494432517430204,0.6756271880519177,-0.027103479993492104,-3.2798356433169187,0.6214191825326992
40.0,40.0,3.8840410710000004,20.0,2.0,191.0,19.0,310.0,10.0,-9.0,-9.0,21.0,-119.0,4.178430355459643,0.4602519930683896,0.34236647976455226,-1.9925971037939247,0.5460639087504565
146.0,141.0,4.117943048,21.0,2.0,285.0,57.0,131.0,55.0,-2.0,4.503688625119536,-57.0,154.0,0.713675177782449,1.169736396800759,0.2597711685154937,-3.5732446551766652,0.4773901883180205
133.0,136.0,6.799449921,22.0,2.0,330.0,11.0,42.0,3.0,-8.0,-7.999997186621582,-24.0,-72.0,2.7313778067512327,1.3618870051506404,0.2384427488444276,-3.464076389914853,0.4153607436135932
19.0,10.0,1.833204985,23.0,2.0,310.0,32.0,281.0,35.0,3.0,3.003689488304132,-13.0,29.0,0.10566451023117034,1.0244751086136956,0.3326196370994684,-4.493657526651928,0.3597885492054499
57.0,55.0,3.50050211,24.0,2.0,131.0,68.0,88.0,41.0,-27.0,-27.0,-11.0,43.0,2.124593024081761,1.2621258764470733,0.25283310600355546,-4.957427372368933,0.3103735344930429
11.0,3.0,3.3832552430000002,25.0,2.0,42.0,116.0,290.0,114.0,-2.0,4.4979864932822915,41.0,112.0,0.4807563646807367,1.4079401840098926,-0.10457367495586337,-6.962309249055494,0.2667354603617455
32.0,35.0,5.8322968479999995,26.0,2.0,281.0,88.0,270.0,109.0,21.0,20.994965866880563,-56.0,11.0,-1.019051990639282,1.4079401840098926,0.11684306557175898,-0.729024430336194,0.22844239309082334
68.0,41.0,19.783885,27.0,2.0,88.0,65.0,240.0,61.0,-4.0,-4.0,3.0,-152.0,-0.755390790298886,1.9142775941945918,0.016191835603636528,-0.4345329189064968,0.19503456508666306
116.0,114.0,3.500534058,28.0,2.0,290.0,122.0,73.0,84.0,-38.0,-24.49731812941947,-6.0,-143.0,0.7421840244280815,2.3415282428083004,0.49148106137198017,-6.244210112030855,0.16604369848207565
88.0,109.0,3.7500450610000002,29.0,2.0,270.0,18.0,189.0,16.0,-2.0,-2.0,70.0,81.0,3.9822427643488827,2.3415282428083004,0.1873373392684529,-1.9913242266021522,0.14100807613148617
65.0,61.0,2.316776991,30.0,2.0,240.0,82.0,355.0,81.0,-1.0,-1.0000000000002027,-17.0,-115.0,2.0627789527964286,2.5796660507425355,0.2543087192918479,-6.443620751215311,0.1194837821988384
122.0,84.0,3.3836901189999997,31.0,2.0,73.0,98.0,314.0,97.0,-1.0,-1.0,24.0,119.0,3.96533261603049,3.0425491836647938,0.552967937411967,-1.1120797256910944,0.10105261173482269
18.0,16.0,1.299223185,32.0,2.0,189.0,41.0,237.0,50.0,9.0,24.49630729527358,-23.0,-48.0,1.6981200911200833,2.625173363937047,0.4372307694389857,-6.068262966559476,0.08532717716764718
82.0,81.0,4.283309937,33.0,2.0,355.0,125.0,91.0,110.0,-15.0,-15.000000000000425,-43.0,-96.0,-2.9582609243572877,2.686951307159188,-0.2872448037204116,-6.2908498936578265,0.07195373136072754
98.0,97.0,4.367413998,34.0,2.0,314.0,15.0,349.0,7.0,-8.0,-8.0,-63.0,-35.0,4.079529396202057,1.7328015628076476,0.2980839324554816,0.45213516328373293,0.06061319281698838
41.0,50.0,5.083300114,35.0,2.0,237.0,7.0,103.0,10.0,3.0,6.505702075644959,34.0,134.0,1.0051409011226564,1.4367696565761066,0.23668878278990163,-4.891917664469807,0.05102080826325115
125.0,110.0,2.7163221839999996,36.0,2.0,91.0,99.0,339.0,95.0,-4.0,-4.0,26.0,112.0,-0.861646065654201,1.434019810511579,0.27308721263980995,-3.3934009519709147,0.04292482901455394
15.0,7.0,2.549587011,37.0,2.0,349.0,136.0,97.0,3.0,13.0,13.00469231087697,25.0,-108.0,1.3970857990071117,0.783640604122703,-0.03423780460683685,-7.2853892571061545,0.036104516191827585
7.0,10.0,3.333463669,38.0,2.0,103.0,30.0,335.0,31.0,1.0,1.003689488304132,-23.0,128.0,-1.0719297395895613,0.04509253599130784,0.09725171321813837,-3.3745937717262144,0.030367730368139074
