stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
87.0,46.0,5.082980871,1.0,1.0,170.0,131.0,256.0,142.0,11.0,11.0,-44.0,-86.0,2.0467172123439057,2.853441060501236,0.43749025718836354,-1.575948396465044,-0.00025232410846331993
11.0,26.0,1.617341995,2.0,1.0,77.0,7.0,68.0,104.0,-49.0,-49.0000000000002,4.0,9.0,1.648121924354997,2.419451091334108,0.42133401495437484,-3.0570156649926044,-0.0003846096289354315
97.0,80.0,2.2999629969999997,3.0,1.0,85.0,26.0,175.0,64.0,38.0,19.503694251877018,71.0,-90.0,2.8382605053260495,2.4263525859988944,0.5511424693761909,-3.927113805101533,-0.0005244423826865462
131.0,142.0,2.333483934,4.0,1.0,256.0,125.0,136.0,137.0,12.0,11.497316355545781,6.0,120.0,3.988244718826519,1.8360835566986988,0.48109893807975246,-4.153818221042368,-0.0006746773920180652
7.0,104.0,1.449687004,5.0,1.0,68.0,79.0,31.0,85.0,6.0,6.0,-72.0,37.0,3.4121248282586425,1.535537813824136,0.4450517843558311,-3.0765343730236383,-0.000838475748456794
26.0,64.0,2.86633873,6.0,1.0,175.0,114.0,172.0,80.0,-34.0,-12.488263649677332,58.0,3.0,3.3445041918999143,1.6111998372677834,0.37958736640701596,-0.2183879087726488,-0.0010194008498567058
125.0,137.0,3.249624252,7.0,1.0,136.0,25.0,301.0,23.0,-2.0,-2.0062048193327535,-46.0,-165.0,3.372304636981529,1.578496206137098,0.5527462358981734,-1.7441547011057505,-0.0012215288075974257
79.0,85.0,2.9005661010000003,8.0,1.0,31.0,86.0,139.0,84.0,-2.0,-1.9944639644911226,-7.0,-108.0,1.5744663645182138,1.786926282014352,0.33245123520554265,-1.4179205402867623,-0.0014495769168439605
114.0,80.0,2.850250959,9.0,1.0,172.0,101.0,153.0,98.0,-3.0,-2.9912780881357146,13.0,19.0,3.0638016342504835,1.687040328440628,0.42801045983393293,1.350270648444612,-0.0017090547048008013
25.0,23.0,3.849765778,10.0,1.0,301.0,31.0,100.0,21.0,-10.0,-9.993790493154856,-6.0,-159.0,-3.450606764856941,1.4973579705545785,0.1963164778879398,-3.5367286989858973,-0.002006442833244788
86.0,84.0,2.5332629680000003,11.0,1.0,139.0,17.0,352.0,16.0,-1.0,-1.0,69.0,147.0,-3.376429540040382,1.949331855736221,0.2529949981951022,-1.6591661662205694,-0.00234940604705872
101.0,98.0,2.566549063,12.0,1.0,153.0,10.0,263.0,11.0,1.0,0.9947992050863086,-55.0,-110.0,2.255906876441736,2.244203645571664,0.38682137302678793,-2.680102824391339,-0.0027470474449419018
31.0,21.0,2.316910982,13.0,1.0,100.0,55.0,102.0,53.0,-2.0,0.002683512709600766,-24.0,-2.0,5.5694072379653825,2.585832842297012,0.6228756209210337,-2.42269181464589,-0.0032102126157419297
17.0,16.0,1.6669280530000001,14.0,1.0,352.0,119.0,12.0,119.0,0.0,-0.0181139629747889,44.0,-20.0,2.193831788349404,3.928073619671166,0.31426174802665124,-3.5814933924551484,-0.0037518536446369587
10.0,11.0,3.800035715,15.0,1.0,263.0,94.0,216.0,103.0,9.0,9.0,62.0,47.0,1.445359180889283,4.146335355646117,0.19742981734655968,-1.9011178536217825,-0.0043874646525539586
55.0,53.0,1.233630896,16.0,1.0,102.0,100.0,101.0,74.0,-26.0,-0.0003471661295648687,-45.0,1.0,0.25823668073771405,4.1963505303667015,0.17226398426968156,-1.725349042723187,-0.005135602384969109
119.0,119.0,2.083956003,17.0,1.0,12.0,84.0,206.0,83.0,-1.0,-1.0085547465862275,35.0,166.0,4.260998352395021,4.03904168610913,0.6161475026787092,-1.4683909899144627,-0.0060185073931740204
94.0,103.0,1.884115934,18.0,1.0,216.0,61.0,171.0,58.0,-3.0,-3.0,33.0,45.0,0.4939736468018152,3.9378511951959476,0.3641664292256152,-2.8639529155968417,-0.007062843511527281
100.0,74.0,2.9498322010000004,19.0,1.0,101.0,44.0,6.0,69.0,25.0,24.999999999999893,56.0,95.0,3.902734968426719,3.2554323761982262,0.31908714406696953,-1.2379382152193965,-0.008300575557809586
84.0,83.0,2.9165880680000003,20.0,1.0,206.0,42.0,278.0,56.0,14.0,14.0,42.0,-72.0,1.4114302853412264,3.1966088467864626,0.0875695271901915,-2.0250119342896755,-0.009770007360101028
61.0,58.0,1.13351512,21.0,1.0,171.0,48.0,12.0,53.0,5.0,4.999999999999894,13.0,159.0,-1.55486858844619,3.423597138194414,0.09378097602310695,-3.3648039472354094,-0.011517004179327968
44.0,69.0,0.73337698,22.0,1.0,6.0,4.0,312.0,18.0,14.0,14.000000000000165,40.0,54.0,3.95161308472633,3.604256554759267,0.5876147678248974,-1.795091201430561,-0.01359642512079699
42.0,56.0,2.001390219,23.0,1.0,278.0,57.0,135.0,54.0,-3.0,-5.331991358286214,-15.0,143.0,-4.339199879346248,4.102332101867698,0.34720681715749596,0.5415285033614682,-0.016073791895101733
