stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
39.0,63.0,3.315124273,1.0,1.0,350.0,136.0,204.0,147.0,11.0,10.99675691308018,49.0,146.0,3.9033486221166074,4.040430671710886,0.08435426015865528,1.2197758960667093,-9.886919737203833e-18
136.0,147.0,1.833121777,2.0,1.0,204.0,70.0,299.0,68.0,-2.0,-2.0,66.0,-95.0,2.6833718581928907,3.6118473330044814,0.040568251156371825,4.55128487533711,-0.003479744188972858
70.0,68.0,2.28312397,3.0,1.0,299.0,89.0,304.0,110.0,21.0,20.996418994150357,-19.0,-5.0,3.900809182780532,3.1943420111984717,0.13432661062381854,1.8583773362910787,-0.006991754521599232
89.0,110.0,4.716586113,4.0,1.0,304.0,13.0,194.0,20.0,7.0,6.99714813685688,-70.0,110.0,3.6865934123370563,3.437897477289623,0.14067650688216737,5.355663398001872,-0.010568667500211643
13.0,20.0,3.150047064,5.0,1.0,194.0,16.0,201.0,13.0,-3.0,-3.0000000000000444,-3.0,-7.0,1.0820329755290676,3.2547133096962866,0.17014618256278308,2.532379825286392,-0.01424386307302613
16.0,13.0,1.73431015,6.0,1.0,201.0,140.0,121.0,6.0,12.0,11.998712296724007,22.0,80.0,0.9858663586065762,2.999253451669665,-0.0017121893101537929,3.8228939638293657,-0.018051843104009976
76.0,124.0,5.533112764,8.0,1.0,85.0,108.0,349.0,143.0,35.0,35.0,-32.0,96.0,1.889069241186546,2.633733320241018,-0.20761994691082236,5.014280446924004,-0.022028617726617943
108.0,143.0,5.766885757000001,9.0,1.0,349.0,48.0,83.0,59.0,11.0,11.0,60.0,-94.0,6.404256696524532,2.3807249349573603,0.3733849156017745,3.135919460482778,-0.02621210184279181
48.0,59.0,1.966599226,10.0,1.0,83.0,31.0,288.0,34.0,3.0,3.0,17.0,155.0,-2.1314634753524495,2.1527577735482506,-0.2617838544950014,6.250351647812438,-0.030642523689385796
31.0,34.0,5.067037344,11.0,1.0,288.0,68.0,181.0,74.0,6.0,6.0,-37.0,107.0,3.5948878642021347,1.913609093124869,0.15291265884010496,2.209956483462607,-0.03536284693874488
68.0,74.0,8.533227921,12.0,1.0,181.0,85.0,214.0,109.0,24.0,23.991050055600244,-17.0,-33.0,4.099630389762943,2.099509656286921,0.1814052211925218,3.1352229031440686,-0.040419207207509696
85.0,109.0,3.3001930710000003,13.0,1.0,214.0,55.0,207.0,62.0,7.0,6.999999999999899,30.0,7.0,1.222854359477274,2.4313377756793835,-0.03956855768351599,4.177017361903419,-0.045861363092681934
55.0,62.0,4.967076778,14.0,1.0,207.0,28.0,288.0,24.0,-4.0,-4.507212360881035,27.0,-81.0,1.0324401394425715,1.9440832244323716,0.012392065077174143,4.623574968613385,-0.051743160907421315
28.0,24.0,3.1841819289999997,15.0,1.0,288.0,90.0,344.0,76.0,-14.0,-24.674827988887696,-62.0,-56.0,3.160603761696207,1.298017408826936,0.05571203953997017,5.18438558690735,-0.05812301111824401
90.0,76.0,2.533756018,16.0,1.0,344.0,8.0,58.0,13.0,5.0,4.501845100513455,-64.0,-74.0,0.9457093292085752,0.9914275302831171,-0.025950555662251552,4.902515618849754,-0.06506437305457337
8.0,13.0,3.433037758,17.0,1.0,58.0,109.0,266.0,90.0,-19.0,-19.0,45.0,152.0,2.396401559623837,0.9914275302831171,0.12712818607368864,4.9822437790701475,-0.07263624273330634
109.0,90.0,2.8499200339999997,18.0,1.0,266.0,121.0,93.0,120.0,-1.0,2.499160865561656,-12.0,173.0,2.7298912591135327,1.4392339275230033,0.05546581804485348,5.328316863928286,-0.080913636576974
121.0,120.0,3.933349848,19.0,1.0,93.0,45.0,133.0,63.0,18.0,18.0,-70.0,-40.0,2.3679070266372193,1.4469319315795401,0.05647266859977596,4.199032660300074,-0.08997806136739847
45.0,63.0,2.8667850489999998,20.0,1.0,133.0,69.0,171.0,60.0,-9.0,-9.0,-24.0,-38.0,0.5739886405654183,1.383484292859421,-0.2505908499176141,5.295514454551422,-0.09991795793469722
