stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
90.0,107.0,13.23340225,1.0,1.0,84.0,73.0,90.0,74.0,1.0,1.0,17.0,-6.0,5.153809553376303,-0.18912519713840598,0.21004332032205483,0.5654376546837879,-9.808694551392592e-20
137.0,146.0,6.367063999,2.0,1.0,50.0,96.0,123.0,127.0,31.0,30.993283885819487,41.0,-73.0,0.5810702497902653,-1.104449039207792,0.07400154534431469,2.137016679085081,-3.458611121683165e-05
8.0,126.0,5.000292063,3.0,1.0,195.0,133.0,61.0,138.0,5.0,13.665435986920075,21.0,134.0,1.8172993319437936,-0.95190934156901,0.049468045223447096,1.0188600454090397,-6.987981368127397e-05
73.0,74.0,1.016514063,4.0,1.0,90.0,68.0,242.0,89.0,21.0,21.0,5.0,-152.0,3.6940049022925088,-1.7375922801596029,0.4070488584655213,-0.48997262751205295,-0.00010661036369593404
96.0,127.0,3.866402149,5.0,1.0,123.0,58.0,266.0,87.0,29.0,29.0,38.0,-143.0,-1.6611814602013577,-1.3082023247497512,0.12799868886957547,5.267534001270636,-0.0001455511510578721
133.0,138.0,3.100269079,6.0,1.0,61.0,1.0,330.0,124.0,-23.0,-23.0,-14.0,91.0,-0.5589409168408052,-0.730412334972662,-0.02405574634754283,3.5973277518894053,-0.00018754380497002575
68.0,89.0,2.400203943,7.0,1.0,242.0,125.0,100.0,108.0,-17.0,-16.9994961309038,-57.0,142.0,2.9460270847122496,-0.1929253207555967,0.1917695659701471,1.5699878340867222,-0.00023352483382897829
58.0,87.0,2.10040617,8.0,1.0,266.0,57.0,149.0,55.0,-2.0,-2.0,1.0,117.0,-0.47124219459495975,-0.6039313254054093,-0.016362130371415578,2.6062800061165037,-0.00028455579103635965
1.0,124.0,6.033483027999999,9.0,1.0,330.0,82.0,193.0,100.0,18.0,6.490944451806733,65.0,137.0,0.8137777052893336,-0.9269464543600584,0.3341810389794048,5.934997518052651,-0.0003418580908404543
125.0,108.0,2.783899784,10.0,1.0,100.0,54.0,27.0,57.0,3.0,3.0,71.0,73.0,3.5493993902528436,-0.7858166847539572,0.3932892956881805,2.2630810122455065,-0.0004068537697118167
