stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
81.0,86.0,3.3998000619999997,1.0,1.0,177.0,36.0,46.0,32.0,-4.0,-4.0,45.0,131.0,2.492598241156141,-0.6044086221073097,0.14200431877575634,-3.044404632024424,-4.320790882274861e-19
113.0,108.0,6.633285046,2.0,1.0,46.0,59.0,79.0,62.0,3.0,3.0000000000001457,54.0,-33.0,3.426692200933408,-0.25151353915322305,0.25300487100945757,-5.165818338122113,-0.00015235396842671562
36.0,32.0,2.332854986,3.0,1.0,46.0,13.0,4.0,23.0,10.0,15.999496750639715,23.0,42.0,4.21099371416979,-0.22430387876239583,0.24991841510019097,-3.6726780705183595,-0.00030782492025519697
59.0,62.0,2.5334191319999997,4.0,1.0,79.0,126.0,79.0,103.0,-23.0,-23.0,-67.0,0.0,1.9443364288077354,0.4133903995698326,-0.20788874570717122,2.1098171509534724,-0.0004696252748003138
13.0,23.0,4.4004309180000005,5.0,1.0,4.0,16.0,305.0,18.0,2.0,2.0000000000001963,-3.0,59.0,3.3157535446494117,0.8472816662185739,0.13262485422748574,0.061439833807906616,-0.0006411618621615978
126.0,103.0,3.149770975,6.0,1.0,79.0,133.0,89.0,111.0,-22.0,-22.0,-7.0,-10.0,5.144920263789494,1.0354848309614093,0.33219151925198986,-2.1150739584930567,-0.0008261421112605378
16.0,18.0,3.083413124,7.0,1.0,305.0,130.0,42.0,113.0,-17.0,-26.49563738294708,32.0,-97.0,3.6324006783468863,0.8758675510337993,0.20757351801079768,-2.3468987579734475,-0.0010286913997605762
133.0,111.0,2.116642952,8.0,1.0,89.0,99.0,313.0,100.0,1.0,1.0006708501316963,34.0,136.0,4.464234105054874,0.5354895234401498,0.27810317843871707,-4.432153232226054,-0.001253485936340245
130.0,113.0,3.3500218389999996,9.0,1.0,42.0,100.0,356.0,95.0,-5.0,-3.0002239418121586,30.0,46.0,0.4092031662741345,0.46017407829754275,-0.1312967945157323,-1.7106551450847585,-0.001505906126638225
99.0,100.0,4.899451256,10.0,1.0,313.0,6.0,277.0,18.0,12.0,12.0,-53.0,36.0,5.665276553539038,0.6768113693054743,0.40514644265613947,-3.7573317729217512,-0.0017922161296450442
100.0,95.0,2.5999569890000003,11.0,1.0,356.0,124.0,292.0,108.0,-16.0,-15.999999999999968,-24.0,64.0,3.631165346840813,1.2482497567547857,0.1879144705935777,-4.601244644404186,-0.0021197762601761114
6.0,18.0,2.817516088,12.0,1.0,277.0,88.0,340.0,97.0,9.0,9.0,64.0,-63.0,6.841688309961856,2.014355505346701,0.39364571918302926,-5.785819858655983,-0.0024972960567585262
124.0,108.0,3.9168748860000004,13.0,1.0,292.0,56.0,1.0,53.0,-3.0,5.002179269751318,68.0,-69.0,4.8278799570951065,0.13983648175967087,0.344927328467323,-4.178901175081319,-0.002935137235821789
88.0,97.0,3.101749897,14.0,1.0,340.0,55.0,214.0,42.0,-13.0,-12.997316862029743,33.0,126.0,1.1378251876995935,0.13983648175967087,0.08818930684255832,-3.135975742650624,-0.0034456774154847693
56.0,53.0,4.950222015,15.0,1.0,1.0,116.0,105.0,102.0,-14.0,-11.000000262582052,-60.0,-104.0,1.245979073473789,0.16630140938437016,0.12352531321585855,-2.8208564371120004,-0.004043747435993237
55.0,42.0,2.249860048,16.0,1.0,214.0,138.0,291.0,147.0,9.0,6.002013000686656,63.0,-77.0,3.7974408936462525,0.16630140938437016,0.288304735425257,-3.2083347150165844,-0.004747157343512419
116.0,102.0,2.650599003,17.0,1.0,105.0,53.0,81.0,50.0,-3.0,-2.998434357924475,63.0,24.0,3.5196651150926264,0.14304559543088197,0.15279819440812392,-3.6671522166669077,-0.0055773286431077766
138.0,147.0,3.1835298539999997,18.0,1.0,291.0,34.0,275.0,34.0,0.0,1.9718328493422573e-31,-42.0,16.0,0.1770711209551682,0.3370074813434353,-0.09993074662667471,-1.6311399547074414,-0.006560053251226426
53.0,50.0,5.583166361,19.0,1.0,81.0,92.0,177.0,126.0,34.0,34.0,-39.0,-96.0,4.450576698997451,0.8293298839502788,0.3313797593525676,-5.364519173401048,-0.007726402646897812
34.0,34.0,4.217813015,20.0,1.0,275.0,127.0,358.0,124.0,-3.0,-3.0,53.0,-83.0,0.9403892902019939,1.7535040219535214,-0.0031964055119085497,-3.798041619561575,-0.00911381395465778
92.0,126.0,0.8670709129999999,21.0,1.0,177.0,46.0,335.0,47.0,1.0,1.0000006189432868,46.0,-158.0,5.128951826550817,1.8650887649594985,0.2980727181055145,-3.832627402272653,-0.010767382957617266
