stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
15.0,3.0,1.999937773,1.0,1.0,9.0,2.0,163.0,146.0,-2.0,-2.0,13.0,-154.0,2.0015161317991135,-1.4398780630277084,0.05519232936396076,-0.982774555858017,-1.3248417683995056e-17
2.0,146.0,3.53406477,2.0,1.0,163.0,138.0,306.0,138.0,0.0,4.560542498456427e-13,10.0,-143.0,2.0739428284379096,-2.356403352389682,0.11639183684981476,-0.967473898661329,-0.004662837938846593
138.0,138.0,2.800162792,3.0,1.0,306.0,105.0,98.0,123.0,18.0,2.2541067323800235e-07,33.0,-152.0,2.10547382368888,-2.469910555110926,0.15604783125948113,-0.2482171385360039,-0.009368912331464925
105.0,123.0,2.300807238,4.0,1.0,98.0,64.0,115.0,43.0,-21.0,-21.0,41.0,-17.0,2.88211945033703,-1.6784543833856707,0.26180707181675555,1.4394928555809896,-0.01416195591020515
64.0,43.0,2.199856997,5.0,1.0,115.0,98.0,118.0,102.0,4.0,4.0,-34.0,-3.0,2.4740646836533142,-1.8091962693966408,0.09771787967174504,-0.38300450244190704,-0.019086697620783296
98.0,102.0,1.2999348640000001,6.0,1.0,118.0,23.0,137.0,29.0,6.0,5.998657474579454,-71.0,-19.0,2.2685251325821034,-1.7886129752174977,0.18863400371502456,-0.38059870714379546,-0.02418936976980767
23.0,29.0,2.067513227,7.0,1.0,137.0,112.0,219.0,122.0,10.0,10.0,57.0,-82.0,2.9785864555892783,-1.7886129752174977,0.1997083333615281,-0.7974769632875159,-0.02951822573664532
112.0,122.0,2.066941023,8.0,1.0,219.0,111.0,169.0,108.0,-3.0,-3.0,1.0,50.0,2.514689615675171,-1.766994259650144,0.1701607580638876,0.2636073518229283,-0.03512407127988518
111.0,108.0,2.8173768519999998,9.0,1.0,169.0,69.0,299.0,42.0,-27.0,-27.0,42.0,-130.0,0.7255396693327464,-1.5688025748776966,-0.11932362848622644,-1.8587440257852363,-0.04106081201408503
69.0,42.0,2.2168159480000003,10.0,1.0,299.0,73.0,49.0,67.0,-6.0,-4.332774354034488,-4.0,-110.0,3.5746616309995254,-1.3741090884001985,0.3407129513996205,-0.30304986786922555,-0.04738601902220837
73.0,67.0,3.4667439460000002,11.0,1.0,49.0,56.0,209.0,63.0,7.0,4.998490362190221,17.0,-160.0,3.470704661415733,-1.5415009013630085,0.33577767068321374,-0.4378144991754146,-0.05416151377500515
56.0,63.0,2.9343049530000003,12.0,1.0,209.0,46.0,11.0,55.0,9.0,9.0,10.0,-162.0,2.5177622355968636,-1.1695281904786983,0.16493441076538357,0.30820514393421766,-0.061453972516840996
46.0,55.0,2.750525951,13.0,1.0,11.0,75.0,3.0,74.0,-1.0,-0.9999999999999789,-29.0,8.0,2.606523698341961,-0.7651918777933673,0.134163192336516,-0.7624489567770052,-0.06933554900909086
75.0,74.0,2.400035143,14.0,1.0,3.0,10.0,344.0,22.0,12.0,12.002350207099672,65.0,19.0,2.3044698460689883,-0.7021792376234727,0.18345167052335967,-1.1855511064628463,-0.0778845129533461
10.0,22.0,2.0654718880000003,15.0,1.0,344.0,90.0,19.0,105.0,15.0,14.998658993558767,66.0,-35.0,4.420713639936182,-0.569491587398445,0.3560272627790981,-0.31547733918478693,-0.08718589949952721
90.0,105.0,1.9164710040000001,16.0,1.0,19.0,141.0,7.0,3.0,8.0,8.000000000000165,-51.0,12.0,4.340718681170481,-0.19537727655319673,0.2811831644206241,-0.0494950533555748,-0.0973321629281009
141.0,3.0,1.1002581120000001,17.0,1.0,7.0,128.0,94.0,124.0,-4.0,-3.9959752381929143,13.0,-87.0,4.539943153541399,-0.8563103115329939,0.33544517405200197,-0.1703075540224341,-0.10842382482973577
128.0,124.0,2.766664028,18.0,1.0,94.0,45.0,281.0,54.0,9.0,9.0,-63.0,173.0,1.323071545544701,-0.8132213243121025,0.038092184279338845,-1.4627626632263608,-0.12057010384059942
45.0,54.0,1.8839619159999998,19.0,1.0,281.0,44.0,190.0,50.0,6.0,6.0,1.0,91.0,2.294563080257438,-0.9577007930243845,0.1680923650356206,0.41335564047714196,-0.1338895101831664
44.0,50.0,2.434102774,20.0,1.0,190.0,53.0,254.0,53.0,0.0,-1.3336686959048654,-9.0,-64.0,1.2442375856792134,-0.5310599139853737,-0.06608247921651232,-2.1571332505070804,-0.1485103838770456
53.0,53.0,2.5499320030000003,21.0,1.0,254.0,96.0,288.0,113.0,17.0,16.990602662834572,-43.0,-34.0,2.511657221843985,-1.0872261271514907,0.0743172245825501,-1.4948217308406437,-0.16457135050383984
96.0,113.0,2.3501918319999997,22.0,1.0,288.0,8.0,221.0,127.0,-27.0,-26.997649792900326,-58.0,67.0,1.9593980572520107,-1.2781867818200854,0.15085227601643156,-0.5478601964537326,-0.18222166283934552
8.0,127.0,5.134060143999999,23.0,1.0,221.0,19.0,235.0,13.0,-6.0,-6.000111520765435,-11.0,-14.0,2.4185422758714124,-1.269153735688518,0.058370616444035794,-0.7443451736076178,-0.20162139054165393
