stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
87.0,46.0,5.082980871,1.0,1.0,170.0,131.0,256.0,142.0,11.0,11.0,-44.0,-86.0,3.2685284233917136,2.9825737646310713,0.5384448820513921,-2.3944137015928058,-3.989518629740514e-19
11.0,26.0,1.617341995,2.0,1.0,77.0,7.0,68.0,104.0,-49.0,-34.661189057144654,4.0,9.0,3.5109641275284256,2.6733546650637994,0.5234278528342222,-2.7667730308880474,-0.00014067308784726585
97.0,80.0,2.2999629969999997,3.0,1.0,85.0,26.0,175.0,64.0,38.0,19.503694251877025,71.0,-90.0,3.335041636382227,2.8199866401849794,0.5640734674436695,-3.160345142413948,-0.0002842241819856171
131.0,142.0,2.333483934,4.0,1.0,256.0,125.0,136.0,137.0,12.0,11.999999999999929,6.0,120.0,5.80173769312479,2.4589623787915036,0.6526899315678283,-1.2923163938054372,-0.00043361940760916137
7.0,104.0,1.449687004,5.0,1.0,68.0,79.0,31.0,85.0,6.0,6.0,-72.0,37.0,1.91003415969564,2.1829574558996514,0.4360616745509357,-2.9875610344363737,-0.0005920043953468339
26.0,64.0,2.86633873,6.0,1.0,175.0,114.0,172.0,80.0,-34.0,-12.488263649677315,58.0,3.0,6.0447262352007085,2.2988524862001793,0.5942814281422539,-2.600224917238753,-0.0007628023279311548
125.0,137.0,3.249624252,7.0,1.0,136.0,25.0,301.0,23.0,-2.0,-2.0062048193327535,-46.0,-165.0,3.223923582190719,2.251937129338951,0.3017281319848534,-4.444894459662112,-0.0009498222929753095
79.0,85.0,2.9005661010000003,8.0,1.0,31.0,86.0,139.0,84.0,-2.0,-2.0,-7.0,-108.0,-0.7056420538209106,2.7336746056092784,0.12153370851673163,-2.7049316942749613,-0.0011573819772478287
114.0,80.0,2.850250959,9.0,1.0,172.0,101.0,153.0,98.0,-3.0,-3.0,13.0,19.0,3.034569950581337,2.92048882480408,0.3125893959368605,-1.9673659390942102,-0.001390449274149218
25.0,23.0,3.849765778,10.0,1.0,301.0,31.0,100.0,21.0,-10.0,-9.999999999999723,-6.0,-159.0,2.466486234144531,2.183540602604335,0.35357933128043006,-5.609680607666474,-0.0016548080736304965
