stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
81.0,86.0,2.699919939,1.0,1.0,177.0,113.0,46.0,108.0,-5.0,-5.0,-32.0,131.0,2.555100930817382,-0.0928311572072587,0.2565055345481217,0.24854572760067095,-6.225215865742263e-17
113.0,108.0,3.299952984,2.0,1.0,46.0,36.0,46.0,32.0,-4.0,-4.0,-69.0,0.0,2.373791205030263,-0.4271950955372495,0.26796044504334987,-0.55491463694515,-0.021889639974593512
36.0,32.0,3.3998000619999997,3.0,1.0,46.0,59.0,79.0,62.0,3.0,3.0020132874852683,-23.0,-33.0,2.0007846734519985,-0.5869012048285995,0.17955013246261686,-0.3114307170691621,-0.043860330193228915
59.0,62.0,6.633285046,4.0,1.0,79.0,13.0,4.0,23.0,10.0,10.0,46.0,75.0,2.0339485536276203,-0.4487919369486602,0.20843668363915482,-0.2060805401500032,-0.06599319394236881
13.0,23.0,2.332854986,5.0,1.0,4.0,126.0,79.0,103.0,-23.0,-22.998825172048846,33.0,-75.0,1.7436347614097132,-0.5990191556334704,0.16763011825567087,-0.4520650206718674,-0.08836949459036475
126.0,103.0,2.5334191319999997,6.0,1.0,79.0,16.0,305.0,18.0,2.0,2.0,-36.0,134.0,,-0.6548777445601622,,,-0.11107069055664305
16.0,18.0,4.4004309180000005,7.0,1.0,305.0,133.0,89.0,111.0,-22.0,-21.99999999999997,29.0,-144.0,,-0.6932522216550444,,,-0.13417847201653874
133.0,111.0,3.149770975,8.0,1.0,89.0,130.0,42.0,113.0,-17.0,-16.999264577086592,3.0,47.0,,-0.7262784424567658,,,-0.15777477296270695
130.0,113.0,3.083413124,9.0,1.0,42.0,99.0,313.0,100.0,1.0,-4.627528361371003,31.0,89.0,,-0.8989458086487061,,,-0.18194175200707027
99.0,100.0,2.116642952,10.0,1.0,313.0,100.0,356.0,95.0,-5.0,-5.001887825452702,-1.0,-43.0,,-0.7364832528049053,,,-0.20676173502699488
100.0,95.0,3.3500218389999996,11.0,1.0,356.0,6.0,277.0,18.0,12.0,12.0,-52.0,79.0,,-0.6757419249961866,,,-0.23231711244708825
6.0,18.0,4.899451256,12.0,1.0,277.0,124.0,292.0,108.0,-16.0,-12.848658754500685,28.0,-15.0,,-0.6853079258965715,,,-0.25869018361780055
124.0,108.0,2.5999569890000003,13.0,1.0,292.0,88.0,340.0,97.0,9.0,8.999999999999881,36.0,-48.0,,-0.663392638864814,,,-0.2859629404211461
88.0,97.0,2.817516088,14.0,1.0,340.0,56.0,1.0,53.0,-3.0,-2.9999999999999414,32.0,-21.0,,-1.054361465594372,,,-0.3142167819230268
56.0,53.0,3.9168748860000004,15.0,1.0,1.0,55.0,214.0,42.0,-13.0,-12.99844592927183,1.0,147.0,,-0.9947967507537795,,,-0.3435321516252107
55.0,42.0,3.101749897,16.0,1.0,214.0,116.0,105.0,102.0,-14.0,-13.99999999999987,-61.0,109.0,,-0.9919217087000419,,,-0.3739880886763428
116.0,102.0,4.950222015,17.0,1.0,105.0,138.0,291.0,147.0,9.0,9.852532546163829,-22.0,174.0,,-1.0456237822006442,,,-0.4056616843127995
