stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
51.0,51.0,4.382833719,1.0,1.0,139.0,137.0,19.0,2.0,11.0,11.0,60.0,120.0,0.17519014433575233,-3.5354830125735632,-0.12694736723739072,0.4167694848891308,1.197209329802979e-17
143.0,140.0,2.416570187,2.0,1.0,64.0,57.0,140.0,47.0,-10.0,-10.001452658801902,-60.0,-76.0,-1.0027709864723853,-3.7110073721968995,-0.015577067678073186,-1.3575854228421897,0.004209730516789221
2.0,141.0,4.283818245,3.0,1.0,286.0,104.0,83.0,102.0,-2.0,-2.0021805634745804,44.0,-157.0,-1.2110597657193372,-4.555911831347012,0.26230932332228035,-3.1229542296525596,0.008435048301629347
137.0,2.0,3.116399765,4.0,1.0,19.0,109.0,112.0,103.0,-6.0,6.004471484113585,28.0,-93.0,2.5308514150821306,-4.726124597304459,0.4296319475991169,-5.465848005105459,0.012691554669805897
57.0,47.0,4.016753197,5.0,1.0,140.0,18.0,11.0,143.0,-21.0,-20.991948729939782,39.0,129.0,0.10988142819951865,-4.649011659904262,-0.016961750433396122,-0.6470479085695429,0.016994877876609103
104.0,102.0,2.883661985,6.0,1.0,83.0,113.0,57.0,118.0,5.0,5.000000000000215,-9.0,26.0,,-5.403990334066976,,,0.021360683688794232
109.0,103.0,2.2830760480000003,7.0,1.0,112.0,19.0,57.0,118.0,-47.0,-22.99950220785837,-56.0,55.0,,-4.240725027944531,,,0.025804682443512653
18.0,143.0,3.666630268,8.0,1.0,11.0,64.0,258.0,72.0,8.0,7.999999999999917,-46.0,113.0,,-4.144585667431531,,,0.03034263136791565
113.0,118.0,4.850476027,9.0,1.0,57.0,43.0,343.0,56.0,13.0,12.999551366107692,70.0,74.0,,-4.623938706736999,,,0.034990330887059586
19.0,118.0,3.8678147789999997,10.0,1.0,57.0,34.0,287.0,57.0,23.0,23.0,-15.0,130.0,,-5.4758988406087825,,,0.03976361359384136
64.0,72.0,3.3667018410000003,11.0,1.0,258.0,130.0,127.0,135.0,5.0,-4.333555574614177,-66.0,131.0,,-5.47589884060879,,,0.04467832449463275
