stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
39.0,63.0,2.28312397,1.0,1.0,350.0,70.0,299.0,68.0,-2.0,-2.0000000000001985,-31.0,51.0,4.94880076283077,3.467142505313311,0.4320327411199865,2.2385133905560637,-2.859018112443929e-17
136.0,147.0,4.716586113,2.0,1.0,204.0,89.0,304.0,110.0,21.0,20.996423214553804,47.0,-100.0,2.256162419039684,3.8931867238800972,0.24842382789571338,4.8321286671205455,-0.010057780724438801
70.0,68.0,3.150047064,3.0,1.0,299.0,13.0,194.0,20.0,7.0,7.000000000000017,57.0,105.0,3.166334416116717,3.8283170960109016,0.2966317255645924,6.1497353498998635,-0.020180793059199998
89.0,110.0,1.73431015,4.0,1.0,304.0,16.0,201.0,13.0,-3.0,-3.0,-73.0,103.0,1.605857144064077,3.9987440343192193,0.2346510169600634,3.0780188872785788,-0.030434690243535466
13.0,20.0,3.284326077,5.0,1.0,194.0,140.0,121.0,6.0,12.0,1.4988280466639914,19.0,73.0,0.43693204547130754,4.253984066903749,0.10417243359367268,3.761507349340406,-0.04088596714028664
140.0,6.0,5.766885757000001,7.0,1.0,121.0,108.0,349.0,143.0,35.0,23.334789880437945,32.0,132.0,,4.253984066903749,,,-0.051602376811325616
76.0,124.0,1.966599226,8.0,1.0,85.0,48.0,83.0,59.0,11.0,10.999999999999911,28.0,2.0,,3.7775929136546167,,,-0.0626533415857936
108.0,143.0,5.067037344,9.0,1.0,349.0,31.0,288.0,34.0,3.0,3.002682912370959,-69.0,61.0,,3.422474184496946,,,-0.07411035607455294
48.0,59.0,8.533227921,10.0,1.0,83.0,68.0,181.0,74.0,6.0,-9.664875182185288,-20.0,-98.0,,3.737296017348616,,,-0.08604737896561096
31.0,34.0,3.3001930710000003,11.0,1.0,288.0,85.0,214.0,109.0,24.0,1.9851324412080658,-54.0,74.0,,4.100730337598515,,,-0.09854120965120373
68.0,74.0,4.967076778,12.0,1.0,181.0,55.0,207.0,62.0,7.0,6.997313711574553,13.0,-26.0,,4.161318635230897,,,-0.11167184478209481
85.0,109.0,3.1841819289999997,13.0,1.0,214.0,28.0,288.0,24.0,-4.0,-4.00721227647969,57.0,-74.0,,4.072134085718395,,,-0.12552280871325525
55.0,62.0,2.533756018,14.0,1.0,207.0,90.0,344.0,76.0,-14.0,-24.669795651535512,-35.0,-137.0,,4.211668969439329,,,-0.14018145049364786
28.0,24.0,3.433037758,15.0,1.0,288.0,8.0,58.0,13.0,5.0,4.999999999999975,20.0,-130.0,,4.093214321978031,,,-0.15573919856011348
90.0,76.0,2.8499200339999997,16.0,1.0,344.0,109.0,266.0,90.0,-19.0,-19.007267978024707,-19.0,78.0,,4.444227090218643,,,-0.1722917626240781
8.0,13.0,3.933349848,17.0,1.0,58.0,121.0,93.0,120.0,-1.0,-1.0,33.0,-35.0,,4.454076007484867,,,-0.18993927039832104
109.0,90.0,2.8667850489999998,18.0,1.0,266.0,45.0,133.0,63.0,18.0,17.999999999999986,64.0,133.0,,4.476145377294394,,,-0.20878632481520165
121.0,120.0,4.149912119,19.0,1.0,93.0,69.0,171.0,60.0,-9.0,-9.005254980194382,52.0,-78.0,,3.250657839164821,,,-0.228941965263108
45.0,63.0,2.9498090739999996,20.0,1.0,133.0,144.0,60.0,2.0,4.0,4.0,47.0,73.0,,3.10613200685593,,,-0.2505195141519554
69.0,60.0,3.349660873,21.0,1.0,171.0,101.0,343.0,123.0,22.0,22.0,-32.0,-172.0,,3.4492356874645314,,,-0.2736362878635363
144.0,2.0,5.216783047,22.0,1.0,60.0,23.0,156.0,132.0,-37.0,-36.99999999999999,-25.0,-96.0,,3.6456747525326234,,,-0.2984131489176244
101.0,123.0,6.6338009829999995,23.0,1.0,343.0,50.0,83.0,58.0,8.0,1.000335855991394,51.0,-100.0,,3.8317212641605307,,,-0.3249738740791692
23.0,132.0,3.26770997,24.0,1.0,156.0,35.0,294.0,29.0,-6.0,-5.997982273366093,-12.0,-138.0,,3.366612802247158,,,-0.353444311256815
50.0,58.0,4.533747911,25.0,1.0,83.0,52.0,308.0,51.0,-1.0,-1.0026828002889756,-2.0,135.0,,2.5022513058355367,,,-0.38395129653387966
35.0,29.0,4.816849947,26.0,1.0,294.0,33.0,325.0,43.0,10.0,10.002682912371231,2.0,-31.0,,1.8161550601547174,,,-0.41662130169054257
52.0,51.0,2.983876944,27.0,1.0,308.0,17.0,195.0,17.0,0.0,-6.752108963243974e-07,35.0,113.0,,1.8709981819022665,,,-0.4515787823070758
33.0,43.0,3.1995649339999996,28.0,1.0,325.0,93.0,249.0,90.0,-3.0,-3.000000000000285,-60.0,76.0,,1.9088701585297594,,,-0.4889441971936669
17.0,17.0,4.449984074,29.0,1.0,195.0,83.0,140.0,117.0,34.0,33.99999999999972,-66.0,55.0,,1.525396250570191,,,-0.5288316717060974
83.0,117.0,1.8669359680000002,31.0,1.0,140.0,134.0,357.0,135.0,1.0,1.0,-51.0,143.0,,1.5855247327266242,,,-0.5713462807281547
139.0,63.0,2.450675011,32.0,1.0,296.0,128.0,263.0,139.0,11.0,11.000000000000004,11.0,33.0,,2.4648009693629582,,,-0.6165809319906451
134.0,135.0,2.9672138689999996,33.0,1.0,357.0,34.0,326.0,34.0,0.0,1.7745544688483522e-13,-46.0,31.0,,2.4021863602599445,,,-0.6646128372109272
128.0,139.0,3.716412067,34.0,1.0,263.0,3.0,291.0,136.0,-13.0,-13.0,-21.0,-28.0,,1.850885484868995,,,-0.7154995675186353
34.0,34.0,2.69922924,35.0,1.0,326.0,96.0,73.0,126.0,30.0,30.0,-62.0,-107.0,,2.083443624403872,,,-0.7692747009921385
3.0,136.0,2.700427055,36.0,1.0,291.0,51.0,44.0,63.0,12.0,1.5746240329406191e-06,-48.0,-113.0,,0.9686910311107053,,,-0.8259430840222151
96.0,126.0,3.799832106,37.0,1.0,73.0,71.0,204.0,75.0,4.0,4.0,25.0,-131.0,,1.1142991785135465,,,-0.8854757447222713
51.0,63.0,2.600991964,38.0,1.0,44.0,36.0,73.0,30.0,-6.0,0.0147583250124379,15.0,-29.0,,0.39361395039403313,,,-0.9478045156917939
71.0,75.0,4.083439112,39.0,1.0,204.0,10.0,229.0,13.0,3.0,1.0018460012068133,61.0,-25.0,,0.6960913920510271,,,-1.0128164449526842
36.0,30.0,5.134447813,40.0,1.0,73.0,59.0,153.0,46.0,-13.0,-13.000000000000012,-23.0,-80.0,,0.5389195773708836,,,-1.0803480974973931
10.0,13.0,5.69890523,41.0,1.0,229.0,141.0,150.0,5.0,10.0,9.99647741779875,15.0,79.0,,0.8573483923798374,,,-1.1501798751077401
59.0,46.0,4.4331581589999995,42.0,1.0,153.0,124.0,248.0,2.0,24.0,23.992451434196685,-65.0,-95.0,,0.4894851262612346,,,-1.222030508210449
141.0,5.0,3.932654142,43.0,1.0,150.0,64.0,37.0,66.0,2.0,2.0,-69.0,113.0,,0.05346528334734074,,,-1.2955518995942257
124.0,2.0,1.283428907,44.0,1.0,248.0,66.0,327.0,73.0,7.0,6.999999999999802,58.0,-79.0,,0.060378842424295635,,,-1.3703245246621427
64.0,66.0,3.967798948,45.0,1.0,37.0,131.0,344.0,120.0,-11.0,-7.00134252549603,-67.0,53.0,,0.1283033451411182,,,-1.4458536151545271
66.0,73.0,1.100195169,46.0,1.0,327.0,7.0,49.0,7.0,0.0,-1.0752845140171755e-31,59.0,-82.0,,0.1656900084234564,,,-1.5215663713839214
131.0,120.0,1.032732248,47.0,1.0,344.0,135.0,0.0,7.0,18.0,17.99999999999988,-4.0,-16.0,,0.18579389682485795,,,-1.5968104602631816
7.0,7.0,4.716438055,48.0,1.0,49.0,125.0,72.0,130.0,5.0,-17.501842906265807,28.0,-23.0,,0.2673906104379958,,,-1.67085406099049
135.0,7.0,6.550120115,49.0,1.0,0.0,79.0,191.0,79.0,0.0,4.841315798523074e-87,56.0,169.0,,-0.09412867313460532,,,-1.7428877154009084
125.0,130.0,4.733566284,50.0,1.0,72.0,111.0,101.0,125.0,14.0,13.996645264017035,14.0,-29.0,,-0.10319014340675646,,,-1.8120282240405716
79.0,79.0,2.300170898,51.0,1.0,191.0,43.0,256.0,38.0,-5.0,-5.9977635076252,36.0,-65.0,,0.06523055078236104,,,-1.8773248005468584
111.0,125.0,3.5167460439999996,52.0,1.0,101.0,126.0,270.0,131.0,5.0,5.334116478799239,-15.0,-169.0,,0.0639127315619579,,,-1.9377676548853575
