stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
56.0,47.0,0.7833259109999999,1.0,1.0,56.0,87.0,202.0,105.0,18.0,-9.510728612243852,-31.0,-146.0,2.542346262055162,-0.3956197001063441,0.405190052310727,-1.4912212813357768,-6.15991016429169e-17
116.0,140.0,2.566488266,2.0,1.0,318.0,91.0,339.0,112.0,21.0,21.0,25.0,-21.0,1.675980814047748,-0.14014349836003157,0.036660838141823124,-0.9670904179805947,-0.02166000644478966
87.0,105.0,1.700134754,3.0,1.0,202.0,42.0,194.0,43.0,1.0,-1.3346750086894907,45.0,8.0,1.1478396821361503,0.7521596865146073,0.2196521096103815,-2.341669276056091,-0.043400212875067276
91.0,112.0,2.666566849,4.0,1.0,339.0,101.0,283.0,107.0,6.0,6.0,-10.0,56.0,3.1780446852729693,0.2975837998147904,0.07406322138436242,0.6657682916719829,-0.06530089155248915
42.0,43.0,1.682703733,5.0,1.0,194.0,10.0,338.0,17.0,7.0,7.0,32.0,-144.0,3.1007100916352086,0.5422698033895264,0.4578942286643929,-1.9165239648864396,-0.08744245335106979
101.0,107.0,2.7006609439999996,6.0,1.0,283.0,104.0,185.0,92.0,-12.0,-12.0,-3.0,98.0,,0.2207813721433534,,,-0.10990550214971279
10.0,17.0,3.533488989,7.0,1.0,338.0,9.0,174.0,16.0,7.0,7.0,1.0,164.0,,-0.5569575731538423,,,-0.13277087115199243
104.0,92.0,2.950073957,8.0,1.0,185.0,14.0,219.0,14.0,0.0,1.542203966230542e-55,-56.0,-34.0,,0.46119980580376807,,,-0.1561196348210345
9.0,16.0,1.616785765,9.0,1.0,174.0,34.0,1.0,30.0,-4.0,-4.0028479804383545,-25.0,173.0,,0.44705364017106414,,,-0.18003308988286112
14.0,14.0,1.333808899,10.0,1.0,219.0,131.0,186.0,146.0,15.0,15.000222028714449,29.0,33.0,,0.24204256629993195,,,-0.20459269857423798
34.0,30.0,2.433428288,11.0,1.0,1.0,106.0,236.0,106.0,0.0,-1.9731741202479722e-222,-72.0,125.0,,-0.28881370584637506,,,-0.22987998700203838
131.0,146.0,1.683900833,12.0,1.0,186.0,55.0,58.0,55.0,0.0,-6.317211401930109e-15,-70.0,128.0,,-0.30107553850419616,,,-0.2559763911543927
106.0,106.0,1.4673581119999999,13.0,1.0,236.0,92.0,112.0,102.0,10.0,10.0,14.0,124.0,,-0.4076616061640593,,,-0.28296304277649714
55.0,55.0,2.150301933,14.0,1.0,58.0,25.0,45.0,3.0,-22.0,-0.0016812143204809615,30.0,13.0,,-0.5132347686374202,,,-0.31092048701637964
92.0,102.0,2.700128078,15.0,1.0,112.0,29.0,76.0,20.0,-9.0,-8.99999999999984,63.0,36.0,,-0.7588562417428713,,,-0.3399283234822914
25.0,3.0,2.266756296,16.0,1.0,45.0,2.0,197.0,141.0,-7.0,-7.0,23.0,-152.0,,-0.4893823869532853,,,-0.37006476216174394
29.0,20.0,2.116964817,17.0,1.0,76.0,105.0,271.0,116.0,11.0,11.0,70.0,165.0,,0.279747092842461,,,-0.4014060855645767
2.0,141.0,3.416653156,18.0,1.0,197.0,124.0,114.0,9.0,31.0,31.000000000000107,24.0,83.0,,0.5003480198952277,,,-0.4340260085050821
105.0,116.0,0.933588028,19.0,1.0,271.0,48.0,339.0,62.0,14.0,13.999440784322047,57.0,-68.0,,0.4462772527919147,,,-0.46799492717120095
124.0,9.0,2.234039068,20.0,1.0,114.0,82.0,313.0,82.0,0.0,-3.807200177448125e-86,42.0,161.0,,0.24120097234958274,,,-0.5033790495861946
48.0,62.0,2.2168431280000003,21.0,1.0,339.0,115.0,286.0,91.0,-24.0,-24.0,-67.0,53.0,,0.29815247276852325,,,-0.5402394002969406
82.0,82.0,2.616993904,22.0,1.0,313.0,147.0,20.0,143.0,-4.0,-3.1086244689504383e-15,-65.0,-67.0,,-0.05883599146335357,,,-0.5786306931727471
115.0,91.0,1.81683898,23.0,1.0,286.0,94.0,343.0,111.0,17.0,17.000334112846527,21.0,-57.0,,0.31524469617003154,,,-0.6186000676198333
147.0,143.0,2.350467205,24.0,1.0,20.0,88.0,67.0,101.0,13.0,12.990771178684223,59.0,-47.0,,0.33330795582739564,,,-0.6601856853599394
94.0,111.0,5.950285912000001,25.0,1.0,343.0,21.0,346.0,15.0,-6.0,-5.997652155534418,-73.0,-3.0,,0.43500725315368244,,,-0.7034151872347212
88.0,101.0,0.950514793,26.0,1.0,67.0,30.0,50.0,23.0,-7.0,-7.0,58.0,17.0,,0.4332996389244476,,,-0.7483040123241763
21.0,15.0,3.117012978,27.0,1.0,346.0,110.0,159.0,99.0,-11.0,-11.0,57.0,-173.0,,0.2287792985838369,,,-0.7948535850427196
30.0,23.0,2.93295002,28.0,1.0,50.0,31.0,251.0,144.0,-33.0,-33.0,-1.0,159.0,,0.20958362113346396,,,-0.843049379825587
110.0,99.0,2.184278011,29.0,1.0,159.0,109.0,56.0,93.0,-16.0,-16.0,1.0,103.0,,0.48857929703164565,,,-0.8928588775506029
31.0,144.0,2.849826097,30.0,1.0,251.0,136.0,219.0,2.0,12.0,12.0,41.0,32.0,,0.9050721515733489,,,-0.9442294329473035
109.0,93.0,1.150641203,31.0,1.0,56.0,53.0,123.0,50.0,-3.0,-3.498825712396184,56.0,-67.0,,0.5946000940780749,,,-0.9970860778946158
136.0,2.0,2.233498096,32.0,1.0,219.0,114.0,168.0,92.0,-22.0,-22.0,22.0,51.0,,0.9163508561052678,,,-1.0513292916403671
53.0,50.0,2.066920042,33.0,1.0,123.0,112.0,109.0,123.0,11.0,11.0,-59.0,14.0,,0.7542353859942629,,,-1.1068327754994582
114.0,92.0,4.583411932,34.0,1.0,168.0,73.0,282.0,56.0,-17.0,-17.00000000000031,41.0,-114.0,,-0.29666343897965847,,,-1.1634412763761317
112.0,123.0,3.2006471160000003,35.0,1.0,109.0,27.0,226.0,13.0,-14.0,-1.3319937336128103,-61.0,-117.0,,-0.16027989980808363,,,-1.22096851034445
73.0,56.0,5.783298969,36.0,1.0,282.0,119.0,188.0,114.0,-5.0,-4.997537728183494,-46.0,94.0,,-0.17825699337753537,,,-1.2791952443049883
27.0,13.0,4.833957911000001,37.0,1.0,226.0,78.0,329.0,117.0,39.0,39.0,-51.0,-103.0,,0.30058443040252675,,,-1.3378676001694445
119.0,114.0,2.033569813,38.0,1.0,188.0,121.0,219.0,116.0,-5.0,-5.0002225915833165,-2.0,-31.0,,0.5433720915555039,,,-1.3966956518242486
78.0,117.0,2.00023675,39.0,1.0,329.0,49.0,72.0,39.0,-10.0,-11.668007454547894,29.0,-103.0,,-0.2675825919265715,,,-1.4553523899702645
121.0,116.0,6.683195829,40.0,1.0,219.0,62.0,138.0,50.0,-12.0,-7.993123467042371,59.0,81.0,,-0.6120651999235119,,,-1.5134731334809428
49.0,39.0,3.699928045,41.0,1.0,72.0,137.0,180.0,128.0,-9.0,-9.0,58.0,-108.0,,-0.15376213758316024,,,-1.5706554677994065
62.0,50.0,2.450367928,42.0,1.0,138.0,118.0,325.0,120.0,2.0,10.003464995816817,-56.0,173.0,,0.6301934720647643,,,-1.6264597907331881
137.0,128.0,3.600068092,43.0,1.0,180.0,59.0,80.0,66.0,7.0,6.502180619126062,-68.0,100.0,,0.4295644413967487,,,-1.6804105434397167
118.0,120.0,4.9505481719999995,44.0,1.0,325.0,15.0,219.0,21.0,6.0,6.0,-43.0,106.0,,1.4806541452151614,,,-1.7319981990896995
59.0,66.0,4.666903018999999,45.0,1.0,80.0,1.0,237.0,9.0,8.0,8.0,58.0,-157.0,,0.7777494383024326,,,-1.7806820733605413
