stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
90.0,107.0,4.067014933,1.0,1.0,84.0,8.0,195.0,126.0,-28.0,-28.0,-64.0,-111.0,2.5606446196425092,-2.8181039098802465,0.26935814533010793,-0.8263118168181157,-1.026254938809925e-16
137.0,146.0,4.416527748,2.0,1.0,50.0,73.0,90.0,74.0,1.0,1.0017881209306057,64.0,-40.0,4.5461423932400935,-2.8181039098802465,-0.06859183898426807,-0.11607731714245995,-0.036086059692034815
8.0,126.0,2.050063848,3.0,1.0,195.0,96.0,123.0,127.0,31.0,31.0,58.0,72.0,2.194977122666304,-2.878266453983943,-0.13175468892383996,-0.5715872401431165,-0.07230573437033458
73.0,74.0,13.23340225,4.0,1.0,90.0,133.0,61.0,138.0,5.0,5.000000000000046,-60.0,29.0,2.9994504148547825,-2.9602937586178024,0.06576276133764508,1.2213783647914842,-0.10879275943489224
96.0,127.0,6.367063999,5.0,1.0,123.0,68.0,242.0,89.0,21.0,21.0,28.0,-119.0,2.6468265011892353,-2.4229004482078462,0.09283434595807787,-1.6223784086475421,-0.1456811012170186
133.0,138.0,5.000292063,6.0,1.0,61.0,58.0,266.0,87.0,29.0,24.666890470961082,-71.0,155.0,,-1.2657969978733,,,-0.18310504759852655
68.0,89.0,1.016514063,7.0,1.0,242.0,1.0,330.0,124.0,-23.0,-23.0,67.0,-88.0,,-1.3848871912287908,,,-0.22119926852130725
58.0,87.0,3.866402149,8.0,1.0,266.0,125.0,100.0,108.0,-17.0,-17.0,-67.0,166.0,,-0.8991552267199827,,,-0.2600988358711107
1.0,124.0,3.100269079,9.0,1.0,330.0,57.0,149.0,55.0,-2.0,-2.0014535963095756,-56.0,-179.0,,-0.7532414987027746,,,-0.29993919182868983
125.0,108.0,2.400203943,10.0,1.0,100.0,82.0,193.0,100.0,18.0,17.98859151569235,43.0,-93.0,,-0.5727930777427369,,,-0.34085605431943233
57.0,55.0,2.10040617,11.0,1.0,149.0,54.0,27.0,57.0,3.0,3.0006714502940173,3.0,122.0,,-0.13932790281433988,,,-0.3829852476777671
82.0,100.0,6.033483027999999,12.0,1.0,193.0,40.0,264.0,55.0,15.0,-0.013748730575731116,42.0,-71.0,,0.18345870700810407,,,-0.426462446098263
54.0,57.0,2.783899784,13.0,1.0,27.0,110.0,116.0,114.0,4.0,4.001175264277024,-56.0,-89.0,,-0.15312160983832812,,,-0.47142281689989285
40.0,55.0,1.3170490259999998,14.0,1.0,264.0,76.0,10.0,78.0,2.0,1.9999999999998987,-36.0,-106.0,,0.3298761548751616,,,-0.5180005501175045
110.0,114.0,1.249716043,15.0,1.0,116.0,74.0,219.0,68.0,-6.0,-5.9999999999999325,36.0,-103.0,,0.04237744269404874,,,-0.5663282604953337
76.0,78.0,1.5160579680000001,16.0,1.0,10.0,52.0,345.0,50.0,-2.0,-2.0,24.0,25.0,,0.1761778764883941,,,-0.6165362476380941
74.0,68.0,2.2662029269999997,17.0,1.0,219.0,84.0,83.0,101.0,17.0,16.992278342835235,-10.0,136.0,,-0.12500528132087144,,,-0.668751599929187
52.0,50.0,2.650444031,18.0,1.0,345.0,28.0,209.0,26.0,-2.0,-2.0,24.0,136.0,,0.08653318021759092,,,-0.7230971279132687
84.0,101.0,1.46657896,19.0,1.0,83.0,106.0,161.0,118.0,12.0,11.997313863633885,-22.0,-78.0,,-0.18334330199292823,,,-0.7796901132285785
28.0,26.0,3.798907995,20.0,1.0,209.0,2.0,208.0,18.0,16.0,16.0,26.0,1.0,,-0.826794043875691,,,-0.8386408599364564
106.0,118.0,2.283694029,21.0,1.0,161.0,127.0,179.0,9.0,28.0,28.0,-21.0,-18.0,,-0.7715147828036351,,,-0.9000510363095738
2.0,18.0,1.5996789930000002,22.0,1.0,208.0,50.0,281.0,54.0,4.0,4.0,-48.0,-73.0,,-1.1870666724156167,,,-0.9640117968893143
