stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
81.0,86.0,2.5334191319999997,1.0,1.0,177.0,59.0,79.0,62.0,3.0,3.0,22.0,98.0,0.3255790599940317,1.0770380371577561,0.2103299607164291,-0.3505134169064951,-2.2648504593856464e-17
113.0,108.0,4.4004309180000005,2.0,1.0,46.0,13.0,4.0,23.0,10.0,16.004695463181367,-46.0,42.0,-0.6533433695770534,0.7791400074518603,0.36973819728665497,-2.344870367032805,-0.007967549836427303
36.0,32.0,3.149770975,3.0,1.0,46.0,126.0,79.0,103.0,-23.0,-0.4981574877950621,56.0,-33.0,1.9068041834091942,0.892797181952548,0.4342591822686039,-3.253809163880989,-0.015986774701411476
59.0,62.0,3.083413124,4.0,1.0,79.0,16.0,305.0,18.0,2.0,2.0,43.0,134.0,3.955932738782407,0.8410358091822446,0.6441596327814916,-2.25572929517866,-0.024109683628554833
13.0,23.0,2.116642952,5.0,1.0,4.0,133.0,89.0,111.0,-22.0,-21.99999999999989,26.0,-85.0,1.9526630707044965,0.9891170239848343,0.6593011883192023,-3.1857575660209054,-0.03238895236691882
126.0,103.0,3.3500218389999996,6.0,1.0,79.0,130.0,42.0,113.0,-17.0,-16.997092132497013,-4.0,37.0,,1.1963061074070802,,,-0.04087825338280853
16.0,18.0,4.899451256,7.0,1.0,305.0,99.0,313.0,100.0,1.0,-0.00011167081231144849,63.0,-8.0,,1.0869685144300278,,,-0.04963258149887401
133.0,111.0,2.5999569890000003,8.0,1.0,89.0,100.0,356.0,95.0,-5.0,-5.00033550008928,33.0,93.0,,1.111155679112791,,,-0.05870857315318129
130.0,113.0,2.817516088,9.0,1.0,42.0,6.0,277.0,18.0,12.0,11.998546103705655,-22.0,125.0,,0.869608816523377,,,-0.06816481677081937
99.0,100.0,3.9168748860000004,10.0,1.0,313.0,124.0,292.0,108.0,-16.0,-15.999999999999716,-25.0,21.0,,0.8902669733692838,,,-0.07806215111948586
100.0,95.0,3.101749897,11.0,1.0,356.0,88.0,340.0,97.0,9.0,9.0,12.0,16.0,,0.9266047319934355,,,-0.0884639477638598
6.0,18.0,4.950222015,12.0,1.0,277.0,56.0,1.0,53.0,-3.0,-2.999999999999962,-50.0,-84.0,,0.08934343524523272,,,-0.099436372837308
124.0,108.0,2.249860048,13.0,1.0,292.0,55.0,214.0,42.0,-13.0,-12.998992768593464,69.0,78.0,,-0.2599217723612696,,,-0.11104862231057623
88.0,97.0,2.650599003,14.0,1.0,340.0,116.0,105.0,102.0,-14.0,-13.999999999999979,-28.0,-125.0,,-0.961211540274791,,,-0.12337312375461211
56.0,53.0,3.1835298539999997,15.0,1.0,1.0,138.0,291.0,147.0,9.0,9.0,64.0,70.0,,-1.3872594199717596,,,-0.13648569627071755
55.0,42.0,5.583166361,16.0,1.0,214.0,53.0,81.0,50.0,-3.0,-2.9974271266312886,2.0,133.0,,-1.3872594199717596,,,-0.15046565880244805
116.0,102.0,4.217813015,17.0,1.0,105.0,34.0,275.0,34.0,0.0,-8.853866177816503e-14,-64.0,-170.0,,-0.9847615034644907,,,-0.16539587546261772
138.0,147.0,0.8670709129999999,18.0,1.0,291.0,92.0,177.0,126.0,34.0,34.0,46.0,114.0,,-1.5662429773055353,,,-0.1813627248256773
53.0,50.0,2.266311169,19.0,1.0,81.0,127.0,358.0,124.0,-3.0,-2.9924514727782072,72.0,83.0,,-1.0367388970118525,,,-0.19845597838032017
34.0,34.0,3.1832139489999998,20.0,1.0,275.0,46.0,335.0,47.0,1.0,2.6666664415963597,-12.0,-60.0,,-0.5148618384224787,,,-0.21676857155078857
92.0,126.0,5.067196846,21.0,1.0,177.0,48.0,89.0,43.0,-5.0,-4.999999999999979,44.0,88.0,,0.03204950260502451,,,-0.23639624893283742
127.0,124.0,2.583435059,22.0,1.0,358.0,103.0,228.0,99.0,-4.0,-3.999831593503428,24.0,130.0,,-0.37849819864868023,,,-0.2574370637223303
46.0,47.0,6.600227117999999,23.0,1.0,335.0,82.0,51.0,111.0,29.0,16.33333520856266,-36.0,-76.0,,-0.3113170767821579,,,-0.2799907098290277
48.0,43.0,3.583440065,24.0,1.0,89.0,77.0,47.0,86.0,9.0,8.999999999999963,-29.0,42.0,,-0.3113170767821579,,,-0.30415766397265337
103.0,99.0,4.550527096000001,25.0,1.0,228.0,45.0,99.0,46.0,1.0,1.0010063879466786,58.0,129.0,,-0.44294835831814905,,,-0.33003811428010016
82.0,111.0,4.017492056,26.0,1.0,51.0,7.0,81.0,8.0,1.0,-3.3340037708613686,-71.0,-30.0,,-0.570607932786232,,,-0.3577306516896087
77.0,86.0,2.53334713,27.0,1.0,47.0,132.0,157.0,120.0,-12.0,-11.997092132497013,-55.0,-110.0,,-1.109806507113115,,,-0.387330700987193
45.0,46.0,2.2177667619999997,28.0,1.0,99.0,73.0,322.0,97.0,24.0,24.0,-28.0,137.0,,-1.813999231235715,,,-0.4189286697373743
7.0,8.0,2.749582052,29.0,1.0,81.0,44.0,147.0,43.0,-1.0,-0.999999849952959,-37.0,-66.0,,-2.327000667514951,,,-0.4526077959223751
132.0,120.0,2.717126846,30.0,1.0,157.0,84.0,314.0,112.0,28.0,27.99524406841169,48.0,-157.0,,-2.302445217893317,,,-0.4884416789768686
