stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
15.0,3.0,2.800162792,1.0,1.0,9.0,138.0,306.0,138.0,0.0,-7.524318825648975e-31,23.0,63.0,-0.34875436577442026,-1.1769833102187806,-0.24376411869767056,2.571818316800691,-2.3990502747617135e-17
2.0,146.0,2.300807238,2.0,1.0,163.0,105.0,98.0,123.0,18.0,18.0,43.0,65.0,-0.04273198210210359,-1.5182620210953859,-0.17985977327136507,0.7719264099478425,-0.008439012807219433
138.0,138.0,2.199856997,3.0,1.0,306.0,64.0,115.0,43.0,-21.0,-20.99999999999991,-72.0,-169.0,1.0281721643964263,-1.1507891770157674,0.019385963491824455,1.2129907633489039,-0.01692890602723169
105.0,123.0,1.2999348640000001,4.0,1.0,98.0,98.0,118.0,102.0,4.0,3.999999999999886,7.0,-20.0,3.5084992494764493,-1.302333578486699,0.21420286689541698,-0.12909598660870203,-0.02552084549788037
64.0,43.0,2.067513227,5.0,1.0,115.0,23.0,137.0,29.0,6.0,6.0,41.0,-22.0,0.6393186824112976,-1.2446589282179836,-0.230624007406905,2.9000732965521356,-0.03426656601234286
98.0,102.0,2.066941023,6.0,1.0,118.0,112.0,219.0,122.0,10.0,10.0,-14.0,-101.0,,-1.0023051957742155,,,-0.0432186509516488
23.0,29.0,2.8173768519999998,7.0,1.0,137.0,111.0,169.0,108.0,-3.0,-3.0,58.0,-32.0,,-0.6740208845125831,,,-0.05243080579932811
112.0,122.0,2.2168159480000003,8.0,1.0,219.0,69.0,299.0,42.0,-27.0,-27.0,43.0,-80.0,,-0.4948220911505204,,,-0.06195812299089362
111.0,108.0,3.4667439460000002,9.0,1.0,169.0,73.0,49.0,67.0,-6.0,-5.999161343619001,38.0,120.0,,-0.5316432146369318,,,-0.07185733511204273
69.0,42.0,2.9343049530000003,10.0,1.0,299.0,56.0,209.0,63.0,7.0,6.998490024641177,13.0,90.0,,-0.5529237477581357,,,-0.08218705290741678
73.0,67.0,2.750525951,11.0,1.0,49.0,46.0,11.0,55.0,9.0,9.0,27.0,38.0,,-0.6051874030562646,,,-0.09300798389527101
56.0,63.0,2.400035143,12.0,1.0,209.0,75.0,3.0,74.0,-1.0,-1.0,-19.0,-154.0,,-0.3204732338252602,,,-0.10438312660218763
46.0,55.0,2.0654718880000003,13.0,1.0,11.0,10.0,344.0,22.0,12.0,12.0,36.0,27.0,,-0.6484341280167406,,,-0.11637793453730758
75.0,74.0,1.9164710040000001,14.0,1.0,3.0,90.0,19.0,105.0,15.0,12.6667794001725,-15.0,-16.0,,-0.808195715307075,,,-0.12906044302116512
10.0,22.0,1.1002581120000001,15.0,1.0,344.0,141.0,7.0,3.0,8.0,8.0,15.0,-23.0,,-0.8659236004849504,,,-0.14250135087713278
90.0,105.0,2.766664028,16.0,1.0,19.0,128.0,94.0,124.0,-4.0,-3.995971523910663,-38.0,-75.0,,-0.7807567554495798,,,-0.1567740477952252
141.0,3.0,1.8839619159999998,17.0,1.0,7.0,45.0,281.0,54.0,9.0,9.0,-50.0,86.0,,-0.7523098693655287,,,-0.17195457690571964
128.0,124.0,2.434102774,18.0,1.0,94.0,44.0,190.0,50.0,6.0,6.0,-62.0,-96.0,,-1.1369809441861058,,,-0.18812152077792915
45.0,54.0,2.5499320030000003,19.0,1.0,281.0,53.0,254.0,53.0,0.0,-5.700360138099695e-14,-8.0,27.0,,-1.1548665467520822,,,-0.2053557977200797
44.0,50.0,2.3501918319999997,20.0,1.0,190.0,96.0,288.0,113.0,17.0,7.996869353195763,-52.0,-98.0,,-0.8921041991186807,,,-0.22374035394216288
53.0,53.0,5.134060143999999,21.0,1.0,254.0,8.0,221.0,127.0,-27.0,-27.0,45.0,33.0,,-1.7024478754655918,,,-0.2433597359086343
96.0,113.0,1.083105803,22.0,1.0,288.0,19.0,235.0,13.0,-6.0,-5.998433589230116,-69.0,53.0,,-1.7024478754655918,,,-0.2642995261184906
8.0,127.0,3.5171079639999996,23.0,1.0,221.0,9.0,150.0,11.0,2.0,2.0,-1.0,71.0,,-1.2297267150964446,,,-0.28664562468671495
19.0,13.0,3.800223112,24.0,1.0,235.0,39.0,91.0,41.0,2.0,2.0,-20.0,144.0,,-1.322827430794086,,,-0.310483358558097
9.0,11.0,3.8505940439999997,25.0,1.0,150.0,85.0,266.0,117.0,32.0,16.500002644745976,70.0,-116.0,,-0.9622734769487328,,,-0.3358964000711354
39.0,41.0,3.29929328,26.0,1.0,91.0,3.0,68.0,14.0,11.0,6.007213148061053,36.0,23.0,,-1.7527328329826524,,,-0.36296547702944076
85.0,117.0,2.050057173,27.0,1.0,266.0,72.0,98.0,65.0,-7.0,-4.50000056267576,13.0,168.0,,-1.7089701779859292,,,-0.39176685756625645
3.0,14.0,2.9839003089999996,28.0,1.0,68.0,117.0,122.0,123.0,6.0,6.001844706432751,32.0,-54.0,,-1.8615580430339964,,,-0.42237059504974417
72.0,65.0,4.150314093,29.0,1.0,98.0,130.0,46.0,125.0,-5.0,-4.995971523910633,-58.0,52.0,,-2.005927213863036,,,-0.4548385212230498
