stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
62.0,66.0,1.4999279980000002,1.0,1.0,299.0,65.0,312.0,67.0,2.0,2.0,-3.0,-13.0,0.425725225562853,-0.26346135814469807,-0.03291979864498717,-2.965310203610184,-2.4347775384081624e-17
65.0,67.0,5.3169360160000005,2.0,1.0,312.0,105.0,135.0,84.0,-21.0,-21.0,-40.0,177.0,0.2897218081415802,-1.026056581509958,0.020173883352423323,-0.4190004211139923,-0.008561374397838157
105.0,84.0,4.5667998789999995,3.0,1.0,135.0,86.0,42.0,122.0,36.0,35.995974580698935,19.0,93.0,0.3718596696519246,-1.3649295174041869,0.10797175856386106,-3.8928293916482324,-0.017154448790974736
86.0,122.0,4.5169000630000005,4.0,1.0,42.0,58.0,227.0,39.0,-19.0,-18.999999999999797,28.0,175.0,0.39021381368637664,-1.1172692591507933,-0.13222861159130572,-6.495565222955144,-0.025810951742720765
58.0,39.0,2.566730976,5.0,1.0,227.0,45.0,250.0,43.0,-2.0,-1.9999999999999685,13.0,-23.0,-0.10446028135768289,-0.9876396295211551,0.058362658599394504,-4.182303311894491,-0.034562666604565556
45.0,43.0,2.98395896,6.0,1.0,250.0,36.0,332.0,45.0,9.0,9.0,9.0,-82.0,,-1.2142715329821887,,,-0.043441453015469554
36.0,45.0,1.166131973,7.0,1.0,332.0,17.0,180.0,8.0,-9.0,-8.99999999999989,19.0,152.0,,-1.1190194218274716,,,-0.052479261257688675
17.0,8.0,2.3671741490000002,8.0,1.0,180.0,100.0,212.0,115.0,15.0,8.667114188059667,63.0,-32.0,,-0.9265667101315569,,,-0.06170813697417749
100.0,115.0,8.151458979,9.0,1.0,212.0,78.0,84.0,93.0,15.0,14.998319273608756,22.0,128.0,,-1.4769553812059495,,,-0.07116021365993602
78.0,93.0,2.617252111,10.0,1.0,84.0,31.0,31.0,20.0,-11.0,-11.0,47.0,53.0,,-1.5832752333427185,,,-0.08086769023004838
31.0,20.0,2.700441122,11.0,1.0,31.0,59.0,97.0,44.0,-15.0,-14.996476853981012,-28.0,-66.0,,-1.0832842551290993,,,-0.09086279084501599
59.0,44.0,1.150131941,12.0,1.0,97.0,146.0,47.0,147.0,1.0,0.9994968624106646,59.0,50.0,,-1.0910196987341343,,,-0.10117770404483861
55.0,113.0,3.1666140560000002,14.0,1.0,109.0,141.0,355.0,147.0,6.0,6.0,60.0,114.0,,-1.9773705745825247,,,-0.11184449811388844
141.0,147.0,3.383265018,15.0,1.0,355.0,43.0,180.0,45.0,2.0,4.498488983464387,-48.0,175.0,,-2.8268318365602108,,,-0.12289500947705082
