stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
39.0,63.0,3.315124273,1.0,1.0,350.0,136.0,204.0,147.0,11.0,10.9967569132312,49.0,146.0,1.2121641863205472,3.558867284280623,-0.00244866023313018,3.242691530554355,-5.757678735245046e-17
136.0,147.0,1.833121777,2.0,1.0,204.0,70.0,299.0,68.0,-2.0,-2.0000000000001985,66.0,-95.0,2.381803838790447,3.130359741286802,0.04950764753690847,3.473409612595047,-0.02024564566466561
70.0,68.0,2.28312397,3.0,1.0,299.0,89.0,304.0,110.0,21.0,21.0,-19.0,-5.0,1.0464444250150373,2.775190543494466,-0.16593648906134412,5.220974986270844,-0.04056625439512417
89.0,110.0,4.716586113,4.0,1.0,304.0,13.0,194.0,20.0,7.0,6.998322612151678,-70.0,110.0,1.110620166953307,2.9048644849894076,0.12328856740312144,3.537480906443911,-0.06103685681382866
13.0,20.0,3.150047064,5.0,1.0,194.0,16.0,201.0,13.0,-3.0,-1.6666664040594397,-3.0,-7.0,1.089907060345133,3.1049939458364344,0.16173708807294554,4.201649925510564,-0.08173261310444384
16.0,13.0,1.73431015,6.0,1.0,201.0,140.0,121.0,6.0,12.0,1.4983260349441831,22.0,80.0,,2.7682791738282204,,,-0.10272886385263942
76.0,124.0,5.533112764,8.0,1.0,85.0,108.0,349.0,143.0,35.0,35.0,-32.0,96.0,,2.4699299491282467,,,-0.12410116399425275
108.0,143.0,5.766885757000001,9.0,1.0,349.0,48.0,83.0,59.0,11.0,3.333334483692667,60.0,-94.0,,2.3215670053061666,,,-0.14592529397084253
48.0,59.0,1.966599226,10.0,1.0,83.0,31.0,288.0,34.0,3.0,3.0,17.0,155.0,,2.1178893126589458,,,-0.16827724197348237
31.0,34.0,5.067037344,11.0,1.0,288.0,68.0,181.0,74.0,6.0,-9.66487518218528,-37.0,107.0,,1.879830263725725,,,-0.1912331508964244
68.0,74.0,8.533227921,12.0,1.0,181.0,85.0,214.0,109.0,24.0,1.9940769427522582,-17.0,-33.0,,2.0662944135145587,,,-0.21486922333342048
85.0,109.0,3.3001930710000003,13.0,1.0,214.0,55.0,207.0,62.0,7.0,-0.0026826882632740023,30.0,7.0,,2.0551906781572296,,,-0.23926157764407588
55.0,62.0,4.967076778,14.0,1.0,207.0,28.0,288.0,24.0,-4.0,-4.0,27.0,-81.0,,1.8991826637400833,,,-0.2644860478115954
28.0,24.0,3.1841819289999997,15.0,1.0,288.0,90.0,344.0,76.0,-14.0,-14.0,-62.0,-56.0,,1.0159840612501203,,,-0.2906179195257898
90.0,76.0,2.533756018,16.0,1.0,344.0,8.0,58.0,13.0,5.0,5.003690986620488,-64.0,-74.0,,0.7047706852050403,,,-0.3177315946787964
8.0,13.0,3.433037758,17.0,1.0,58.0,109.0,266.0,90.0,-19.0,-19.0,45.0,152.0,,0.7047706852050403,,,-0.34590017628183095
109.0,90.0,2.8499200339999997,18.0,1.0,266.0,121.0,93.0,120.0,-1.0,-1.0000000000000506,-12.0,173.0,,1.2498623631021772,,,-0.37519496572937805
121.0,120.0,3.933349848,19.0,1.0,93.0,45.0,133.0,63.0,18.0,18.0,-70.0,-40.0,,1.2541811848308146,,,-0.40568486438643114
45.0,63.0,2.8667850489999998,20.0,1.0,133.0,69.0,171.0,60.0,-9.0,-9.005254980194382,-24.0,-38.0,,1.1872915624615135,,,-0.4374356716921647
69.0,60.0,4.149912119,21.0,1.0,171.0,144.0,60.0,2.0,4.0,4.0,71.0,111.0,,0.5832455530719882,,,-0.4705092724009477
144.0,2.0,2.9498090739999996,22.0,1.0,60.0,101.0,343.0,123.0,22.0,21.999999999999932,43.0,77.0,,0.47265633625956566,,,-0.5049627062627646
101.0,123.0,3.349660873,23.0,1.0,343.0,23.0,156.0,132.0,-37.0,-36.99999999999997,-68.0,-173.0,,0.715911004278754,,,-0.5408471144263077
23.0,132.0,5.216783047,24.0,1.0,156.0,50.0,83.0,58.0,8.0,7.999999999999903,-27.0,73.0,,0.520990874776527,,,-0.5782065581764575
50.0,58.0,6.6338009829999995,25.0,1.0,83.0,35.0,294.0,29.0,-6.0,-6.0,15.0,149.0,,-0.2780403801850085,,,-0.6170767073408098
35.0,29.0,3.26770997,26.0,1.0,294.0,52.0,308.0,51.0,-1.0,-1.0,-17.0,-14.0,,-0.15118247603547583,,,-0.6574833978620623
52.0,51.0,4.533747911,27.0,1.0,308.0,33.0,325.0,43.0,10.0,10.0,19.0,-17.0,,0.105467470292702,,,-0.6994410606750876
33.0,43.0,4.816849947,28.0,1.0,325.0,17.0,195.0,17.0,0.0,-2.9999998313042173,16.0,130.0,,1.0469369840519847,,,-0.7429510271824844
17.0,17.0,2.983876944,29.0,1.0,195.0,93.0,249.0,90.0,-3.0,-3.0,70.0,-54.0,,1.194271688132531,,,-0.7879997203135964
93.0,90.0,3.1995649339999996,30.0,1.0,249.0,83.0,140.0,117.0,34.0,33.991055006466475,10.0,109.0,,1.5621956152074734,,,-0.8345567443883882
139.0,63.0,3.1337070469999997,32.0,1.0,296.0,134.0,357.0,135.0,1.0,1.0000000000000062,5.0,-61.0,,1.5523648955296907,,,-0.882572891781048
