stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
56.0,47.0,0.7833259109999999,1.0,1.0,56.0,87.0,202.0,105.0,18.0,17.99832150731522,-31.0,-146.0,0.7596072274950765,-0.500072797471418,0.4624941689027486,0.538062725509892,-9.1647390487774e-17
116.0,140.0,2.566488266,2.0,1.0,318.0,91.0,339.0,112.0,21.0,2.65940297562447,25.0,-21.0,-0.6102850172882343,-0.41152888269296595,0.3349727554160037,-0.9054602878227827,-0.03221092920449914
87.0,105.0,1.700134754,3.0,1.0,202.0,42.0,194.0,43.0,1.0,-1.334116367239401,45.0,8.0,1.2900015826290983,0.38188135487056085,-0.21297375112659242,0.6067248596955728,-0.06445160603119764
91.0,112.0,2.666566849,4.0,1.0,339.0,101.0,283.0,107.0,6.0,5.999999999999822,-10.0,56.0,2.5315407479271754,0.09088992899158974,0.34372076272617563,-2.125983353003323,-0.0967514737062182
42.0,43.0,1.682703733,5.0,1.0,194.0,10.0,338.0,17.0,7.0,7.0,32.0,-144.0,5.166887313211723,0.4106564329105574,0.5659356816582471,1.8263220076574151,-0.12913936486198432
101.0,107.0,2.7006609439999996,6.0,1.0,283.0,104.0,185.0,92.0,-12.0,-12.001230329544835,-3.0,98.0,,0.3213707186248431,,,-0.16164319177082065
10.0,17.0,3.533488989,7.0,1.0,338.0,9.0,174.0,16.0,7.0,6.999999999999886,1.0,164.0,,-0.01806707297779291,,,-0.19428963131153626
104.0,92.0,2.950073957,8.0,1.0,185.0,14.0,219.0,14.0,0.0,-0.0006712065184765456,-56.0,-34.0,,0.6273448401488823,,,-0.2271038030751423
9.0,16.0,1.616785765,9.0,1.0,174.0,34.0,1.0,30.0,-4.0,-4.0,-25.0,173.0,,0.5266867306824337,,,-0.2601089391566756
14.0,14.0,1.333808899,10.0,1.0,219.0,131.0,186.0,146.0,15.0,15.004360337942027,29.0,33.0,,0.18092929076073389,,,-0.2933260443586548
34.0,30.0,2.433428288,11.0,1.0,1.0,106.0,236.0,106.0,0.0,-0.0012303295448346722,-72.0,125.0,,-0.7106411713484381,,,-0.3267735457494842
131.0,146.0,1.683900833,12.0,1.0,186.0,55.0,58.0,55.0,0.0,1.5779779113590826e-124,-70.0,128.0,,-0.7156821556848482,,,-0.36046693077876246
106.0,106.0,1.4673581119999999,13.0,1.0,236.0,92.0,112.0,102.0,10.0,9.993847415124623,14.0,124.0,,-0.6083231844949165,,,-0.39441837345257647
55.0,55.0,2.150301933,14.0,1.0,58.0,25.0,45.0,3.0,-22.0,-22.0,30.0,13.0,,-0.32495624110897303,,,-0.42863634841699466
92.0,102.0,2.700128078,15.0,1.0,112.0,29.0,76.0,20.0,-9.0,-9.0,63.0,36.0,,-0.5736421908966761,,,-0.4631252331883902
25.0,3.0,2.266756296,16.0,1.0,45.0,2.0,197.0,141.0,-7.0,-7.0,23.0,-152.0,,-0.4242254473489916,,,-0.4978848992058231
29.0,20.0,2.116964817,17.0,1.0,76.0,105.0,271.0,116.0,11.0,7.332439316631669,70.0,165.0,,0.5000214307338627,,,-0.532910292863756
2.0,141.0,3.416653156,18.0,1.0,197.0,124.0,114.0,9.0,31.0,30.99999999999991,24.0,83.0,,0.7272092469447987,,,-0.5681910082125173
105.0,116.0,0.933588028,19.0,1.0,271.0,48.0,339.0,62.0,14.0,13.997760544913008,57.0,-68.0,,1.0074113623020298,,,-0.6037108535876252
124.0,9.0,2.234039068,20.0,1.0,114.0,82.0,313.0,82.0,0.0,-4.1924174490974965e-125,42.0,161.0,,0.9513947839757525,,,-0.6394474150449782
48.0,62.0,2.2168431280000003,21.0,1.0,339.0,115.0,286.0,91.0,-24.0,-13.993850915463335,-67.0,53.0,,0.7398703757047015,,,-0.6753716201328787
82.0,82.0,2.616993904,22.0,1.0,313.0,147.0,20.0,143.0,-4.0,-4.000000000000046,-65.0,-67.0,,0.38202222763861604,,,-0.7114473062186366
115.0,91.0,1.81683898,23.0,1.0,286.0,94.0,343.0,111.0,17.0,-5.008382964496345,21.0,-57.0,,0.606645245499584,,,-0.7476307982996285
147.0,143.0,2.350467205,24.0,1.0,20.0,88.0,67.0,101.0,13.0,7.990778432481447,59.0,-47.0,,0.6262144469673062,,,-0.7838705019572078
94.0,111.0,5.950285912000001,25.0,1.0,343.0,21.0,346.0,15.0,-6.0,-5.999999999999842,-73.0,-3.0,,0.8105982324063224,,,-0.8201065178453082
88.0,101.0,0.950514793,26.0,1.0,67.0,30.0,50.0,23.0,-7.0,-7.0,58.0,17.0,,0.7193794697794085,,,-0.8562702848306765
21.0,15.0,3.117012978,27.0,1.0,346.0,110.0,159.0,99.0,-11.0,0.012070458378072857,57.0,-173.0,,0.5196568107995184,,,-0.8922842596025354
30.0,23.0,2.93295002,28.0,1.0,50.0,31.0,251.0,144.0,-33.0,-33.0,-1.0,159.0,,0.9031377022033527,,,-0.9280616412283083
