stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
62.0,102.0,1.482838869,1.0,1.0,68.0,119.0,224.0,109.0,-10.0,-9.999999999999902,-57.0,-156.0,1.80451666564814,-3.2965909930457507,0.13012104185497625,0.07208200545420591,-9.571098670904906e-17
119.0,109.0,5.582537889,2.0,1.0,224.0,49.0,108.0,48.0,-1.0,-0.9999999999999873,70.0,116.0,1.1041541002758761,-3.3036411698559385,0.4389427698551964,-2.4106395002197285,-0.03363914455795883
49.0,48.0,12.36618996,3.0,1.0,108.0,146.0,153.0,146.0,0.0,7.224719971243779e-222,49.0,-45.0,-0.5526030897198817,-3.3400048062195786,0.3037925018069365,-2.7555815539019775,-0.06730935573175646
146.0,146.0,3.351524115,4.0,1.0,153.0,22.0,257.0,23.0,1.0,1.0,-22.0,-104.0,2.4225649747941818,-3.235190080408833,0.33724653034272123,-1.772497550027059,-0.10104138224439597
22.0,23.0,1.1330029959999999,5.0,1.0,257.0,106.0,157.0,110.0,4.0,3.9983226871435713,62.0,100.0,1.8962929130942048,-4.205731297241997,0.2555410550391368,-2.9316486737591303,-0.13486533515178362
106.0,110.0,4.500772953,6.0,1.0,157.0,3.0,243.0,119.0,-30.0,-29.999999999999982,-43.0,-86.0,,-4.258453348237436,,,-0.16881036434145266
3.0,119.0,1.8507149219999999,7.0,1.0,243.0,95.0,323.0,113.0,18.0,17.999999999999854,54.0,-80.0,,-4.18641672330863,,,-0.20290432953073403
95.0,113.0,6.850288152999999,8.0,1.0,323.0,139.0,354.0,131.0,-8.0,-7.994463441439551,-44.0,-31.0,,-4.248895482589191,,,-0.23717346409985363
139.0,131.0,5.349924803,9.0,1.0,354.0,84.0,214.0,101.0,17.0,-0.007033009986340488,55.0,140.0,,-4.427004469343084,,,-0.2716420302425019
84.0,101.0,5.583666325,10.0,1.0,214.0,67.0,189.0,85.0,18.0,18.0,17.0,25.0,,-4.369312161650776,,,-0.3063319641028937
67.0,85.0,5.516360044,11.0,1.0,189.0,137.0,225.0,130.0,-7.0,-0.6666669665089016,-70.0,-36.0,,-4.673769195674299,,,-0.34126250979577927
137.0,130.0,2.317382813,12.0,1.0,225.0,51.0,226.0,49.0,-2.0,-0.9993291873548678,-60.0,-1.0,,-4.604632177913042,,,-0.37644984147597915
51.0,49.0,2.799952984,13.0,1.0,226.0,104.0,177.0,107.0,3.0,3.0,-53.0,49.0,,-4.902741180498135,,,-0.41190667293849115
104.0,107.0,3.5670638080000003,14.0,1.0,177.0,45.0,247.0,33.0,-12.0,-11.99999999999993,59.0,-70.0,,-4.857848947269856,,,-0.44764185459065214
133.0,63.0,2.466732979,16.0,1.0,83.0,37.0,102.0,31.0,-6.0,-6.003018881973424,-50.0,-19.0,,-4.959828130397769,,,-0.4836599580455671
37.0,31.0,2.30009985,17.0,1.0,102.0,125.0,176.0,110.0,-15.0,-15.0,58.0,-74.0,,-4.4813765074902046,,,-0.5199608490419723
125.0,110.0,1.866473913,18.0,1.0,176.0,145.0,99.0,18.0,19.0,19.0,-20.0,77.0,,-4.481822820478279,,,-0.5565392499001667
145.0,18.0,2.4333460330000003,19.0,1.0,99.0,6.0,65.0,9.0,3.0,3.000503869039256,-7.0,34.0,,-4.491595280203457,,,-0.5933842932762414
80.0,13.0,2.332956076,21.0,1.0,67.0,41.0,193.0,38.0,-3.0,-0.9994977346806881,39.0,-126.0,,-3.397503060211625,,,-0.6304790695759813
41.0,38.0,1.667222023,22.0,1.0,193.0,20.0,165.0,14.0,-6.0,-6.0,21.0,28.0,,-3.1146909987327303,,,-0.667800171033005
92.0,23.0,3.250237942,24.0,1.0,102.0,109.0,107.0,109.0,0.0,-9.024255416183171e-35,-17.0,-5.0,,-3.065889159039461,,,-0.7053172361386733
109.0,109.0,1.600375175,25.0,1.0,107.0,19.0,51.0,20.0,1.0,1.0,-56.0,56.0,,-3.4307722753317917,,,-0.7429924988285257
19.0,20.0,3.383770943,26.0,1.0,51.0,132.0,274.0,123.0,-9.0,-8.999999999999847,33.0,137.0,,-2.421757781523524,,,-0.7807803475737081
132.0,123.0,2.633285761,27.0,1.0,274.0,131.0,346.0,118.0,-13.0,-12.995974336609539,1.0,-72.0,,-2.0434373585779193,,,-0.8186269002866774
131.0,118.0,1.499515057,28.0,1.0,346.0,86.0,58.0,104.0,18.0,0.007217397620852495,45.0,-72.0,,-2.071935187938516,,,-0.8564696017164362
