stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
51.0,51.0,4.382833719,1.0,1.0,139.0,137.0,19.0,2.0,11.0,20.995526790011766,60.0,120.0,-0.5491816263484927,-3.833197574463197,-0.2726029261055636,-0.5475717462455324,3.981618099029669e-18
143.0,140.0,2.416570187,2.0,1.0,64.0,57.0,140.0,47.0,-10.0,-10.0,-60.0,-76.0,0.5456086625477964,-3.8191488561093982,-0.032538056330130634,-0.5398317210245039,0.0014005471906534896
2.0,141.0,4.283818245,3.0,1.0,286.0,104.0,83.0,102.0,-2.0,-2.0,44.0,-157.0,-0.6038467565403898,-5.389752409939877,-0.10215420983077454,-0.05463346459392047,0.0028092640737633822
137.0,2.0,3.116399765,4.0,1.0,19.0,109.0,112.0,103.0,-6.0,6.002011763378713,28.0,-93.0,-4.290651113361118,-5.559947318974521,-0.5317824790900519,0.8977457555339983,0.004234363140347819
57.0,47.0,4.016753197,5.0,1.0,140.0,18.0,11.0,143.0,-21.0,-21.0,39.0,129.0,1.1649058841945412,-5.5608801922672075,0.19980872984040876,-3.2953165660160435,0.005684142135643507
104.0,102.0,2.883661985,6.0,1.0,83.0,113.0,57.0,118.0,5.0,10.99765086167598,-9.0,26.0,,-6.31585204321558,,,0.0071670258123046945
109.0,103.0,2.2830760480000003,7.0,1.0,112.0,19.0,57.0,118.0,-47.0,-47.0,-56.0,55.0,,-5.139031465196862,,,0.00869160658823169
18.0,143.0,3.666630268,8.0,1.0,11.0,64.0,258.0,72.0,8.0,7.99921395327923,-46.0,113.0,,-5.081117910524387,,,0.010266683665933717
113.0,118.0,4.850476027,9.0,1.0,57.0,43.0,343.0,56.0,13.0,-5.003181829986982,70.0,74.0,,-5.654804912691881,,,0.011901300103197402
19.0,118.0,3.8678147789999997,10.0,1.0,57.0,34.0,287.0,57.0,23.0,10.001176932406409,-15.0,130.0,,-6.205053402774099,,,0.013604777240650906
64.0,72.0,3.3667018410000003,11.0,1.0,258.0,130.0,127.0,135.0,5.0,5.001506767153571,-66.0,131.0,,-6.205116083951533,,,0.015386745790584256
43.0,56.0,4.26698184,12.0,1.0,343.0,105.0,122.0,107.0,2.0,2.0,-62.0,-139.0,,-6.567142657378946,,,0.01725717277328831
34.0,57.0,4.317054033,13.0,1.0,287.0,103.0,255.0,102.0,-1.0,-1.0,-69.0,32.0,,-6.0654006222417935,,,0.019226383352668727
130.0,135.0,3.666907787,14.0,1.0,127.0,89.0,141.0,113.0,24.0,23.996477136593363,41.0,-14.0,,-6.275903905728144,,,0.021305076472843455
105.0,107.0,2.1180980209999998,15.0,1.0,122.0,65.0,179.0,73.0,8.0,7.999999999999971,40.0,-57.0,,-5.398029966718823,,,0.023504333033253475
103.0,102.0,4.066987038,16.0,1.0,255.0,85.0,105.0,81.0,-4.0,-4.0,18.0,150.0,,-4.912362586558851,,,0.025835615163627815
89.0,113.0,1.8662960530000001,17.0,1.0,141.0,87.0,278.0,77.0,-10.0,-10.003522863406594,2.0,-137.0,,-5.251688503304189,,,0.02831075497494705
65.0,73.0,1.950143814,18.0,1.0,179.0,39.0,282.0,46.0,7.0,7.0,26.0,-103.0,,-5.4579807158867935,,,0.030941930972435663
85.0,81.0,8.416881323,19.0,1.0,105.0,78.0,253.0,76.0,-2.0,-2.001118921398478,7.0,-148.0,,-4.162031503473643,,,0.03374163012693897
87.0,77.0,2.617364168,20.0,1.0,278.0,61.0,140.0,76.0,15.0,15.008050522594022,26.0,138.0,,-4.081108473385669,,,0.03672259341866456
39.0,46.0,1.999960184,21.0,1.0,282.0,99.0,315.0,78.0,-21.0,-21.33366874589526,-60.0,-33.0,,-3.0079174582134938,,,0.03989774250070363
78.0,76.0,0.9003829959999999,22.0,1.0,253.0,12.0,152.0,136.0,-22.0,-21.999779095587378,66.0,101.0,,-2.9103564826037385,,,0.04328008498937603
61.0,76.0,2.015505075,23.0,1.0,140.0,52.0,167.0,55.0,3.0,7.502178481760035,9.0,-27.0,,-2.5444728187762857,,,0.046882595786592506
99.0,78.0,2.400421143,24.0,1.0,315.0,49.0,0.0,59.0,10.0,10.000000000000032,50.0,-45.0,,-3.355952179276642,,,0.05071807179048891
12.0,136.0,1.599973202,25.0,1.0,152.0,46.0,213.0,53.0,7.0,7.000839275371545,-34.0,-61.0,,-0.9194574490538187,,,0.05479895737093343
52.0,55.0,5.0341429710000005,26.0,1.0,167.0,82.0,315.0,80.0,-2.0,-1.9999999999999747,-30.0,-148.0,,-0.9194574490538187,,,0.05913713809441433
49.0,59.0,1.49980402,27.0,1.0,0.0,58.0,271.0,59.0,1.0,1.0,-9.0,89.0,,-0.8510009479216826,,,0.06374370039810162
46.0,53.0,1.6498255730000002,28.0,1.0,213.0,56.0,187.0,60.0,4.0,4.0,-10.0,26.0,,-0.9157964240108117,,,0.06862865525651261
82.0,80.0,2.300295115,29.0,1.0,315.0,120.0,62.0,113.0,-7.0,-7.0,-38.0,-107.0,,-1.8954006865132662,,,0.07380062437756045
58.0,59.0,3.616222858,30.0,1.0,271.0,134.0,6.0,119.0,-15.0,-14.999999999999861,70.0,-95.0,,-0.710342256486422,,,0.07926648812873939
56.0,60.0,1.7668917180000001,31.0,1.0,187.0,42.0,108.0,43.0,1.0,0.9939606053127058,14.0,79.0,,-0.7510654542652342,,,0.0850309952480239
120.0,113.0,1.400249958,32.0,1.0,62.0,27.0,154.0,27.0,0.0,0.009061990830667596,-53.0,-92.0,,-0.2630481357677299,,,0.09109633545386943
134.0,119.0,2.7337398530000003,33.0,1.0,6.0,6.0,44.0,144.0,-8.0,-0.003021863474998554,-18.0,-38.0,,0.2678481709451447,,,0.0974616773458226
42.0,43.0,6.8837568760000005,34.0,1.0,108.0,9.0,200.0,15.0,6.0,14.005534682908413,33.0,-92.0,,1.158345219129491,,,0.10412267548627162
27.0,27.0,9.367879152,35.0,1.0,154.0,37.0,327.0,37.0,0.0,-0.008050875696574287,-10.0,-173.0,,1.5997112511554823,,,0.11107095227052322
6.0,144.0,4.28313899,36.0,1.0,44.0,13.0,308.0,140.0,-19.0,-18.33310898978172,-7.0,96.0,,2.0200570935870443,,,0.11829356211136662
9.0,15.0,1.232876062,37.0,1.0,200.0,23.0,268.0,131.0,-38.0,-37.99730470937036,-14.0,-68.0,,1.5288276883209118,,,0.1257724475570095
37.0,37.0,3.450328112,38.0,1.0,327.0,28.0,280.0,132.0,-42.0,-41.99999999999966,9.0,47.0,,1.3723264705921163,,,0.13348389918391737
13.0,140.0,1.066804171,39.0,1.0,308.0,144.0,216.0,1.0,3.0,3.0,15.0,92.0,,1.6733514161257437,,,0.14139803339791682
23.0,131.0,1.999469995,40.0,1.0,268.0,114.0,349.0,103.0,-11.0,-10.9979880122807,55.0,-81.0,,2.1699906618150346,,,0.14947830455918237
28.0,132.0,2.099611044,41.0,1.0,280.0,1.0,30.0,137.0,-10.0,-10.0,27.0,-110.0,,2.474729092980492,,,0.15768107002236584
114.0,103.0,2.001250744,43.0,1.0,349.0,45.0,114.0,54.0,9.0,8.999999999999803,69.0,-125.0,,1.7707000994752362,,,0.16595522863756318
1.0,137.0,1.1494889259999999,44.0,1.0,30.0,126.0,281.0,105.0,-21.0,-15.998658812401047,21.0,109.0,,2.355054441615171,,,0.1742419548609412
71.0,129.0,5.150048971,45.0,1.0,247.0,7.0,116.0,105.0,-48.0,-47.99731731269894,64.0,131.0,,2.7933389757967233,,,0.18247455173353577
45.0,54.0,1.066025972,46.0,1.0,114.0,116.0,313.0,100.0,-16.0,-16.0,-71.0,161.0,,2.0820322101468656,,,0.19057844645392544
126.0,105.0,1.4501690859999998,47.0,1.0,281.0,122.0,184.0,134.0,12.0,12.000000000000098,4.0,97.0,,1.9673624154278395,,,0.19847135194594043
7.0,105.0,2.366408825,48.0,1.0,116.0,86.0,15.0,124.0,38.0,37.999999999999865,67.0,101.0,,1.4427337410290855,,,0.2060636165651681
116.0,100.0,6.999494791,49.0,1.0,313.0,63.0,355.0,61.0,-2.0,-4.335121728779217,53.0,-42.0,,1.4427337410290855,,,0.2132587817745296
122.0,134.0,3.51643014,50.0,1.0,184.0,93.0,197.0,92.0,-1.0,-1.0070497760954664,29.0,-13.0,,0.8749798019855879,,,0.21995436415492334
86.0,124.0,1.93289876,51.0,1.0,15.0,47.0,159.0,46.0,-1.0,1.5018446221350867,39.0,-144.0,,0.6922516644423672,,,0.2260428734469602
63.0,61.0,1.666893005,52.0,1.0,355.0,91.0,38.0,107.0,16.0,12.665325191423094,-28.0,-43.0,,0.8064822447173811,,,0.23141307243999612
93.0,92.0,1.233521938,53.0,1.0,197.0,21.0,17.0,133.0,-34.0,-33.99730470937036,72.0,-180.0,,0.5707171702729236,,,0.2359514774915552
47.0,46.0,1.149751902,54.0,1.0,159.0,73.0,207.0,76.0,3.0,3.000000000000177,-26.0,-48.0,,0.85889823276955,,,0.23954409039908525
91.0,107.0,1.35123086,55.0,1.0,38.0,83.0,317.0,73.0,-10.0,-10.0,8.0,81.0,,0.5116571492207229,,,0.2420783434557398
21.0,133.0,2.834163904,56.0,1.0,17.0,131.0,37.0,134.0,3.0,7.495300964544897,36.0,-20.0,,1.1167904226898577,,,0.2434452300763772
73.0,76.0,1.5831611159999999,57.0,1.0,207.0,98.0,145.0,95.0,-3.0,-3.000111933394347,-25.0,62.0,,-0.12209689157805927,,,0.24354158372436396
83.0,73.0,4.3829591269999995,58.0,1.0,317.0,133.0,123.0,106.0,-27.0,-26.996308616088598,-50.0,-166.0,,-0.5776104907342555,,,0.2422724584117811
131.0,134.0,2.7170889380000003,59.0,1.0,37.0,75.0,236.0,104.0,29.0,28.999999999999957,56.0,161.0,,0.028128302825101797,,,0.23955355524118163
98.0,95.0,1.066841841,60.0,1.0,145.0,62.0,56.0,33.0,-29.0,-5.002516420124312,36.0,89.0,,0.028128302825101797,,,0.23531363179056472
133.0,106.0,1.9506287569999998,61.0,1.0,123.0,68.0,0.0,74.0,6.0,6.0,65.0,123.0,,-0.0057604928662680945,,,0.22949682510309113
75.0,104.0,4.4999029639999995,62.0,1.0,236.0,121.0,183.0,126.0,5.0,5.0,-46.0,53.0,,-0.5575405611694679,,,0.22206481509338125
62.0,33.0,1.40027523,63.0,1.0,56.0,80.0,32.0,86.0,6.0,7.995191402961022,-18.0,24.0,,-0.6000486861682226,,,0.2129987537323493
68.0,74.0,2.7833461760000002,64.0,1.0,0.0,81.0,13.0,76.0,-5.0,-4.999330687848794,-13.0,-13.0,,-0.5410649730729588,,,0.20230088674636693
121.0,126.0,5.649641991,65.0,1.0,183.0,29.0,71.0,33.0,4.0,4.0,-54.0,112.0,,-1.1671567116521488,,,0.18999579897386284
80.0,86.0,2.750168085,66.0,1.0,32.0,3.0,351.0,131.0,-18.0,-18.0,-69.0,41.0,,-0.9939817369722599,,,0.1761312220344466
81.0,76.0,3.6173281669999997,67.0,1.0,13.0,15.0,179.0,31.0,16.0,16.008384237982597,66.0,-166.0,,-1.173769243249887,,,0.16077835349711506
3.0,131.0,3.0835671419999997,69.0,1.0,351.0,124.0,15.0,134.0,10.0,17.669461137872716,25.0,-24.0,,-1.4737189148474004,,,0.1440316500343326
15.0,31.0,1.500078917,70.0,1.0,179.0,44.0,136.0,61.0,17.0,16.993960605312704,-29.0,43.0,,-1.5917201542337716,,,0.12600807270244005
112.0,23.0,4.549473047,71.0,1.0,144.0,36.0,198.0,60.0,24.0,0.0006777896165814923,-70.0,-54.0,,-1.833254110638891,,,0.10684577992789758
124.0,134.0,3.899837255,72.0,1.0,15.0,125.0,241.0,141.0,16.0,16.004250580645735,-1.0,134.0,,-2.6762013050742506,,,0.08670228230549833
44.0,61.0,2.832665205,73.0,1.0,136.0,4.0,336.0,141.0,-9.0,-8.999999999999899,40.0,160.0,,-3.34665091144575,,,0.06575209213435713
36.0,60.0,6.233072996000001,74.0,1.0,198.0,26.0,51.0,10.0,-16.0,11.013413945177476,10.0,147.0,,-3.50682081339023,,,0.0441839188804191
125.0,141.0,6.8001599310000005,75.0,1.0,241.0,70.0,140.0,106.0,36.0,36.0046938314217,55.0,101.0,,-2.4616517108467106,,,0.022197478602796146
26.0,10.0,1.666538,77.0,1.0,51.0,132.0,17.0,98.0,-34.0,-22.994632879084797,40.0,34.0,,-2.733845219861401,,,-0.0
70.0,106.0,3.850098133,78.0,1.0,140.0,53.0,82.0,50.0,-3.0,2.5045277050361046,17.0,58.0,,-2.7338678531769083,,,-0.022197478602796146
129.0,41.0,4.499041796,79.0,1.0,312.0,77.0,85.0,72.0,-5.0,-8.33545767973946,52.0,-133.0,,-2.0929380976582395,,,-0.0441839188804191
132.0,98.0,3.1502509119999997,80.0,1.0,17.0,11.0,181.0,20.0,9.0,9.00000000000011,-25.0,-164.0,,-2.3864100344168455,,,-0.06575209213435713
53.0,50.0,2.515585184,81.0,1.0,82.0,102.0,260.0,86.0,-16.0,-16.0,-49.0,-178.0,,-1.7511793285763775,,,-0.08670228230549833
77.0,72.0,3.382348061,82.0,1.0,85.0,142.0,260.0,116.0,-26.0,-26.0,-65.0,-175.0,,-1.4787498227857918,,,-0.10684577992789758
,,,,,,,,,,,,,,-1.1054532491010474,,,-0.12600807270244005
,,,,,,,,,,,,,,-1.373539237023275,,,-0.1440316500343326
,,,,,,,,,,,,,,-0.8871921417973588,,,-0.16077835349711506
101.0,97.0,1.017697096,1.0,2.0,326.0,113.0,269.0,90.0,-23.0,-17.00234913832402,-12.0,57.0,,-0.5366936128613322,,,-0.1761312220344466
90.0,85.0,0.766793013,2.0,2.0,32.0,107.0,2.0,92.0,-15.0,-14.996310417859588,-17.0,30.0,,-0.2743239851277721,,,-0.18999579897386284
63.0,53.0,1.2332119940000001,3.0,2.0,254.0,79.0,332.0,117.0,38.0,38.00066931215116,-16.0,-78.0,,0.08949373249883387,,,-0.20230088674636693
113.0,90.0,4.749984026,4.0,2.0,269.0,99.0,173.0,103.0,4.0,3.6663312541047386,14.0,96.0,,-0.4267056429300999,,,-0.2129987537323493
107.0,92.0,1.949842215,5.0,2.0,2.0,13.0,161.0,22.0,9.0,9.66689101021828,-52.0,-159.0,,-0.28833965778574205,,,-0.22206481509338125
79.0,117.0,1.549198151,6.0,2.0,332.0,109.0,130.0,86.0,-23.0,-10.997988236621287,-30.0,-158.0,,-0.12038127024715709,,,-0.22949682510309113
99.0,103.0,1.4998300080000002,7.0,2.0,173.0,93.0,229.0,115.0,22.0,21.992950223904533,6.0,-56.0,,-0.24941625931927763,,,-0.23531363179056472
13.0,22.0,2.9831080439999997,8.0,2.0,161.0,56.0,309.0,71.0,15.0,15.0,-43.0,-148.0,,-0.4447470012155509,,,-0.23955355524118163
109.0,86.0,0.9838569159999999,9.0,2.0,130.0,77.0,53.0,74.0,-3.0,-6.335457679739458,32.0,77.0,,-0.34084765734632927,,,-0.2422724584117811
93.0,115.0,1.8838682169999998,10.0,2.0,229.0,137.0,229.0,129.0,-8.0,1.9955267900117661,-44.0,0.0,,0.03429386681484281,,,-0.24354158372436396
77.0,74.0,3.0003099439999996,12.0,2.0,53.0,111.0,113.0,92.0,-19.0,-18.999999999999773,-34.0,-60.0,,0.03429386681484281,,,-0.2434452300763772
137.0,129.0,0.883409977,13.0,2.0,229.0,26.0,349.0,134.0,-38.0,-10.986586054822524,-35.0,-120.0,,-0.1556379765690501,,,-0.2420783434557398
16.0,97.0,4.833968878,14.0,2.0,328.0,139.0,306.0,12.0,19.0,19.000000000000128,23.0,22.0,,-0.22732306277507194,,,-0.23954409039908525
111.0,92.0,1.482887268,15.0,2.0,113.0,121.0,351.0,85.0,-36.0,-36.0,-10.0,122.0,,-0.5211740884740694,,,-0.2359514774915552
26.0,134.0,4.199729919,16.0,2.0,349.0,95.0,25.0,103.0,8.0,7.992950223904576,-69.0,-36.0,,-0.6219394732569253,,,-0.23141307243999612
139.0,12.0,9.832587004,17.0,2.0,306.0,114.0,77.0,126.0,12.0,12.0020119877193,25.0,-131.0,,-0.7674512093980399,,,-0.2260428734469602
